GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
0200065,2000,Adak,Alaska,316.0,4.66,,100.0,295.0,52727.0,0.0,10.0,45.57,1.27,5.06,34.49,9.81,1.58,2.22,0.0,,,,,0,0,0
0200065,2001,Adak,Alaska,316.0,4.66,,100.0,295.0,52727.0,0.0,10.0,45.57,1.27,5.06,34.49,9.81,1.58,2.22,0.0,,,,,0,0,0
0200065,2002,Adak,Alaska,316.0,4.66,,100.0,295.0,52727.0,0.0,10.0,45.57,1.27,5.06,34.49,9.81,1.58,2.22,0.0,,,,,0,0,0
0200065,2003,Adak,Alaska,316.0,4.66,,100.0,295.0,52727.0,0.0,10.0,45.57,1.27,5.06,34.49,9.81,1.58,2.22,0.0,,,,,0,0,0
0200065,2004,Adak,Alaska,316.0,4.66,,100.0,295.0,52727.0,0.0,10.0,45.57,1.27,5.06,34.49,9.81,1.58,2.22,0.0,,,,,0,0,0
0200065,2005,Adak,Alaska,64.0,0.0,,90.32,900.0,63125.0,18800.0,18.8,60.94,0.0,15.62,4.69,7.81,0.0,10.94,0.0,,,,,0,0,0
0200065,2006,Adak,Alaska,64.0,0.0,,90.32,900.0,63125.0,18800.0,18.8,60.94,0.0,15.62,4.69,7.81,0.0,10.94,0.0,,,,,0,0,0
0200065,2007,Adak,Alaska,64.0,0.0,,90.32,900.0,63125.0,18800.0,18.8,60.94,0.0,15.62,4.69,7.81,0.0,10.94,0.0,,,,,0,0,0
0200065,2008,Adak,Alaska,64.0,0.0,91.13,90.32,900.0,63125.0,18800.0,18.8,60.94,0.0,15.62,4.69,7.81,0.0,10.94,0.0,0.0,,0.0,0.0,0,0,0
0200065,2009,Adak,Alaska,64.0,0.0,82.62,90.32,900.0,63125.0,18800.0,18.8,60.94,0.0,15.62,4.69,7.81,0.0,10.94,0.0,0.0,,0.0,0.0,0,0,0
0200065,2010,Adak,Alaska,326.0,0.0,73.51,31.82,1042.0,67250.0,22500.0,16.7,18.1,3.99,8.9,5.52,52.45,1.53,9.51,0.0,0.0,,0.0,0.0,0,0,0
0200065,2011,Adak,Alaska,122.0,23.81,74.12,41.67,1075.0,78500.0,25800.0,19.2,31.97,0.0,36.89,4.1,10.66,13.11,1.64,1.64,0.0,,0.0,0.0,0,0,0
0200065,2012,Adak,Alaska,122.0,23.81,74.73,41.67,1075.0,78500.0,25800.0,19.2,31.97,0.0,36.89,4.1,10.66,13.11,1.64,1.64,0.0,,0.0,0.0,0,0,0
0200065,2013,Adak,Alaska,122.0,23.81,75.94,41.67,1075.0,78500.0,25800.0,19.2,31.97,0.0,36.89,4.1,10.66,13.11,1.64,1.64,0.0,,0.0,0.0,0,0,0
0200065,2014,Adak,Alaska,122.0,23.81,76.55,41.67,1075.0,78500.0,25800.0,19.2,31.97,0.0,36.89,4.1,10.66,13.11,1.64,1.64,0.61,,,0.79,0,0,0
0200065,2015,Adak,Alaska,122.0,23.81,77.16,41.67,1075.0,78500.0,25800.0,19.2,31.97,0.0,36.89,4.1,10.66,13.11,1.64,1.64,0.0,,0.0,0.0,0,0,0
0200065,2016,Adak,Alaska,122.0,23.81,77.76,41.67,1075.0,78500.0,25800.0,19.2,31.97,0.0,36.89,4.1,10.66,13.11,1.64,1.64,0.0,,0.0,0.0,0,0,0
0200650,2000,Akhiok,Alaska,80.0,9.89,,8.0,275.0,33438.0,90000.0,9.9,2.5,0.0,1.25,85.0,3.75,0.0,7.5,0.0,,,,,0,0,0
0200650,2001,Akhiok,Alaska,80.0,9.89,,8.0,275.0,33438.0,90000.0,9.9,2.5,0.0,1.25,85.0,3.75,0.0,7.5,0.0,,,,,0,0,0
