GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
0100100,2000,Abanda,Alabama,,,,,,,,,,,,,,,,,,,,,0,0,0
0100100,2001,Abanda,Alabama,,,10.6,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
0100100,2002,Abanda,Alabama,,,10.6,,,,,,,,,,,,,,0.1,0.0,0.0,0.93,0,0,0
0100100,2003,Abanda,Alabama,,,10.7,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
0100100,2004,Abanda,Alabama,,,10.7,,,,,,,,,,,,,,0.2,0.0,0.0,1.83,0,0,0
0100100,2005,Abanda,Alabama,,,10.8,,,,,,,,,,,,,,0.1,0.1,0.91,0.91,0,0,0
0100100,2006,Abanda,Alabama,,,10.8,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
0100100,2007,Abanda,Alabama,,,10.89,,,,,,,,,,,,,,0.1,0.0,0.0,0.9,0,0,0
0100100,2008,Abanda,Alabama,,,10.89,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
0100100,2009,Abanda,Alabama,,,10.99,,,,,,,,,,,,,,0.2,0.1,0.89,1.79,0,0,0
0100100,2010,Abanda,Alabama,192.0,0.0,10.99,11.76,,13864.0,153900.0,,67.19,30.21,1.56,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0,0,0
0100100,2011,Abanda,Alabama,52.0,0.0,11.09,23.08,,11207.0,,,76.92,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0100100,2012,Abanda,Alabama,52.0,0.0,11.09,23.08,,11207.0,,,76.92,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0100100,2013,Abanda,Alabama,52.0,0.0,11.19,23.08,,11207.0,,,76.92,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.88,1.75,0,0,0
0100100,2014,Abanda,Alabama,52.0,0.0,11.29,23.08,,11207.0,,,76.92,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0100100,2015,Abanda,Alabama,52.0,0.0,11.29,23.08,,11207.0,,,76.92,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,2.61,0,0,0
0100100,2016,Abanda,Alabama,52.0,0.0,11.38,23.08,,11207.0,,,76.92,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,3.45,3.45,0,0,0
0100124,2000,Abbeville,Alabama,2987.0,21.46,308.5,27.13,273.0,23266.0,58900.0,23.4,56.24,39.67,3.52,0.0,0.07,0.0,0.5,0.0,4.66,0.86,0.28,1.51,0,0,0
0100124,2001,Abbeville,Alabama,2987.0,21.46,313.1,27.13,273.0,23266.0,58900.0,23.4,56.24,39.67,3.52,0.0,0.07,0.0,0.5,0.0,4.56,3.7,1.18,1.46,0,0,0
0100124,2002,Abbeville,Alabama,2987.0,21.46,317.64,27.13,273.0,23266.0,58900.0,23.4,56.24,39.67,3.52,0.0,0.07,0.0,0.5,0.0,5.38,4.52,1.42,1.69,0,0,0
0100124,2003,Abbeville,Alabama,2987.0,21.46,323.19,27.13,273.0,23266.0,58900.0,23.4,56.24,39.67,3.52,0.0,0.07,0.0,0.5,0.0,3.44,0.0,0.0,1.06,0,0,0
0100124,2004,Abbeville,Alabama,2987.0,21.46,327.73,27.13,273.0,23266.0,58900.0,23.4,56.24,39.67,3.52,0.0,0.07,0.0,0.5,0.0,0.96,0.0,0.0,0.29,0,0,0
0100124,2005,Abbeville,Alabama,2919.0,16.87,332.32,29.67,525.0,28178.0,84200.0,45.6,51.73,41.14,1.78,0.0,5.17,0.0,0.17,0.0,6.18,0.96,0.29,1.86,0,0,0
0100124,2006,Abbeville,Alabama,2919.0,16.87,336.0,29.67,525.0,28178.0,84200.0,45.6,51.73,41.14,1.78,0.0,5.17,0.0,0.17,0.0,6.28,4.56,1.36,1.87,0,0,0
0100124,2007,Abbeville,Alabama,2919.0,16.87,341.46,29.67,525.0,28178.0,84200.0,45.6,51.73,41.14,1.78,0.0,5.17,0.0,0.17,0.0,7.28,3.74,1.09,2.13,0,0,0
0100124,2008,Abbeville,Alabama,2919.0,16.87,346.09,29.67,525.0,28178.0,84200.0,45.6,51.73,41.14,1.78,0.0,5.17,0.0,0.17,0.0,6.38,3.64,1.05,1.84,0,0,0
0100124,2009,Abbeville,Alabama,2919.0,16.87,351.55,29.67,525.0,28178.0,84200.0,45.6,51.73,41.14,1.78,0.0,5.17,0.0,0.17,0.0,5.36,4.5,1.28,1.52,0,0,0
0100124,2010,Abbeville,Alabama,2688.0,16.6,355.23,34.45,469.0,26538.0,87800.0,38.0,53.68,41.29,3.05,0.07,0.78,0.0,1.12,0.0,5.25,5.25,1.48,1.48,0,0,0
0100124,2011,Abbeville,Alabama,2646.0,24.14,358.72,29.36,493.0,25615.0,71600.0,37.0,51.74,46.37,1.02,0.0,0.0,0.0,0.87,0.0,3.5,2.58,0.72,0.98,0,0,0
0100124,2012,Abbeville,Alabama,2646.0,24.14,359.48,29.36,493.0,25615.0,71600.0,37.0,51.74,46.37,1.02,0.0,0.0,0.0,0.87,0.0,3.44,0.86,0.24,0.96,0,0,0
0100124,2013,Abbeville,Alabama,2646.0,24.14,362.98,29.36,493.0,25615.0,71600.0,37.0,51.74,46.37,1.02,0.0,0.0,0.0,0.87,0.0,5.52,3.6,0.99,1.52,0,0,0
0100124,2014,Abbeville,Alabama,2646.0,24.14,365.52,29.36,493.0,25615.0,71600.0,37.0,51.74,46.37,1.02,0.0,0.0,0.0,0.87,0.0,0.96,0.96,0.26,0.26,0,0,0
0100124,2015,Abbeville,Alabama,2646.0,24.14,367.24,29.36,493.0,25615.0,71600.0,37.0,51.74,46.37,1.02,0.0,0.0,0.0,0.87,0.0,0.86,0.0,0.0,0.23,0,0,0
