GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
0400730,2000,Aguila,Arizona,,,40.37,,,,,,,,,,,,,,1.54,1.54,3.83,3.83,0,0,0
0400730,2001,Aguila,Arizona,,,40.59,,,,,,,,,,,,,,0.44,0.44,1.09,1.09,0,0,0
0400730,2002,Aguila,Arizona,,,40.81,,,,,,,,,,,,,,0.44,0.44,1.08,1.08,0,0,0
0400730,2003,Aguila,Arizona,,,40.81,,,,,,,,,,,,,,0.44,0.44,1.08,1.08,0,0,0
0400730,2004,Aguila,Arizona,,,41.03,,,,,,,,,,,,,,1.54,1.32,3.23,3.76,0,0,0
0400730,2005,Aguila,Arizona,,,41.25,,,,,,,,,,,,,,1.76,1.1,2.67,4.28,0,0,0
0400730,2006,Aguila,Arizona,,,,,,,,,,,,,,,,,,,,,0,0,0
0400730,2007,Aguila,Arizona,,,,,,,,,,,,,,,,,,,,,0,0,0
0400730,2008,Aguila,Arizona,,,,,,,,,,,,,,,,,,,,,0,0,0
0400730,2009,Aguila,Arizona,,,,,,,,,,,,,,,,,,,,,0,0,0
0400730,2010,Aguila,Arizona,798.0,23.64,,40.6,188.0,31429.0,104000.0,26.3,26.69,0.88,69.42,1.88,0.0,0.25,0.75,0.13,,,,,0,0,0
0400730,2011,Aguila,Arizona,1066.0,31.01,,27.13,413.0,26842.0,109500.0,28.9,3.75,1.69,94.09,0.47,0.0,0.0,0.0,0.0,,,,,0,0,0
0400730,2012,Aguila,Arizona,1066.0,31.01,,27.13,413.0,26842.0,109500.0,28.9,3.75,1.69,94.09,0.47,0.0,0.0,0.0,0.0,,,,,0,0,0
0400730,2013,Aguila,Arizona,1066.0,31.01,,27.13,413.0,26842.0,109500.0,28.9,3.75,1.69,94.09,0.47,0.0,0.0,0.0,0.0,,,,,0,0,0
0400730,2014,Aguila,Arizona,1066.0,31.01,,27.13,413.0,26842.0,109500.0,28.9,3.75,1.69,94.09,0.47,0.0,0.0,0.0,0.0,,,,,0,0,0
0400730,2015,Aguila,Arizona,1066.0,31.01,,27.13,413.0,26842.0,109500.0,28.9,3.75,1.69,94.09,0.47,0.0,0.0,0.0,0.0,,,,,0,0,0
0400730,2016,Aguila,Arizona,1066.0,31.01,,27.13,413.0,26842.0,109500.0,28.9,3.75,1.69,94.09,0.47,0.0,0.0,0.0,0.0,,,,,0,0,0
0400870,2000,Ajo,Arizona,3705.0,22.29,366.85,21.76,433.0,25618.0,63100.0,27.0,54.39,0.13,37.57,5.83,0.27,0.05,1.75,0.0,2.78,1.0,0.27,0.76,0,0,0
0400870,2001,Ajo,Arizona,3705.0,22.29,376.76,21.76,433.0,25618.0,63100.0,27.0,54.39,0.13,37.57,5.83,0.27,0.05,1.75,0.0,3.35,1.78,0.47,0.89,0,0,0
0400870,2002,Ajo,Arizona,3705.0,22.29,384.66,21.76,433.0,25618.0,63100.0,27.0,54.39,0.13,37.57,5.83,0.27,0.05,1.75,0.0,0.78,0.78,0.2,0.2,0,0,0
