GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
0800320,2000,Acres Green,Colorado,3205.0,0.74,,8.41,1216.0,66789.0,168100.0,23.4,89.92,0.62,5.4,0.37,2.0,0.0,1.65,0.03,,,,,0,0,0
0800320,2001,Acres Green,Colorado,3205.0,0.74,,8.41,1216.0,66789.0,168100.0,23.4,89.92,0.62,5.4,0.37,2.0,0.0,1.65,0.03,,,,,0,0,0
0800320,2002,Acres Green,Colorado,3205.0,0.74,,8.41,1216.0,66789.0,168100.0,23.4,89.92,0.62,5.4,0.37,2.0,0.0,1.65,0.03,,,,,0,0,0
0800320,2003,Acres Green,Colorado,3205.0,0.74,,8.41,1216.0,66789.0,168100.0,23.4,89.92,0.62,5.4,0.37,2.0,0.0,1.65,0.03,,,,,0,0,0
0800320,2004,Acres Green,Colorado,3205.0,0.74,,8.41,1216.0,66789.0,168100.0,23.4,89.92,0.62,5.4,0.37,2.0,0.0,1.65,0.03,,,,,0,0,0
0800320,2005,Acres Green,Colorado,3233.0,4.0,,9.73,1438.0,78000.0,232500.0,43.2,86.2,0.0,6.93,0.56,5.44,0.0,0.87,0.0,,,,,0,0,0
0800320,2006,Acres Green,Colorado,3233.0,4.0,,9.73,1438.0,78000.0,232500.0,43.2,86.2,0.0,6.93,0.56,5.44,0.0,0.87,0.0,,,,,0,0,0
0800320,2007,Acres Green,Colorado,3233.0,4.0,,9.73,1438.0,78000.0,232500.0,43.2,86.2,0.0,6.93,0.56,5.44,0.0,0.87,0.0,,,,,0,0,0
0800320,2008,Acres Green,Colorado,3233.0,4.0,,9.73,1438.0,78000.0,232500.0,43.2,86.2,0.0,6.93,0.56,5.44,0.0,0.87,0.0,,,,,0,0,0
0800320,2009,Acres Green,Colorado,3233.0,4.0,,9.73,1438.0,78000.0,232500.0,43.2,86.2,0.0,6.93,0.56,5.44,0.0,0.87,0.0,,,,,0,0,0
0800320,2010,Acres Green,Colorado,3007.0,2.9,312.71,11.56,1428.0,85369.0,232100.0,27.5,81.44,1.56,12.27,0.43,1.6,0.0,2.66,0.03,14.2,11.4,3.65,4.54,0,0,0
0800320,2011,Acres Green,Colorado,2921.0,3.5,,10.14,1448.0,84479.0,246600.0,19.3,79.56,0.79,10.82,0.0,5.61,0.1,3.12,0.0,,,,,0,0,0
0800320,2012,Acres Green,Colorado,2921.0,3.5,,10.14,1448.0,84479.0,246600.0,19.3,79.56,0.79,10.82,0.0,5.61,0.1,3.12,0.0,,,,,0,0,0
0800320,2013,Acres Green,Colorado,2921.0,3.5,,10.14,1448.0,84479.0,246600.0,19.3,79.56,0.79,10.82,0.0,5.61,0.1,3.12,0.0,,,,,0,0,0
0800320,2014,Acres Green,Colorado,2921.0,3.5,,10.14,1448.0,84479.0,246600.0,19.3,79.56,0.79,10.82,0.0,5.61,0.1,3.12,0.0,,,,,0,0,0
0800320,2015,Acres Green,Colorado,2921.0,3.5,352.52,10.14,1448.0,84479.0,246600.0,19.3,79.56,0.79,10.82,0.0,5.61,0.1,3.12,0.0,6.31,1.4,0.4,1.79,1,0,0
0800320,2016,Acres Green,Colorado,2921.0,3.5,360.82,10.14,1448.0,84479.0,246600.0,19.3,79.56,0.79,10.82,0.0,5.61,0.1,3.12,0.0,11.51,8.0,2.22,3.19,0,0,0
0800620,2000,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2001,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2002,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2003,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2004,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2005,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2006,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2007,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2008,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2009,Aetna Estates,Colorado,,,,,,,,,,,,,,,,,,,,,0,0,0
0800620,2010,Aetna Estates,Colorado,834.0,21.26,50.57,18.06,885.0,56696.0,18700.0,46.4,59.35,2.52,31.29,0.96,0.72,0.0,4.2,0.96,5.48,4.27,8.43,10.84,0,0,0
0800620,2011,Aetna Estates,Colorado,1165.0,18.04,55.45,51.01,879.0,55150.0,25300.0,40.6,30.56,0.0,64.38,0.0,0.0,0.0,5.06,0.0,31.68,6.7,12.09,57.14,0,0,0
0800620,2012,Aetna Estates,Colorado,1165.0,18.04,60.32,51.01,879.0,55150.0,25300.0,40.6,30.56,0.0,64.38,0.0,0.0,0.0,5.06,0.0,53.01,17.06,28.28,87.88,0,0,0
0800620,2013,Aetna Estates,Colorado,1165.0,18.04,65.2,51.01,879.0,55150.0,25300.0,40.6,30.56,0.0,64.38,0.0,0.0,0.0,5.06,0.0,38.39,5.48,8.41,58.88,1,0,0
0800620,2014,Aetna Estates,Colorado,1165.0,18.04,70.07,51.01,879.0,55150.0,25300.0,40.6,30.56,0.0,64.38,0.0,0.0,0.0,5.06,0.0,15.23,6.09,8.7,21.74,1,0,0
0800620,2015,Aetna Estates,Colorado,1165.0,18.04,74.95,51.01,879.0,55150.0,25300.0,40.6,30.56,0.0,64.38,0.0,0.0,0.0,5.06,0.0,49.35,20.72,27.64,65.85,1,0,0
0800620,2016,Aetna Estates,Colorado,1165.0,18.04,79.82,51.01,879.0,55150.0,25300.0,40.6,30.56,0.0,64.38,0.0,0.0,0.0,5.06,0.0,49.35,20.72,25.95,61.83,0,0,0
0800760,2000,Aguilar,Colorado,593.0,34.28,,24.28,308.0,23750.0,59800.0,21.7,50.25,0.0,46.54,2.02,0.0,0.0,1.01,0.17,,,,,0,0,0
0800760,2001,Aguilar,Colorado,593.0,34.28,,24.28,308.0,23750.0,59800.0,21.7,50.25,0.0,46.54,2.02,0.0,0.0,1.01,0.17,,,,,0,0,0
0800760,2002,Aguilar,Colorado,593.0,34.28,34.36,24.28,308.0,23750.0,59800.0,21.7,50.25,0.0,46.54,2.02,0.0,0.0,1.01,0.17,0.41,0.41,1.19,1.19,0,0,0
0800760,2003,Aguilar,Colorado,593.0,34.28,34.36,24.28,308.0,23750.0,59800.0,21.7,50.25,0.0,46.54,2.02,0.0,0.0,1.01,0.17,0.0,0.0,0.0,0.0,0,0,0
0800760,2004,Aguilar,Colorado,593.0,34.28,34.77,24.28,308.0,23750.0,59800.0,21.7,50.25,0.0,46.54,2.02,0.0,0.0,1.01,0.17,0.41,0.0,0.0,1.18,0,0,0
0800760,2005,Aguilar,Colorado,538.0,8.11,35.18,28.12,525.0,34079.0,83900.0,23.4,45.54,5.76,29.0,19.7,0.0,0.0,0.0,0.0,0.82,0.82,2.33,2.33,0,0,0
0800760,2006,Aguilar,Colorado,538.0,8.11,35.59,28.12,525.0,34079.0,83900.0,23.4,45.54,5.76,29.0,19.7,0.0,0.0,0.0,0.0,0.41,0.41,1.15,1.15,0,0,0
0800760,2007,Aguilar,Colorado,538.0,8.11,35.99,28.12,525.0,34079.0,83900.0,23.4,45.54,5.76,29.0,19.7,0.0,0.0,0.0,0.0,0.41,0.41,1.14,1.14,0,0,0
0800760,2008,Aguilar,Colorado,538.0,8.11,35.99,28.12,525.0,34079.0,83900.0,23.4,45.54,5.76,29.0,19.7,0.0,0.0,0.0,0.0,0.41,0.41,1.14,1.14,0,0,0
0800760,2009,Aguilar,Colorado,538.0,8.11,36.4,28.12,525.0,34079.0,83900.0,23.4,45.54,5.76,29.0,19.7,0.0,0.0,0.0,0.0,0.82,0.82,2.25,2.25,0,0,0
0800760,2010,Aguilar,Colorado,538.0,4.38,36.81,26.18,610.0,34500.0,86700.0,29.0,50.0,0.19,46.1,1.67,0.0,0.0,1.86,0.19,0.0,0.0,0.0,0.0,0,0,0
0800760,2011,Aguilar,Colorado,660.0,5.71,37.22,45.42,646.0,36701.0,108800.0,30.8,45.15,0.0,52.12,0.0,0.0,0.0,2.73,0.0,0.41,0.41,1.1,1.1,0,0,0
0800760,2012,Aguilar,Colorado,660.0,5.71,,45.42,646.0,36701.0,108800.0,30.8,45.15,0.0,52.12,0.0,0.0,0.0,2.73,0.0,,,,,0,0,0
0800760,2013,Aguilar,Colorado,660.0,5.71,,45.42,646.0,36701.0,108800.0,30.8,45.15,0.0,52.12,0.0,0.0,0.0,2.73,0.0,,,,,0,0,0
0800760,2014,Aguilar,Colorado,660.0,5.71,,45.42,646.0,36701.0,108800.0,30.8,45.15,0.0,52.12,0.0,0.0,0.0,2.73,0.0,,,,,0,0,0
0800760,2015,Aguilar,Colorado,660.0,5.71,,45.42,646.0,36701.0,108800.0,30.8,45.15,0.0,52.12,0.0,0.0,0.0,2.73,0.0,,,,,0,0,0
0800760,2016,Aguilar,Colorado,660.0,5.71,40.08,45.42,646.0,36701.0,108800.0,30.8,45.15,0.0,52.12,0.0,0.0,0.0,2.73,0.0,0.41,0.0,0.0,1.02,0,0,0
0800870,2000,Air Force Academy,Colorado,7526.0,2.76,475.0,98.32,843.0,43417.0,201900.0,19.3,79.25,5.61,8.69,0.72,2.75,0.25,2.59,0.15,5.0,2.0,0.42,1.05,0,0,0
0800870,2001,Air Force Academy,Colorado,7526.0,2.76,,98.32,843.0,43417.0,201900.0,19.3,79.25,5.61,8.69,0.72,2.75,0.25,2.59,0.15,,,,,0,0,0
0800870,2002,Air Force Academy,Colorado,7526.0,2.76,,98.32,843.0,43417.0,201900.0,19.3,79.25,5.61,8.69,0.72,2.75,0.25,2.59,0.15,,,,,0,0,0
0800870,2003,Air Force Academy,Colorado,7526.0,2.76,,98.32,843.0,43417.0,201900.0,19.3,79.25,5.61,8.69,0.72,2.75,0.25,2.59,0.15,,,,,0,0,0
0800870,2004,Air Force Academy,Colorado,7526.0,2.76,,98.32,843.0,43417.0,201900.0,19.3,79.25,5.61,8.69,0.72,2.75,0.25,2.59,0.15,,,,,0,0,0
0800870,2005,Air Force Academy,Colorado,7451.0,2.55,502.0,100.0,1165.0,70882.0,,19.3,82.0,3.77,5.73,0.72,4.05,0.19,3.53,0.0,3.0,3.0,0.6,0.6,1,0,0
0800870,2006,Air Force Academy,Colorado,7451.0,2.55,506.0,100.0,1165.0,70882.0,,19.3,82.0,3.77,5.73,0.72,4.05,0.19,3.53,0.0,6.0,4.0,0.79,1.19,1,0,0
0800870,2007,Air Force Academy,Colorado,7451.0,2.55,512.0,100.0,1165.0,70882.0,,19.3,82.0,3.77,5.73,0.72,4.05,0.19,3.53,0.0,2.0,1.0,0.2,0.39,1,0,0
0800870,2008,Air Force Academy,Colorado,7451.0,2.55,517.0,100.0,1165.0,70882.0,,19.3,82.0,3.77,5.73,0.72,4.05,0.19,3.53,0.0,2.0,2.0,0.39,0.39,1,0,0
0800870,2009,Air Force Academy,Colorado,7451.0,2.55,,100.0,1165.0,70882.0,,19.3,82.0,3.77,5.73,0.72,4.05,0.19,3.53,0.0,,,,,0,0,0
0800870,2010,Air Force Academy,Colorado,6680.0,7.78,,99.25,1224.0,80875.0,,20.2,72.87,5.63,11.21,0.36,3.73,0.36,5.72,0.12,,,,,0,0,0
0800870,2011,Air Force Academy,Colorado,5864.0,3.37,,100.0,1467.0,65795.0,,26.1,74.45,9.06,9.55,0.34,2.76,1.19,2.64,0.0,,,,,0,0,0
0800870,2012,Air Force Academy,Colorado,5864.0,3.37,,100.0,1467.0,65795.0,,26.1,74.45,9.06,9.55,0.34,2.76,1.19,2.64,0.0,,,,,0,0,0
0800870,2013,Air Force Academy,Colorado,5864.0,3.37,,100.0,1467.0,65795.0,,26.1,74.45,9.06,9.55,0.34,2.76,1.19,2.64,0.0,,,,,0,0,0
0800870,2014,Air Force Academy,Colorado,5864.0,3.37,,100.0,1467.0,65795.0,,26.1,74.45,9.06,9.55,0.34,2.76,1.19,2.64,0.0,,,,,0,0,0
0800870,2015,Air Force Academy,Colorado,5864.0,3.37,,100.0,1467.0,65795.0,,26.1,74.45,9.06,9.55,0.34,2.76,1.19,2.64,0.0,,,,,0,0,0
