GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
1150000,2000,Washington,District of Columbia,572059.0,20.22,,59.24,618.0,40127.0,157200.0,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,,,,,0,0,0
1150000,2001,Washington,District of Columbia,572059.0,20.22,,59.24,618.0,40127.0,157200.0,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,,,,,0,0,0
1150000,2002,Washington,District of Columbia,572059.0,20.22,,59.24,618.0,40127.0,157200.0,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,,,,,0,0,0
1150000,2003,Washington,District of Columbia,572059.0,20.22,,59.24,618.0,40127.0,157200.0,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,,,,,0,0,0
1150000,2004,Washington,District of Columbia,572059.0,20.22,,59.24,618.0,40127.0,157200.0,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,,,,,0,0,0
1150000,2005,Washington,District of Columbia,588433.0,14.9,,54.9,971.0,56519.0,440500.0,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,,,,,0,0,0
1150000,2006,Washington,District of Columbia,588433.0,14.9,151647.0,54.9,971.0,56519.0,440500.0,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,45213.0,1336.0,0.88,29.81,0,0,0
1150000,2007,Washington,District of Columbia,588433.0,14.9,152409.0,54.9,971.0,56519.0,440500.0,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,45256.0,1048.0,0.69,29.69,0,0,0
1150000,2008,Washington,District of Columbia,588433.0,14.9,153153.0,54.9,971.0,56519.0,440500.0,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,43502.0,1466.0,0.96,28.4,0,0,0
1150000,2009,Washington,District of Columbia,588433.0,14.9,153925.0,54.9,971.0,56519.0,440500.0,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,37286.0,1503.0,0.98,24.22,0,0,0
1150000,2010,Washington,District of Columbia,601723.0,14.19,154652.0,57.99,1200.0,64267.0,443000.0,29.6,34.81,50.03,9.1,0.22,3.46,0.04,2.1,0.24,32473.0,1572.0,1.02,21.0,0,0,0
1150000,2011,Washington,District of Columbia,647484.0,14.33,158102.0,58.76,1327.0,70848.0,475800.0,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,30733.0,1484.0,0.94,19.44,1,0,0
1150000,2012,Washington,District of Columbia,647484.0,14.33,161467.0,58.76,1327.0,70848.0,475800.0,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,29121.0,1531.0,0.95,18.04,1,0,0
1150000,2013,Washington,District of Columbia,647484.0,14.33,,58.76,1327.0,70848.0,475800.0,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,,,,,0,0,0
1150000,2014,Washington,District of Columbia,647484.0,14.33,,58.76,1327.0,70848.0,475800.0,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,,,,,0,0,0
1150000,2015,Washington,District of Columbia,647484.0,14.33,,58.76,1327.0,70848.0,475800.0,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,,,,,0,0,0
1150000,2016,Washington,District of Columbia,647484.0,14.33,175121.0,58.76,1327.0,70848.0,475800.0,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,27434.0,4537.0,2.59,15.67,1,0,0
