GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
1001400,2000,Arden,Delaware,474.0,2.07,46.87,24.45,825.0,56731.0,174000.0,22.9,92.83,0.84,2.32,0.42,1.69,0.0,1.9,0.0,1.2,1.2,2.56,2.56,0,0,0
1001400,2001,Arden,Delaware,474.0,2.07,47.96,24.45,825.0,56731.0,174000.0,22.9,92.83,0.84,2.32,0.42,1.69,0.0,1.9,0.0,1.69,1.69,3.52,3.52,0,0,0
1001400,2002,Arden,Delaware,474.0,2.07,49.54,24.45,825.0,56731.0,174000.0,22.9,92.83,0.84,2.32,0.42,1.69,0.0,1.9,0.0,1.2,1.2,2.42,2.42,0,0,0
1001400,2003,Arden,Delaware,474.0,2.07,50.63,24.45,825.0,56731.0,174000.0,22.9,92.83,0.84,2.32,0.42,1.69,0.0,1.9,0.0,0.76,0.71,1.4,1.5,0,0,0
1001400,2004,Arden,Delaware,474.0,2.07,52.26,24.45,825.0,56731.0,174000.0,22.9,92.83,0.84,2.32,0.42,1.69,0.0,1.9,0.0,0.05,0.05,0.1,0.1,1,0,0
1001400,2005,Arden,Delaware,543.0,0.0,53.35,21.54,1031.0,78452.0,339400.0,21.4,84.53,2.21,5.16,0.0,1.66,0.0,6.45,0.0,0.71,0.71,1.33,1.33,0,0,0
1001400,2006,Arden,Delaware,543.0,0.0,54.38,21.54,1031.0,78452.0,339400.0,21.4,84.53,2.21,5.16,0.0,1.66,0.0,6.45,0.0,0.54,0.54,1.0,1.0,1,0,0
1001400,2007,Arden,Delaware,543.0,0.0,56.02,21.54,1031.0,78452.0,339400.0,21.4,84.53,2.21,5.16,0.0,1.66,0.0,6.45,0.0,1.41,1.36,2.43,2.53,1,0,0
1001400,2008,Arden,Delaware,543.0,0.0,57.11,21.54,1031.0,78452.0,339400.0,21.4,84.53,2.21,5.16,0.0,1.66,0.0,6.45,0.0,0.05,0.05,0.1,0.1,1,0,0
1001400,2009,Arden,Delaware,543.0,0.0,58.68,21.54,1031.0,78452.0,339400.0,21.4,84.53,2.21,5.16,0.0,1.66,0.0,6.45,0.0,3.16,0.71,1.21,5.38,0,0,0
1001400,2010,Arden,Delaware,439.0,1.75,59.77,29.86,1035.0,74861.0,339200.0,28.8,96.13,1.14,0.91,0.46,0.23,0.0,0.91,0.23,0.16,0.05,0.09,0.27,0,0,0
1001400,2011,Arden,Delaware,538.0,0.0,60.97,38.67,1130.0,80278.0,319000.0,24.1,91.45,1.67,0.74,0.0,1.3,0.0,4.83,0.0,1.41,1.25,2.05,2.32,0,0,0
1001400,2012,Arden,Delaware,538.0,0.0,61.57,38.67,1130.0,80278.0,319000.0,24.1,91.45,1.67,0.74,0.0,1.3,0.0,4.83,0.0,1.69,1.14,1.86,2.74,0,0,0
1001400,2013,Arden,Delaware,538.0,0.0,62.77,38.67,1130.0,80278.0,319000.0,24.1,91.45,1.67,0.74,0.0,1.3,0.0,4.83,0.0,1.2,0.54,0.87,1.91,0,0,0
