GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
1200075,2000,Acacia Villas,Florida,,,58.79,,,,,,,,,,,,,,14.44,1.38,2.35,24.57,0,0,0
1200075,2001,Acacia Villas,Florida,,,57.84,,,,,,,,,,,,,,17.0,5.7,9.86,29.39,0,0,0
1200075,2002,Acacia Villas,Florida,,,56.89,,,,,,,,,,,,,,24.65,9.98,17.55,43.33,0,0,0
1200075,2003,Acacia Villas,Florida,,,55.94,,,,,,,,,,,,,,11.95,3.74,6.68,21.36,0,0,0
1200075,2004,Acacia Villas,Florida,,,54.99,,,,,,,,,,,,,,17.94,9.9,18.0,32.61,1,0,0
1200075,2005,Acacia Villas,Florida,,,54.05,,,,,,,,,,,,,,12.38,5.24,9.7,22.91,0,0,0
1200075,2006,Acacia Villas,Florida,,,53.1,,,,,,,,,,,,,,10.72,4.63,8.72,20.19,0,0,0
1200075,2007,Acacia Villas,Florida,,,52.15,,,,,,,,,,,,,,17.85,9.23,17.71,34.23,0,0,0
1200075,2008,Acacia Villas,Florida,,,51.2,,,,,,,,,,,,,,19.23,10.92,21.33,37.57,1,0,0
1200075,2009,Acacia Villas,Florida,,,50.26,,,,,,,,,,,,,,45.63,17.95,35.72,90.79,0,0,0
1200075,2010,Acacia Villas,Florida,427.0,0.0,49.31,53.97,981.0,34449.0,34600.0,36.0,23.19,8.67,63.23,0.0,3.75,0.0,0.94,0.23,14.38,4.2,8.51,29.16,0,0,0
1200075,2011,Acacia Villas,Florida,375.0,32.14,51.49,61.61,,33564.0,,,13.87,27.47,58.67,0.0,0.0,0.0,0.0,0.0,16.05,5.91,11.48,31.17,0,0,0
1200075,2012,Acacia Villas,Florida,375.0,32.14,53.5,61.61,,33564.0,,,13.87,27.47,58.67,0.0,0.0,0.0,0.0,0.0,12.97,3.53,6.6,24.25,0,0,0
1200075,2013,Acacia Villas,Florida,375.0,32.14,55.68,61.61,,33564.0,,,13.87,27.47,58.67,0.0,0.0,0.0,0.0,0.0,11.45,2.72,4.88,20.56,0,0,0
1200075,2014,Acacia Villas,Florida,375.0,32.14,57.86,61.61,,33564.0,,,13.87,27.47,58.67,0.0,0.0,0.0,0.0,0.0,6.91,1.74,3.01,11.95,0,0,0
1200075,2015,Acacia Villas,Florida,375.0,32.14,59.87,61.61,,33564.0,,,13.87,27.47,58.67,0.0,0.0,0.0,0.0,0.0,3.72,1.13,1.88,6.21,0,0,0
1200075,2016,Acacia Villas,Florida,375.0,32.14,62.05,61.61,,33564.0,,,13.87,27.47,58.67,0.0,0.0,0.0,0.0,0.0,5.14,2.8,4.51,8.28,0,0,0
1200375,2000,Alachua,Florida,6098.0,15.96,510.22,23.38,413.0,38075.0,91700.0,26.9,65.28,28.8,3.61,0.15,1.1,0.0,0.82,0.25,3.84,3.84,0.75,0.75,1,0,0
