GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
1500400,2000,Ahuimanu,Hawaii,8506.0,3.86,630.19,22.89,1071.0,71732.0,270200.0,28.0,20.74,0.79,8.12,0.14,34.27,9.11,26.71,0.12,2.51,2.51,0.4,0.4,1,0,0
1500400,2001,Ahuimanu,Hawaii,8506.0,3.86,,22.89,1071.0,71732.0,270200.0,28.0,20.74,0.79,8.12,0.14,34.27,9.11,26.71,0.12,,,,,0,0,0
1500400,2002,Ahuimanu,Hawaii,8506.0,3.86,,22.89,1071.0,71732.0,270200.0,28.0,20.74,0.79,8.12,0.14,34.27,9.11,26.71,0.12,,,,,0,0,0
1500400,2003,Ahuimanu,Hawaii,8506.0,3.86,,22.89,1071.0,71732.0,270200.0,28.0,20.74,0.79,8.12,0.14,34.27,9.11,26.71,0.12,,,,,0,0,0
1500400,2004,Ahuimanu,Hawaii,8506.0,3.86,,22.89,1071.0,71732.0,270200.0,28.0,20.74,0.79,8.12,0.14,34.27,9.11,26.71,0.12,,,,,0,0,0
1500400,2005,Ahuimanu,Hawaii,8953.0,3.02,,15.37,1803.0,110070.0,540600.0,29.5,26.65,0.61,10.06,0.0,28.53,8.8,25.34,0.0,,,,,0,0,0
1500400,2006,Ahuimanu,Hawaii,8953.0,3.02,,15.37,1803.0,110070.0,540600.0,29.5,26.65,0.61,10.06,0.0,28.53,8.8,25.34,0.0,,,,,0,0,0
1500400,2007,Ahuimanu,Hawaii,8953.0,3.02,,15.37,1803.0,110070.0,540600.0,29.5,26.65,0.61,10.06,0.0,28.53,8.8,25.34,0.0,,,,,0,0,0
1500400,2008,Ahuimanu,Hawaii,8953.0,3.02,,15.37,1803.0,110070.0,540600.0,29.5,26.65,0.61,10.06,0.0,28.53,8.8,25.34,0.0,,,,,0,0,0
1500400,2009,Ahuimanu,Hawaii,8953.0,3.02,565.04,15.37,1803.0,110070.0,540600.0,29.5,26.65,0.61,10.06,0.0,28.53,8.8,25.34,0.0,3.67,3.67,0.65,0.65,1,0,0
1500400,2010,Ahuimanu,Hawaii,8810.0,4.53,,19.89,1909.0,100159.0,567100.0,46.9,20.31,0.66,9.44,0.06,30.4,8.98,30.09,0.07,,,,,0,0,0
1500400,2011,Ahuimanu,Hawaii,8354.0,5.88,,24.62,1784.0,93341.0,579600.0,29.0,18.76,0.63,15.24,0.0,32.33,3.39,29.65,0.0,,,,,0,0,0
1500400,2012,Ahuimanu,Hawaii,8354.0,5.88,,24.62,1784.0,93341.0,579600.0,29.0,18.76,0.63,15.24,0.0,32.33,3.39,29.65,0.0,,,,,0,0,0
1500400,2013,Ahuimanu,Hawaii,8354.0,5.88,565.54,24.62,1784.0,93341.0,579600.0,29.0,18.76,0.63,15.24,0.0,32.33,3.39,29.65,0.0,0.34,0.34,0.06,0.06,1,0,0
1500400,2014,Ahuimanu,Hawaii,8354.0,5.88,566.21,24.62,1784.0,93341.0,579600.0,29.0,18.76,0.63,15.24,0.0,32.33,3.39,29.65,0.0,5.2,4.86,0.86,0.92,1,0,0
1500400,2015,Ahuimanu,Hawaii,8354.0,5.88,,24.62,1784.0,93341.0,579600.0,29.0,18.76,0.63,15.24,0.0,32.33,3.39,29.65,0.0,,,,,0,0,0
