GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
1900190,2000,Ackley,Iowa,1809.0,8.31,151.4,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,0.0,0.0,0.0,0.0,1,0,0
1900190,2001,Ackley,Iowa,1809.0,8.31,148.98,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,0.61,0.0,0.0,0.41,0,0,0
1900190,2002,Ackley,Iowa,1809.0,8.31,148.22,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,1.6,1.6,1.08,1.08,0,0,0
1900190,2003,Ackley,Iowa,1809.0,8.31,145.8,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,0.61,0.61,0.42,0.42,0,0,0
1900190,2004,Ackley,Iowa,1809.0,8.31,143.38,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,0.05,0.05,0.04,0.04,0,0,0
1900190,2005,Ackley,Iowa,1773.0,7.41,142.62,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,0.66,0.66,0.46,0.46,0,0,0
1900190,2006,Ackley,Iowa,1773.0,7.41,140.2,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,0.66,0.66,0.47,0.47,0,0,0
1900190,2007,Ackley,Iowa,1773.0,7.41,137.78,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,0.05,0.05,0.04,0.04,0,0,0
1900190,2008,Ackley,Iowa,1773.0,7.41,135.37,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,2.69,2.69,1.99,1.99,0,0,0
1900190,2009,Ackley,Iowa,1773.0,7.41,134.6,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,2.13,2.13,1.59,1.59,0,0,0
1900190,2010,Ackley,Iowa,1589.0,9.65,132.18,18.31,435.0,42292.0,80100.0,24.6,90.75,0.06,8.81,0.06,0.0,0.0,0.31,0.0,2.26,1.6,1.21,1.71,0,0,0
1900190,2011,Ackley,Iowa,1706.0,6.36,133.22,21.6,460.0,44063.0,73600.0,19.1,95.02,0.0,4.28,0.0,0.0,0.0,0.7,0.0,1.6,0.61,0.46,1.2,0,0,0
1900190,2012,Ackley,Iowa,1706.0,6.36,134.65,21.6,460.0,44063.0,73600.0,19.1,95.02,0.0,4.28,0.0,0.0,0.0,0.7,0.0,1.04,0.0,0.0,0.77,0,0,0
1900190,2013,Ackley,Iowa,1706.0,6.36,135.69,21.6,460.0,44063.0,73600.0,19.1,95.02,0.0,4.28,0.0,0.0,0.0,0.7,0.0,1.65,1.6,1.18,1.22,0,0,0
1900190,2014,Ackley,Iowa,1706.0,6.36,136.68,21.6,460.0,44063.0,73600.0,19.1,95.02,0.0,4.28,0.0,0.0,0.0,0.7,0.0,0.05,0.0,0.0,0.04,0,0,0
1900190,2015,Ackley,Iowa,1706.0,6.36,138.1,21.6,460.0,44063.0,73600.0,19.1,95.02,0.0,4.28,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0,0,0
1900190,2016,Ackley,Iowa,1706.0,6.36,139.14,21.6,460.0,44063.0,73600.0,19.1,95.02,0.0,4.28,0.0,0.0,0.0,0.7,0.0,2.21,1.22,0.88,1.59,0,0,0
1900235,2000,Ackworth,Iowa,85.0,6.49,,6.45,425.0,32500.0,60000.0,17.5,98.82,0.0,1.18,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
1900235,2001,Ackworth,Iowa,85.0,6.49,,6.45,425.0,32500.0,60000.0,17.5,98.82,0.0,1.18,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
