GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
1800140,2000,Aberdeen,Indiana,,,12.43,,,,,,,,,,,,,,1.86,0.06,0.51,14.97,0,0,0
1800140,2001,Aberdeen,Indiana,,,23.88,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
1800140,2002,Aberdeen,Indiana,,,35.86,,,,,,,,,,,,,,1.2,1.2,3.35,3.35,0,0,0
1800140,2003,Aberdeen,Indiana,,,47.31,,,,,,,,,,,,,,4.19,1.8,3.8,8.86,0,0,0
1800140,2004,Aberdeen,Indiana,,,58.76,,,,,,,,,,,,,,23.35,3.69,6.29,39.73,0,0,0
1800140,2005,Aberdeen,Indiana,,,70.81,,,,,,,,,,,,,,34.0,5.97,8.44,48.02,0,0,0
1800140,2006,Aberdeen,Indiana,,,82.19,,,,,,,,,,,,,,22.73,8.43,10.26,27.66,0,0,0
1800140,2007,Aberdeen,Indiana,,,93.64,,,,,,,,,,,,,,16.21,5.51,5.88,17.31,0,0,0
1800140,2008,Aberdeen,Indiana,,,105.09,,,,,,,,,,,,,,3.71,1.33,1.26,3.53,0,0,0
1800140,2009,Aberdeen,Indiana,,,117.06,,,,,,,,,,,,,,6.68,3.64,3.11,5.71,0,0,0
1800140,2010,Aberdeen,Indiana,1875.0,4.86,128.52,24.86,1317.0,100278.0,303200.0,21.9,87.57,2.88,5.39,0.0,2.61,0.0,1.44,0.11,6.68,4.24,3.3,5.2,0,0,0
1800140,2011,Aberdeen,Indiana,1756.0,0.0,132.17,27.85,1192.0,105550.0,315000.0,16.4,89.81,0.4,5.98,0.74,3.08,0.0,0.0,0.0,4.9,1.78,1.35,3.71,0,0,0
1800140,2012,Aberdeen,Indiana,1756.0,0.0,135.83,27.85,1192.0,105550.0,315000.0,16.4,89.81,0.4,5.98,0.74,3.08,0.0,0.0,0.0,4.39,2.99,2.2,3.23,0,0,0
1800140,2013,Aberdeen,Indiana,1756.0,0.0,139.57,27.85,1192.0,105550.0,315000.0,16.4,89.81,0.4,5.98,0.74,3.08,0.0,0.0,0.0,2.39,0.61,0.44,1.71,0,0,0
1800140,2014,Aberdeen,Indiana,1756.0,0.0,143.22,27.85,1192.0,105550.0,315000.0,16.4,89.81,0.4,5.98,0.74,3.08,0.0,0.0,0.0,3.57,1.19,0.83,2.49,0,0,0
1800140,2015,Aberdeen,Indiana,1756.0,0.0,146.88,27.85,1192.0,105550.0,315000.0,16.4,89.81,0.4,5.98,0.74,3.08,0.0,0.0,0.0,3.67,2.46,1.67,2.5,0,0,0
1800140,2016,Aberdeen,Indiana,1756.0,0.0,150.54,27.85,1192.0,105550.0,315000.0,16.4,89.81,0.4,5.98,0.74,3.08,0.0,0.0,0.0,1.85,1.78,1.19,1.23,0,0,0
1800640,2000,Advance,Indiana,562.0,6.93,,22.4,617.0,45000.0,83300.0,19.5,98.75,0.0,1.25,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
1800640,2001,Advance,Indiana,562.0,6.93,27.54,22.4,617.0,45000.0,83300.0,19.5,98.75,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.95,0,0,0
