GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
2000100,2000,Abbyville,Kansas,128.0,5.56,,10.64,0.0,43750.0,24200.0,0.0,97.66,0.0,0.0,0.0,0.0,0.0,2.34,0.0,,,,,0,0,0
2000100,2001,Abbyville,Kansas,128.0,5.56,,10.64,0.0,43750.0,24200.0,0.0,97.66,0.0,0.0,0.0,0.0,0.0,2.34,0.0,,,,,0,0,0
2000100,2002,Abbyville,Kansas,128.0,5.56,7.26,10.64,0.0,43750.0,24200.0,0.0,97.66,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,1,0,0
2000100,2003,Abbyville,Kansas,128.0,5.56,7.26,10.64,0.0,43750.0,24200.0,0.0,97.66,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,1,0,0
2000100,2004,Abbyville,Kansas,128.0,5.56,7.26,10.64,0.0,43750.0,24200.0,0.0,97.66,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.15,0.15,2.04,2.04,1,0,0
2000100,2005,Abbyville,Kansas,64.0,0.0,7.26,10.0,,44167.0,49200.0,,95.31,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.3,0.3,4.08,4.08,1,0,0
2000100,2006,Abbyville,Kansas,64.0,0.0,7.12,10.0,,44167.0,49200.0,,95.31,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,1,0,0
2000100,2007,Abbyville,Kansas,64.0,0.0,7.12,10.0,,44167.0,49200.0,,95.31,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,1,0,0
2000100,2008,Abbyville,Kansas,64.0,0.0,7.12,10.0,,44167.0,49200.0,,95.31,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,1,0,0
2000100,2009,Abbyville,Kansas,64.0,0.0,7.12,10.0,,44167.0,49200.0,,95.31,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.15,0.15,2.08,2.08,1,0,0
2000100,2010,Abbyville,Kansas,87.0,0.0,7.12,23.81,294.0,38125.0,40000.0,14.4,96.55,0.0,1.15,1.15,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0,0,0
2000100,2011,Abbyville,Kansas,92.0,0.0,7.26,25.0,,42500.0,40000.0,14.5,96.74,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2000100,2012,Abbyville,Kansas,92.0,0.0,7.26,25.0,,42500.0,40000.0,14.5,96.74,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.3,0.15,2.04,4.08,1,0,0
2000100,2013,Abbyville,Kansas,92.0,0.0,7.41,25.0,,42500.0,40000.0,14.5,96.74,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2000100,2014,Abbyville,Kansas,92.0,0.0,7.41,25.0,,42500.0,40000.0,14.5,96.74,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2000100,2015,Abbyville,Kansas,92.0,0.0,7.56,25.0,,42500.0,40000.0,14.5,96.74,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.15,0.0,0.0,1.96,1,0,0
2000100,2016,Abbyville,Kansas,92.0,0.0,7.56,25.0,,42500.0,40000.0,14.5,96.74,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2000125,2000,Abilene,Kansas,6543.0,7.29,839.76,31.24,395.0,33778.0,65800.0,21.0,93.98,0.83,2.72,0.5,0.38,0.0,1.53,0.06,0.0,0.0,0.0,0.0,1,0,0
2000125,2001,Abilene,Kansas,6543.0,7.29,848.39,31.24,395.0,33778.0,65800.0,21.0,93.98,0.83,2.72,0.5,0.38,0.0,1.53,0.06,2.93,2.93,0.35,0.35,1,0,0
2000125,2002,Abilene,Kansas,6543.0,7.29,854.63,31.24,395.0,33778.0,65800.0,21.0,93.98,0.83,2.72,0.5,0.38,0.0,1.53,0.06,1.0,1.0,0.12,0.12,1,0,0
2000125,2003,Abilene,Kansas,6543.0,7.29,865.05,31.24,395.0,33778.0,65800.0,21.0,93.98,0.83,2.72,0.5,0.38,0.0,1.53,0.06,2.32,2.32,0.27,0.27,1,0,0
2000125,2004,Abilene,Kansas,6543.0,7.29,872.22,31.24,395.0,33778.0,65800.0,21.0,93.98,0.83,2.72,0.5,0.38,0.0,1.53,0.06,4.8,4.8,0.55,0.55,0,0,0
2000125,2005,Abilene,Kansas,6303.0,5.16,880.91,31.12,534.0,46277.0,106800.0,24.4,91.8,0.4,4.3,0.87,0.13,0.0,2.51,0.0,6.27,5.32,0.6,0.71,0,0,0
2000125,2006,Abilene,Kansas,6303.0,5.16,886.59,31.12,534.0,46277.0,106800.0,24.4,91.8,0.4,4.3,0.87,0.13,0.0,2.51,0.0,6.27,6.27,0.71,0.71,0,0,0
2000125,2007,Abilene,Kansas,6303.0,5.16,895.71,31.12,534.0,46277.0,106800.0,24.4,91.8,0.4,4.3,0.87,0.13,0.0,2.51,0.0,12.48,12.48,1.39,1.39,0,0,0
2000125,2008,Abilene,Kansas,6303.0,5.16,904.18,31.12,534.0,46277.0,106800.0,24.4,91.8,0.4,4.3,0.87,0.13,0.0,2.51,0.0,9.53,9.53,1.05,1.05,1,0,0
2000125,2009,Abilene,Kansas,6303.0,5.16,912.37,31.12,534.0,46277.0,106800.0,24.4,91.8,0.4,4.3,0.87,0.13,0.0,2.51,0.0,7.65,7.65,0.84,0.84,1,0,0
2000125,2010,Abilene,Kansas,6844.0,6.56,919.05,33.53,567.0,52240.0,114400.0,23.1,91.66,0.82,4.68,0.35,0.25,0.0,2.15,0.1,10.29,10.29,1.12,1.12,1,0,0
2000125,2011,Abilene,Kansas,6671.0,5.81,927.79,32.31,567.0,49813.0,116800.0,27.8,93.67,0.72,4.12,0.03,0.03,0.0,1.42,0.0,6.01,6.01,0.65,0.65,1,0,0
2000125,2012,Abilene,Kansas,6671.0,5.81,933.2,32.31,567.0,49813.0,116800.0,27.8,93.67,0.72,4.12,0.03,0.03,0.0,1.42,0.0,1.0,1.0,0.11,0.11,1,0,0
2000125,2013,Abilene,Kansas,6671.0,5.81,942.02,32.31,567.0,49813.0,116800.0,27.8,93.67,0.72,4.12,0.03,0.03,0.0,1.42,0.0,1.99,1.99,0.21,0.21,1,0,0
2000125,2014,Abilene,Kansas,6671.0,5.81,947.97,32.31,567.0,49813.0,116800.0,27.8,93.67,0.72,4.12,0.03,0.03,0.0,1.42,0.0,4.78,4.78,0.5,0.5,1,0,0
2000125,2015,Abilene,Kansas,6671.0,5.81,955.21,32.31,567.0,49813.0,116800.0,27.8,93.67,0.72,4.12,0.03,0.03,0.0,1.42,0.0,7.96,5.92,0.62,0.83,1,0,0
2000125,2016,Abilene,Kansas,6671.0,5.81,962.12,32.31,567.0,49813.0,116800.0,27.8,93.67,0.72,4.12,0.03,0.03,0.0,1.42,0.0,19.67,14.57,1.51,2.04,0,0,0
2000225,2000,Ada,Kansas,,,7.01,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2000225,2001,Ada,Kansas,,,7.01,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2000225,2002,Ada,Kansas,,,6.88,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2000225,2003,Ada,Kansas,,,6.88,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2000225,2004,Ada,Kansas,,,6.75,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2000225,2005,Ada,Kansas,,,6.75,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2000225,2006,Ada,Kansas,,,6.61,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2000225,2007,Ada,Kansas,,,6.61,,,,,,,,,,,,,,0.13,0.13,2.0,2.0,0,0,0
2000225,2008,Ada,Kansas,,,6.48,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2000225,2009,Ada,Kansas,,,6.48,,,,,,,,,,,,,,0.26,0.26,4.08,4.08,0,0,0
2000225,2010,Ada,Kansas,100.0,0.0,6.35,17.78,,65417.0,52200.0,,94.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
