GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
2100298,2000,Adairville,Kentucky,920.0,13.88,97.74,31.41,351.0,27266.0,56000.0,18.9,77.5,18.7,2.61,0.43,0.0,0.0,0.43,0.33,0.0,0.0,0.0,0.0,0,0,0
2100298,2001,Adairville,Kentucky,920.0,13.88,98.47,31.41,351.0,27266.0,56000.0,18.9,77.5,18.7,2.61,0.43,0.0,0.0,0.43,0.33,0.32,0.32,0.32,0.32,0,0,0
2100298,2002,Adairville,Kentucky,920.0,13.88,99.2,31.41,351.0,27266.0,56000.0,18.9,77.5,18.7,2.61,0.43,0.0,0.0,0.43,0.33,1.41,1.41,1.42,1.42,0,0,0
2100298,2003,Adairville,Kentucky,920.0,13.88,99.61,31.41,351.0,27266.0,56000.0,18.9,77.5,18.7,2.61,0.43,0.0,0.0,0.43,0.33,1.96,0.86,0.87,1.96,0,0,0
2100298,2004,Adairville,Kentucky,920.0,13.88,100.34,31.41,351.0,27266.0,56000.0,18.9,77.5,18.7,2.61,0.43,0.0,0.0,0.43,0.33,1.18,1.18,1.18,1.18,0,0,0
2100298,2005,Adairville,Kentucky,866.0,19.35,101.06,34.95,325.0,30385.0,59100.0,24.1,78.29,18.59,1.5,0.0,0.0,0.0,0.69,0.92,2.18,1.64,1.62,2.16,0,0,0
2100298,2006,Adairville,Kentucky,866.0,19.35,101.79,34.95,325.0,30385.0,59100.0,24.1,78.29,18.59,1.5,0.0,0.0,0.0,0.69,0.92,2.37,2.37,2.32,2.32,0,0,0
2100298,2007,Adairville,Kentucky,866.0,19.35,102.52,34.95,325.0,30385.0,59100.0,24.1,78.29,18.59,1.5,0.0,0.0,0.0,0.69,0.92,1.73,1.73,1.69,1.69,0,0,0
2100298,2008,Adairville,Kentucky,866.0,19.35,102.93,34.95,325.0,30385.0,59100.0,24.1,78.29,18.59,1.5,0.0,0.0,0.0,0.69,0.92,2.68,2.68,2.61,2.61,0,0,0
2100298,2009,Adairville,Kentucky,866.0,19.35,103.66,34.95,325.0,30385.0,59100.0,24.1,78.29,18.59,1.5,0.0,0.0,0.0,0.69,0.92,2.91,2.91,2.81,2.81,1,0,0
2100298,2010,Adairville,Kentucky,852.0,12.79,104.38,39.58,648.0,30565.0,71700.0,23.0,78.87,14.55,4.11,0.23,0.0,0.0,1.88,0.35,2.59,2.59,2.48,2.48,0,0,0
