GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
2500135,2000,Abington,Massachusetts,14605.0,3.6,,28.22,676.0,57100.0,178900.0,23.8,96.97,0.73,0.71,0.12,0.46,0.01,0.76,0.25,,,,,0,0,0
2500135,2001,Abington,Massachusetts,14605.0,3.6,,28.22,676.0,57100.0,178900.0,23.8,96.97,0.73,0.71,0.12,0.46,0.01,0.76,0.25,,,,,0,0,0
2500135,2002,Abington,Massachusetts,14605.0,3.6,,28.22,676.0,57100.0,178900.0,23.8,96.97,0.73,0.71,0.12,0.46,0.01,0.76,0.25,,,,,0,0,0
2500135,2003,Abington,Massachusetts,14605.0,3.6,,28.22,676.0,57100.0,178900.0,23.8,96.97,0.73,0.71,0.12,0.46,0.01,0.76,0.25,,,,,0,0,0
2500135,2004,Abington,Massachusetts,14605.0,3.6,,28.22,676.0,57100.0,178900.0,23.8,96.97,0.73,0.71,0.12,0.46,0.01,0.76,0.25,,,,,0,0,0
2500135,2005,Abington,Massachusetts,16399.0,3.62,,26.64,1060.0,73956.0,357800.0,27.9,94.85,2.26,0.96,0.0,1.5,0.0,0.27,0.16,,,,,0,0,0
2500135,2006,Abington,Massachusetts,16399.0,3.62,,26.64,1060.0,73956.0,357800.0,27.9,94.85,2.26,0.96,0.0,1.5,0.0,0.27,0.16,,,,,0,0,0
2500135,2007,Abington,Massachusetts,16399.0,3.62,,26.64,1060.0,73956.0,357800.0,27.9,94.85,2.26,0.96,0.0,1.5,0.0,0.27,0.16,,,,,0,0,0
2500135,2008,Abington,Massachusetts,16399.0,3.62,1752.0,26.64,1060.0,73956.0,357800.0,27.9,94.85,2.26,0.96,0.0,1.5,0.0,0.27,0.16,49.0,39.0,2.23,2.8,1,0,0
2500135,2009,Abington,Massachusetts,16399.0,3.62,1790.0,26.64,1060.0,73956.0,357800.0,27.9,94.85,2.26,0.96,0.0,1.5,0.0,0.27,0.16,65.0,53.0,2.96,3.63,1,0,0
2500135,2010,Abington,Massachusetts,15985.0,2.51,1826.0,30.03,1141.0,76164.0,325600.0,30.5,91.44,1.96,1.94,0.26,1.76,0.01,1.21,1.41,45.0,38.0,2.08,2.46,1,0,0
2500135,2011,Abington,Massachusetts,16112.0,1.59,1863.0,30.77,1105.0,80148.0,304900.0,27.6,91.7,1.45,2.22,0.28,2.72,0.0,1.13,0.5,56.0,51.0,2.74,3.01,1,0,0
2500135,2012,Abington,Massachusetts,16112.0,1.59,1899.0,30.77,1105.0,80148.0,304900.0,27.6,91.7,1.45,2.22,0.28,2.72,0.0,1.13,0.5,64.0,54.0,2.84,3.37,1,0,0
2500135,2013,Abington,Massachusetts,16112.0,1.59,1939.0,30.77,1105.0,80148.0,304900.0,27.6,91.7,1.45,2.22,0.28,2.72,0.0,1.13,0.5,47.0,38.0,1.96,2.42,1,0,0
2500135,2014,Abington,Massachusetts,16112.0,1.59,1971.0,30.77,1105.0,80148.0,304900.0,27.6,91.7,1.45,2.22,0.28,2.72,0.0,1.13,0.5,71.0,62.0,3.15,3.6,1,0,0
2500135,2015,Abington,Massachusetts,16112.0,1.59,2010.0,30.77,1105.0,80148.0,304900.0,27.6,91.7,1.45,2.22,0.28,2.72,0.0,1.13,0.5,60.0,35.0,1.74,2.99,1,0,0
2500135,2016,Abington,Massachusetts,16112.0,1.59,2044.0,30.77,1105.0,80148.0,304900.0,27.6,91.7,1.45,2.22,0.28,2.72,0.0,1.13,0.5,72.0,25.0,1.22,3.52,1,0,0
2500530,2000,Acushnet Center,Massachusetts,3171.0,5.74,,24.33,516.0,41890.0,120700.0,26.7,96.34,0.66,1.01,0.28,0.09,0.03,1.04,0.54,,,,,0,0,0
2500530,2001,Acushnet Center,Massachusetts,3171.0,5.74,,24.33,516.0,41890.0,120700.0,26.7,96.34,0.66,1.01,0.28,0.09,0.03,1.04,0.54,,,,,0,0,0
2500530,2002,Acushnet Center,Massachusetts,3171.0,5.74,,24.33,516.0,41890.0,120700.0,26.7,96.34,0.66,1.01,0.28,0.09,0.03,1.04,0.54,,,,,0,0,0
2500530,2003,Acushnet Center,Massachusetts,3171.0,5.74,,24.33,516.0,41890.0,120700.0,26.7,96.34,0.66,1.01,0.28,0.09,0.03,1.04,0.54,,,,,0,0,0
2500530,2004,Acushnet Center,Massachusetts,3171.0,5.74,,24.33,516.0,41890.0,120700.0,26.7,96.34,0.66,1.01,0.28,0.09,0.03,1.04,0.54,,,,,0,0,0
2500530,2005,Acushnet Center,Massachusetts,3374.0,1.92,,23.31,653.0,51213.0,279500.0,43.2,95.67,0.5,0.0,0.0,1.72,0.0,1.57,0.53,,,,,0,0,0
2500530,2006,Acushnet Center,Massachusetts,3374.0,1.92,,23.31,653.0,51213.0,279500.0,43.2,95.67,0.5,0.0,0.0,1.72,0.0,1.57,0.53,,,,,0,0,0
2500530,2007,Acushnet Center,Massachusetts,3374.0,1.92,,23.31,653.0,51213.0,279500.0,43.2,95.67,0.5,0.0,0.0,1.72,0.0,1.57,0.53,,,,,0,0,0
2500530,2008,Acushnet Center,Massachusetts,3374.0,1.92,267.83,23.31,653.0,51213.0,279500.0,43.2,95.67,0.5,0.0,0.0,1.72,0.0,1.57,0.53,1.99,1.99,0.74,0.74,0,0,0
