GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
2400125,2000,Aberdeen,Maryland,13842.0,11.9,,40.97,551.0,39190.0,109400.0,25.9,63.5,27.01,3.45,0.22,2.48,0.09,3.01,0.24,,,,,0,0,0
2400125,2001,Aberdeen,Maryland,13842.0,11.9,,40.97,551.0,39190.0,109400.0,25.9,63.5,27.01,3.45,0.22,2.48,0.09,3.01,0.24,,,,,0,0,0
2400125,2002,Aberdeen,Maryland,13842.0,11.9,2264.25,40.97,551.0,39190.0,109400.0,25.9,63.5,27.01,3.45,0.22,2.48,0.09,3.01,0.24,15.6,3.98,0.18,0.69,1,0,0
2400125,2003,Aberdeen,Maryland,13842.0,11.9,2260.08,40.97,551.0,39190.0,109400.0,25.9,63.5,27.01,3.45,0.22,2.48,0.09,3.01,0.24,16.14,1.0,0.04,0.71,1,0,0
2400125,2004,Aberdeen,Maryland,13842.0,11.9,2256.86,40.97,551.0,39190.0,109400.0,25.9,63.5,27.01,3.45,0.22,2.48,0.09,3.01,0.24,20.49,4.58,0.2,0.91,1,0,0
2400125,2005,Aberdeen,Maryland,14094.0,11.99,2253.34,37.3,766.0,51019.0,186800.0,30.3,60.08,28.85,3.53,0.26,2.02,0.0,4.81,0.45,39.86,1.94,0.09,1.77,1,0,0
2400125,2006,Aberdeen,Maryland,14094.0,11.99,2249.02,37.3,766.0,51019.0,186800.0,30.3,60.08,28.85,3.53,0.26,2.02,0.0,4.81,0.45,37.4,0.98,0.04,1.66,1,0,0
2400125,2007,Aberdeen,Maryland,14094.0,11.99,2244.8,37.3,766.0,51019.0,186800.0,30.3,60.08,28.85,3.53,0.26,2.02,0.0,4.81,0.45,28.82,0.0,0.0,1.28,1,0,0
2400125,2008,Aberdeen,Maryland,14094.0,11.99,2241.75,37.3,766.0,51019.0,186800.0,30.3,60.08,28.85,3.53,0.26,2.02,0.0,4.81,0.45,43.42,6.69,0.3,1.94,1,0,0
2400125,2009,Aberdeen,Maryland,14094.0,11.99,2238.07,37.3,766.0,51019.0,186800.0,30.3,60.08,28.85,3.53,0.26,2.02,0.0,4.81,0.45,24.05,3.04,0.14,1.07,1,0,0
2400125,2010,Aberdeen,Maryland,14959.0,12.04,2234.85,38.55,863.0,54460.0,215100.0,33.5,56.38,29.83,5.45,0.32,2.88,0.35,4.61,0.19,32.56,6.0,0.27,1.46,1,0,0
2400125,2011,Aberdeen,Maryland,15238.0,11.13,2280.15,38.1,899.0,51821.0,195800.0,34.8,54.53,28.68,7.55,0.45,4.81,0.0,3.76,0.21,41.33,5.02,0.22,1.81,1,0,0
2400125,2012,Aberdeen,Maryland,15238.0,11.13,2322.52,38.1,899.0,51821.0,195800.0,34.8,54.53,28.68,7.55,0.45,4.81,0.0,3.76,0.21,32.24,19.74,0.85,1.39,1,0,0
2400125,2013,Aberdeen,Maryland,15238.0,11.13,2367.81,38.1,899.0,51821.0,195800.0,34.8,54.53,28.68,7.55,0.45,4.81,0.0,3.76,0.21,32.62,18.89,0.8,1.38,1,0,0
2400125,2014,Aberdeen,Maryland,15238.0,11.13,2408.21,38.1,899.0,51821.0,195800.0,34.8,54.53,28.68,7.55,0.45,4.81,0.0,3.76,0.21,24.6,12.83,0.53,1.02,1,0,0
2400125,2015,Aberdeen,Maryland,15238.0,11.13,,38.1,899.0,51821.0,195800.0,34.8,54.53,28.68,7.55,0.45,4.81,0.0,3.76,0.21,,,,,0,0,0
2400125,2016,Aberdeen,Maryland,15238.0,11.13,,38.1,899.0,51821.0,195800.0,34.8,54.53,28.68,7.55,0.45,4.81,0.0,3.76,0.21,,,,,0,0,0
2400175,2000,Aberdeen Proving Ground,Maryland,3116.0,5.59,,92.17,724.0,38875.0,0.0,20.0,46.57,34.18,11.2,0.58,3.11,0.99,2.98,0.39,,,,,0,0,0
2400175,2001,Aberdeen Proving Ground,Maryland,3116.0,5.59,,92.17,724.0,38875.0,0.0,20.0,46.57,34.18,11.2,0.58,3.11,0.99,2.98,0.39,,,,,0,0,0
2400175,2002,Aberdeen Proving Ground,Maryland,3116.0,5.59,652.0,92.17,724.0,38875.0,0.0,20.0,46.57,34.18,11.2,0.58,3.11,0.99,2.98,0.39,1.0,0.0,0.0,0.15,1,0,0
2400175,2003,Aberdeen Proving Ground,Maryland,3116.0,5.59,610.0,92.17,724.0,38875.0,0.0,20.0,46.57,34.18,11.2,0.58,3.11,0.99,2.98,0.39,0.0,0.0,0.0,0.0,1,0,0
2400175,2004,Aberdeen Proving Ground,Maryland,3116.0,5.59,569.0,92.17,724.0,38875.0,0.0,20.0,46.57,34.18,11.2,0.58,3.11,0.99,2.98,0.39,7.0,0.0,0.0,1.23,1,0,0
2400175,2005,Aberdeen Proving Ground,Maryland,3078.0,8.35,527.0,88.39,1463.0,45859.0,23500.0,24.4,41.0,35.93,20.63,0.0,0.19,0.0,2.24,0.0,0.0,0.0,0.0,0.0,1,0,0
2400175,2006,Aberdeen Proving Ground,Maryland,3078.0,8.35,485.6,88.39,1463.0,45859.0,23500.0,24.4,41.0,35.93,20.63,0.0,0.19,0.0,2.24,0.0,0.0,0.0,0.0,0.0,1,0,0
2400175,2007,Aberdeen Proving Ground,Maryland,3078.0,8.35,443.6,88.39,1463.0,45859.0,23500.0,24.4,41.0,35.93,20.63,0.0,0.19,0.0,2.24,0.0,0.0,0.0,0.0,0.0,1,0,0
2400175,2008,Aberdeen Proving Ground,Maryland,3078.0,8.35,401.6,88.39,1463.0,45859.0,23500.0,24.4,41.0,35.93,20.63,0.0,0.19,0.0,2.24,0.0,0.0,0.0,0.0,0.0,1,0,0
2400175,2009,Aberdeen Proving Ground,Maryland,3078.0,8.35,360.6,88.39,1463.0,45859.0,23500.0,24.4,41.0,35.93,20.63,0.0,0.19,0.0,2.24,0.0,0.4,0.0,0.0,0.11,1,0,0
2400175,2010,Aberdeen Proving Ground,Maryland,2093.0,4.43,318.6,98.76,1553.0,63750.0,9999.0,23.8,57.67,20.26,14.72,0.57,2.05,0.72,3.63,0.38,0.0,0.0,0.0,0.0,1,0,0
2400175,2011,Aberdeen Proving Ground,Maryland,2351.0,5.86,341.6,100.0,1725.0,76833.0,,24.3,54.66,23.27,8.0,0.0,5.02,0.21,4.68,4.17,0.0,0.0,0.0,0.0,1,0,0
2400175,2012,Aberdeen Proving Ground,Maryland,2351.0,5.86,364.6,100.0,1725.0,76833.0,,24.3,54.66,23.27,8.0,0.0,5.02,0.21,4.68,4.17,0.0,0.0,0.0,0.0,1,0,0
