GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
2300695,2011,Alfred,Maine,658.0,3.11,,31.69,701.0,48879.0,229700.0,29.5,98.02,0.0,1.22,0.0,0.0,0.0,0.76,0.0,,,,,0,0,0
2300695,2012,Alfred,Maine,658.0,3.11,,31.69,701.0,48879.0,229700.0,29.5,98.02,0.0,1.22,0.0,0.0,0.0,0.76,0.0,,,,,0,0,0
2300695,2013,Alfred,Maine,658.0,3.11,,31.69,701.0,48879.0,229700.0,29.5,98.02,0.0,1.22,0.0,0.0,0.0,0.76,0.0,,,,,0,0,0
2300695,2014,Alfred,Maine,658.0,3.11,,31.69,701.0,48879.0,229700.0,29.5,98.02,0.0,1.22,0.0,0.0,0.0,0.76,0.0,,,,,0,0,0
2300695,2015,Alfred,Maine,658.0,3.11,,31.69,701.0,48879.0,229700.0,29.5,98.02,0.0,1.22,0.0,0.0,0.0,0.76,0.0,,,,,0,0,0
2300695,2016,Alfred,Maine,658.0,3.11,,31.69,701.0,48879.0,229700.0,29.5,98.02,0.0,1.22,0.0,0.0,0.0,0.76,0.0,,,,,0,0,0
2301360,2000,Anson,Maine,818.0,20.19,,31.48,470.0,26875.0,62500.0,29.1,97.07,0.0,0.37,0.12,0.0,0.0,2.44,0.0,,,,,0,0,0
2301360,2001,Anson,Maine,818.0,20.19,,31.48,470.0,26875.0,62500.0,29.1,97.07,0.0,0.37,0.12,0.0,0.0,2.44,0.0,,,,,0,0,0
2301360,2002,Anson,Maine,818.0,20.19,,31.48,470.0,26875.0,62500.0,29.1,97.07,0.0,0.37,0.12,0.0,0.0,2.44,0.0,,,,,0,0,0
2301360,2003,Anson,Maine,818.0,20.19,59.4,31.48,470.0,26875.0,62500.0,29.1,97.07,0.0,0.37,0.12,0.0,0.0,2.44,0.0,0.16,0.16,0.27,0.27,1,0,0
2301360,2004,Anson,Maine,818.0,20.19,59.44,31.48,470.0,26875.0,62500.0,29.1,97.07,0.0,0.37,0.12,0.0,0.0,2.44,0.0,0.45,0.45,0.75,0.75,1,0,0
2301360,2005,Anson,Maine,939.0,26.22,59.92,31.94,468.0,35694.0,78300.0,30.5,98.4,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.77,0.77,1.28,1.28,0,0,0
2301360,2006,Anson,Maine,939.0,26.22,60.4,31.94,468.0,35694.0,78300.0,30.5,98.4,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,1.59,0,0,0
2301360,2007,Anson,Maine,939.0,26.22,60.43,31.94,468.0,35694.0,78300.0,30.5,98.4,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.05,0.89,1.48,1.74,0,0,0
