GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
2600380,2000,Addison,Michigan,627.0,8.12,,35.22,447.0,35781.0,80700.0,24.1,96.49,0.0,2.07,0.16,0.96,0.0,0.32,0.0,,,,,0,0,0
2600380,2001,Addison,Michigan,627.0,8.12,44.55,35.22,447.0,35781.0,80700.0,24.1,96.49,0.0,2.07,0.16,0.96,0.0,0.32,0.0,0.56,0.56,1.26,1.26,0,0,0
2600380,2002,Addison,Michigan,627.0,8.12,45.19,35.22,447.0,35781.0,80700.0,24.1,96.49,0.0,2.07,0.16,0.96,0.0,0.32,0.0,1.67,1.67,3.69,3.69,0,0,0
2600380,2003,Addison,Michigan,627.0,8.12,45.93,35.22,447.0,35781.0,80700.0,24.1,96.49,0.0,2.07,0.16,0.96,0.0,0.32,0.0,1.49,1.49,3.24,3.24,0,0,0
2600380,2004,Addison,Michigan,627.0,8.12,46.57,35.22,447.0,35781.0,80700.0,24.1,96.49,0.0,2.07,0.16,0.96,0.0,0.32,0.0,2.04,1.67,3.58,4.37,0,0,0
2600380,2005,Addison,Michigan,485.0,9.59,47.68,33.17,555.0,33854.0,102200.0,30.4,96.29,0.0,2.47,0.0,0.0,0.0,1.24,0.0,2.61,2.51,5.27,5.47,0,0,0
2600380,2006,Addison,Michigan,485.0,9.59,48.42,33.17,555.0,33854.0,102200.0,30.4,96.29,0.0,2.47,0.0,0.0,0.0,1.24,0.0,5.74,5.55,11.46,11.86,0,0,0
2600380,2007,Addison,Michigan,485.0,9.59,49.06,33.17,555.0,33854.0,102200.0,30.4,96.29,0.0,2.47,0.0,0.0,0.0,1.24,0.0,3.53,3.53,7.19,7.19,0,0,0
2600380,2008,Addison,Michigan,485.0,9.59,49.8,33.17,555.0,33854.0,102200.0,30.4,96.29,0.0,2.47,0.0,0.0,0.0,1.24,0.0,5.03,4.56,9.16,10.1,0,0,0
2600380,2009,Addison,Michigan,485.0,9.59,50.44,33.17,555.0,33854.0,102200.0,30.4,96.29,0.0,2.47,0.0,0.0,0.0,1.24,0.0,4.73,4.63,9.18,9.37,0,0,0
2600380,2010,Addison,Michigan,605.0,12.43,51.18,39.59,656.0,37125.0,88900.0,29.8,96.36,0.5,0.99,0.0,0.0,0.0,2.15,0.0,2.98,2.98,5.82,5.82,1,0,0
2600380,2011,Addison,Michigan,573.0,5.81,51.18,33.62,577.0,41875.0,84700.0,29.8,90.75,4.71,1.92,0.0,0.52,0.0,2.09,0.0,5.84,5.0,9.77,11.4,1,0,0
2600380,2012,Addison,Michigan,573.0,5.81,51.18,33.62,577.0,41875.0,84700.0,29.8,90.75,4.71,1.92,0.0,0.52,0.0,2.09,0.0,2.77,2.68,5.23,5.42,1,0,0
2600380,2013,Addison,Michigan,573.0,5.81,51.55,33.62,577.0,41875.0,84700.0,29.8,90.75,4.71,1.92,0.0,0.52,0.0,2.09,0.0,2.79,2.79,5.41,5.41,1,0,0
2600380,2014,Addison,Michigan,573.0,5.81,51.55,33.62,577.0,41875.0,84700.0,29.8,90.75,4.71,1.92,0.0,0.52,0.0,2.09,0.0,3.92,3.54,6.86,7.61,1,0,0
2600380,2015,Addison,Michigan,573.0,5.81,51.55,33.62,577.0,41875.0,84700.0,29.8,90.75,4.71,1.92,0.0,0.52,0.0,2.09,0.0,2.7,2.51,4.88,5.25,1,0,0
2600380,2016,Addison,Michigan,573.0,5.81,51.55,33.62,577.0,41875.0,84700.0,29.8,90.75,4.71,1.92,0.0,0.52,0.0,2.09,0.0,4.11,1.6,3.1,7.98,0,0,0
2600440,2000,Adrian,Michigan,21574.0,13.81,,43.63,504.0,34203.0,86100.0,25.4,76.86,3.35,16.99,0.36,0.83,0.01,1.48,0.13,,,,,0,0,0
2600440,2001,Adrian,Michigan,21574.0,13.81,3368.48,43.63,504.0,34203.0,86100.0,25.4,76.86,3.35,16.99,0.36,0.83,0.01,1.48,0.13,282.54,214.75,6.38,8.39,0,0,0
2600440,2002,Adrian,Michigan,21574.0,13.81,3374.82,43.63,504.0,34203.0,86100.0,25.4,76.86,3.35,16.99,0.36,0.83,0.01,1.48,0.13,293.5,243.45,7.21,8.7,0,0,0
2600440,2003,Adrian,Michigan,21574.0,13.81,3387.37,43.63,504.0,34203.0,86100.0,25.4,76.86,3.35,16.99,0.36,0.83,0.01,1.48,0.13,275.85,225.17,6.65,8.14,0,0,0
2600440,2004,Adrian,Michigan,21574.0,13.81,3395.25,43.63,504.0,34203.0,86100.0,25.4,76.86,3.35,16.99,0.36,0.83,0.01,1.48,0.13,298.81,256.06,7.54,8.8,0,0,0
2600440,2005,Adrian,Michigan,21502.0,17.85,3408.7,37.63,616.0,37773.0,102700.0,33.2,77.08,6.26,14.45,0.12,0.43,0.23,1.19,0.25,248.72,215.22,6.31,7.3,0,0,0
2600440,2006,Adrian,Michigan,21502.0,17.85,3411.67,37.63,616.0,37773.0,102700.0,33.2,77.08,6.26,14.45,0.12,0.43,0.23,1.19,0.25,369.36,329.77,9.67,10.83,0,0,0
2600440,2007,Adrian,Michigan,21502.0,17.85,3420.55,37.63,616.0,37773.0,102700.0,33.2,77.08,6.26,14.45,0.12,0.43,0.23,1.19,0.25,383.66,336.25,9.83,11.22,0,0,0
2600440,2008,Adrian,Michigan,21502.0,17.85,3432.1,37.63,616.0,37773.0,102700.0,33.2,77.08,6.26,14.45,0.12,0.43,0.23,1.19,0.25,365.7,317.32,9.25,10.66,0,0,0
2600440,2009,Adrian,Michigan,21502.0,17.85,3439.44,37.63,616.0,37773.0,102700.0,33.2,77.08,6.26,14.45,0.12,0.43,0.23,1.19,0.25,353.98,311.81,9.07,10.29,0,0,0
2600440,2010,Adrian,Michigan,21133.0,27.5,3448.42,44.9,675.0,31020.0,81700.0,37.9,73.57,3.83,18.85,0.38,0.88,0.01,2.39,0.08,307.87,268.0,7.77,8.93,1,0,0
2600440,2011,Adrian,Michigan,20878.0,21.92,3486.89,47.71,688.0,31805.0,69500.0,39.8,75.44,3.28,17.36,0.47,0.45,0.18,2.79,0.03,412.67,343.05,9.84,11.83,1,0,0
2600440,2012,Adrian,Michigan,20878.0,21.92,3513.34,47.71,688.0,31805.0,69500.0,39.8,75.44,3.28,17.36,0.47,0.45,0.18,2.79,0.03,390.14,326.62,9.3,11.1,1,0,0
2600440,2013,Adrian,Michigan,20878.0,21.92,3551.81,47.71,688.0,31805.0,69500.0,39.8,75.44,3.28,17.36,0.47,0.45,0.18,2.79,0.03,384.09,324.22,9.13,10.81,1,0,0
2600440,2014,Adrian,Michigan,20878.0,21.92,3579.5,47.71,688.0,31805.0,69500.0,39.8,75.44,3.28,17.36,0.47,0.45,0.18,2.79,0.03,334.39,284.91,7.96,9.34,1,0,0
2600440,2015,Adrian,Michigan,20878.0,21.92,3614.72,47.71,688.0,31805.0,69500.0,39.8,75.44,3.28,17.36,0.47,0.45,0.18,2.79,0.03,181.11,122.51,3.39,5.01,1,0,0
2600440,2016,Adrian,Michigan,20878.0,21.92,3644.41,47.71,688.0,31805.0,69500.0,39.8,75.44,3.28,17.36,0.47,0.45,0.18,2.79,0.03,418.57,142.11,3.9,11.49,0,0,0
2600480,2000,Advance,Michigan,,,,,,,,,,,,,,,,,,,,,0,0,0
2600480,2001,Advance,Michigan,,,,,,,,,,,,,,,,,,,,,0,0,0
2600480,2002,Advance,Michigan,,,,,,,,,,,,,,,,,,,,,0,0,0
2600480,2003,Advance,Michigan,,,10.51,,,,,,,,,,,,,,0.96,0.72,6.82,9.09,0,0,0
2600480,2004,Advance,Michigan,,,10.75,,,,,,,,,,,,,,0.96,0.96,8.89,8.89,0,0,0
2600480,2005,Advance,Michigan,,,11.23,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2600480,2006,Advance,Michigan,,,11.71,,,,,,,,,,,,,,0.48,0.48,4.08,4.08,0,0,0
2600480,2007,Advance,Michigan,,,11.95,,,,,,,,,,,,,,0.72,0.72,6.0,6.0,0,0,0
2600480,2008,Advance,Michigan,,,12.42,,,,,,,,,,,,,,1.19,1.19,9.62,9.62,0,0,0
2600480,2009,Advance,Michigan,,,12.66,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2600480,2010,Advance,Michigan,328.0,0.0,13.14,13.12,756.0,45625.0,237500.0,20.6,98.48,0.0,0.0,0.91,0.3,0.0,0.3,0.0,0.24,0.24,1.82,1.82,1,0,0
2600480,2011,Advance,Michigan,269.0,0.0,13.14,11.68,,65179.0,222600.0,,98.14,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2600480,2012,Advance,Michigan,269.0,0.0,12.9,11.68,,65179.0,222600.0,,98.14,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.24,0.24,1.85,1.85,1,0,0
2600480,2013,Advance,Michigan,269.0,0.0,12.9,11.68,,65179.0,222600.0,,98.14,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.24,0.24,1.85,1.85,1,0,0
2600480,2014,Advance,Michigan,269.0,0.0,12.66,11.68,,65179.0,222600.0,,98.14,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2600480,2015,Advance,Michigan,269.0,0.0,12.66,11.68,,65179.0,222600.0,,98.14,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2600480,2016,Advance,Michigan,269.0,0.0,12.42,11.68,,65179.0,222600.0,,98.14,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2600620,2000,Ahmeek,Michigan,157.0,11.52,9.66,17.07,338.0,24231.0,27100.0,28.8,96.82,0.0,0.0,0.0,0.64,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2001,Ahmeek,Michigan,157.0,11.52,9.56,17.07,338.0,24231.0,27100.0,28.8,96.82,0.0,0.0,0.0,0.64,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2002,Ahmeek,Michigan,157.0,11.52,9.36,17.07,338.0,24231.0,27100.0,28.8,96.82,0.0,0.0,0.0,0.64,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2003,Ahmeek,Michigan,157.0,11.52,9.26,17.07,338.0,24231.0,27100.0,28.8,96.82,0.0,0.0,0.0,0.64,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2004,Ahmeek,Michigan,157.0,11.52,9.05,17.07,338.0,24231.0,27100.0,28.8,96.82,0.0,0.0,0.0,0.64,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2005,Ahmeek,Michigan,178.0,14.63,8.95,6.67,,31250.0,61400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.14,1.14,0,0,0
2600620,2006,Ahmeek,Michigan,178.0,14.63,8.75,6.67,,31250.0,61400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,3.49,3.49,0,0,0
2600620,2007,Ahmeek,Michigan,178.0,14.63,8.65,6.67,,31250.0,61400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2008,Ahmeek,Michigan,178.0,14.63,8.44,6.67,,31250.0,61400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2009,Ahmeek,Michigan,178.0,14.63,8.34,6.67,,31250.0,61400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2010,Ahmeek,Michigan,146.0,16.28,8.14,15.07,,33333.0,58100.0,,99.32,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.1,0.1,1.25,1.25,0,0,0
2600620,2011,Ahmeek,Michigan,109.0,39.39,8.34,26.98,,19464.0,36400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2012,Ahmeek,Michigan,109.0,39.39,8.44,26.98,,19464.0,36400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2013,Ahmeek,Michigan,109.0,39.39,8.65,26.98,,19464.0,36400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2600620,2014,Ahmeek,Michigan,109.0,39.39,8.85,26.98,,19464.0,36400.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
