GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
2900244,2000,Adrian,Missouri,1780.0,12.85,200.94,30.94,395.0,31436.0,62400.0,21.4,97.81,0.0,1.01,0.39,0.11,0.06,0.62,0.0,1.89,1.89,0.94,0.94,0,0,0
2900244,2001,Adrian,Missouri,1780.0,12.85,200.95,30.94,395.0,31436.0,62400.0,21.4,97.81,0.0,1.01,0.39,0.11,0.06,0.62,0.0,0.0,0.0,0.0,0.0,1,0,0
2900244,2002,Adrian,Missouri,1780.0,12.85,200.95,30.94,395.0,31436.0,62400.0,21.4,97.81,0.0,1.01,0.39,0.11,0.06,0.62,0.0,0.0,0.0,0.0,0.0,1,0,0
2900244,2003,Adrian,Missouri,1780.0,12.85,200.95,30.94,395.0,31436.0,62400.0,21.4,97.81,0.0,1.01,0.39,0.11,0.06,0.62,0.0,2.83,2.83,1.41,1.41,0,0,0
2900244,2004,Adrian,Missouri,1780.0,12.85,200.95,30.94,395.0,31436.0,62400.0,21.4,97.81,0.0,1.01,0.39,0.11,0.06,0.62,0.0,6.6,2.83,1.41,3.28,0,0,0
2900244,2005,Adrian,Missouri,1735.0,7.87,200.96,25.73,521.0,32740.0,87000.0,27.5,93.14,2.59,2.13,0.52,0.0,0.0,1.61,0.0,5.66,4.71,2.34,2.81,0,0,0
2900244,2006,Adrian,Missouri,1735.0,7.87,200.96,25.73,521.0,32740.0,87000.0,27.5,93.14,2.59,2.13,0.52,0.0,0.0,1.61,0.0,4.71,4.71,2.35,2.35,0,0,0
2900244,2007,Adrian,Missouri,1735.0,7.87,200.96,25.73,521.0,32740.0,87000.0,27.5,93.14,2.59,2.13,0.52,0.0,0.0,1.61,0.0,6.6,5.66,2.81,3.28,0,0,0
2900244,2008,Adrian,Missouri,1735.0,7.87,200.97,25.73,521.0,32740.0,87000.0,27.5,93.14,2.59,2.13,0.52,0.0,0.0,1.61,0.0,5.66,2.83,1.41,2.81,0,0,0
2900244,2009,Adrian,Missouri,1735.0,7.87,200.97,25.73,521.0,32740.0,87000.0,27.5,93.14,2.59,2.13,0.52,0.0,0.0,1.61,0.0,5.65,0.94,0.47,2.81,0,0,0
2900244,2010,Adrian,Missouri,1677.0,4.78,200.97,30.51,617.0,37880.0,86200.0,28.7,97.85,0.18,0.66,0.48,0.0,0.0,0.83,0.0,7.54,0.95,0.47,3.75,0,0,0
2900244,2011,Adrian,Missouri,1953.0,8.37,200.97,37.98,674.0,37368.0,83200.0,28.9,95.55,0.67,1.95,0.0,0.0,0.0,1.84,0.0,3.77,0.94,0.47,1.88,0,0,0
2900244,2012,Adrian,Missouri,1953.0,8.37,200.97,37.98,674.0,37368.0,83200.0,28.9,95.55,0.67,1.95,0.0,0.0,0.0,1.84,0.0,9.43,2.83,1.41,4.69,0,0,0
2900244,2013,Adrian,Missouri,1953.0,8.37,200.98,37.98,674.0,37368.0,83200.0,28.9,95.55,0.67,1.95,0.0,0.0,0.0,1.84,0.0,0.94,0.94,0.47,0.47,0,0,0
2900244,2014,Adrian,Missouri,1953.0,8.37,200.98,37.98,674.0,37368.0,83200.0,28.9,95.55,0.67,1.95,0.0,0.0,0.0,1.84,0.0,7.54,5.66,2.81,3.75,0,0,0
2900244,2015,Adrian,Missouri,1953.0,8.37,200.98,37.98,674.0,37368.0,83200.0,28.9,95.55,0.67,1.95,0.0,0.0,0.0,1.84,0.0,3.77,2.83,1.41,1.88,0,0,0
2900244,2016,Adrian,Missouri,1953.0,8.37,200.98,37.98,674.0,37368.0,83200.0,28.9,95.55,0.67,1.95,0.0,0.0,0.0,1.84,0.0,7.54,6.6,3.28,3.75,0,0,0
2900262,2000,Advance,Missouri,1244.0,12.9,133.0,25.74,311.0,27734.0,61200.0,22.5,97.99,0.08,0.32,0.56,0.16,0.0,0.88,0.0,0.0,0.0,0.0,0.0,1,0,0
2900262,2001,Advance,Missouri,1244.0,12.9,135.3,25.74,311.0,27734.0,61200.0,22.5,97.99,0.08,0.32,0.56,0.16,0.0,0.88,0.0,1.54,1.54,1.14,1.14,1,0,0
2900262,2002,Advance,Missouri,1244.0,12.9,137.61,25.74,311.0,27734.0,61200.0,22.5,97.99,0.08,0.32,0.56,0.16,0.0,0.88,0.0,0.77,0.77,0.56,0.56,1,0,0
2900262,2003,Advance,Missouri,1244.0,12.9,139.92,25.74,311.0,27734.0,61200.0,22.5,97.99,0.08,0.32,0.56,0.16,0.0,0.88,0.0,2.31,2.31,1.65,1.65,1,0,0
2900262,2004,Advance,Missouri,1244.0,12.9,142.22,25.74,311.0,27734.0,61200.0,22.5,97.99,0.08,0.32,0.56,0.16,0.0,0.88,0.0,2.31,1.54,1.08,1.62,0,0,0
