GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
2800100,2000,Abbeville,Mississippi,423.0,11.75,,15.12,440.0,33542.0,83100.0,50.0,93.14,5.67,0.71,0.0,0.0,0.0,0.47,0.0,,,,,0,0,0
2800100,2001,Abbeville,Mississippi,423.0,11.75,,15.12,440.0,33542.0,83100.0,50.0,93.14,5.67,0.71,0.0,0.0,0.0,0.47,0.0,,,,,0,0,0
2800100,2002,Abbeville,Mississippi,423.0,11.75,,15.12,440.0,33542.0,83100.0,50.0,93.14,5.67,0.71,0.0,0.0,0.0,0.47,0.0,,,,,0,0,0
2800100,2003,Abbeville,Mississippi,423.0,11.75,,15.12,440.0,33542.0,83100.0,50.0,93.14,5.67,0.71,0.0,0.0,0.0,0.47,0.0,,,,,0,0,0
2800100,2004,Abbeville,Mississippi,423.0,11.75,,15.12,440.0,33542.0,83100.0,50.0,93.14,5.67,0.71,0.0,0.0,0.0,0.47,0.0,,,,,0,0,0
2800100,2005,Abbeville,Mississippi,311.0,4.65,,23.64,740.0,53125.0,134200.0,22.5,98.71,0.64,0.0,0.0,0.0,0.0,0.64,0.0,,,,,0,0,0
2800100,2006,Abbeville,Mississippi,311.0,4.65,,23.64,740.0,53125.0,134200.0,22.5,98.71,0.64,0.0,0.0,0.0,0.0,0.64,0.0,,,,,0,0,0
2800100,2007,Abbeville,Mississippi,311.0,4.65,,23.64,740.0,53125.0,134200.0,22.5,98.71,0.64,0.0,0.0,0.0,0.0,0.64,0.0,,,,,0,0,0
2800100,2008,Abbeville,Mississippi,311.0,4.65,37.34,23.64,740.0,53125.0,134200.0,22.5,98.71,0.64,0.0,0.0,0.0,0.0,0.64,0.0,0.28,0.28,0.74,0.74,1,0,0
2800100,2009,Abbeville,Mississippi,311.0,4.65,38.17,23.64,740.0,53125.0,134200.0,22.5,98.71,0.64,0.0,0.0,0.0,0.0,0.64,0.0,0.55,0.55,1.45,1.45,1,0,0
2800100,2010,Abbeville,Mississippi,419.0,6.42,39.28,27.11,671.0,51250.0,125000.0,50.0,89.74,8.83,0.48,0.0,0.0,0.0,0.95,0.0,0.28,0.28,0.7,0.7,1,0,0
2800100,2011,Abbeville,Mississippi,447.0,7.5,40.39,26.99,719.0,49583.0,126000.0,50.0,90.16,7.38,0.45,0.0,0.0,0.0,1.57,0.45,0.28,0.28,0.68,0.68,1,0,0
2800100,2012,Abbeville,Mississippi,447.0,7.5,41.49,26.99,719.0,49583.0,126000.0,50.0,90.16,7.38,0.45,0.0,0.0,0.0,1.57,0.45,0.0,0.0,0.0,0.0,1,0,0
2800100,2013,Abbeville,Mississippi,447.0,7.5,42.6,26.99,719.0,49583.0,126000.0,50.0,90.16,7.38,0.45,0.0,0.0,0.0,1.57,0.45,0.28,0.28,0.65,0.65,0,0,0
2800100,2014,Abbeville,Mississippi,447.0,7.5,43.71,26.99,719.0,49583.0,126000.0,50.0,90.16,7.38,0.45,0.0,0.0,0.0,1.57,0.45,0.83,0.83,1.9,1.9,0,0,0
2800100,2015,Abbeville,Mississippi,447.0,7.5,44.81,26.99,719.0,49583.0,126000.0,50.0,90.16,7.38,0.45,0.0,0.0,0.0,1.57,0.45,1.66,1.66,3.7,3.7,0,0,0
2800100,2016,Abbeville,Mississippi,447.0,7.5,45.92,26.99,719.0,49583.0,126000.0,50.0,90.16,7.38,0.45,0.0,0.0,0.0,1.57,0.45,0.83,0.55,1.2,1.81,0,0,0
2800180,2000,Aberdeen,Mississippi,6415.0,29.58,823.23,34.4,373.0,23530.0,60200.0,31.4,38.66,59.86,0.56,0.09,0.39,0.05,0.33,0.06,31.78,28.15,3.42,3.86,0,0,0
2800180,2001,Aberdeen,Mississippi,6415.0,29.58,,34.4,373.0,23530.0,60200.0,31.4,38.66,59.86,0.56,0.09,0.39,0.05,0.33,0.06,,,,,0,0,0
2800180,2002,Aberdeen,Mississippi,6415.0,29.58,,34.4,373.0,23530.0,60200.0,31.4,38.66,59.86,0.56,0.09,0.39,0.05,0.33,0.06,,,,,0,0,0
2800180,2003,Aberdeen,Mississippi,6415.0,29.58,,34.4,373.0,23530.0,60200.0,31.4,38.66,59.86,0.56,0.09,0.39,0.05,0.33,0.06,,,,,0,0,0
2800180,2004,Aberdeen,Mississippi,6415.0,29.58,836.04,34.4,373.0,23530.0,60200.0,31.4,38.66,59.86,0.56,0.09,0.39,0.05,0.33,0.06,20.25,18.42,2.2,2.42,0,0,0
2800180,2005,Aberdeen,Mississippi,6053.0,30.96,841.24,38.23,462.0,25220.0,65300.0,31.7,34.25,62.1,3.07,0.0,0.13,0.0,0.45,0.0,32.2,26.42,3.14,3.83,0,0,0
2800180,2006,Aberdeen,Mississippi,6053.0,30.96,842.64,38.23,462.0,25220.0,65300.0,31.7,34.25,62.1,3.07,0.0,0.13,0.0,0.45,0.0,24.55,24.55,2.91,2.91,0,0,0
2800180,2007,Aberdeen,Mississippi,6053.0,30.96,846.79,38.23,462.0,25220.0,65300.0,31.7,34.25,62.1,3.07,0.0,0.13,0.0,0.45,0.0,17.42,14.43,1.7,2.06,1,0,0
2800180,2008,Aberdeen,Mississippi,6053.0,30.96,849.9,38.23,462.0,25220.0,65300.0,31.7,34.25,62.1,3.07,0.0,0.13,0.0,0.45,0.0,19.01,17.01,2.0,2.24,1,0,0
2800180,2009,Aberdeen,Mississippi,6053.0,30.96,852.25,38.23,462.0,25220.0,65300.0,31.7,34.25,62.1,3.07,0.0,0.13,0.0,0.45,0.0,33.08,12.9,1.51,3.88,0,0,0
2800180,2010,Aberdeen,Mississippi,5612.0,32.26,,39.73,507.0,26910.0,72000.0,29.4,28.64,69.1,1.02,0.11,0.23,0.04,0.86,0.02,,,,,0,0,0
2800180,2011,Aberdeen,Mississippi,5466.0,28.11,,43.21,531.0,30357.0,70100.0,34.5,29.31,67.0,0.18,0.0,0.09,0.0,3.42,0.0,,,,,0,0,0
2800180,2012,Aberdeen,Mississippi,5466.0,28.11,,43.21,531.0,30357.0,70100.0,34.5,29.31,67.0,0.18,0.0,0.09,0.0,3.42,0.0,,,,,0,0,0
2800180,2013,Aberdeen,Mississippi,5466.0,28.11,,43.21,531.0,30357.0,70100.0,34.5,29.31,67.0,0.18,0.0,0.09,0.0,3.42,0.0,,,,,0,0,0
2800180,2014,Aberdeen,Mississippi,5466.0,28.11,889.61,43.21,531.0,30357.0,70100.0,34.5,29.31,67.0,0.18,0.0,0.09,0.0,3.42,0.0,13.57,5.92,0.66,1.53,1,0,0
2800180,2015,Aberdeen,Mississippi,5466.0,28.11,896.19,43.21,531.0,30357.0,70100.0,34.5,29.31,67.0,0.18,0.0,0.09,0.0,3.42,0.0,38.72,14.15,1.58,4.32,0,0,0
2800180,2016,Aberdeen,Mississippi,5466.0,28.11,904.78,43.21,531.0,30357.0,70100.0,34.5,29.31,67.0,0.18,0.0,0.09,0.0,3.42,0.0,30.32,21.73,2.4,3.35,0,0,0
2800300,2000,Ackerman,Mississippi,1696.0,24.75,269.96,39.1,302.0,21287.0,57900.0,24.9,62.74,34.55,1.47,0.24,0.59,0.0,0.41,0.0,1.83,1.83,0.68,0.68,0,0,0
2800300,2001,Ackerman,Mississippi,1696.0,24.75,268.21,39.1,302.0,21287.0,57900.0,24.9,62.74,34.55,1.47,0.24,0.59,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0,0,0
2800300,2002,Ackerman,Mississippi,1696.0,24.75,268.29,39.1,302.0,21287.0,57900.0,24.9,62.74,34.55,1.47,0.24,0.59,0.0,0.41,0.0,3.71,3.71,1.38,1.38,0,0,0
2800300,2003,Ackerman,Mississippi,1696.0,24.75,266.54,39.1,302.0,21287.0,57900.0,24.9,62.74,34.55,1.47,0.24,0.59,0.0,0.41,0.0,5.46,5.46,2.05,2.05,0,0,0
2800300,2004,Ackerman,Mississippi,1696.0,24.75,264.8,39.1,302.0,21287.0,57900.0,24.9,62.74,34.55,1.47,0.24,0.59,0.0,0.41,0.0,2.74,2.74,1.04,1.04,0,0,0
2800300,2005,Ackerman,Mississippi,1984.0,22.29,264.88,38.55,285.0,23542.0,79100.0,28.5,67.54,30.85,0.0,0.0,1.61,0.0,0.0,0.0,0.92,0.92,0.35,0.35,0,0,0
2800300,2006,Ackerman,Mississippi,1984.0,22.29,263.13,38.55,285.0,23542.0,79100.0,28.5,67.54,30.85,0.0,0.0,1.61,0.0,0.0,0.0,3.72,3.72,1.41,1.41,0,0,0
2800300,2007,Ackerman,Mississippi,1984.0,22.29,261.39,38.55,285.0,23542.0,79100.0,28.5,67.54,30.85,0.0,0.0,1.61,0.0,0.0,0.0,1.83,1.83,0.7,0.7,0,0,0
2800300,2008,Ackerman,Mississippi,1984.0,22.29,259.64,38.55,285.0,23542.0,79100.0,28.5,67.54,30.85,0.0,0.0,1.61,0.0,0.0,0.0,5.57,4.65,1.79,2.14,0,0,0
2800300,2009,Ackerman,Mississippi,1984.0,22.29,259.72,38.55,285.0,23542.0,79100.0,28.5,67.54,30.85,0.0,0.0,1.61,0.0,0.0,0.0,0.92,0.92,0.35,0.35,0,0,0
2800300,2010,Ackerman,Mississippi,1510.0,20.65,257.97,41.47,388.0,28167.0,84300.0,25.0,57.22,41.52,0.33,0.07,0.13,0.0,0.66,0.07,4.57,3.65,1.42,1.77,0,0,0
2800300,2011,Ackerman,Mississippi,1861.0,20.37,261.83,47.76,381.0,23448.0,66900.0,27.5,55.24,43.31,0.64,0.0,0.59,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0,0,0
2800300,2012,Ackerman,Mississippi,1861.0,20.37,265.67,47.76,381.0,23448.0,66900.0,27.5,55.24,43.31,0.64,0.0,0.59,0.0,0.21,0.0,4.58,4.58,1.72,1.72,0,0,0
2800300,2013,Ackerman,Mississippi,1861.0,20.37,269.52,47.76,381.0,23448.0,66900.0,27.5,55.24,43.31,0.64,0.0,0.59,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0,0,0
2800300,2014,Ackerman,Mississippi,1861.0,20.37,272.46,47.76,381.0,23448.0,66900.0,27.5,55.24,43.31,0.64,0.0,0.59,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0,0,0
2800300,2015,Ackerman,Mississippi,1861.0,20.37,277.22,47.76,381.0,23448.0,66900.0,27.5,55.24,43.31,0.64,0.0,0.59,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0,0,0
2800300,2016,Ackerman,Mississippi,1861.0,20.37,280.16,47.76,381.0,23448.0,66900.0,27.5,55.24,43.31,0.64,0.0,0.59,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0,0,0
2800680,2000,Alcorn State University,Mississippi,,,19.81,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2001,Alcorn State University,Mississippi,,,20.48,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2002,Alcorn State University,Mississippi,,,21.14,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2003,Alcorn State University,Mississippi,,,21.14,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2004,Alcorn State University,Mississippi,,,21.8,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2005,Alcorn State University,Mississippi,,,22.46,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2006,Alcorn State University,Mississippi,,,23.12,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2007,Alcorn State University,Mississippi,,,23.78,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2008,Alcorn State University,Mississippi,,,23.78,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0
2800680,2009,Alcorn State University,Mississippi,,,24.44,,,,,,,,,,,,,,0.66,0.66,2.7,2.7,0,0,0
2800680,2010,Alcorn State University,Mississippi,1017.0,0.0,25.1,44.78,,61167.0,47600.0,,1.47,93.71,1.87,0.1,1.18,0.0,1.57,0.1,0.66,0.66,2.63,2.63,0,0,0
2800680,2011,Alcorn State University,Mississippi,774.0,0.0,25.1,24.07,,,,,18.86,77.13,2.2,1.03,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2800680,2012,Alcorn State University,Mississippi,774.0,0.0,25.76,24.07,,,,,18.86,77.13,2.2,1.03,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2800680,2013,Alcorn State University,Mississippi,774.0,0.0,25.76,24.07,,,,,18.86,77.13,2.2,1.03,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2800680,2014,Alcorn State University,Mississippi,774.0,0.0,25.76,24.07,,,,,18.86,77.13,2.2,1.03,0.78,0.0,0.0,0.0,0.66,0.66,2.56,2.56,0,0,0
2800680,2015,Alcorn State University,Mississippi,774.0,0.0,26.42,24.07,,,,,18.86,77.13,2.2,1.03,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2800680,2016,Alcorn State University,Mississippi,774.0,0.0,26.42,24.07,,,,,18.86,77.13,2.2,1.03,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2800820,2000,Algoma,Mississippi,508.0,14.98,50.04,19.7,400.0,32333.0,56400.0,18.3,75.2,21.26,2.36,0.0,0.0,0.0,1.18,0.0,0.79,0.79,1.59,1.59,0,0,0
2800820,2001,Algoma,Mississippi,508.0,14.98,52.19,19.7,400.0,32333.0,56400.0,18.3,75.2,21.26,2.36,0.0,0.0,0.0,1.18,0.0,0.09,0.09,0.17,0.17,1,0,0
2800820,2002,Algoma,Mississippi,508.0,14.98,54.1,19.7,400.0,32333.0,56400.0,18.3,75.2,21.26,2.36,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,1,0,0
2800820,2003,Algoma,Mississippi,508.0,14.98,56.24,19.7,400.0,32333.0,56400.0,18.3,75.2,21.26,2.36,0.0,0.0,0.0,1.18,0.0,0.88,0.88,1.57,1.57,0,0,0
2800820,2004,Algoma,Mississippi,508.0,14.98,58.39,19.7,400.0,32333.0,56400.0,18.3,75.2,21.26,2.36,0.0,0.0,0.0,1.18,0.0,1.26,1.26,2.16,2.16,1,0,0
2800820,2005,Algoma,Mississippi,391.0,12.73,60.53,19.28,721.0,34808.0,76300.0,22.5,74.68,22.76,0.51,0.0,0.0,0.0,2.05,0.0,0.47,0.47,0.78,0.78,1,0,0
2800820,2006,Algoma,Mississippi,391.0,12.73,62.36,19.28,721.0,34808.0,76300.0,22.5,74.68,22.76,0.51,0.0,0.0,0.0,2.05,0.0,0.56,0.56,0.9,0.9,1,0,0
2800820,2007,Algoma,Mississippi,391.0,12.73,64.5,19.28,721.0,34808.0,76300.0,22.5,74.68,22.76,0.51,0.0,0.0,0.0,2.05,0.0,0.74,0.74,1.14,1.14,1,0,0
2800820,2008,Algoma,Mississippi,391.0,12.73,66.65,19.28,721.0,34808.0,76300.0,22.5,74.68,22.76,0.51,0.0,0.0,0.0,2.05,0.0,0.56,0.56,0.84,0.84,1,0,0
2800820,2009,Algoma,Mississippi,391.0,12.73,68.56,19.28,721.0,34808.0,76300.0,22.5,74.68,22.76,0.51,0.0,0.0,0.0,2.05,0.0,0.09,0.09,0.13,0.13,1,0,0
2800820,2010,Algoma,Mississippi,590.0,16.54,70.7,30.9,595.0,32500.0,73600.0,26.9,78.64,18.14,1.86,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,1,0,0
2800820,2011,Algoma,Mississippi,677.0,21.14,71.58,30.74,703.0,35714.0,102900.0,23.3,82.13,15.81,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,1,0,0
2800820,2012,Algoma,Mississippi,677.0,21.14,72.7,30.74,703.0,35714.0,102900.0,23.3,82.13,15.81,0.0,0.0,0.0,0.0,2.07,0.0,0.56,0.56,0.77,0.77,1,0,0
2800820,2013,Algoma,Mississippi,677.0,21.14,73.67,30.74,703.0,35714.0,102900.0,23.3,82.13,15.81,0.0,0.0,0.0,0.0,2.07,0.0,1.73,1.73,2.35,2.35,1,0,0
2800820,2014,Algoma,Mississippi,677.0,21.14,74.55,30.74,703.0,35714.0,102900.0,23.3,82.13,15.81,0.0,0.0,0.0,0.0,2.07,0.0,1.59,1.59,2.13,2.13,0,0,0
2800820,2015,Algoma,Mississippi,677.0,21.14,75.67,30.74,703.0,35714.0,102900.0,23.3,82.13,15.81,0.0,0.0,0.0,0.0,2.07,0.0,1.29,1.29,1.71,1.71,1,0,0
2800820,2016,Algoma,Mississippi,677.0,21.14,76.55,30.74,703.0,35714.0,102900.0,23.3,82.13,15.81,0.0,0.0,0.0,0.0,2.07,0.0,0.97,0.97,1.27,1.27,1,0,0
2800940,2000,Alligator,Mississippi,220.0,47.18,24.66,41.56,404.0,16667.0,42500.0,35.6,20.91,77.27,0.0,0.0,0.0,0.0,1.82,0.0,0.65,0.65,2.62,2.62,0,0,0
2800940,2001,Alligator,Mississippi,220.0,47.18,24.78,41.56,404.0,16667.0,42500.0,35.6,20.91,77.27,0.0,0.0,0.0,0.0,1.82,0.0,0.26,0.26,1.04,1.04,0,0,0
2800940,2002,Alligator,Mississippi,220.0,47.18,24.91,41.56,404.0,16667.0,42500.0,35.6,20.91,77.27,0.0,0.0,0.0,0.0,1.82,0.0,0.26,0.13,0.52,1.04,0,0,0
2800940,2003,Alligator,Mississippi,220.0,47.18,25.17,41.56,404.0,16667.0,42500.0,35.6,20.91,77.27,0.0,0.0,0.0,0.0,1.82,0.0,0.13,0.0,0.0,0.51,0,0,0
2800940,2004,Alligator,Mississippi,220.0,47.18,25.3,41.56,404.0,16667.0,42500.0,35.6,20.91,77.27,0.0,0.0,0.0,0.0,1.82,0.0,2.45,1.68,6.63,9.69,0,0,0
2800940,2005,Alligator,Mississippi,127.0,13.79,25.43,26.83,525.0,30313.0,36000.0,19.4,14.17,85.83,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.65,2.54,3.55,0,0,0
2800940,2006,Alligator,Mississippi,127.0,13.79,25.56,26.83,525.0,30313.0,36000.0,19.4,14.17,85.83,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,2.02,2.02,0,0,0
2800940,2007,Alligator,Mississippi,127.0,13.79,25.69,26.83,525.0,30313.0,36000.0,19.4,14.17,85.83,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,3.52,3.52,0,0,0
2800940,2008,Alligator,Mississippi,127.0,13.79,25.95,26.83,525.0,30313.0,36000.0,19.4,14.17,85.83,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,3.48,3.48,0,0,0
2800940,2009,Alligator,Mississippi,127.0,13.79,26.08,26.83,525.0,30313.0,36000.0,19.4,14.17,85.83,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.5,0.5,0,0,0
2800940,2010,Alligator,Mississippi,208.0,39.29,26.2,50.0,678.0,35833.0,56900.0,35.3,15.87,82.21,0.96,0.0,0.48,0.0,0.48,0.0,0.77,0.65,2.46,2.96,0,0,0
2800940,2011,Alligator,Mississippi,328.0,33.33,26.46,40.59,630.0,29250.0,56700.0,50.0,43.29,56.71,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,3.41,3.41,0,0,0
2800940,2012,Alligator,Mississippi,328.0,33.33,26.72,40.59,630.0,29250.0,56700.0,50.0,43.29,56.71,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.77,2.9,2.9,0,0,0
2800940,2013,Alligator,Mississippi,328.0,33.33,27.11,40.59,630.0,29250.0,56700.0,50.0,43.29,56.71,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.39,1.43,1.9,0,0,0
2800940,2014,Alligator,Mississippi,328.0,33.33,27.37,40.59,630.0,29250.0,56700.0,50.0,43.29,56.71,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.13,0.47,1.42,0,0,0
2800940,2015,Alligator,Mississippi,328.0,33.33,27.62,40.59,630.0,29250.0,56700.0,50.0,43.29,56.71,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.03,3.74,3.74,0,0,0
2800940,2016,Alligator,Mississippi,328.0,33.33,27.88,40.59,630.0,29250.0,56700.0,50.0,43.29,56.71,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.46,0.46,0,0,0
2801260,2000,Amory,Mississippi,6956.0,20.71,907.21,30.84,353.0,28789.0,64100.0,23.0,69.42,29.07,0.79,0.12,0.06,0.0,0.53,0.01,10.65,7.73,0.85,1.17,0,0,0
2801260,2001,Amory,Mississippi,6956.0,20.71,,30.84,353.0,28789.0,64100.0,23.0,69.42,29.07,0.79,0.12,0.06,0.0,0.53,0.01,,,,,0,0,0
2801260,2002,Amory,Mississippi,6956.0,20.71,,30.84,353.0,28789.0,64100.0,23.0,69.42,29.07,0.79,0.12,0.06,0.0,0.53,0.01,,,,,0,0,0
2801260,2003,Amory,Mississippi,6956.0,20.71,,30.84,353.0,28789.0,64100.0,23.0,69.42,29.07,0.79,0.12,0.06,0.0,0.53,0.01,,,,,0,0,0
