GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
3000175,2000,Absarokee,Montana,1234.0,7.1,145.0,29.06,448.0,43676.0,117000.0,19.4,96.19,0.08,2.51,0.08,0.16,0.0,0.65,0.32,0.0,0.0,0.0,0.0,0,0,0
3000175,2001,Absarokee,Montana,1234.0,7.1,146.0,29.06,448.0,43676.0,117000.0,19.4,96.19,0.08,2.51,0.08,0.16,0.0,0.65,0.32,1.0,0.0,0.0,0.68,0,0,0
3000175,2002,Absarokee,Montana,1234.0,7.1,148.0,29.06,448.0,43676.0,117000.0,19.4,96.19,0.08,2.51,0.08,0.16,0.0,0.65,0.32,1.0,0.0,0.0,0.68,0,0,0
3000175,2003,Absarokee,Montana,1234.0,7.1,149.0,29.06,448.0,43676.0,117000.0,19.4,96.19,0.08,2.51,0.08,0.16,0.0,0.65,0.32,0.0,0.0,0.0,0.0,0,0,0
3000175,2004,Absarokee,Montana,1234.0,7.1,151.0,29.06,448.0,43676.0,117000.0,19.4,96.19,0.08,2.51,0.08,0.16,0.0,0.65,0.32,2.0,2.0,1.32,1.32,0,0,0
3000175,2005,Absarokee,Montana,1174.0,8.3,152.0,22.01,718.0,50926.0,158600.0,26.4,91.23,0.0,8.77,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.66,0.66,0,0,0
3000175,2006,Absarokee,Montana,1174.0,8.3,153.0,22.01,718.0,50926.0,158600.0,26.4,91.23,0.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3000175,2007,Absarokee,Montana,1174.0,8.3,155.0,22.01,718.0,50926.0,158600.0,26.4,91.23,0.0,8.77,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.65,0.65,0,0,0
3000175,2008,Absarokee,Montana,1174.0,8.3,156.0,22.01,718.0,50926.0,158600.0,26.4,91.23,0.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3000175,2009,Absarokee,Montana,1174.0,8.3,158.0,22.01,718.0,50926.0,158600.0,26.4,91.23,0.0,8.77,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.63,0.63,0,0,0
3000175,2010,Absarokee,Montana,1150.0,6.31,159.0,30.29,527.0,36875.0,162400.0,35.8,94.17,0.0,3.74,0.52,0.17,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0,0,0
3000175,2011,Absarokee,Montana,1068.0,5.29,161.0,27.4,750.0,34961.0,162500.0,29.8,98.31,0.0,1.12,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0,0,0
3000175,2012,Absarokee,Montana,1068.0,5.29,162.0,27.4,750.0,34961.0,162500.0,29.8,98.31,0.0,1.12,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0,0,0
3000175,2013,Absarokee,Montana,1068.0,5.29,164.0,27.4,750.0,34961.0,162500.0,29.8,98.31,0.0,1.12,0.0,0.0,0.0,0.56,0.0,1.0,1.0,0.61,0.61,0,0,0
3000175,2014,Absarokee,Montana,1068.0,5.29,166.0,27.4,750.0,34961.0,162500.0,29.8,98.31,0.0,1.12,0.0,0.0,0.0,0.56,0.0,4.0,2.0,1.2,2.41,0,0,0
3000175,2015,Absarokee,Montana,1068.0,5.29,167.0,27.4,750.0,34961.0,162500.0,29.8,98.31,0.0,1.12,0.0,0.0,0.0,0.56,0.0,3.0,3.0,1.8,1.8,0,0,0
3000175,2016,Absarokee,Montana,1068.0,5.29,169.0,27.4,750.0,34961.0,162500.0,29.8,98.31,0.0,1.12,0.0,0.0,0.0,0.56,0.0,1.0,1.0,0.59,0.59,0,0,0
3000700,2000,Alberton,Montana,374.0,19.6,34.95,33.55,470.0,26000.0,81700.0,25.0,97.33,0.27,0.53,0.8,0.0,0.0,0.8,0.27,0.0,0.0,0.0,0.0,0,0,0
3000700,2001,Alberton,Montana,374.0,19.6,35.41,33.55,470.0,26000.0,81700.0,25.0,97.33,0.27,0.53,0.8,0.0,0.0,0.8,0.27,0.0,0.0,0.0,0.0,0,0,0
3000700,2002,Alberton,Montana,374.0,19.6,35.41,33.55,470.0,26000.0,81700.0,25.0,97.33,0.27,0.53,0.8,0.0,0.0,0.8,0.27,0.91,0.91,2.56,2.56,0,0,0
3000700,2003,Alberton,Montana,374.0,19.6,35.86,33.55,470.0,26000.0,81700.0,25.0,97.33,0.27,0.53,0.8,0.0,0.0,0.8,0.27,0.0,0.0,0.0,0.0,0,0,0
3000700,2004,Alberton,Montana,374.0,19.6,36.31,33.55,470.0,26000.0,81700.0,25.0,97.33,0.27,0.53,0.8,0.0,0.0,0.8,0.27,0.91,0.0,0.0,2.5,0,0,0
3000700,2005,Alberton,Montana,304.0,0.0,36.77,34.38,700.0,41250.0,147200.0,25.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.23,0,0,0
3000700,2006,Alberton,Montana,304.0,0.0,36.77,34.38,700.0,41250.0,147200.0,25.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3000700,2007,Alberton,Montana,304.0,0.0,37.22,34.38,700.0,41250.0,147200.0,25.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3000700,2008,Alberton,Montana,304.0,0.0,37.68,34.38,700.0,41250.0,147200.0,25.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,2.41,2.41,0,0,0
