GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
3700160,2000,Aberdeen,North Carolina,3400.0,13.75,525.13,39.32,571.0,31911.0,95500.0,23.7,71.41,21.71,3.97,0.74,1.21,0.0,0.94,0.03,13.63,13.63,2.6,2.6,1,0,0
3700160,2001,Aberdeen,North Carolina,3400.0,13.75,606.39,39.32,571.0,31911.0,95500.0,23.7,71.41,21.71,3.97,0.74,1.21,0.0,0.94,0.03,19.79,11.71,1.93,3.26,0,0,0
3700160,2002,Aberdeen,North Carolina,3400.0,13.75,688.71,39.32,571.0,31911.0,95500.0,23.7,71.41,21.71,3.97,0.74,1.21,0.0,0.94,0.03,47.21,13.85,2.01,6.85,0,0,0
3700160,2003,Aberdeen,North Carolina,3400.0,13.75,769.13,39.32,571.0,31911.0,95500.0,23.7,71.41,21.71,3.97,0.74,1.21,0.0,0.94,0.03,88.06,20.16,2.62,11.45,0,0,0
3700160,2004,Aberdeen,North Carolina,3400.0,13.75,850.83,39.32,571.0,31911.0,95500.0,23.7,71.41,21.71,3.97,0.74,1.21,0.0,0.94,0.03,65.93,23.42,2.75,7.75,0,0,0
3700160,2005,Aberdeen,North Carolina,5359.0,0.82,933.65,47.16,665.0,33970.0,147200.0,31.6,70.72,20.28,4.87,2.2,0.9,0.0,1.03,0.0,71.89,18.14,1.94,7.7,0,0,0
3700160,2006,Aberdeen,North Carolina,5359.0,0.82,1014.86,47.16,665.0,33970.0,147200.0,31.6,70.72,20.28,4.87,2.2,0.9,0.0,1.03,0.0,92.63,16.03,1.58,9.13,0,0,0
3700160,2007,Aberdeen,North Carolina,5359.0,0.82,1096.55,47.16,665.0,33970.0,147200.0,31.6,70.72,20.28,4.87,2.2,0.9,0.0,1.03,0.0,153.6,19.44,1.77,14.01,0,0,0
3700160,2008,Aberdeen,North Carolina,5359.0,0.82,1176.98,47.16,665.0,33970.0,147200.0,31.6,70.72,20.28,4.87,2.2,0.9,0.0,1.03,0.0,123.09,0.0,0.0,10.46,0,0,0
3700160,2009,Aberdeen,North Carolina,5359.0,0.82,1259.3,47.16,665.0,33970.0,147200.0,31.6,70.72,20.28,4.87,2.2,0.9,0.0,1.03,0.0,67.81,19.26,1.53,5.38,0,0,0
3700160,2010,Aberdeen,North Carolina,6350.0,5.63,1340.55,52.08,749.0,34026.0,168700.0,29.5,64.82,24.46,5.09,1.29,1.7,0.0,2.36,0.28,105.13,37.94,2.83,7.84,0,0,0
3700160,2011,Aberdeen,North Carolina,6914.0,9.14,1381.68,56.51,772.0,46932.0,177200.0,24.1,63.88,20.35,5.08,0.0,4.76,0.0,5.93,0.0,116.99,31.56,2.28,8.47,0,0,0
3700160,2012,Aberdeen,North Carolina,6914.0,9.14,1422.96,56.51,772.0,46932.0,177200.0,24.1,63.88,20.35,5.08,0.0,4.76,0.0,5.93,0.0,71.21,17.08,1.2,5.0,0,0,0
3700160,2013,Aberdeen,North Carolina,6914.0,9.14,1465.8,56.51,772.0,46932.0,177200.0,24.1,63.88,20.35,5.08,0.0,4.76,0.0,5.93,0.0,81.57,12.59,0.86,5.56,0,0,0
