GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
3300980,2000,Alton,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3300980,2001,Alton,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3300980,2002,Alton,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3300980,2003,Alton,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3300980,2004,Alton,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3300980,2005,Alton,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3300980,2006,Alton,New Hampshire,,,24.23,,,,,,,,,,,,,,0.74,0.38,1.58,3.06,0,0,0
3300980,2007,Alton,New Hampshire,,,24.43,,,,,,,,,,,,,,0.47,0.38,1.56,1.94,0,0,0
3300980,2008,Alton,New Hampshire,,,24.66,,,,,,,,,,,,,,1.02,0.97,3.93,4.14,0,0,0
3300980,2009,Alton,New Hampshire,,,24.99,,,,,,,,,,,,,,0.64,0.59,2.35,2.55,0,0,0
3300980,2010,Alton,New Hampshire,501.0,0.0,25.13,46.26,248.0,65443.0,233900.0,25.2,98.2,0.2,0.8,0.0,0.4,0.0,0.4,0.0,0.84,0.69,2.73,3.33,0,0,0
3300980,2011,Alton,New Hampshire,154.0,0.0,25.76,48.57,773.0,41429.0,170000.0,30.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,1.24,1.24,0,0,0
3300980,2012,Alton,New Hampshire,154.0,0.0,26.38,48.57,773.0,41429.0,170000.0,30.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.65,2.47,2.47,0,0,0
3300980,2013,Alton,New Hampshire,154.0,0.0,27.18,48.57,773.0,41429.0,170000.0,30.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.78,2.88,2.88,0,0,0
3300980,2014,Alton,New Hampshire,154.0,0.0,27.8,48.57,773.0,41429.0,170000.0,30.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,3.24,3.24,0,0,0
3300980,2015,Alton,New Hampshire,154.0,0.0,,48.57,773.0,41429.0,170000.0,30.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
3300980,2016,Alton,New Hampshire,154.0,0.0,,48.57,773.0,41429.0,170000.0,30.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
3301220,2000,Amherst,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3301220,2001,Amherst,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3301220,2002,Amherst,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3301220,2003,Amherst,New Hampshire,,,,,,,,,,,,,,,,,,,,,0,0,0
3301220,2004,Amherst,New Hampshire,,,15.16,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1,0,0
3301220,2005,Amherst,New Hampshire,,,15.87,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1,0,0
3301220,2006,Amherst,New Hampshire,,,16.35,,,,,,,,,,,,,,0.12,0.0,0.0,0.75,0,0,0
3301220,2007,Amherst,New Hampshire,,,16.82,,,,,,,,,,,,,,0.71,0.59,3.5,4.23,0,0,0
3301220,2008,Amherst,New Hampshire,,,17.3,,,,,,,,,,,,,,0.23,0.23,1.35,1.35,0,0,0
3301220,2009,Amherst,New Hampshire,,,17.78,,,,,,,,,,,,,,0.37,0.37,2.06,2.06,1,0,0
3301220,2010,Amherst,New Hampshire,613.0,4.41,,12.45,1653.0,100781.0,443800.0,23.5,98.37,0.0,0.82,0.0,0.65,0.0,0.16,0.0,,,,,0,0,0
3301220,2011,Amherst,New Hampshire,558.0,0.0,,10.13,,112344.0,344300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
3301220,2012,Amherst,New Hampshire,558.0,0.0,,10.13,,112344.0,344300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
3301220,2013,Amherst,New Hampshire,558.0,0.0,,10.13,,112344.0,344300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
3301220,2014,Amherst,New Hampshire,558.0,0.0,,10.13,,112344.0,344300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
3301220,2015,Amherst,New Hampshire,558.0,0.0,,10.13,,112344.0,344300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
3301220,2016,Amherst,New Hampshire,558.0,0.0,,10.13,,112344.0,344300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
3301620,2000,Antrim,New Hampshire,1389.0,13.8,,35.74,493.0,41042.0,94800.0,26.1,97.34,0.29,0.43,0.58,0.22,0.0,1.08,0.07,,,,,0,0,0
3301620,2001,Antrim,New Hampshire,1389.0,13.8,,35.74,493.0,41042.0,94800.0,26.1,97.34,0.29,0.43,0.58,0.22,0.0,1.08,0.07,,,,,0,0,0
