GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
3400100,2000,Absecon,New Jersey,7638.0,4.84,,14.5,792.0,55745.0,123000.0,25.0,81.84,5.62,3.77,0.1,7.45,0.0,1.19,0.03,,,,,0,0,0
3400100,2001,Absecon,New Jersey,7638.0,4.84,409.0,14.5,792.0,55745.0,123000.0,25.0,81.84,5.62,3.77,0.1,7.45,0.0,1.19,0.03,36.0,7.0,1.71,8.8,0,0,0
3400100,2002,Absecon,New Jersey,7638.0,4.84,416.0,14.5,792.0,55745.0,123000.0,25.0,81.84,5.62,3.77,0.1,7.45,0.0,1.19,0.03,46.0,7.0,1.68,11.06,0,0,0
3400100,2003,Absecon,New Jersey,7638.0,4.84,423.0,14.5,792.0,55745.0,123000.0,25.0,81.84,5.62,3.77,0.1,7.45,0.0,1.19,0.03,57.0,5.0,1.18,13.48,0,0,0
3400100,2004,Absecon,New Jersey,7638.0,4.84,429.0,14.5,792.0,55745.0,123000.0,25.0,81.84,5.62,3.77,0.1,7.45,0.0,1.19,0.03,54.0,1.0,0.23,12.59,0,0,0
3400100,2005,Absecon,New Jersey,8179.0,5.91,437.0,13.99,1247.0,69782.0,259100.0,33.3,72.03,9.52,7.38,0.35,9.15,0.0,1.56,0.0,49.0,0.0,0.0,11.21,0,0,0
3400100,2006,Absecon,New Jersey,8179.0,5.91,443.0,13.99,1247.0,69782.0,259100.0,33.3,72.03,9.52,7.38,0.35,9.15,0.0,1.56,0.0,82.0,0.0,0.0,18.51,0,0,0
3400100,2007,Absecon,New Jersey,8179.0,5.91,449.0,13.99,1247.0,69782.0,259100.0,33.3,72.03,9.52,7.38,0.35,9.15,0.0,1.56,0.0,34.0,0.0,0.0,7.57,0,0,0
3400100,2008,Absecon,New Jersey,8179.0,5.91,456.0,13.99,1247.0,69782.0,259100.0,33.3,72.03,9.52,7.38,0.35,9.15,0.0,1.56,0.0,41.0,0.0,0.0,8.99,0,0,0
3400100,2009,Absecon,New Jersey,8179.0,5.91,463.0,13.99,1247.0,69782.0,259100.0,33.3,72.03,9.52,7.38,0.35,9.15,0.0,1.56,0.0,36.0,0.0,0.0,7.78,0,0,0
3400100,2010,Absecon,New Jersey,8411.0,2.16,470.0,14.78,1334.0,63602.0,246600.0,28.9,73.02,9.37,7.5,0.19,7.87,0.0,1.83,0.21,64.0,0.0,0.0,13.62,0,0,0
3400100,2011,Absecon,New Jersey,8394.0,2.81,488.0,15.8,1312.0,63656.0,206900.0,40.6,75.27,5.05,10.86,0.1,6.02,0.0,0.5,2.2,58.0,0.0,0.0,11.89,0,0,0
3400100,2012,Absecon,New Jersey,8394.0,2.81,504.0,15.8,1312.0,63656.0,206900.0,40.6,75.27,5.05,10.86,0.1,6.02,0.0,0.5,2.2,57.0,0.0,0.0,11.31,0,0,0
3400100,2013,Absecon,New Jersey,8394.0,2.81,524.0,15.8,1312.0,63656.0,206900.0,40.6,75.27,5.05,10.86,0.1,6.02,0.0,0.5,2.2,59.0,1.0,0.19,11.26,0,0,0
3400100,2014,Absecon,New Jersey,8394.0,2.81,539.0,15.8,1312.0,63656.0,206900.0,40.6,75.27,5.05,10.86,0.1,6.02,0.0,0.5,2.2,61.0,0.0,0.0,11.32,0,0,0
3400100,2015,Absecon,New Jersey,8394.0,2.81,558.0,15.8,1312.0,63656.0,206900.0,40.6,75.27,5.05,10.86,0.1,6.02,0.0,0.5,2.2,55.0,0.0,0.0,9.86,0,0,0
3400100,2016,Absecon,New Jersey,8394.0,2.81,573.0,15.8,1312.0,63656.0,206900.0,40.6,75.27,5.05,10.86,0.1,6.02,0.0,0.5,2.2,58.0,0.0,0.0,10.12,0,0,0
3400640,2000,Allamuchy,New Jersey,,,,,,,,,,,,,,,,,,,,,0,0,0
3400640,2001,Allamuchy,New Jersey,,,6.92,,,,,,,,,,,,,,0.23,0.0,0.0,3.3,0,0,0
3400640,2002,Allamuchy,New Jersey,,,7.15,,,,,,,,,,,,,,0.3,0.0,0.0,4.26,0,0,0
3400640,2003,Allamuchy,New Jersey,,,,,,,,,,,,,,,,,,,,,0,0,0
3400640,2004,Allamuchy,New Jersey,,,,,,,,,,,,,,,,,,,,,0,0,0
3400640,2005,Allamuchy,New Jersey,,,,,,,,,,,,,,,,,,,,,0,0,0
3400640,2006,Allamuchy,New Jersey,,,8.14,,,,,,,,,,,,,,0.38,0.08,0.93,4.67,0,0,0
3400640,2007,Allamuchy,New Jersey,,,8.37,,,,,,,,,,,,,,0.15,0.0,0.0,1.82,0,0,0
