GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
3900142,2000,Aberdeen,Ohio,1603.0,21.88,,39.62,386.0,30202.0,88300.0,23.3,96.32,1.37,1.25,0.44,0.19,0.0,0.37,0.06,,,,,0,0,0
3900142,2001,Aberdeen,Ohio,1603.0,21.88,239.48,39.62,386.0,30202.0,88300.0,23.3,96.32,1.37,1.25,0.44,0.19,0.0,0.37,0.06,13.4,5.33,2.23,5.6,0,0,0
3900142,2002,Aberdeen,Ohio,1603.0,21.88,244.82,39.62,386.0,30202.0,88300.0,23.3,96.32,1.37,1.25,0.44,0.19,0.0,0.37,0.06,8.42,7.17,2.93,3.44,0,0,0
3900142,2003,Aberdeen,Ohio,1603.0,21.88,,39.62,386.0,30202.0,88300.0,23.3,96.32,1.37,1.25,0.44,0.19,0.0,0.37,0.06,,,,,0,0,0
3900142,2004,Aberdeen,Ohio,1603.0,21.88,,39.62,386.0,30202.0,88300.0,23.3,96.32,1.37,1.25,0.44,0.19,0.0,0.37,0.06,,,,,0,0,0
3900142,2005,Aberdeen,Ohio,1615.0,19.95,,49.47,519.0,33424.0,101800.0,28.6,97.15,2.04,0.37,0.0,0.0,0.0,0.43,0.0,,,,,0,0,0
3900142,2006,Aberdeen,Ohio,1615.0,19.95,,49.47,519.0,33424.0,101800.0,28.6,97.15,2.04,0.37,0.0,0.0,0.0,0.43,0.0,,,,,0,0,0
3900142,2007,Aberdeen,Ohio,1615.0,19.95,,49.47,519.0,33424.0,101800.0,28.6,97.15,2.04,0.37,0.0,0.0,0.0,0.43,0.0,,,,,0,0,0
3900142,2008,Aberdeen,Ohio,1615.0,19.95,,49.47,519.0,33424.0,101800.0,28.6,97.15,2.04,0.37,0.0,0.0,0.0,0.43,0.0,,,,,0,0,0
3900142,2009,Aberdeen,Ohio,1615.0,19.95,,49.47,519.0,33424.0,101800.0,28.6,97.15,2.04,0.37,0.0,0.0,0.0,0.43,0.0,,,,,0,0,0
