GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
4000100,2000,Achille,Oklahoma,506.0,34.54,33.9,18.92,298.0,19875.0,38400.0,27.5,71.15,0.2,0.59,22.33,0.4,0.0,5.34,0.0,0.0,0.0,0.0,0.0,0,0,0
4000100,2001,Achille,Oklahoma,506.0,34.54,33.9,18.92,298.0,19875.0,38400.0,27.5,71.15,0.2,0.59,22.33,0.4,0.0,5.34,0.0,0.56,0.0,0.0,1.67,0,0,0
4000100,2002,Achille,Oklahoma,506.0,34.54,33.9,18.92,298.0,19875.0,38400.0,27.5,71.15,0.2,0.59,22.33,0.4,0.0,5.34,0.0,1.13,0.0,0.0,3.33,0,0,0
4000100,2003,Achille,Oklahoma,506.0,34.54,33.9,18.92,298.0,19875.0,38400.0,27.5,71.15,0.2,0.59,22.33,0.4,0.0,5.34,0.0,0.0,0.0,0.0,0.0,0,0,0
4000100,2004,Achille,Oklahoma,506.0,34.54,33.9,18.92,298.0,19875.0,38400.0,27.5,71.15,0.2,0.59,22.33,0.4,0.0,5.34,0.0,0.0,0.0,0.0,0.0,0,0,0
4000100,2005,Achille,Oklahoma,412.0,10.26,34.46,20.65,625.0,27708.0,44700.0,27.5,66.26,4.61,0.73,4.85,0.49,0.0,23.06,0.0,0.56,0.56,1.64,1.64,0,0,0
4000100,2006,Achille,Oklahoma,412.0,10.26,34.46,20.65,625.0,27708.0,44700.0,27.5,66.26,4.61,0.73,4.85,0.49,0.0,23.06,0.0,0.0,0.0,0.0,0.0,0,0,0
4000100,2007,Achille,Oklahoma,412.0,10.26,34.46,20.65,625.0,27708.0,44700.0,27.5,66.26,4.61,0.73,4.85,0.49,0.0,23.06,0.0,0.0,0.0,0.0,0.0,0,0,0
4000100,2008,Achille,Oklahoma,412.0,10.26,34.46,20.65,625.0,27708.0,44700.0,27.5,66.26,4.61,0.73,4.85,0.49,0.0,23.06,0.0,0.0,0.0,0.0,0.0,0,0,0
4000100,2009,Achille,Oklahoma,412.0,10.26,34.46,20.65,625.0,27708.0,44700.0,27.5,66.26,4.61,0.73,4.85,0.49,0.0,23.06,0.0,0.56,0.56,1.64,1.64,0,0,0
