GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
4100275,2000,Adair Village,Oregon,536.0,8.96,,55.88,762.0,49000.0,137500.0,19.1,84.89,0.75,4.48,2.43,1.31,1.49,4.66,0.0,,,,,0,0,0
4100275,2001,Adair Village,Oregon,536.0,8.96,58.91,55.88,762.0,49000.0,137500.0,19.1,84.89,0.75,4.48,2.43,1.31,1.49,4.66,0.0,0.39,0.0,0.0,0.66,1,0,0
4100275,2002,Adair Village,Oregon,536.0,8.96,59.69,55.88,762.0,49000.0,137500.0,19.1,84.89,0.75,4.48,2.43,1.31,1.49,4.66,0.0,0.0,0.0,0.0,0.0,1,0,0
4100275,2003,Adair Village,Oregon,536.0,8.96,60.47,55.88,762.0,49000.0,137500.0,19.1,84.89,0.75,4.48,2.43,1.31,1.49,4.66,0.0,1.17,0.39,0.65,1.94,1,0,0
4100275,2004,Adair Village,Oregon,536.0,8.96,61.25,55.88,762.0,49000.0,137500.0,19.1,84.89,0.75,4.48,2.43,1.31,1.49,4.66,0.0,0.39,0.39,0.64,0.64,1,0,0
4100275,2005,Adair Village,Oregon,651.0,7.89,62.03,46.34,977.0,55000.0,197700.0,28.7,90.32,1.23,2.15,2.0,2.15,0.0,2.15,0.0,0.78,0.78,1.26,1.26,1,0,0
4100275,2006,Adair Village,Oregon,651.0,7.89,62.42,46.34,977.0,55000.0,197700.0,28.7,90.32,1.23,2.15,2.0,2.15,0.0,2.15,0.0,0.0,0.0,0.0,0.0,1,0,0
4100275,2007,Adair Village,Oregon,651.0,7.89,63.2,46.34,977.0,55000.0,197700.0,28.7,90.32,1.23,2.15,2.0,2.15,0.0,2.15,0.0,0.78,0.78,1.23,1.23,1,0,0
4100275,2008,Adair Village,Oregon,651.0,7.89,63.98,46.34,977.0,55000.0,197700.0,28.7,90.32,1.23,2.15,2.0,2.15,0.0,2.15,0.0,0.78,0.0,0.0,1.22,1,0,0
4100275,2009,Adair Village,Oregon,651.0,7.89,64.76,46.34,977.0,55000.0,197700.0,28.7,90.32,1.23,2.15,2.0,2.15,0.0,2.15,0.0,0.78,0.78,1.2,1.2,1,0,0
4100275,2010,Adair Village,Oregon,840.0,13.19,65.54,37.28,1101.0,63787.0,208500.0,26.5,84.17,1.19,6.67,1.07,1.9,0.12,4.64,0.24,1.17,0.78,1.19,1.79,1,0,0
4100275,2011,Adair Village,Oregon,828.0,12.44,67.5,35.09,1101.0,57150.0,198100.0,25.5,79.59,6.16,4.95,0.97,3.26,0.0,5.07,0.0,1.17,1.17,1.73,1.73,1,0,0
4100275,2012,Adair Village,Oregon,828.0,12.44,69.45,35.09,1101.0,57150.0,198100.0,25.5,79.59,6.16,4.95,0.97,3.26,0.0,5.07,0.0,1.17,0.78,1.12,1.69,1,0,0
4100275,2013,Adair Village,Oregon,828.0,12.44,71.4,35.09,1101.0,57150.0,198100.0,25.5,79.59,6.16,4.95,0.97,3.26,0.0,5.07,0.0,1.17,0.39,0.55,1.64,1,0,0
4100275,2014,Adair Village,Oregon,828.0,12.44,72.96,35.09,1101.0,57150.0,198100.0,25.5,79.59,6.16,4.95,0.97,3.26,0.0,5.07,0.0,1.56,0.78,1.07,2.14,1,0,0
4100275,2015,Adair Village,Oregon,828.0,12.44,74.91,35.09,1101.0,57150.0,198100.0,25.5,79.59,6.16,4.95,0.97,3.26,0.0,5.07,0.0,0.39,0.0,0.0,0.52,1,0,0
4100275,2016,Adair Village,Oregon,828.0,12.44,76.86,35.09,1101.0,57150.0,198100.0,25.5,79.59,6.16,4.95,0.97,3.26,0.0,5.07,0.0,1.95,1.17,1.52,2.54,1,0,0
4100350,2000,Adams,Oregon,297.0,6.44,,17.92,556.0,42500.0,92000.0,19.2,95.96,0.0,0.34,2.02,0.67,0.0,1.01,0.0,,,,,0,0,0
4100350,2001,Adams,Oregon,297.0,6.44,28.4,17.92,556.0,42500.0,92000.0,19.2,95.96,0.0,0.34,2.02,0.67,0.0,1.01,0.0,0.68,0.68,2.38,2.38,1,0,0
4100350,2002,Adams,Oregon,297.0,6.44,28.74,17.92,556.0,42500.0,92000.0,19.2,95.96,0.0,0.34,2.02,0.67,0.0,1.01,0.0,1.69,1.01,3.53,5.88,0,0,0
4100350,2003,Adams,Oregon,297.0,6.44,29.42,17.92,556.0,42500.0,92000.0,19.2,95.96,0.0,0.34,2.02,0.67,0.0,1.01,0.0,1.35,0.34,1.15,4.6,0,0,0
4100350,2004,Adams,Oregon,297.0,6.44,30.09,17.92,556.0,42500.0,92000.0,19.2,95.96,0.0,0.34,2.02,0.67,0.0,1.01,0.0,1.35,0.68,2.25,4.49,0,0,0
4100350,2005,Adams,Oregon,336.0,2.13,30.77,10.45,606.0,60417.0,157800.0,50.0,94.94,0.0,2.38,0.6,0.3,0.0,1.79,0.0,2.03,0.68,2.2,6.59,0,0,0
4100350,2006,Adams,Oregon,336.0,2.13,31.11,10.45,606.0,60417.0,157800.0,50.0,94.94,0.0,2.38,0.6,0.3,0.0,1.79,0.0,1.01,0.68,2.17,3.26,0,0,0
4100350,2007,Adams,Oregon,336.0,2.13,31.78,10.45,606.0,60417.0,157800.0,50.0,94.94,0.0,2.38,0.6,0.3,0.0,1.79,0.0,0.0,0.0,0.0,0.0,1,0,0
4100350,2008,Adams,Oregon,336.0,2.13,32.46,10.45,606.0,60417.0,157800.0,50.0,94.94,0.0,2.38,0.6,0.3,0.0,1.79,0.0,1.69,1.01,3.13,5.21,0,0,0
4100350,2009,Adams,Oregon,336.0,2.13,32.8,10.45,606.0,60417.0,157800.0,50.0,94.94,0.0,2.38,0.6,0.3,0.0,1.79,0.0,0.34,0.34,1.03,1.03,0,0,0
4100350,2010,Adams,Oregon,350.0,3.92,33.47,21.8,1094.0,83182.0,161700.0,18.1,87.71,0.29,6.86,2.0,0.0,0.0,3.14,0.0,1.01,0.68,2.02,3.03,0,0,0
