GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
4500100,2000,Abbeville,South Carolina,5840.0,19.85,,34.77,372.0,25756.0,59200.0,28.6,50.21,48.15,0.75,0.12,0.26,0.02,0.45,0.05,,,,,0,0,0
4500100,2001,Abbeville,South Carolina,5840.0,19.85,,34.77,372.0,25756.0,59200.0,28.6,50.21,48.15,0.75,0.12,0.26,0.02,0.45,0.05,,,,,0,0,0
4500100,2002,Abbeville,South Carolina,5840.0,19.85,,34.77,372.0,25756.0,59200.0,28.6,50.21,48.15,0.75,0.12,0.26,0.02,0.45,0.05,,,,,0,0,0
4500100,2003,Abbeville,South Carolina,5840.0,19.85,,34.77,372.0,25756.0,59200.0,28.6,50.21,48.15,0.75,0.12,0.26,0.02,0.45,0.05,,,,,0,0,0
4500100,2004,Abbeville,South Carolina,5840.0,19.85,,34.77,372.0,25756.0,59200.0,28.6,50.21,48.15,0.75,0.12,0.26,0.02,0.45,0.05,,,,,0,0,0
4500100,2005,Abbeville,South Carolina,5549.0,34.76,,29.94,526.0,22155.0,79800.0,50.0,46.73,50.01,1.35,0.0,0.34,0.0,1.57,0.0,,,,,0,0,0
4500100,2006,Abbeville,South Carolina,5549.0,34.76,,29.94,526.0,22155.0,79800.0,50.0,46.73,50.01,1.35,0.0,0.34,0.0,1.57,0.0,,,,,0,0,0
4500100,2007,Abbeville,South Carolina,5549.0,34.76,,29.94,526.0,22155.0,79800.0,50.0,46.73,50.01,1.35,0.0,0.34,0.0,1.57,0.0,,,,,0,0,0
4500100,2008,Abbeville,South Carolina,5549.0,34.76,,29.94,526.0,22155.0,79800.0,50.0,46.73,50.01,1.35,0.0,0.34,0.0,1.57,0.0,,,,,0,0,0
4500100,2009,Abbeville,South Carolina,5549.0,34.76,,29.94,526.0,22155.0,79800.0,50.0,46.73,50.01,1.35,0.0,0.34,0.0,1.57,0.0,,,,,0,0,0
4500100,2010,Abbeville,South Carolina,5237.0,31.05,775.64,40.68,613.0,22389.0,87600.0,45.3,46.65,50.28,0.92,0.19,0.44,0.0,1.39,0.13,136.34,16.12,2.08,17.58,0,0,0
4500100,2011,Abbeville,South Carolina,5197.0,34.59,784.11,38.18,486.0,20440.0,73100.0,50.0,41.45,56.67,0.17,0.12,0.0,0.0,1.6,0.0,151.4,2.49,0.32,19.31,0,0,0
4500100,2012,Abbeville,South Carolina,5197.0,34.59,791.2,38.18,486.0,20440.0,73100.0,50.0,41.45,56.67,0.17,0.12,0.0,0.0,1.6,0.0,139.1,0.3,0.04,17.58,0,0,0
4500100,2013,Abbeville,South Carolina,5197.0,34.59,799.67,38.18,486.0,20440.0,73100.0,50.0,41.45,56.67,0.17,0.12,0.0,0.0,1.6,0.0,137.16,25.54,3.19,17.15,0,0,0
4500100,2014,Abbeville,South Carolina,5197.0,34.59,804.88,38.18,486.0,20440.0,73100.0,50.0,41.45,56.67,0.17,0.12,0.0,0.0,1.6,0.0,130.95,21.97,2.73,16.27,0,0,0
4500100,2015,Abbeville,South Carolina,5197.0,34.59,812.73,38.18,486.0,20440.0,73100.0,50.0,41.45,56.67,0.17,0.12,0.0,0.0,1.6,0.0,97.45,38.11,4.69,11.99,0,0,0
4500100,2016,Abbeville,South Carolina,5197.0,34.59,820.44,38.18,486.0,20440.0,73100.0,50.0,41.45,56.67,0.17,0.12,0.0,0.0,1.6,0.0,121.21,57.53,7.01,14.77,0,0,0
4500550,2000,Aiken,South Carolina,25337.0,14.38,,33.86,546.0,44172.0,110600.0,24.7,65.88,30.09,1.49,0.23,1.26,0.01,0.96,0.07,,,,,0,0,0
4500550,2001,Aiken,South Carolina,25337.0,14.38,,33.86,546.0,44172.0,110600.0,24.7,65.88,30.09,1.49,0.23,1.26,0.01,0.96,0.07,,,,,0,0,0
4500550,2002,Aiken,South Carolina,25337.0,14.38,,33.86,546.0,44172.0,110600.0,24.7,65.88,30.09,1.49,0.23,1.26,0.01,0.96,0.07,,,,,0,0,0
4500550,2003,Aiken,South Carolina,25337.0,14.38,,33.86,546.0,44172.0,110600.0,24.7,65.88,30.09,1.49,0.23,1.26,0.01,0.96,0.07,,,,,0,0,0
4500550,2004,Aiken,South Carolina,25337.0,14.38,,33.86,546.0,44172.0,110600.0,24.7,65.88,30.09,1.49,0.23,1.26,0.01,0.96,0.07,,,,,0,0,0
4500550,2005,Aiken,South Carolina,28884.0,12.19,,32.21,703.0,52601.0,165500.0,26.9,65.6,29.21,1.99,0.04,2.1,0.0,0.88,0.17,,,,,0,0,0
4500550,2006,Aiken,South Carolina,28884.0,12.19,,32.21,703.0,52601.0,165500.0,26.9,65.6,29.21,1.99,0.04,2.1,0.0,0.88,0.17,,,,,0,0,0
4500550,2007,Aiken,South Carolina,28884.0,12.19,,32.21,703.0,52601.0,165500.0,26.9,65.6,29.21,1.99,0.04,2.1,0.0,0.88,0.17,,,,,0,0,0
4500550,2008,Aiken,South Carolina,28884.0,12.19,,32.21,703.0,52601.0,165500.0,26.9,65.6,29.21,1.99,0.04,2.1,0.0,0.88,0.17,,,,,0,0,0
4500550,2009,Aiken,South Carolina,28884.0,12.19,4122.62,32.21,703.0,52601.0,165500.0,26.9,65.6,29.21,1.99,0.04,2.1,0.0,0.88,0.17,382.27,109.78,2.66,9.27,0,0,0
4500550,2010,Aiken,South Carolina,29524.0,11.76,4204.04,34.02,825.0,53825.0,181200.0,29.4,65.45,28.25,2.6,0.33,1.91,0.07,1.27,0.11,627.28,208.64,4.96,14.92,0,0,0
4500550,2011,Aiken,South Carolina,30183.0,10.72,4277.98,29.18,834.0,55502.0,175200.0,34.8,64.74,29.13,2.79,0.05,1.99,0.16,1.15,0.0,621.68,226.59,5.3,14.53,0,0,0
4500550,2012,Aiken,South Carolina,30183.0,10.72,4347.58,29.18,834.0,55502.0,175200.0,34.8,64.74,29.13,2.79,0.05,1.99,0.16,1.15,0.0,682.53,271.9,6.25,15.7,0,0,0
4500550,2013,Aiken,South Carolina,30183.0,10.72,4425.37,29.18,834.0,55502.0,175200.0,34.8,64.74,29.13,2.79,0.05,1.99,0.16,1.15,0.0,682.87,276.16,6.24,15.43,0,0,0
4500550,2014,Aiken,South Carolina,30183.0,10.72,4491.99,29.18,834.0,55502.0,175200.0,34.8,64.74,29.13,2.79,0.05,1.99,0.16,1.15,0.0,739.48,354.26,7.89,16.46,0,0,0
4500550,2015,Aiken,South Carolina,30183.0,10.72,4565.09,29.18,834.0,55502.0,175200.0,34.8,64.74,29.13,2.79,0.05,1.99,0.16,1.15,0.0,609.73,308.27,6.75,13.36,0,0,0
4500550,2016,Aiken,South Carolina,30183.0,10.72,4635.53,29.18,834.0,55502.0,175200.0,34.8,64.74,29.13,2.79,0.05,1.99,0.16,1.15,0.0,725.79,465.05,10.03,15.66,0,0,0
4500775,2000,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2001,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2002,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2003,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2004,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2005,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2006,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2007,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2008,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2009,Alcolu,South Carolina,,,,,,,,,,,,,,,,,,,,,0,0,0
4500775,2010,Alcolu,South Carolina,429.0,4.5,51.39,33.94,573.0,36292.0,162900.0,32.3,44.29,51.28,3.26,0.0,0.7,0.0,0.47,0.0,7.49,3.21,6.25,14.58,0,0,0
4500775,2011,Alcolu,South Carolina,470.0,15.67,53.53,48.73,407.0,23750.0,152300.0,33.6,29.79,47.02,23.19,0.0,0.0,0.0,0.0,0.0,5.35,1.07,2.0,10.0,0,0,0
4500775,2012,Alcolu,South Carolina,470.0,15.67,55.32,48.73,407.0,23750.0,152300.0,33.6,29.79,47.02,23.19,0.0,0.0,0.0,0.0,0.0,12.49,3.21,5.81,22.58,0,0,0
