GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
4600100,2000,Aberdeen,South Dakota,24658.0,10.53,,40.78,373.0,33276.0,72800.0,22.0,94.12,0.36,0.79,3.14,0.54,0.11,0.92,0.02,,,,,0,0,0
4600100,2001,Aberdeen,South Dakota,24658.0,10.53,,40.78,373.0,33276.0,72800.0,22.0,94.12,0.36,0.79,3.14,0.54,0.11,0.92,0.02,,,,,0,0,0
4600100,2002,Aberdeen,South Dakota,24658.0,10.53,,40.78,373.0,33276.0,72800.0,22.0,94.12,0.36,0.79,3.14,0.54,0.11,0.92,0.02,,,,,0,0,0
4600100,2003,Aberdeen,South Dakota,24658.0,10.53,,40.78,373.0,33276.0,72800.0,22.0,94.12,0.36,0.79,3.14,0.54,0.11,0.92,0.02,,,,,0,0,0
4600100,2004,Aberdeen,South Dakota,24658.0,10.53,,40.78,373.0,33276.0,72800.0,22.0,94.12,0.36,0.79,3.14,0.54,0.11,0.92,0.02,,,,,0,0,0
4600100,2005,Aberdeen,South Dakota,24865.0,8.16,,37.96,448.0,41514.0,106000.0,22.2,92.54,0.08,1.56,3.58,0.66,0.0,1.58,0.0,,,,,0,0,0
4600100,2006,Aberdeen,South Dakota,24865.0,8.16,,37.96,448.0,41514.0,106000.0,22.2,92.54,0.08,1.56,3.58,0.66,0.0,1.58,0.0,,,,,0,0,0
4600100,2007,Aberdeen,South Dakota,24865.0,8.16,,37.96,448.0,41514.0,106000.0,22.2,92.54,0.08,1.56,3.58,0.66,0.0,1.58,0.0,,,,,0,0,0
4600100,2008,Aberdeen,South Dakota,24865.0,8.16,,37.96,448.0,41514.0,106000.0,22.2,92.54,0.08,1.56,3.58,0.66,0.0,1.58,0.0,,,,,0,0,0
4600100,2009,Aberdeen,South Dakota,24865.0,8.16,,37.96,448.0,41514.0,106000.0,22.2,92.54,0.08,1.56,3.58,0.66,0.0,1.58,0.0,,,,,0,0,0
4600100,2010,Aberdeen,South Dakota,26091.0,5.6,4492.01,40.1,508.0,46073.0,133200.0,23.2,91.06,0.66,1.58,3.53,1.25,0.16,1.69,0.06,6.85,,,0.15,0,0,0
4600100,2011,Aberdeen,South Dakota,27418.0,7.07,4586.57,38.31,602.0,47290.0,136200.0,25.9,88.33,1.42,2.49,4.17,2.47,0.03,1.08,0.01,4.85,,,0.11,0,0,0
4600100,2012,Aberdeen,South Dakota,27418.0,7.07,4681.03,38.31,602.0,47290.0,136200.0,25.9,88.33,1.42,2.49,4.17,2.47,0.03,1.08,0.01,6.0,,,0.13,0,0,0
4600100,2013,Aberdeen,South Dakota,27418.0,7.07,4778.6,38.31,602.0,47290.0,136200.0,25.9,88.33,1.42,2.49,4.17,2.47,0.03,1.08,0.01,7.99,,,0.17,0,0,0
4600100,2014,Aberdeen,South Dakota,27418.0,7.07,4868.37,38.31,602.0,47290.0,136200.0,25.9,88.33,1.42,2.49,4.17,2.47,0.03,1.08,0.01,5.26,,,0.11,0,0,0
4600100,2015,Aberdeen,South Dakota,27418.0,7.07,4965.62,38.31,602.0,47290.0,136200.0,25.9,88.33,1.42,2.49,4.17,2.47,0.03,1.08,0.01,13.63,,,0.27,0,0,0
4600100,2016,Aberdeen,South Dakota,27418.0,7.07,5057.39,38.31,602.0,47290.0,136200.0,25.9,88.33,1.42,2.49,4.17,2.47,0.03,1.08,0.01,15.92,,,0.31,0,0,0
4600460,2000,Agar,South Dakota,82.0,7.14,,21.95,333.0,28125.0,12800.0,24.0,96.34,0.0,2.44,1.22,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2001,Agar,South Dakota,82.0,7.14,,21.95,333.0,28125.0,12800.0,24.0,96.34,0.0,2.44,1.22,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2002,Agar,South Dakota,82.0,7.14,,21.95,333.0,28125.0,12800.0,24.0,96.34,0.0,2.44,1.22,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2003,Agar,South Dakota,82.0,7.14,,21.95,333.0,28125.0,12800.0,24.0,96.34,0.0,2.44,1.22,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2004,Agar,South Dakota,82.0,7.14,,21.95,333.0,28125.0,12800.0,24.0,96.34,0.0,2.44,1.22,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2005,Agar,South Dakota,66.0,0.0,,0.0,,23750.0,21400.0,,96.97,0.0,3.03,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2006,Agar,South Dakota,66.0,0.0,,0.0,,23750.0,21400.0,,96.97,0.0,3.03,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2007,Agar,South Dakota,66.0,0.0,,0.0,,23750.0,21400.0,,96.97,0.0,3.03,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2008,Agar,South Dakota,66.0,0.0,,0.0,,23750.0,21400.0,,96.97,0.0,3.03,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2009,Agar,South Dakota,66.0,0.0,,0.0,,23750.0,21400.0,,96.97,0.0,3.03,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
4600460,2010,Agar,South Dakota,76.0,5.88,,20.45,,31250.0,22500.0,,98.68,0.0,1.32,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
