GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
4700200,2000,Adams,Tennessee,566.0,12.46,,18.23,508.0,32500.0,69200.0,27.8,89.05,8.48,1.94,0.18,0.35,0.0,0.0,0.0,,,,,0,0,0
4700200,2001,Adams,Tennessee,566.0,12.46,36.53,18.23,508.0,32500.0,69200.0,27.8,89.05,8.48,1.94,0.18,0.35,0.0,0.0,0.0,0.6,0.28,0.76,1.65,0,0,0
4700200,2002,Adams,Tennessee,566.0,12.46,38.01,18.23,508.0,32500.0,69200.0,27.8,89.05,8.48,1.94,0.18,0.35,0.0,0.0,0.0,0.55,0.28,0.73,1.45,0,0,0
4700200,2003,Adams,Tennessee,566.0,12.46,39.54,18.23,508.0,32500.0,69200.0,27.8,89.05,8.48,1.94,0.18,0.35,0.0,0.0,0.0,1.43,1.43,3.62,3.62,0,0,0
4700200,2004,Adams,Tennessee,566.0,12.46,41.03,18.23,508.0,32500.0,69200.0,27.8,89.05,8.48,1.94,0.18,0.35,0.0,0.0,0.0,1.16,1.16,2.82,2.82,0,0,0
4700200,2005,Adams,Tennessee,612.0,2.99,,17.3,703.0,42656.0,110800.0,30.8,92.97,4.9,0.0,0.0,0.0,0.0,2.12,0.0,,,,,0,0,0
4700200,2006,Adams,Tennessee,612.0,2.99,,17.3,703.0,42656.0,110800.0,30.8,92.97,4.9,0.0,0.0,0.0,0.0,2.12,0.0,,,,,0,0,0
4700200,2007,Adams,Tennessee,612.0,2.99,,17.3,703.0,42656.0,110800.0,30.8,92.97,4.9,0.0,0.0,0.0,0.0,2.12,0.0,,,,,0,0,0
4700200,2008,Adams,Tennessee,612.0,2.99,,17.3,703.0,42656.0,110800.0,30.8,92.97,4.9,0.0,0.0,0.0,0.0,2.12,0.0,,,,,0,0,0
4700200,2009,Adams,Tennessee,612.0,2.99,,17.3,703.0,42656.0,110800.0,30.8,92.97,4.9,0.0,0.0,0.0,0.0,2.12,0.0,,,,,0,0,0
4700200,2010,Adams,Tennessee,633.0,12.38,,23.21,733.0,51964.0,104200.0,23.8,92.58,3.16,2.53,0.32,0.16,0.0,1.26,0.0,,,,,0,0,0
4700200,2011,Adams,Tennessee,840.0,16.59,,22.99,808.0,56667.0,99300.0,27.1,83.33,7.26,4.88,0.0,0.0,0.0,4.52,0.0,,,,,0,0,0
4700200,2012,Adams,Tennessee,840.0,16.59,,22.99,808.0,56667.0,99300.0,27.1,83.33,7.26,4.88,0.0,0.0,0.0,4.52,0.0,,,,,0,0,0
4700200,2013,Adams,Tennessee,840.0,16.59,,22.99,808.0,56667.0,99300.0,27.1,83.33,7.26,4.88,0.0,0.0,0.0,4.52,0.0,,,,,0,0,0
4700200,2014,Adams,Tennessee,840.0,16.59,,22.99,808.0,56667.0,99300.0,27.1,83.33,7.26,4.88,0.0,0.0,0.0,4.52,0.0,,,,,0,0,0
4700200,2015,Adams,Tennessee,840.0,16.59,,22.99,808.0,56667.0,99300.0,27.1,83.33,7.26,4.88,0.0,0.0,0.0,4.52,0.0,,,,,0,0,0
4700200,2016,Adams,Tennessee,840.0,16.59,,22.99,808.0,56667.0,99300.0,27.1,83.33,7.26,4.88,0.0,0.0,0.0,4.52,0.0,,,,,0,0,0
4700240,2000,Adamsville,Tennessee,1983.0,16.16,212.14,28.98,298.0,30929.0,71000.0,24.6,97.63,1.01,0.5,0.05,0.1,0.0,0.71,0.0,2.03,2.03,0.95,0.95,0,0,0
4700240,2001,Adamsville,Tennessee,1983.0,16.16,216.05,28.98,298.0,30929.0,71000.0,24.6,97.63,1.01,0.5,0.05,0.1,0.0,0.71,0.0,1.11,1.09,0.5,0.52,0,0,0
4700240,2002,Adamsville,Tennessee,1983.0,16.16,219.92,28.98,298.0,30929.0,71000.0,24.6,97.63,1.01,0.5,0.05,0.1,0.0,0.71,0.0,1.46,1.43,0.65,0.66,0,0,0
4700240,2003,Adamsville,Tennessee,1983.0,16.16,224.3,28.98,298.0,30929.0,71000.0,24.6,97.63,1.01,0.5,0.05,0.1,0.0,0.71,0.0,1.27,0.68,0.3,0.57,0,0,0
4700240,2004,Adamsville,Tennessee,1983.0,16.16,228.19,28.98,298.0,30929.0,71000.0,24.6,97.63,1.01,0.5,0.05,0.1,0.0,0.71,0.0,1.72,1.72,0.75,0.75,0,0,0
4700240,2005,Adamsville,Tennessee,2111.0,12.02,232.1,29.44,375.0,35905.0,89500.0,26.8,98.39,0.71,0.38,0.0,0.24,0.0,0.28,0.0,2.79,2.79,1.2,1.2,0,0,0
4700240,2006,Adamsville,Tennessee,2111.0,12.02,235.97,29.44,375.0,35905.0,89500.0,26.8,98.39,0.71,0.38,0.0,0.24,0.0,0.28,0.0,0.53,0.53,0.23,0.23,1,0,0
