SURVYEAR,LEAID,FIPST,LSTREE,LCITY,LSTATE,LZIP,LZIP4,LATCODE,LONGCODE,CONUM,CONAME,CD,LOCALE,CSA,CBSA,NECTA,METMIC
2014,0100002,01,1000 INDUSTRIAL SCHOOL ROAD,MT. MEIGS,AL,36057,0066,33.673661,-86.628755,01073,JEFFERSON COUNTY,0106,41,142,13820,N,1
2014,0100005,01,107 WEST MAIN STREET,ALBERTVILLE,AL,35950,0025,34.267500,-86.208600,01095,MARSHALL COUNTY,0104,32,290,10700,N,2
2014,0100006,01,12380 US HIGHWAY 431 S,GUNTERSVILLE,AL,35976,9351,34.304968,-86.286673,01095,MARSHALL COUNTY,0104,42,290,10700,N,2
2014,0100007,01,2810 METROPOLITAN WAY,HOOVER,AL,35243,5500,33.406200,-86.766900,01073,JEFFERSON COUNTY,0106,13,142,13820,N,1
2014,0100008,01,211 CELTIC DRIVE,MADISON,AL,35758,1615,34.687312,-86.744874,01089,MADISON COUNTY,0105,21,290,26620,N,1
2014,0100009,01,P O DRAWER 698,TALLADEGA,AL,35161,2411,33.435545,-86.102067,01121,TALLADEGA COUNTY,0103,32,142,45180,N,2
2014,0100011,01,1404 8TH STREET,LEEDS,AL,35094,,33.544190,-86.541801,01073,JEFFERSON COUNTY,0106,21,142,13820,N,1
2014,0100012,01,126 NEWT PARKER DR.,BOAZ,AL,35957,,34.213150,-86.159891,01095,MARSHALL COUNTY,0104,32,290,10700,N,2
2014,0100013,01,113 N CHALKVILLE ROAD,TRUSSVILLE,AL,35173,,33.620740,-86.607971,01073,JEFFERSON COUNTY,0106,21,142,13820,N,1
2014,0100015,01,1221 ALTON DRIVE,BIRMINGHAM,AL,35210,,33.584900,-86.647900,01073,JEFFERSON COUNTY,0106,12,142,13820,N,1
2014,0100016,01,200 UNIVERSITY,TUSCALOOSA,AL,35401,,33.208057,-87.537446,01125,TUSCALOOSA COUNTY,0107,12,N,46220,N,1
2014,0100018,01,1800 REV ABRAHAM WOODS JR BLVD,BIRMINGHAM,AL,35203,2203,33.520933,-86.812936,01073,JEFFERSON COUNTY,0107,12,142,13820,N,1
2014,0100019,01,2430 11TH AVENUE NORTH,BIRMINGHAM,AL,35234,,33.529180,-86.807071,01073,JEFFERSON COUNTY,0107,12,142,13820,N,1
2014,0100020,01,20856 EASTERN VALLEY RD,GREEN POND,AL,35074,,33.228200,-87.121300,01125,TUSCALOOSA COUNTY,0107,31,N,46220,N,1
2014,0100021,01,2501 WOODLAND RD,TUSCALOOSA,AL,35404,5028,33.186173,-87.490788,01125,TUSCALOOSA COUNTY,0107,13,N,46220,N,1
2014,0100022,01,349 MADISON ST,COURTLAND,AL,35618,,34.670166,-87.312109,01079,LAWRENCE COUNTY,0104,42,290,19460,N,1
2014,0100023,01,1329 BROWNS FERRY ROAD,MADISON,AL,35758,,34.722100,-86.778200,01089,MADISON COUNTY,0105,21,290,26620,N,1
2014,0100024,01,OWENS CROSSROADS,OWENS CROSS,AL,35763,,34.565388,-86.446340,01089,MADISON COUNTY,0105,41,290,26620,N,1
2014,0100026,01,4280 U S HIGHWAY 29 SOUTH,TUSKEGEE,AL,36083,,32.376051,-85.658990,01087,MACON COUNTY,0103,41,N,N,N,0
2014,0100028,01,P O BOX 77,GREEN POND,AL,35074,,32.376100,-85.659000,01087,MACON COUNTY,0103,41,N,N,N,0
2014,0100029,01,318 HAMER ROAD,OWENS CROSS ROADS,AL,35806,,34.580200,-86.440400,01089,MADISON COUNTY,0105,41,290,26620,N,1
2014,0100030,01,375 LEE STREET,ALEXANDER CITY,AL,35010,2053,32.941095,-85.958426,01123,TALLAPOOSA COUNTY,0103,32,N,N,N,0
2014,0100032,01,2280 HWY 35 SOUTH,PELHAM,AL,35214,,33.307600,-86.783400,01117,SHELBY COUNTY,0106,21,142,13820,N,1
2014,0100033,01,150 GLENWOOD LANE,BIRMINGHAM,AL,35242,,33.483833,-86.659587,01073,JEFFERSON COUNTY,0106,41,142,13820,N,1
2014,0100035,01,4979 LOTT RD,EIGHT MILE,AL,36613,,30.795100,-88.228900,01097,MOBILE COUNTY,0101,42,380,33660,N,1
2014,0100036,01,1011 SPRING DRIVE,OPELIKA,AL,36801,,32.637286,-85.428361,01081,LEE COUNTY,0103,13,194,12220,N,1
2014,0100037,01,5800 SOUTHLAND DRIVE,MOBILE,AL,36693,,30.623900,-88.178000,01097,MOBILE COUNTY,0101,12,380,33660,N,1
2014,0100038,01,275 PRIVATE ROAD 1203,ENTERPRISE,AL,36331,,31.418700,-85.894400,01031,COFFEE COUNTY,0102,42,222,21460,N,2
2014,0100039,01,1221 ALTON DRIVE,BIRMINGHAM,AL,35210,0577,33.584900,-86.647900,01073,JEFFERSON COUNTY,0106,21,142,13820,N,1
2014,0100040,01,1309 UPPER WETUMPKA RD,MONTGOMERY,AL,36107,,32.384930,-86.290431,01101,MONTGOMERY COUNTY,0102,12,N,33860,N,1
2014,0100041,01,1299 HILLSBORO PARKWAY,ALABASTER,AL,35007,,33.228339,-86.822940,01117,SHELBY COUNTY,0106,21,142,13820,N,1
2014,0100042,01,700 E COTTONWOOD RD,DOTHAN,AL,36301,,31.204600,-85.383800,01069,HOUSTON COUNTY,0102,13,222,20020,N,1
2014,0100043,01,3001 SCENIC HIGHWAY,GADSDEN,AL,35904,3406,34.091900,-85.993200,01055,ETOWAH COUNTY,0104,41,N,23460,N,1
2014,0100044,01,5201 AIRPORT HIGHWAY,BIRMINGHAM,AL,35212,,33.524934,-86.793823,01073,JEFFERSON COUNTY,0107,12,142,13820,N,1
2014,0100045,01,3811 OLD SHELL ROAD,MOBILE,AL,36608,,30.697927,-88.131413,01097,MOBILE COUNTY,0101,12,380,33660,N,1
2014,0100046,01,3890 COUNTY ROAD 20,TRENTON,AL,35774,,34.767200,-86.176700,01071,JACKSON COUNTY,0105,42,174,42460,N,2
2014,0100060,01,122 6TH AVE,ANDALUSIA,AL,36420,3152,31.310400,-86.477200,01039,COVINGTON COUNTY,0102,33,N,N,N,0
2014,0100090,01,4804 MCCLELLAN BOULEVARD,ANNISTON,AL,36206,1863,33.707086,-85.821631,01015,CALHOUN COUNTY,0103,13,N,11500,N,1
2014,0100100,01,750 ARABIAN DR NE,ARAB,AL,35016,1161,34.327875,-86.488261,01095,MARSHALL COUNTY,0104,41,290,10700,N,2
2014,0100120,01,455 US HIGHWAY 31 NORTH,ATHENS,AL,35611,2653,34.813890,-86.946741,01083,LIMESTONE COUNTY,0105,31,290,26620,N,1
2014,0100173,01,101 PERRYMAN STREET,EVERGREEN,AL,36401,,31.436051,-86.950303,01035,CONECUH COUNTY,0102,41,N,N,N,0
2014,0100174,01,715 RALEY STREET,EAST GADSDEN,AL,35903,,34.000607,-85.971084,01055,ETOWAH COUNTY,0104,13,N,23460,N,1
2014,0100175,01,414 STANTON ROAD,MOBILE,AL,36617,,30.700457,-88.093862,01097,MOBILE COUNTY,0101,12,380,33660,N,1
2014,0100176,01,301 SOUTH RIPLEY ST,MONTGOMERY,AL,36104,,32.374400,-86.298000,01101,MONTGOMERY COUNTY,0102,32,N,33860,N,1
2014,0100178,01,6869 5TH AVE S,BIRMINGHAM,AL,35212,,33.548810,-86.730021,01073,JEFFERSON COUNTY,0107,12,142,13820,N,1
2014,0100179,01,3232 LAY SPRINGS ROAD,GADSDEN,AL,35901,,34.071100,-85.980000,01055,ETOWAH COUNTY,0104,41,N,23460,N,1
2014,0100180,01,101 CASE AVE,ATTALLA,AL,35954,3404,33.995600,-86.111100,01055,ETOWAH COUNTY,0104,23,N,23460,N,1
2014,0100181,01,100 MARTIN LUTHER KING AVENUE,ATMORE,AL,36502,,31.031093,-87.479621,01053,ESCAMBIA COUNTY,0101,32,N,N,N,0
2014,0100183,01,1221 ALTON DRIVE,BIRMINGHAM,AL,35210,,33.584860,-86.646003,01073,JEFFERSON COUNTY,0106,12,142,13820,N,1
2014,0100184,01,1147 WALNUT ST,GADSDEN,AL,35901,,34.011773,-86.020930,01055,ETOWAH COUNTY,0104,13,N,23460,N,1
2014,0100185,01,943 HIGHWAY 43 SOUTH,SARALAND,AL,36571,,30.801141,-88.072021,01097,MOBILE COUNTY,0101,21,380,33660,N,1
2014,0100186,01,2048 WEST FAIRVIEW AVE,MONTGOMERY,AL,36108,,32.351400,-86.327000,01101,MONTGOMERY COUNTY,0107,12,N,33860,N,1
2014,0100187,01,2815 FORBES DR,MONTGOMERY,AL,36110,,32.424200,-86.287100,01101,MONTGOMERY COUNTY,0102,12,N,33860,N,1
2014,0100188,01,201 N CRAFT HWY,CHICKASAW,AL,36611,,30.763754,-88.074571,01097,MOBILE COUNTY,0101,21,380,33660,N,1
2014,0100189,01,220 BAKER ROAD,SATSUMA,AL,36572,,30.847498,-88.067392,01097,MOBILE COUNTY,0101,21,380,33660,N,1
2014,0100190,01,"1953 MUNICIPAL WAY, SUITE 200",ALABASTER,AL,35007,,33.232944,-86.825376,01117,SHELBY COUNTY,0106,21,142,13820,N,1
2014,0100191,01,UA BOX 870317,TUSCALOOSA,AL,35487,,33.218931,-87.538864,01125,TUSCALOOSA COUNTY,0107,13,N,46220,N,1
2014,0100192,01,3500 MCINNIS RD,MONTGOMERY,AL,36116,,32.289580,-86.261541,01101,MONTGOMERY COUNTY,0102,41,N,33860,N,1
2014,0100193,01,4350 MOFFETT RD,MOBILE,AL,36618,,30.721500,-88.141561,01097,MOBILE COUNTY,0101,12,380,33660,N,1
2014,0100194,01,3162 PELHAM PARKWAY,PELHAM,AL,35124,,33.287363,-86.810735,01117,SHELBY COUNTY,0106,21,142,13820,N,1
2014,0100195,01,9575 VAUGHN ROAD,PIKE ROAD,AL,36064,,32.346909,-86.091530,01101,MONTGOMERY COUNTY,0103,41,N,33860,N,1
2014,0100210,01,855 E SAMFORD AVE,AUBURN,AL,36830,,32.598834,-85.464058,01081,LEE COUNTY,0103,13,194,12220,N,1
2014,0100240,01,153 W 4TH ST,PRATTVILLE,AL,36067,3011,32.462750,-86.474211,01001,AUTAUGA COUNTY,0102,41,N,33860,N,1
2014,0100270,01,2600-A N HAND AVE,BAY MINETTE,AL,36507,4180,30.910814,-87.787195,01003,BALDWIN COUNTY,0101,41,380,19300,N,1
2014,0100300,01,100 COURT SQUARE COURTHOUSE,CLAYTON,AL,36016,0429,31.878283,-85.453785,01005,BARBOUR COUNTY,0102,43,N,N,N,0
2014,0100330,01,1621 5TH AVE N,BESSEMER,AL,35020,,33.400707,-86.958020,01073,JEFFERSON COUNTY,0107,21,142,13820,N,1
2014,0100360,01,721 WALNUT STREET,CENTREVILLE,AL,35042,2277,32.945405,-87.143254,01007,BIBB COUNTY,0106,42,142,13820,N,1
2014,0100390,01,2015 PARK PLACE NORTH,BIRMINGHAM,AL,35203,2762,33.519991,-86.809068,01073,JEFFERSON COUNTY,0107,12,142,13820,N,1
2014,0100420,01,204 2ND AVE EAST,ONEONTA,AL,35121,0007,33.945640,-86.476448,01009,BLOUNT COUNTY,0106,42,142,13820,N,1
2014,0100450,01,811 BELLEVILLE AVE,BREWTON,AL,36426,1754,31.117700,-87.072300,01053,ESCAMBIA COUNTY,0101,32,N,N,N,0
2014,0100480,01,108 HARDAWAY AVE,UNION SPRINGS,AL,36089,1547,32.144541,-85.716350,01011,BULLOCK COUNTY,0102,32,N,N,N,0
2014,0100510,01,211 SCHOOL HIGHLANDS ROAD,GREENVILLE,AL,36037,1833,31.815298,-86.628715,01013,BUTLER COUNTY,0102,32,N,N,N,0
2014,0100540,01,4400 MCCLELLAN BLVD,ANNISTON,AL,36206,2809,33.697530,-85.824331,01015,CALHOUN COUNTY,0103,41,N,11500,N,1
2014,0100600,01,1298  AVC DRIVE,LAFAYETTE,AL,36862,2102,32.891700,-85.381700,01017,CHAMBERS COUNTY,0103,32,194,46740,N,2
2014,0100630,01,130 E MAIN ST,CENTRE,AL,35960,1599,34.151788,-85.678430,01019,CHEROKEE COUNTY,0103,42,N,N,N,0
2014,0100660,01,1705 LAY DAM RD,CLANTON,AL,35045,2032,32.869902,-86.621849,01021,CHILTON COUNTY,0106,42,142,13820,N,1
2014,0100690,01,107 TOM ORR DR,BUTLER,AL,36904,3504,32.079440,-88.233236,01023,CHOCTAW COUNTY,0107,43,N,N,N,0
2014,0100720,01,155 W COBB ST,GROVE HILL,AL,36451,0936,31.709818,-87.780277,01025,CLARKE COUNTY,0101,43,N,N,N,0
2014,0100750,01,62 COURT SQUARE,ASHLAND,AL,36251,4108,33.274462,-85.835284,01027,CLAY COUNTY,0103,42,N,N,N,0
2014,0100780,01,141 DAVENPORT DRIVE,HEFLIN,AL,36264,2207,33.677803,-85.552196,01029,CLEBURNE COUNTY,0103,42,N,N,N,0
2014,0100810,01,400 REDDOCH HILL RD,ELBA,AL,36323,1661,31.410900,-86.056300,01031,COFFEE COUNTY,0102,42,222,21460,N,2
2014,0100840,01,425 HIGHWAY 72 WEST,TUSCUMBIA,AL,35674,2412,34.713846,-87.708736,01033,COLBERT COUNTY,0104,41,N,22520,N,1
2014,0100870,01,100 JACKSON ST,EVERGREEN,AL,36401,2843,31.434566,-86.954828,01035,CONECUH COUNTY,0102,41,N,N,N,0
2014,0100900,01,73 NIXBURG ROAD,ROCKFORD,AL,35136,0037,32.887987,-86.224435,01037,COOSA COUNTY,0106,43,142,45180,N,2
2014,0100930,01,807 C C BAKER AVE,ANDALUSIA,AL,36420,2199,31.321500,-86.481400,01039,COVINGTON COUNTY,0102,42,N,N,N,0
2014,0100960,01,183 VOTEC DRIVE,LUVERNE,AL,36049,0072,31.705059,-86.267718,01041,CRENSHAW COUNTY,0102,43,N,N,N,0
2014,0100990,01,301 1ST ST N E,CULLMAN,AL,35055,3514,34.179015,-86.840793,01043,CULLMAN COUNTY,0104,32,142,18980,N,2
2014,0101020,01,402 ARNOLD ST NE,CULLMAN,AL,35055,1964,34.012726,-86.751090,01043,CULLMAN COUNTY,0104,42,142,18980,N,2
2014,0101050,01,"202 S HWY 123, SUITE E",OZARK,AL,36360,1438,31.316339,-85.546946,01045,DALE COUNTY,0102,42,222,37120,N,2
2014,0101080,01,626 N DALEVILLE AVE,DALEVILLE,AL,36322,2006,31.316010,-85.710273,01045,DALE COUNTY,0102,32,222,37120,N,2
2014,0101110,01,429 LAUDERDALE ST,SELMA,AL,36701,4581,32.411800,-87.023600,01047,DALLAS COUNTY,0107,41,N,42820,N,2
2014,0101140,01,306 MAIN ST W,RAINSVILLE,AL,35986,1668,34.566801,-85.569092,01049,DEKALB COUNTY,0104,42,N,N,N,0
2014,0101170,01,302 4TH AVE NE,DECATUR,AL,35601,1972,34.606000,-86.982500,01103,MORGAN COUNTY,0105,13,290,19460,N,1
2014,0101200,01,609 SOUTH CEDAR AVENUE,DEMOPOLIS,AL,36732,0759,32.511113,-87.835191,01091,MARENGO COUNTY,0107,33,N,N,N,0
2014,0101230,01,500 DUSY STREET,DOTHAN,AL,36301,2506,31.218124,-85.394491,01069,HOUSTON COUNTY,0102,13,222,20020,N,1
2014,0101260,01,131 TIGER DR,ELBA,AL,36323,4019,31.428518,-86.101554,01031,COFFEE COUNTY,0102,43,222,21460,N,2
