Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
AK,Craig City School District,0200090,2015,School days missed due to out-of-school suspension,M,7.00,0.00,0.00,0.00,0.00,11.00,0.00,18.00,7.00,0.00,0.00
AK,Craig City School District,0200090,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00
AK,Craig City School District,0200090,2015,Total enrollment,M,59.00,7.00,0.00,5.00,0.00,185.00,36.00,292.00,49.00,0.00,0.00
AK,Craig City School District,0200090,2015,Total enrollment,F,56.00,12.00,2.00,5.00,2.00,167.00,26.00,270.00,30.00,0.00,0.00
AK,Sitka School District,0200240,2015,School days missed due to out-of-school suspension,M,18.00,0.00,0.00,0.00,0.00,19.00,0.00,37.00,2.00,1.00,0.00
AK,Sitka School District,0200240,2015,School days missed due to out-of-school suspension,F,23.00,0.00,0.00,0.00,0.00,10.00,0.00,33.00,1.00,1.00,0.00
AK,Sitka School District,0200240,2015,Total enrollment,M,213.00,76.00,8.00,37.00,11.00,375.00,32.00,752.00,120.00,9.00,44.00
AK,Sitka School District,0200240,2015,Total enrollment,F,189.00,49.00,9.00,19.00,10.00,315.00,32.00,623.00,65.00,6.00,17.00
AK,Bering Strait School District,0200020,2015,School days missed due to out-of-school suspension,M,327.00,0.00,0.00,0.00,0.00,0.00,0.00,327.00,34.00,0.00,110.00
AK,Bering Strait School District,0200020,2015,School days missed due to out-of-school suspension,F,150.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,17.00,0.00,99.00
AK,Bering Strait School District,0200020,2015,Total enrollment,M,1008.00,0.00,0.00,2.00,0.00,16.00,2.00,1028.00,129.00,0.00,357.00
AK,Bering Strait School District,0200020,2015,Total enrollment,F,879.00,2.00,0.00,0.00,0.00,8.00,0.00,889.00,50.00,0.00,313.00
AK,Chugach School District,0200800,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,Chugach School District,0200800,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
AK,Chugach School District,0200800,2015,Total enrollment,M,23.00,2.00,8.00,10.00,2.00,117.00,13.00,175.00,11.00,2.00,8.00
AK,Chugach School District,0200800,2015,Total enrollment,F,23.00,7.00,8.00,13.00,0.00,135.00,12.00,198.00,4.00,2.00,5.00
AK,Kodiak Island Borough School District,0200480,2015,School days missed due to out-of-school suspension,M,21.00,1.00,0.00,3.00,0.00,23.00,7.00,55.00,7.00,0.00,1.00
AK,Kodiak Island Borough School District,0200480,2015,School days missed due to out-of-school suspension,F,2.00,2.00,0.00,1.00,0.00,4.00,0.00,9.00,0.00,0.00,0.00
AK,Kodiak Island Borough School District,0200480,2015,Total enrollment,M,268.00,320.00,15.00,132.00,10.00,486.00,74.00,1305.00,194.00,33.00,202.00
AK,Kodiak Island Borough School District,0200480,2015,Total enrollment,F,219.00,284.00,19.00,112.00,6.00,434.00,67.00,1141.00,85.00,20.00,163.00
AK,Yakutat School District,0200840,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,3.00,0.00,0.00
AK,Yakutat School District,0200840,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
AK,Yakutat School District,0200840,2015,Total enrollment,M,26.00,0.00,2.00,2.00,0.00,8.00,0.00,38.00,4.00,0.00,2.00
AK,Yakutat School District,0200840,2015,Total enrollment,F,32.00,2.00,0.00,0.00,0.00,14.00,2.00,50.00,4.00,0.00,0.00
AK,Fairbanks North Star Borough School District,0200600,2015,School days missed due to out-of-school suspension,M,1475.00,12.00,11.00,165.00,302.00,1380.00,421.00,3766.00,510.00,129.00,153.00
AK,Fairbanks North Star Borough School District,0200600,2015,School days missed due to out-of-school suspension,F,120.00,0.00,58.00,54.00,26.00,264.00,94.00,616.00,41.00,15.00,14.00
AK,Fairbanks North Star Borough School District,0200600,2015,Total enrollment,M,688.00,159.00,92.00,624.00,377.00,4328.00,1069.00,7337.00,904.00,184.00,196.00
AK,Fairbanks North Star Borough School District,0200600,2015,Total enrollment,F,590.00,165.00,72.00,562.00,291.00,4016.00,971.00,6667.00,468.00,138.00,146.00
AK,Dillingham City School District,0200120,2015,School days missed due to out-of-school suspension,M,43.00,0.00,0.00,0.00,0.00,5.00,33.00,81.00,29.00,0.00,0.00
AK,Dillingham City School District,0200120,2015,School days missed due to out-of-school suspension,F,47.00,0.00,0.00,0.00,0.00,0.00,32.00,79.00,0.00,0.00,0.00
AK,Dillingham City School District,0200120,2015,Total enrollment,M,153.00,0.00,0.00,2.00,0.00,27.00,78.00,260.00,60.00,0.00,7.00
AK,Dillingham City School District,0200120,2015,Total enrollment,F,135.00,2.00,0.00,2.00,0.00,30.00,53.00,222.00,41.00,0.00,6.00
AK,Wrangell Public School District,0200810,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,0.00,0.00
AK,Wrangell Public School District,0200810,2015,School days missed due to out-of-school suspension,F,10.00,0.00,0.00,0.00,0.00,6.00,0.00,16.00,0.00,0.00,0.00
AK,Wrangell Public School District,0200810,2015,Total enrollment,M,36.00,2.00,2.00,2.00,2.00,78.00,30.00,152.00,24.00,4.00,0.00
AK,Wrangell Public School District,0200810,2015,Total enrollment,F,36.00,8.00,0.00,2.00,4.00,51.00,27.00,128.00,15.00,2.00,0.00
AK,Delta-Greely School District,0200100,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,9.00,0.00,100.00,0.00,114.00,7.00,0.00,5.00
AK,Delta-Greely School District,0200100,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,6.00,2.00,11.00,2.00,0.00,0.00
AK,Delta-Greely School District,0200100,2015,Total enrollment,M,15.00,9.00,4.00,38.00,9.00,361.00,16.00,452.00,53.00,4.00,73.00
AK,Delta-Greely School District,0200100,2015,Total enrollment,F,12.00,4.00,4.00,30.00,12.00,292.00,21.00,375.00,26.00,4.00,53.00
AK,Nome Public Schools,0200570,2015,School days missed due to out-of-school suspension,M,92.00,0.00,0.00,0.00,0.00,1.00,12.00,105.00,35.00,0.00,6.00
AK,Nome Public Schools,0200570,2015,School days missed due to out-of-school suspension,F,21.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,2.00
AK,Nome Public Schools,0200570,2015,Total enrollment,M,255.00,2.00,0.00,8.00,4.00,44.00,62.00,375.00,44.00,2.00,25.00
AK,Nome Public Schools,0200570,2015,Total enrollment,F,254.00,7.00,0.00,4.00,2.00,41.00,47.00,355.00,23.00,4.00,27.00
AK,Kuspuk School District,0200760,2015,School days missed due to out-of-school suspension,M,81.00,0.00,0.00,0.00,0.00,0.00,0.00,81.00,0.00,0.00,64.00
AK,Kuspuk School District,0200760,2015,School days missed due to out-of-school suspension,F,57.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.00,0.00,57.00
AK,Kuspuk School District,0200760,2015,Total enrollment,M,198.00,0.00,0.00,0.00,0.00,4.00,0.00,202.00,30.00,0.00,96.00
AK,Kuspuk School District,0200760,2015,Total enrollment,F,201.00,0.00,0.00,0.00,0.00,8.00,0.00,209.00,23.00,0.00,78.00
AK,North Slope Borough School District,0200610,2015,School days missed due to out-of-school suspension,M,679.00,7.00,6.00,0.00,5.00,3.00,12.00,712.00,163.00,0.00,392.00
AK,North Slope Borough School District,0200610,2015,School days missed due to out-of-school suspension,F,81.00,2.00,3.00,0.00,0.00,0.00,9.00,95.00,10.00,0.00,43.00
