Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
AL,Oneonta City,0102550,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,8.00,17.00,6.00,34.00,2.00,0.00,2.00
AL,Oneonta City,0102550,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,3.00,0.00,5.00,0.00,9.00,0.00,0.00,0.00
AL,Oneonta City,0102550,2015,Total enrollment,M,2.00,6.00,2.00,198.00,30.00,525.00,27.00,790.00,84.00,6.00,48.00
AL,Oneonta City,0102550,2015,Total enrollment,F,2.00,6.00,2.00,156.00,24.00,468.00,33.00,691.00,20.00,4.00,37.00
AL,Alabaster City,0100190,2015,School days missed due to out-of-school suspension,M,4.00,1.00,0.00,87.00,209.00,339.00,13.00,653.00,73.00,1.00,15.00
AL,Alabaster City,0100190,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,55.00,107.00,198.00,2.00,363.00,26.00,0.00,8.00
AL,Alabaster City,0100190,2015,Total enrollment,M,35.00,36.00,2.00,514.00,579.00,1905.00,63.00,3134.00,465.00,46.00,207.00
AL,Alabaster City,0100190,2015,Total enrollment,F,36.00,39.00,8.00,451.00,573.00,1797.00,51.00,2955.00,231.00,46.00,168.00
AL,Piedmont City,0102760,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,8.00,26.00,2.00,36.00,0.00,0.00,0.00
AL,Piedmont City,0102760,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,10.00,0.00,12.00,0.00,0.00,0.00
AL,Piedmont City,0102760,2015,Total enrollment,M,6.00,6.00,0.00,15.00,84.00,522.00,27.00,660.00,59.00,6.00,4.00
AL,Piedmont City,0102760,2015,Total enrollment,F,4.00,6.00,2.00,4.00,63.00,498.00,21.00,598.00,29.00,6.00,4.00
AL,Birmingham City,0100390,2015,School days missed due to out-of-school suspension,M,6.00,0.00,0.00,90.00,9753.00,110.00,40.00,9999.00,977.00,380.00,213.00
AL,Birmingham City,0100390,2015,School days missed due to out-of-school suspension,F,5.00,0.00,0.00,19.00,4979.00,100.00,13.00,5116.00,324.00,136.00,85.00
AL,Birmingham City,0100390,2015,Total enrollment,M,36.00,16.00,15.00,703.00,11317.00,167.00,55.00,12309.00,1589.00,146.00,444.00
AL,Birmingham City,0100390,2015,Total enrollment,F,44.00,20.00,12.00,651.00,10991.00,166.00,39.00,11923.00,802.00,71.00,406.00
AL,Troy City,0103330,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,107.00,2.00,3.00,112.00,30.00,0.00,0.00
AL,Troy City,0103330,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,65.00,2.00,0.00,67.00,10.00,0.00,0.00
AL,Troy City,0103330,2015,Total enrollment,M,2.00,33.00,0.00,19.00,632.00,290.00,18.00,994.00,127.00,15.00,36.00
AL,Troy City,0103330,2015,Total enrollment,F,4.00,39.00,0.00,22.00,644.00,308.00,18.00,1035.00,76.00,7.00,27.00
