Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
AR,HEBER SPRINGS SCHOOL DISTRICT,0507560,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,187.00,0.00,187.00,11.00,0.00,0.00
AR,HEBER SPRINGS SCHOOL DISTRICT,0507560,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,0.00,56.00,0.00,58.00,1.00,0.00,0.00
AR,HEBER SPRINGS SCHOOL DISTRICT,0507560,2015,Total enrollment,M,4.00,6.00,0.00,45.00,2.00,855.00,7.00,919.00,162.00,48.00,15.00
AR,HEBER SPRINGS SCHOOL DISTRICT,0507560,2015,Total enrollment,F,4.00,4.00,0.00,45.00,4.00,765.00,7.00,829.00,60.00,30.00,12.00
AR,ARKANSAS VIRTUAL ACADEMY,0500394,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR,ARKANSAS VIRTUAL ACADEMY,0500394,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR,ARKANSAS VIRTUAL ACADEMY,0500394,2015,Total enrollment,M,9.00,6.00,2.00,27.00,57.00,498.00,18.00,617.00,126.00,45.00,0.00
AR,ARKANSAS VIRTUAL ACADEMY,0500394,2015,Total enrollment,F,6.00,10.00,4.00,24.00,69.00,576.00,24.00,713.00,54.00,48.00,0.00
AR,FOUKE SCHOOL DISTRICT,0506360,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,137.00,3.00,140.00,16.00,6.00,0.00
AR,FOUKE SCHOOL DISTRICT,0506360,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,34.00,0.00,34.00,0.00,0.00,0.00
AR,FOUKE SCHOOL DISTRICT,0506360,2015,Total enrollment,M,4.00,4.00,0.00,9.00,2.00,528.00,6.00,553.00,54.00,27.00,0.00
AR,FOUKE SCHOOL DISTRICT,0506360,2015,Total enrollment,F,2.00,0.00,0.00,6.00,4.00,486.00,2.00,500.00,39.00,15.00,0.00
AR,LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY),0508640,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,15.00,330.00,44.00,8.00,397.00,92.00,5.00,15.00
AR,LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY),0508640,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,161.00,0.00,9.00,170.00,49.00,0.00,6.00
AR,LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY),0508640,2015,Total enrollment,M,0.00,0.00,2.00,80.00,422.00,74.00,15.00,593.00,79.00,9.00,59.00
AR,LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY),0508640,2015,Total enrollment,F,0.00,0.00,0.00,62.00,407.00,63.00,9.00,541.00,24.00,0.00,35.00
AR,BENTONVILLE SCHOOL DISTRICT,0503060,2015,School days missed due to out-of-school suspension,M,43.00,15.00,4.00,163.00,80.00,717.00,51.00,1073.00,187.00,72.00,85.00
AR,BENTONVILLE SCHOOL DISTRICT,0503060,2015,School days missed due to out-of-school suspension,F,0.00,5.00,0.00,110.00,31.00,285.00,1.00,432.00,26.00,9.00,64.00
AR,BENTONVILLE SCHOOL DISTRICT,0503060,2015,Total enrollment,M,112.00,486.00,25.00,852.00,243.00,6147.00,318.00,8183.00,1098.00,285.00,378.00
AR,BENTONVILLE SCHOOL DISTRICT,0503060,2015,Total enrollment,F,108.00,492.00,27.00,855.00,253.00,5856.00,303.00,7894.00,543.00,189.00,294.00
AR,HELENA/ W.HELENA SCHOOL DIST.,0507680,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,564.00,4.00,0.00,568.00,0.00,0.00,0.00
AR,HELENA/ W.HELENA SCHOOL DIST.,0507680,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,351.00,5.00,0.00,357.00,7.00,0.00,0.00
AR,HELENA/ W.HELENA SCHOOL DIST.,0507680,2015,Total enrollment,M,0.00,2.00,0.00,0.00,693.00,27.00,6.00,728.00,102.00,12.00,0.00
AR,HELENA/ W.HELENA SCHOOL DIST.,0507680,2015,Total enrollment,F,0.00,2.00,0.00,4.00,663.00,27.00,2.00,698.00,36.00,6.00,0.00
AR,WALDRON SCHOOL DISTRICT,0513680,2015,School days missed due to out-of-school suspension,M,0.00,0.00,8.00,26.00,10.00,339.00,0.00,383.00,107.00,13.00,2.00
AR,WALDRON SCHOOL DISTRICT,0513680,2015,School days missed due to out-of-school suspension,F,0.00,0.00,8.00,12.00,0.00,133.00,0.00,153.00,19.00,1.00,0.00
AR,WALDRON SCHOOL DISTRICT,0513680,2015,Total enrollment,M,15.00,18.00,2.00,129.00,4.00,654.00,9.00,831.00,108.00,63.00,48.00
AR,WALDRON SCHOOL DISTRICT,0513680,2015,Total enrollment,F,27.00,21.00,4.00,105.00,4.00,552.00,6.00,719.00,78.00,36.00,48.00
AR,CABOT SCHOOL DISTRICT,0503750,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,32.00,59.00,1179.00,17.00,1292.00,455.00,126.00,0.00
AR,CABOT SCHOOL DISTRICT,0503750,2015,School days missed due to out-of-school suspension,F,15.00,0.00,9.00,5.00,16.00,399.00,2.00,446.00,70.00,35.00,4.00
AR,CABOT SCHOOL DISTRICT,0503750,2015,Total enrollment,M,30.00,95.00,16.00,290.00,134.00,4616.00,90.00,5271.00,817.00,353.00,92.00
AR,CABOT SCHOOL DISTRICT,0503750,2015,Total enrollment,F,43.00,79.00,16.00,260.00,114.00,4394.00,95.00,5001.00,394.00,221.00,76.00
AR,CLEVELAND COUNTY SCHOOL DIST.,0500067,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,182.00,258.00,30.00,470.00,52.00,47.00,0.00
AR,CLEVELAND COUNTY SCHOOL DIST.,0500067,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,22.00,99.00,0.00,121.00,7.00,12.00,0.00
AR,CLEVELAND COUNTY SCHOOL DIST.,0500067,2015,Total enrollment,M,0.00,0.00,2.00,9.00,126.00,291.00,7.00,435.00,59.00,33.00,4.00
AR,CLEVELAND COUNTY SCHOOL DIST.,0500067,2015,Total enrollment,F,0.00,0.00,2.00,12.00,105.00,318.00,4.00,441.00,29.00,18.00,2.00
AR,SOUTH CENTRAL SERVICE COOPERATIVE,0500031,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR,SOUTH CENTRAL SERVICE COOPERATIVE,0500031,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR,SOUTH CENTRAL SERVICE COOPERATIVE,0500031,2015,Total enrollment,M,0.00,2.00,0.00,0.00,27.00,59.00,4.00,92.00,22.00,0.00,0.00
AR,SOUTH CENTRAL SERVICE COOPERATIVE,0500031,2015,Total enrollment,F,0.00,0.00,0.00,0.00,30.00,62.00,4.00,96.00,7.00,0.00,0.00
AR,SEARCY SCHOOL DISTRICT,0512210,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,7.00,182.00,436.00,70.00,695.00,127.00,16.00,1.00
AR,SEARCY SCHOOL DISTRICT,0512210,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,12.00,71.00,67.00,59.00,209.00,23.00,3.00,1.00
AR,SEARCY SCHOOL DISTRICT,0512210,2015,Total enrollment,M,14.00,27.00,0.00,171.00,258.00,1545.00,123.00,2138.00,348.00,93.00,66.00
AR,SEARCY SCHOOL DISTRICT,0512210,2015,Total enrollment,F,9.00,22.00,0.00,177.00,216.00,1560.00,117.00,2101.00,168.00,57.00,60.00
AR,PULASKI CO. SPEC. SCHOOL DIST.,0511850,2015,School days missed due to out-of-school suspension,M,36.00,21.00,5.00,403.00,7119.00,2891.00,233.00,10708.00,2231.00,0.00,227.00
AR,PULASKI CO. SPEC. SCHOOL DIST.,0511850,2015,School days missed due to out-of-school suspension,F,82.00,15.00,0.00,145.00,3268.00,779.00,77.00,4366.00,423.00,0.00,141.00
AR,PULASKI CO. SPEC. SCHOOL DIST.,0511850,2015,Total enrollment,M,52.00,185.00,10.00,665.00,3785.00,3707.00,287.00,8691.00,1395.00,498.00,566.00
AR,PULASKI CO. SPEC. SCHOOL DIST.,0511850,2015,Total enrollment,F,45.00,172.00,10.00,623.00,3647.00,3455.00,301.00,8253.00,692.00,248.00,491.00
AR,HOT SPRINGS SCHOOL DISTRICT,0507890,2015,School days missed due to out-of-school suspension,M,6.00,0.00,0.00,25.00,443.00,135.00,42.00,651.00,131.00,17.00,7.00
AR,HOT SPRINGS SCHOOL DISTRICT,0507890,2015,School days missed due to out-of-school suspension,F,0.00,0.00,5.00,1.00,237.00,57.00,33.00,333.00,10.00,40.00,6.00
AR,HOT SPRINGS SCHOOL DISTRICT,0507890,2015,Total enrollment,M,10.00,16.00,2.00,331.00,682.00,769.00,91.00,1901.00,310.00,77.00,169.00
AR,HOT SPRINGS SCHOOL DISTRICT,0507890,2015,Total enrollment,F,10.00,19.00,7.00,340.00,742.00,646.00,136.00,1900.00,187.00,50.00,137.00
AR,SILOAM SPRINGS SCHOOL DISTRICT,0512450,2015,School days missed due to out-of-school suspension,M,80.00,0.00,0.00,277.00,1.00,262.00,18.00,638.00,168.00,7.00,196.00
AR,SILOAM SPRINGS SCHOOL DISTRICT,0512450,2015,School days missed due to out-of-school suspension,F,24.00,0.00,0.00,37.00,7.00,75.00,3.00,146.00,21.00,4.00,26.00
AR,SILOAM SPRINGS SCHOOL DISTRICT,0512450,2015,Total enrollment,M,126.00,63.00,2.00,645.00,18.00,1230.00,96.00,2180.00,330.00,61.00,417.00
AR,SILOAM SPRINGS SCHOOL DISTRICT,0512450,2015,Total enrollment,F,132.00,63.00,2.00,606.00,24.00,1194.00,84.00,2105.00,162.00,57.00,381.00
AR,SMACKOVER-NORPHLET SCHOOL DISTRICT,0512510,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,17.00,25.00,0.00,44.00,0.00,0.00,2.00
AR,SMACKOVER-NORPHLET SCHOOL DISTRICT,0512510,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,8.00,14.00,0.00,22.00,0.00,0.00,0.00
AR,SMACKOVER-NORPHLET SCHOOL DISTRICT,0512510,2015,Total enrollment,M,4.00,2.00,4.00,23.00,128.00,473.00,2.00,636.00,19.00,17.00,14.00
AR,SMACKOVER-NORPHLET SCHOOL DISTRICT,0512510,2015,Total enrollment,F,4.00,4.00,2.00,20.00,95.00,455.00,2.00,582.00,12.00,20.00,17.00
AR,OSCEOLA SCHOOL DISTRICT,0510950,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,18.00,890.00,7.00,0.00,915.00,208.00,38.00,0.00
AR,OSCEOLA SCHOOL DISTRICT,0510950,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,590.00,24.00,14.00,628.00,74.00,5.00,0.00
AR,OSCEOLA SCHOOL DISTRICT,0510950,2015,Total enrollment,M,0.00,4.00,0.00,20.00,518.00,107.00,9.00,658.00,91.00,12.00,7.00
AR,OSCEOLA SCHOOL DISTRICT,0510950,2015,Total enrollment,F,0.00,6.00,0.00,26.00,500.00,110.00,11.00,653.00,45.00,12.00,9.00
AR,STUTTGART SCHOOL DISTRICT,0512960,2015,School days missed due to out-of-school suspension,M,8.00,0.00,11.00,16.00,580.00,153.00,24.00,792.00,164.00,22.00,2.00
AR,STUTTGART SCHOOL DISTRICT,0512960,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,282.00,40.00,14.00,336.00,31.00,7.00,0.00
AR,STUTTGART SCHOOL DISTRICT,0512960,2015,Total enrollment,M,2.00,14.00,4.00,47.00,374.00,410.00,17.00,868.00,136.00,29.00,26.00
AR,STUTTGART SCHOOL DISTRICT,0512960,2015,Total enrollment,F,0.00,6.00,0.00,38.00,383.00,380.00,17.00,824.00,55.00,21.00,23.00
AR,LEE COUNTY SCHOOL DISTRICT,0509360,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,4.00,64.00,8.00,0.00,76.00,8.00,0.00,0.00
AR,LEE COUNTY SCHOOL DISTRICT,0509360,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,50.00,2.00,0.00,53.00,5.00,0.00,0.00
AR,LEE COUNTY SCHOOL DISTRICT,0509360,2015,Total enrollment,M,2.00,2.00,0.00,12.00,330.00,30.00,0.00,376.00,66.00,6.00,2.00
AR,LEE COUNTY SCHOOL DISTRICT,0509360,2015,Total enrollment,F,0.00,2.00,0.00,9.00,339.00,33.00,0.00,383.00,63.00,7.00,2.00
AR,VILONIA SCHOOL DISTRICT,0513530,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,12.00,2.00,214.00,0.00,229.00,27.00,35.00,0.00
AR,VILONIA SCHOOL DISTRICT,0513530,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,3.00,50.00,0.00,53.00,10.00,3.00,0.00
AR,VILONIA SCHOOL DISTRICT,0513530,2015,Total enrollment,M,10.00,8.00,2.00,84.00,30.00,1545.00,2.00,1681.00,306.00,120.00,33.00
AR,VILONIA SCHOOL DISTRICT,0513530,2015,Total enrollment,F,15.00,10.00,2.00,66.00,33.00,1464.00,0.00,1590.00,192.00,72.00,28.00
AR,BOONEVILLE SCHOOL DISTRICT,0503450,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,9.00,5.00,123.00,12.00,149.00,26.00,18.00,0.00
AR,BOONEVILLE SCHOOL DISTRICT,0503450,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,51.00,4.00,55.00,9.00,7.00,0.00
AR,BOONEVILLE SCHOOL DISTRICT,0503450,2015,Total enrollment,M,9.00,6.00,0.00,27.00,4.00,618.00,9.00,673.00,117.00,24.00,7.00
AR,BOONEVILLE SCHOOL DISTRICT,0503450,2015,Total enrollment,F,10.00,2.00,0.00,33.00,4.00,582.00,9.00,640.00,66.00,15.00,2.00
