Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
AZ,Bisbee Unified District,0401180,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,49.00,0.00,31.00,0.00,80.00,12.00,0.00,2.00
AZ,Bisbee Unified District,0401180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,99.00,0.00,0.00,0.00,99.00,94.00,0.00,0.00
AZ,Bisbee Unified District,0401180,2015,Total enrollment,M,4.00,4.00,0.00,279.00,4.00,129.00,0.00,420.00,84.00,7.00,21.00
AZ,Bisbee Unified District,0401180,2015,Total enrollment,F,4.00,2.00,0.00,225.00,6.00,102.00,0.00,339.00,48.00,4.00,15.00
AZ,Kingman Unified School District,0400295,2015,School days missed due to out-of-school suspension,M,127.00,29.00,50.00,780.00,39.00,2484.00,184.00,3693.00,780.00,0.00,102.00
AZ,Kingman Unified School District,0400295,2015,School days missed due to out-of-school suspension,F,39.00,0.00,19.00,252.00,4.00,1018.00,40.00,1372.00,152.00,0.00,3.00
AZ,Kingman Unified School District,0400295,2015,Total enrollment,M,92.00,42.00,24.00,721.00,42.00,2479.00,130.00,3530.00,662.00,0.00,83.00
AZ,Kingman Unified School District,0400295,2015,Total enrollment,F,77.00,31.00,19.00,700.00,27.00,2299.00,145.00,3298.00,326.00,0.00,36.00
AZ,Blueprint Education,0400636,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,315.00,19.00,1.00,0.00,335.00,3.00,0.00,0.00
AZ,Blueprint Education,0400636,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,105.00,20.00,9.00,0.00,134.00,1.00,0.00,0.00
AZ,Blueprint Education,0400636,2015,Total enrollment,M,4.00,2.00,0.00,108.00,25.00,30.00,0.00,169.00,30.00,2.00,2.00
AZ,Blueprint Education,0400636,2015,Total enrollment,F,9.00,4.00,0.00,105.00,22.00,57.00,4.00,201.00,14.00,5.00,2.00
AZ,Wickenburg Unified District,0409190,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,201.00,9.00,249.00,13.00,477.00,31.00,8.00,6.00
AZ,Wickenburg Unified District,0409190,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,58.00,0.00,80.00,4.00,142.00,20.00,0.00,0.00
AZ,Wickenburg Unified District,0409190,2015,Total enrollment,M,4.00,0.00,2.00,226.00,7.00,490.00,9.00,738.00,86.00,7.00,26.00
AZ,Wickenburg Unified District,0409190,2015,Total enrollment,F,9.00,0.00,2.00,205.00,15.00,436.00,17.00,684.00,46.00,15.00,15.00
AZ,Arizona Agribusiness & Equine Center Inc. 4,0400828,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AZ,Arizona Agribusiness & Equine Center Inc. 4,0400828,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AZ,Arizona Agribusiness & Equine Center Inc. 4,0400828,2015,Total enrollment,M,2.00,8.00,0.00,74.00,11.00,104.00,2.00,201.00,7.00,0.00,0.00
AZ,Arizona Agribusiness & Equine Center Inc. 4,0400828,2015,Total enrollment,F,2.00,14.00,0.00,98.00,23.00,137.00,5.00,279.00,0.00,0.00,0.00
AZ,Tombstone Unified District,0408600,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,43.00,29.00,45.00,6.00,124.00,22.00,0.00,0.00
AZ,Tombstone Unified District,0408600,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,16.00,2.00,21.00,3.00,42.00,4.00,0.00,0.00
AZ,Tombstone Unified District,0408600,2015,Total enrollment,M,2.00,4.00,4.00,150.00,37.00,231.00,21.00,449.00,93.00,0.00,0.00
AZ,Tombstone Unified District,0408600,2015,Total enrollment,F,2.00,2.00,2.00,135.00,30.00,216.00,22.00,409.00,45.00,0.00,5.00
AZ,American Leadership Academy  Inc.,0400112,2015,School days missed due to out-of-school suspension,M,10.00,18.00,0.00,73.00,54.00,229.00,2.00,386.00,169.00,45.00,7.00
AZ,American Leadership Academy  Inc.,0400112,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,15.00,8.00,34.00,0.00,58.00,13.00,5.00,0.00
