Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
CA,San Juan Unified,0634620,2015,School days missed due to out-of-school suspension,M,100.00,210.00,42.00,1422.00,1571.00,2956.00,44.00,6345.00,1545.00,139.00,798.00
CA,San Juan Unified,0634620,2015,School days missed due to out-of-school suspension,F,50.00,61.00,9.00,457.00,657.00,843.00,22.00,2099.00,317.00,41.00,151.00
CA,San Juan Unified,0634620,2015,Total enrollment,M,211.00,1606.00,225.00,4856.00,1869.00,12221.00,195.00,21183.00,3405.00,304.00,2631.00
CA,San Juan Unified,0634620,2015,Total enrollment,F,181.00,1422.00,173.00,4610.00,1778.00,11664.00,195.00,20023.00,1645.00,186.00,2240.00
CA,Liberty Union High,0621600,2015,School days missed due to out-of-school suspension,M,1.00,24.00,16.00,363.00,281.00,306.00,30.00,1021.00,317.00,88.00,96.00
CA,Liberty Union High,0621600,2015,School days missed due to out-of-school suspension,F,22.00,6.00,0.00,209.00,205.00,140.00,24.00,606.00,155.00,18.00,34.00
CA,Liberty Union High,0621600,2015,Total enrollment,M,20.00,385.00,28.00,1372.00,388.00,1753.00,160.00,4106.00,686.00,211.00,334.00
CA,Liberty Union High,0621600,2015,Total enrollment,F,17.00,328.00,30.00,1390.00,355.00,1771.00,179.00,4070.00,365.00,184.00,202.00
CA,Hughson Unified,0600060,2015,School days missed due to out-of-school suspension,M,0.00,11.00,0.00,306.00,39.00,162.00,0.00,518.00,74.00,9.00,62.00
CA,Hughson Unified,0600060,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,84.00,0.00,22.00,0.00,108.00,6.00,0.00,10.00
CA,Hughson Unified,0600060,2015,Total enrollment,M,0.00,8.00,2.00,588.00,6.00,450.00,11.00,1065.00,127.00,37.00,267.00
CA,Hughson Unified,0600060,2015,Total enrollment,F,4.00,8.00,2.00,585.00,0.00,441.00,14.00,1054.00,55.00,29.00,237.00
CA,Mountain Empire Unified,0626100,2015,School days missed due to out-of-school suspension,M,49.00,0.00,0.00,42.00,1.00,27.00,0.00,119.00,6.00,1.00,8.00
CA,Mountain Empire Unified,0626100,2015,School days missed due to out-of-school suspension,F,0.00,0.00,2.00,4.00,0.00,5.00,0.00,11.00,1.00,0.00,2.00
CA,Mountain Empire Unified,0626100,2015,Total enrollment,M,48.00,10.00,4.00,577.00,45.00,504.00,54.00,1242.00,163.00,19.00,293.00
CA,Mountain Empire Unified,0626100,2015,Total enrollment,F,36.00,23.00,10.00,583.00,35.00,397.00,52.00,1136.00,102.00,13.00,266.00
CA,Palo Alto Unified,0629610,2015,School days missed due to out-of-school suspension,M,1.00,66.00,5.00,22.00,4.00,52.00,4.00,154.00,79.00,2.00,22.00
CA,Palo Alto Unified,0629610,2015,School days missed due to out-of-school suspension,F,0.00,4.00,0.00,5.00,0.00,7.00,0.00,16.00,0.00,1.00,0.00
CA,Palo Alto Unified,0629610,2015,Total enrollment,M,18.00,2327.00,60.00,737.00,141.00,2669.00,543.00,6495.00,798.00,234.00,551.00
CA,Palo Alto Unified,0629610,2015,Total enrollment,F,19.00,2144.00,53.00,677.00,108.00,2495.00,498.00,5994.00,366.00,196.00,476.00
CA,Plumas Lake Elementary,0631180,2015,School days missed due to out-of-school suspension,M,7.00,3.00,0.00,8.00,9.00,48.00,16.00,91.00,24.00,0.00,0.00
CA,Plumas Lake Elementary,0631180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,6.00,2.00,51.00,10.00,69.00,2.00,0.00,0.00
CA,Plumas Lake Elementary,0631180,2015,Total enrollment,M,6.00,33.00,4.00,147.00,21.00,348.00,84.00,643.00,57.00,18.00,42.00
CA,Plumas Lake Elementary,0631180,2015,Total enrollment,F,6.00,30.00,2.00,147.00,21.00,309.00,72.00,587.00,36.00,7.00,51.00
CA,Santa Rosa Elementary,0635810,2015,School days missed due to out-of-school suspension,M,1.00,5.00,1.00,122.00,23.00,98.00,33.00,283.00,122.00,2.00,53.00
CA,Santa Rosa Elementary,0635810,2015,School days missed due to out-of-school suspension,F,0.00,2.00,0.00,3.00,0.00,7.00,1.00,13.00,6.00,0.00,3.00
CA,Santa Rosa Elementary,0635810,2015,Total enrollment,M,24.00,111.00,36.00,1635.00,56.00,657.00,103.00,2622.00,303.00,18.00,1242.00
CA,Santa Rosa Elementary,0635810,2015,Total enrollment,F,18.00,102.00,31.00,1545.00,40.00,753.00,97.00,2586.00,201.00,12.00,1164.00
CA,Albany City Unified,0601860,2015,School days missed due to out-of-school suspension,M,0.00,30.00,0.00,20.00,19.00,48.00,10.00,127.00,54.00,8.00,9.00
CA,Albany City Unified,0601860,2015,School days missed due to out-of-school suspension,F,0.00,3.00,0.00,6.00,6.00,6.00,7.00,28.00,11.00,3.00,0.00
CA,Albany City Unified,0601860,2015,Total enrollment,M,4.00,562.00,6.00,336.00,69.00,730.00,264.00,1971.00,225.00,63.00,310.00
CA,Albany City Unified,0601860,2015,Total enrollment,F,4.00,540.00,4.00,294.00,72.00,678.00,234.00,1826.00,105.00,37.00,285.00
CA,Coast Unified,0600049,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,16.00,0.00,18.00,0.00,34.00,11.00,0.00,12.00
CA,Coast Unified,0600049,2015,School days missed due to out-of-school suspension,F,0.00,0.00,5.00,24.00,0.00,16.00,0.00,45.00,0.00,0.00,9.00
CA,Coast Unified,0600049,2015,Total enrollment,M,2.00,4.00,4.00,227.00,0.00,131.00,0.00,368.00,48.00,7.00,161.00
CA,Coast Unified,0600049,2015,Total enrollment,F,2.00,7.00,6.00,191.00,4.00,122.00,2.00,334.00,18.00,4.00,114.00
CA,Pasadena Unified,0629940,2015,School days missed due to out-of-school suspension,M,8.00,8.00,1.00,1010.00,538.00,139.00,26.00,1730.00,684.00,12.00,328.00
CA,Pasadena Unified,0629940,2015,School days missed due to out-of-school suspension,F,2.00,3.00,1.00,377.00,329.00,28.00,26.00,766.00,214.00,0.00,101.00
CA,Pasadena Unified,0629940,2015,Total enrollment,M,42.00,637.00,22.00,5645.00,1301.00,1712.00,260.00,9619.00,1555.00,47.00,1900.00
CA,Pasadena Unified,0629940,2015,Total enrollment,F,28.00,577.00,30.00,5255.00,1169.00,1503.00,256.00,8818.00,651.00,32.00,1627.00
CA,Palermo Union Elementary,0629540,2015,School days missed due to out-of-school suspension,M,42.00,0.00,0.00,119.00,0.00,209.00,54.00,424.00,65.00,23.00,7.00
CA,Palermo Union Elementary,0629540,2015,School days missed due to out-of-school suspension,F,28.00,0.00,0.00,5.00,0.00,29.00,25.00,87.00,6.00,0.00,2.00
CA,Palermo Union Elementary,0629540,2015,Total enrollment,M,41.00,21.00,2.00,226.00,5.00,309.00,64.00,668.00,66.00,18.00,70.00
CA,Palermo Union Elementary,0629540,2015,Total enrollment,F,35.00,24.00,0.00,265.00,9.00,307.00,65.00,705.00,48.00,9.00,100.00
