Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
CO,Rocky Ford School District No. R2,0806270,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,17.00,0.00,14.00,0.00,31.00,15.00,0.00,4.00
CO,Rocky Ford School District No. R2,0806270,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,11.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00
CO,Rocky Ford School District No. R2,0806270,2015,Total enrollment,M,7.00,4.00,0.00,309.00,4.00,108.00,0.00,432.00,63.00,0.00,33.00
CO,Rocky Ford School District No. R2,0806270,2015,Total enrollment,F,4.00,0.00,0.00,300.00,4.00,90.00,2.00,400.00,33.00,4.00,24.00
CO,South Routt School District No. Re 3,0805910,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,10.00,0.00,11.00,3.00,0.00,2.00
CO,South Routt School District No. Re 3,0805910,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,9.00,0.00,0.00
CO,South Routt School District No. Re 3,0805910,2015,Total enrollment,M,0.00,2.00,2.00,9.00,2.00,173.00,2.00,190.00,33.00,2.00,6.00
CO,South Routt School District No. Re 3,0805910,2015,Total enrollment,F,2.00,0.00,0.00,9.00,2.00,149.00,4.00,166.00,18.00,2.00,7.00
CO,Buena Vista School District R-31,0802640,2015,School days missed due to out-of-school suspension,M,6.00,0.00,0.00,2.00,0.00,25.00,0.00,33.00,8.00,0.00,5.00
CO,Buena Vista School District R-31,0802640,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00
CO,Buena Vista School District R-31,0802640,2015,Total enrollment,M,6.00,4.00,2.00,65.00,8.00,416.00,12.00,513.00,79.00,9.00,9.00
CO,Buena Vista School District R-31,0802640,2015,Total enrollment,F,6.00,4.00,0.00,56.00,4.00,428.00,14.00,512.00,54.00,4.00,7.00
CO,Littleton School District No. 6 in the county of Arapahoe,0805310,2015,School days missed due to out-of-school suspension,M,6.00,0.00,1.00,232.00,57.00,598.00,63.00,957.00,383.00,37.00,42.00
CO,Littleton School District No. 6 in the county of Arapahoe,0805310,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,68.00,10.00,168.00,6.00,253.00,72.00,3.00,7.00
CO,Littleton School District No. 6 in the county of Arapahoe,0805310,2015,Total enrollment,M,50.00,204.00,10.00,1398.00,109.00,5970.00,320.00,8061.00,849.00,220.00,302.00
CO,Littleton School District No. 6 in the county of Arapahoe,0805310,2015,Total enrollment,F,34.00,293.00,14.00,1339.00,84.00,5643.00,343.00,7750.00,498.00,138.00,220.00
CO,Durango School District No. 9-R,0803480,2015,School days missed due to out-of-school suspension,M,28.00,0.00,0.00,81.00,7.00,176.00,10.00,302.00,105.00,11.00,8.00
CO,Durango School District No. 9-R,0803480,2015,School days missed due to out-of-school suspension,F,25.00,0.00,0.00,18.00,4.00,47.00,0.00,94.00,22.00,8.00,1.00
CO,Durango School District No. 9-R,0803480,2015,Total enrollment,M,109.00,10.00,0.00,489.00,26.00,1692.00,81.00,2407.00,287.00,33.00,113.00
CO,Durango School District No. 9-R,0803480,2015,Total enrollment,F,97.00,22.00,0.00,408.00,20.00,1653.00,75.00,2275.00,143.00,21.00,95.00
CO,School District No. 3 in the county of El Paso and State of,0806480,2015,School days missed due to out-of-school suspension,M,14.00,6.00,19.00,487.00,235.00,833.00,183.00,1777.00,513.00,68.00,80.00
CO,School District No. 3 in the county of El Paso and State of,0806480,2015,School days missed due to out-of-school suspension,F,13.00,4.00,0.00,196.00,99.00,286.00,68.00,666.00,152.00,22.00,8.00
CO,School District No. 3 in the county of El Paso and State of,0806480,2015,Total enrollment,M,41.00,47.00,68.00,1325.00,422.00,2495.00,464.00,4862.00,825.00,78.00,110.00
