Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
CT,REGIONAL SCHOOL DISTRICT 16,0903538,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,5.00,2.00,96.00,0.00,103.00,51.00,15.00,5.00
CT,REGIONAL SCHOOL DISTRICT 16,0903538,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00
CT,REGIONAL SCHOOL DISTRICT 16,0903538,2015,Total enrollment,M,2.00,14.00,2.00,59.00,32.00,1012.00,6.00,1127.00,202.00,74.00,11.00
CT,REGIONAL SCHOOL DISTRICT 16,0903538,2015,Total enrollment,F,2.00,20.00,2.00,56.00,23.00,1024.00,12.00,1139.00,103.00,52.00,9.00
CT,CANTON SCHOOL DISTRICT,0900690,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,35.00,47.00,1.00,83.00,12.00,4.00,0.00
CT,CANTON SCHOOL DISTRICT,0900690,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,6.00,1.00,0.00,7.00,0.00,1.00,0.00
CT,CANTON SCHOOL DISTRICT,0900690,2015,Total enrollment,M,0.00,20.00,0.00,47.00,38.00,673.00,9.00,787.00,103.00,41.00,6.00
CT,CANTON SCHOOL DISTRICT,0900690,2015,Total enrollment,F,4.00,26.00,0.00,56.00,62.00,674.00,14.00,836.00,73.00,29.00,10.00
CT,PORTLAND SCHOOL DISTRICT,0903390,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,0.00,32.00,0.00,35.00,13.00,0.00,0.00
CT,PORTLAND SCHOOL DISTRICT,0903390,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00
CT,PORTLAND SCHOOL DISTRICT,0903390,2015,Total enrollment,M,2.00,10.00,0.00,70.00,25.00,556.00,31.00,694.00,38.00,0.00,18.00
CT,PORTLAND SCHOOL DISTRICT,0903390,2015,Total enrollment,F,0.00,13.00,0.00,67.00,14.00,538.00,34.00,666.00,4.00,0.00,18.00
CT,OLD SAYBROOK SCHOOL DISTRICT,0903180,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,11.00,17.00,71.00,8.00,108.00,68.00,5.00,0.00
CT,OLD SAYBROOK SCHOOL DISTRICT,0903180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,0.00,6.00,0.00,8.00,1.00,1.00,0.00
CT,OLD SAYBROOK SCHOOL DISTRICT,0903180,2015,Total enrollment,M,0.00,27.00,2.00,60.00,9.00,552.00,18.00,668.00,105.00,60.00,24.00
CT,OLD SAYBROOK SCHOOL DISTRICT,0903180,2015,Total enrollment,F,0.00,33.00,0.00,57.00,12.00,552.00,12.00,666.00,66.00,54.00,13.00
CT,REGIONAL SCHOOL DISTRICT 07,0903720,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,170.00,0.00,170.00,68.00,3.00,0.00
CT,REGIONAL SCHOOL DISTRICT 07,0903720,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,12.00,0.00,0.00
CT,REGIONAL SCHOOL DISTRICT 07,0903720,2015,Total enrollment,M,2.00,2.00,0.00,4.00,6.00,537.00,2.00,553.00,87.00,2.00,0.00
