Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
DC,DC Preparatory Academy PCS,1100048,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,548.00,0.00,7.00,556.00,226.00,0.00,0.00
DC,DC Preparatory Academy PCS,1100048,2015,School days missed due to out-of-school suspension,F,5.00,0.00,0.00,12.00,231.00,0.00,32.00,280.00,81.00,14.00,0.00
DC,DC Preparatory Academy PCS,1100048,2015,Total enrollment,M,0.00,4.00,0.00,43.00,715.00,0.00,31.00,793.00,125.00,8.00,24.00
DC,DC Preparatory Academy PCS,1100048,2015,Total enrollment,F,2.00,2.00,0.00,31.00,694.00,2.00,43.00,774.00,58.00,12.00,18.00
DC,Friendship PCS,1100008,2015,School days missed due to out-of-school suspension,M,0.00,3.00,0.00,2.00,1132.00,0.00,0.00,1137.00,122.00,0.00,7.00
DC,Friendship PCS,1100008,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,882.00,0.00,0.00,882.00,43.00,0.00,0.00
DC,Friendship PCS,1100008,2015,Total enrollment,M,0.00,4.00,4.00,30.00,2121.00,17.00,0.00,2176.00,354.00,72.00,44.00
DC,Friendship PCS,1100008,2015,Total enrollment,F,0.00,0.00,2.00,27.00,2007.00,25.00,0.00,2061.00,186.00,46.00,32.00
DC,District of Columbia Public Schools,1100030,2015,School days missed due to out-of-school suspension,M,5.00,15.00,22.00,1063.00,17434.00,95.00,65.00,18699.00,6423.00,648.00,924.00
DC,District of Columbia Public Schools,1100030,2015,School days missed due to out-of-school suspension,F,5.00,4.00,6.00,400.00,10182.00,21.00,19.00,10637.00,2489.00,191.00,79.00
DC,District of Columbia Public Schools,1100030,2015,Total enrollment,M,38.00,470.00,50.00,4540.00,16006.00,3266.00,502.00,24872.00,4505.00,383.00,3549.00
DC,District of Columbia Public Schools,1100030,2015,Total enrollment,F,44.00,466.00,48.00,4328.00,15420.00,3094.00,503.00,23903.00,2202.00,262.00,3062.00
DC,AppleTree Early Learning Center PCS,1100054,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DC,AppleTree Early Learning Center PCS,1100054,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DC,AppleTree Early Learning Center PCS,1100054,2015,Total enrollment,M,4.00,9.00,2.00,28.00,271.00,33.00,0.00,347.00,21.00,8.00,40.00
DC,AppleTree Early Learning Center PCS,1100054,2015,Total enrollment,F,4.00,6.00,0.00,20.00,241.00,41.00,2.00,314.00,12.00,0.00,37.00
DC,EL Haynes PCS,1100043,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,38.00,168.00,0.00,0.00,207.00,90.00,7.00,27.00
DC,EL Haynes PCS,1100043,2015,School days missed due to out-of-school suspension,F,6.00,0.00,0.00,40.00,63.00,0.00,2.00,111.00,24.00,4.00,21.00
DC,EL Haynes PCS,1100043,2015,Total enrollment,M,0.00,4.00,0.00,270.00,294.00,33.00,15.00,616.00,150.00,21.00,120.00
DC,EL Haynes PCS,1100043,2015,Total enrollment,F,2.00,6.00,0.00,231.00,240.00,25.00,27.00,531.00,72.00,12.00,87.00
DC,Center City PCS,1100073,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,23.00,248.00,0.00,0.00,271.00,55.00,0.00,1.00
DC,Center City PCS,1100073,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,90.00,0.00,0.00,92.00,24.00,0.00,0.00
DC,Center City PCS,1100073,2015,Total enrollment,M,6.00,4.00,0.00,157.00,540.00,2.00,17.00,726.00,90.00,21.00,59.00
DC,Center City PCS,1100073,2015,Total enrollment,F,2.00,2.00,2.00,216.00,489.00,4.00,10.00,725.00,51.00,10.00,57.00
DC,Capital City PCS,1100035,2015,School days missed due to out-of-school suspension,M,15.00,3.00,0.00,68.00,65.00,8.00,6.00,165.00,42.00,5.00,11.00
DC,Capital City PCS,1100035,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,30.00,73.00,1.00,0.00,105.00,1.00,1.00,8.00
DC,Capital City PCS,1100035,2015,Total enrollment,M,4.00,12.00,2.00,228.00,171.00,33.00,18.00,468.00,84.00,9.00,102.00
DC,Capital City PCS,1100035,2015,Total enrollment,F,0.00,12.00,0.00,216.00,195.00,42.00,21.00,486.00,51.00,6.00,99.00
DC,Meridian PCS,1100015,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,22.00,137.00,1.00,0.00,160.00,40.00,0.00,15.00
DC,Meridian PCS,1100015,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,7.00,82.00,0.00,0.00,89.00,6.00,4.00,2.00
DC,Meridian PCS,1100015,2015,Total enrollment,M,2.00,5.00,2.00,125.00,200.00,2.00,0.00,336.00,37.00,2.00,95.00
DC,Meridian PCS,1100015,2015,Total enrollment,F,2.00,8.00,0.00,131.00,245.00,5.00,2.00,393.00,25.00,2.00,80.00
DC,KIPP DC,1100031,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,1745.00,0.00,0.00,1745.00,599.00,34.00,14.00
DC,KIPP DC,1100031,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1398.00,0.00,0.00,1398.00,271.00,58.00,0.00
DC,KIPP DC,1100031,2015,Total enrollment,M,0.00,6.00,0.00,16.00,2495.00,12.00,12.00,2541.00,490.00,26.00,26.00
DC,KIPP DC,1100031,2015,Total enrollment,F,2.00,2.00,0.00,29.00,2636.00,6.00,6.00,2681.00,286.00,29.00,27.00

