Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
DE,Appoquinimink School District,1000080,2015,School days missed due to out-of-school suspension,M,1.00,18.00,0.00,86.00,698.00,471.00,0.00,1274.00,385.00,23.00,19.00
DE,Appoquinimink School District,1000080,2015,School days missed due to out-of-school suspension,F,0.00,3.00,2.00,45.00,259.00,109.00,0.00,418.00,98.00,0.00,5.00
DE,Appoquinimink School District,1000080,2015,Total enrollment,M,16.00,263.00,2.00,347.00,1445.00,3287.00,0.00,5360.00,940.00,361.00,126.00
DE,Appoquinimink School District,1000080,2015,Total enrollment,F,25.00,266.00,18.00,380.00,1349.00,2999.00,0.00,5037.00,535.00,164.00,127.00
DE,Brandywine School District,1001240,2015,School days missed due to out-of-school suspension,M,11.00,25.00,0.00,51.00,3306.00,737.00,79.00,4209.00,1471.00,525.00,21.00
DE,Brandywine School District,1001240,2015,School days missed due to out-of-school suspension,F,0.00,5.00,0.00,95.00,2536.00,261.00,32.00,2929.00,374.00,133.00,33.00
DE,Brandywine School District,1001240,2015,Total enrollment,M,30.00,326.00,8.00,311.00,2060.00,2591.00,122.00,5448.00,1135.00,309.00,231.00
DE,Brandywine School District,1001240,2015,Total enrollment,F,24.00,359.00,4.00,311.00,1937.00,2471.00,134.00,5240.00,631.00,180.00,246.00
DE,Colonial School District,1000230,2015,School days missed due to out-of-school suspension,M,16.00,10.00,2.00,526.00,3475.00,999.00,64.00,5092.00,1396.00,161.00,166.00
DE,Colonial School District,1000230,2015,School days missed due to out-of-school suspension,F,5.00,7.00,0.00,282.00,1615.00,321.00,30.00,2260.00,503.00,34.00,84.00
DE,Colonial School District,1000230,2015,Total enrollment,M,17.00,150.00,14.00,1029.00,2181.00,1578.00,116.00,5085.00,1200.00,149.00,505.00
DE,Colonial School District,1000230,2015,Total enrollment,F,10.00,133.00,8.00,975.00,2037.00,1428.00,121.00,4712.00,651.00,75.00,428.00
DE,Dept. of Svs. for Children Youth & Their Families,1000022,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DE,Dept. of Svs. for Children Youth & Their Families,1000022,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DE,Dept. of Svs. for Children Youth & Their Families,1000022,2015,Total enrollment,M,0.00,0.00,0.00,34.00,434.00,164.00,0.00,632.00,367.00,0.00,0.00
DE,Dept. of Svs. for Children Youth & Their Families,1000022,2015,Total enrollment,F,0.00,4.00,0.00,13.00,121.00,69.00,0.00,207.00,80.00,2.00,0.00
DE,Indian River School District,1000680,2015,School days missed due to out-of-school suspension,M,27.00,0.00,0.00,297.00,687.00,788.00,77.00,1876.00,806.00,23.00,94.00
DE,Indian River School District,1000680,2015,School days missed due to out-of-school suspension,F,21.00,4.00,0.00,86.00,330.00,232.00,46.00,719.00,230.00,18.00,13.00
DE,Indian River School District,1000680,2015,Total enrollment,M,45.00,61.00,2.00,1628.00,722.00,2696.00,167.00,5321.00,1048.00,104.00,842.00
DE,Indian River School District,1000680,2015,Total enrollment,F,38.00,62.00,10.00,1460.00,632.00,2501.00,174.00,4877.00,598.00,45.00,807.00
DE,Red Clay Consolidated School District,1001300,2015,School days missed due to out-of-school suspension,M,3.00,19.00,0.00,963.00,2888.00,864.00,58.00,4795.00,1457.00,181.00,352.00
DE,Red Clay Consolidated School District,1001300,2015,School days missed due to out-of-school suspension,F,12.00,1.00,0.00,509.00,1552.00,390.00,74.00,2538.00,523.00,64.00,174.00
DE,Red Clay Consolidated School District,1001300,2015,Total enrollment,M,20.00,430.00,143.00,2322.00,1872.00,3423.00,211.00,8421.00,1710.00,295.00,1241.00
DE,Red Clay Consolidated School District,1001300,2015,Total enrollment,F,34.00,483.00,139.00,2197.00,1740.00,3432.00,185.00,8210.00,897.00,169.00,1065.00
DE,Caesar Rodney School District,1000180,2015,School days missed due to out-of-school suspension,M,9.00,7.00,10.00,103.00,765.00,325.00,65.00,1284.00,521.00,85.00,31.00
DE,Caesar Rodney School District,1000180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,282.00,476.00,222.00,27.00,1007.00,264.00,0.00,25.00
DE,Caesar Rodney School District,1000180,2015,Total enrollment,M,18.00,136.00,6.00,311.00,1076.00,2204.00,191.00,3942.00,910.00,173.00,107.00
DE,Caesar Rodney School District,1000180,2015,Total enrollment,F,20.00,135.00,6.00,339.00,1031.00,2043.00,209.00,3783.00,526.00,75.00,111.00
DE,Lake Forest School District,1000790,2015,School days missed due to out-of-school suspension,M,8.00,0.00,0.00,56.00,448.00,438.00,76.00,1026.00,453.00,13.00,10.00
DE,Lake Forest School District,1000790,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,11.00,188.00,153.00,16.00,368.00,79.00,0.00,3.00
DE,Lake Forest School District,1000790,2015,Total enrollment,M,15.00,15.00,0.00,150.00,399.00,1230.00,111.00,1920.00,408.00,75.00,42.00
DE,Lake Forest School District,1000790,2015,Total enrollment,F,11.00,21.00,2.00,147.00,375.00,1188.00,120.00,1864.00,222.00,38.00,30.00
DE,Milford School District,1001080,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,51.00,176.00,161.00,0.00,388.00,87.00,21.00,20.00
DE,Milford School District,1001080,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,16.00,66.00,55.00,0.00,137.00,27.00,5.00,3.00
DE,Milford School District,1001080,2015,Total enrollment,M,11.00,25.00,6.00,392.00,482.00,1088.00,90.00,2094.00,346.00,165.00,227.00
DE,Milford School District,1001080,2015,Total enrollment,F,8.00,13.00,2.00,374.00,497.00,1010.00,99.00,2003.00,190.00,75.00,191.00
DE,Corrections - DOE,1000021,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DE,Corrections - DOE,1000021,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DE,Corrections - DOE,1000021,2015,Total enrollment,M,7.00,2.00,2.00,84.00,588.00,276.00,27.00,986.00,51.00,2.00,5.00
DE,Corrections - DOE,1000021,2015,Total enrollment,F,0.00,0.00,0.00,5.00,50.00,77.00,2.00,134.00,0.00,0.00,0.00
DE,Christina School District,1000200,2015,School days missed due to out-of-school suspension,M,2.00,13.00,3.00,745.00,3873.00,605.00,92.00,5333.00,1666.00,177.00,172.00
DE,Christina School District,1000200,2015,School days missed due to out-of-school suspension,F,8.00,2.00,2.00,420.00,2761.00,368.00,89.00,3650.00,679.00,85.00,54.00
DE,Christina School District,1000200,2015,Total enrollment,M,24.00,439.00,14.00,1788.00,3306.00,2532.00,328.00,8431.00,2115.00,229.00,918.00
DE,Christina School District,1000200,2015,Total enrollment,F,14.00,362.00,16.00,1629.00,3030.00,2256.00,288.00,7595.00,1011.00,118.00,796.00
DE,Smyrna School District,1001620,2015,School days missed due to out-of-school suspension,M,0.00,11.00,0.00,27.00,192.00,266.00,10.00,506.00,271.00,10.00,1.00
DE,Smyrna School District,1001620,2015,School days missed due to out-of-school suspension,F,3.00,0.00,0.00,29.00,97.00,250.00,7.00,386.00,68.00,1.00,0.00
DE,Smyrna School District,1001620,2015,Total enrollment,M,12.00,47.00,2.00,214.00,727.00,1663.00,56.00,2721.00,581.00,121.00,32.00
DE,Smyrna School District,1001620,2015,Total enrollment,F,8.00,36.00,4.00,196.00,679.00,1546.00,55.00,2524.00,308.00,94.00,29.00
DE,Woodbridge School District,1001850,2015,School days missed due to out-of-school suspension,M,0.00,11.00,0.00,14.00,547.00,311.00,40.00,923.00,241.00,0.00,8.00
DE,Woodbridge School District,1001850,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,331.00,109.00,31.00,472.00,91.00,0.00,1.00
DE,Woodbridge School District,1001850,2015,Total enrollment,M,4.00,11.00,2.00,272.00,371.00,644.00,44.00,1348.00,220.00,47.00,110.00
DE,Woodbridge School District,1001850,2015,Total enrollment,F,2.00,9.00,0.00,245.00,305.00,569.00,38.00,1168.00,109.00,29.00,107.00
DE,New Castle County Vocational-Technical School District,1001280,2015,School days missed due to out-of-school suspension,M,2.00,10.00,0.00,199.00,795.00,206.00,0.00,1212.00,168.00,61.00,11.00
DE,New Castle County Vocational-Technical School District,1001280,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,109.00,498.00,80.00,0.00,687.00,43.00,38.00,0.00
DE,New Castle County Vocational-Technical School District,1001280,2015,Total enrollment,M,8.00,32.00,6.00,431.00,905.00,905.00,17.00,2304.00,322.00,95.00,29.00
DE,New Castle County Vocational-Technical School District,1001280,2015,Total enrollment,F,8.00,23.00,9.00,476.00,1103.00,779.00,14.00,2412.00,205.00,62.00,29.00
DE,Cape Henlopen School District,1000170,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,24.00,243.00,181.00,6.00,454.00,94.00,18.00,6.00
DE,Cape Henlopen School District,1000170,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,6.00,72.00,80.00,5.00,164.00,36.00,0.00,0.00
DE,Cape Henlopen School District,1000170,2015,Total enrollment,M,20.00,34.00,6.00,376.00,400.00,1948.00,77.00,2861.00,638.00,71.00,163.00
DE,Cape Henlopen School District,1000170,2015,Total enrollment,F,20.00,49.00,6.00,367.00,343.00,1672.00,113.00,2570.00,287.00,47.00,160.00
DE,Capital School District,1000190,2015,School days missed due to out-of-school suspension,M,17.00,7.00,11.00,174.00,2143.00,282.00,19.00,2653.00,1319.00,26.00,28.00
DE,Capital School District,1000190,2015,School days missed due to out-of-school suspension,F,1.00,3.00,0.00,114.00,973.00,175.00,39.00,1305.00,455.00,5.00,22.00
DE,Capital School District,1000190,2015,Total enrollment,M,41.00,80.00,16.00,330.00,1668.00,1005.00,95.00,3235.00,897.00,78.00,125.00
DE,Capital School District,1000190,2015,Total enrollment,F,35.00,89.00,6.00,331.00,1605.00,990.00,89.00,3145.00,489.00,43.00,89.00
DE,Seaford School District,1001530,2015,School days missed due to out-of-school suspension,M,3.00,2.00,0.00,130.00,620.00,322.00,60.00,1137.00,491.00,19.00,96.00
DE,Seaford School District,1001530,2015,School days missed due to out-of-school suspension,F,8.00,1.00,0.00,47.00,499.00,60.00,49.00,664.00,288.00,9.00,26.00
DE,Seaford School District,1001530,2015,Total enrollment,M,8.00,25.00,8.00,333.00,639.00,705.00,78.00,1796.00,345.00,33.00,261.00
DE,Seaford School District,1001530,2015,Total enrollment,F,11.00,22.00,8.00,276.00,621.00,660.00,93.00,1691.00,225.00,18.00,216.00
DE,Laurel School District,1000810,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,8.00,166.00,148.00,57.00,379.00,117.00,16.00,10.00
DE,Laurel School District,1000810,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,102.00,86.00,47.00,237.00,53.00,7.00,1.00
DE,Laurel School District,1000810,2015,Total enrollment,M,6.00,12.00,4.00,128.00,335.00,623.00,62.00,1170.00,253.00,23.00,107.00
DE,Laurel School District,1000810,2015,Total enrollment,F,0.00,11.00,6.00,122.00,332.00,539.00,50.00,1060.00,136.00,15.00,71.00

