Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
FL,DESOTO,1200420,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,364.00,461.00,588.00,52.00,1466.00,466.00,107.00,32.00
FL,DESOTO,1200420,2015,School days missed due to out-of-school suspension,F,0.00,3.00,0.00,91.00,205.00,184.00,30.00,513.00,101.00,25.00,0.00
FL,DESOTO,1200420,2015,Total enrollment,M,6.00,6.00,4.00,1158.00,306.00,1011.00,56.00,2547.00,429.00,80.00,268.00
FL,DESOTO,1200420,2015,Total enrollment,F,6.00,14.00,2.00,1041.00,257.00,935.00,57.00,2312.00,198.00,57.00,214.00
FL,JEFFERSON,1200990,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,15.00,335.00,59.00,2.00,411.00,86.00,27.00,2.00
FL,JEFFERSON,1200990,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,236.00,4.00,3.00,243.00,1.00,11.00,0.00
FL,JEFFERSON,1200990,2015,Total enrollment,M,0.00,0.00,0.00,40.00,299.00,86.00,2.00,427.00,100.00,10.00,13.00
FL,JEFFERSON,1200990,2015,Total enrollment,F,0.00,4.00,0.00,37.00,270.00,63.00,4.00,378.00,41.00,4.00,11.00
FL,SEMINOLE,1201710,2015,School days missed due to out-of-school suspension,M,5.00,44.00,9.00,1884.00,3546.00,2932.00,338.00,8758.00,2604.00,0.00,276.00
FL,SEMINOLE,1201710,2015,School days missed due to out-of-school suspension,F,13.00,7.00,26.00,847.00,1804.00,1074.00,130.00,3901.00,630.00,0.00,83.00
FL,SEMINOLE,1201710,2015,Total enrollment,M,75.00,1527.00,125.00,8402.00,5056.00,17855.00,1144.00,34184.00,5737.00,0.00,1712.00
FL,SEMINOLE,1201710,2015,Total enrollment,F,81.00,1573.00,116.00,8066.00,4784.00,16999.00,1224.00,32843.00,3025.00,0.00,1352.00
FL,NASSAU,1201350,2015,School days missed due to out-of-school suspension,M,0.00,0.00,4.00,72.00,234.00,1449.00,140.00,1899.00,507.00,67.00,2.00
FL,NASSAU,1201350,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,34.00,56.00,363.00,39.00,494.00,61.00,7.00,1.00
FL,NASSAU,1201350,2015,Total enrollment,M,19.00,42.00,8.00,261.00,463.00,4804.00,230.00,5827.00,1008.00,163.00,52.00
FL,NASSAU,1201350,2015,Total enrollment,F,27.00,42.00,12.00,287.00,337.00,4513.00,255.00,5473.00,516.00,93.00,55.00
FL,OKEECHOBEE,1201410,2015,School days missed due to out-of-school suspension,M,9.00,0.00,0.00,289.00,142.00,424.00,54.00,918.00,312.00,0.00,31.00
FL,OKEECHOBEE,1201410,2015,School days missed due to out-of-school suspension,F,10.00,0.00,0.00,125.00,52.00,116.00,11.00,314.00,53.00,0.00,7.00
FL,OKEECHOBEE,1201410,2015,Total enrollment,M,40.00,25.00,6.00,1219.00,267.00,1381.00,85.00,3023.00,717.00,0.00,416.00
FL,OKEECHOBEE,1201410,2015,Total enrollment,F,22.00,27.00,4.00,1143.00,205.00,1313.00,89.00,2803.00,397.00,0.00,337.00
FL,MADISON,1201200,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,28.00,660.00,185.00,12.00,885.00,195.00,14.00,0.00
FL,MADISON,1201200,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,7.00,342.00,41.00,0.00,390.00,22.00,8.00,2.00
FL,MADISON,1201200,2015,Total enrollment,M,6.00,4.00,2.00,81.00,702.00,549.00,30.00,1374.00,324.00,38.00,17.00
FL,MADISON,1201200,2015,Total enrollment,F,4.00,2.00,4.00,88.00,645.00,504.00,28.00,1275.00,161.00,22.00,30.00
FL,HIGHLANDS,1200840,2015,School days missed due to out-of-school suspension,M,0.00,7.00,0.00,676.00,826.00,718.00,149.00,2376.00,820.00,165.00,67.00
FL,HIGHLANDS,1200840,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,222.00,367.00,220.00,24.00,833.00,102.00,61.00,16.00
FL,HIGHLANDS,1200840,2015,Total enrollment,M,23.00,107.00,6.00,2080.00,1048.00,2827.00,238.00,6329.00,1152.00,280.00,397.00
FL,HIGHLANDS,1200840,2015,Total enrollment,F,24.00,94.00,4.00,2065.00,1069.00,2597.00,220.00,6073.00,579.00,154.00,349.00
FL,WALTON,1201980,2015,School days missed due to out-of-school suspension,M,4.00,1.00,1.00,154.00,264.00,1317.00,126.00,1867.00,231.00,93.00,60.00
FL,WALTON,1201980,2015,School days missed due to out-of-school suspension,F,0.00,3.00,0.00,57.00,250.00,349.00,53.00,712.00,55.00,12.00,14.00
FL,WALTON,1201980,2015,Total enrollment,M,26.00,42.00,6.00,472.00,282.00,3501.00,226.00,4555.00,611.00,126.00,160.00
FL,WALTON,1201980,2015,Total enrollment,F,17.00,40.00,6.00,464.00,247.00,3371.00,185.00,4330.00,292.00,81.00,143.00
