Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Johnson County,1303120,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,32.00,131.00,48.00,0.00,211.00,20.00,0.00,30.00
GA,Johnson County,1303120,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,101.00,21.00,0.00,122.00,33.00,0.00,0.00
GA,Johnson County,1303120,2015,Total enrollment,M,4.00,6.00,0.00,18.00,225.00,312.00,10.00,575.00,96.00,8.00,4.00
GA,Johnson County,1303120,2015,Total enrollment,F,2.00,6.00,0.00,27.00,261.00,291.00,7.00,594.00,45.00,2.00,4.00
GA,Gilmer County,1302340,2015,School days missed due to out-of-school suspension,M,0.00,3.00,0.00,75.00,4.00,293.00,1.00,376.00,50.00,9.00,26.00
GA,Gilmer County,1302340,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,71.00,4.00,78.00,8.00,1.00,0.00
GA,Gilmer County,1302340,2015,Total enrollment,M,4.00,8.00,0.00,530.00,8.00,1592.00,13.00,2155.00,243.00,51.00,317.00
GA,Gilmer County,1302340,2015,Total enrollment,F,4.00,6.00,2.00,537.00,10.00,1505.00,27.00,2091.00,126.00,44.00,330.00
GA,Greene County,1302490,2015,School days missed due to out-of-school suspension,M,0.00,10.00,0.00,32.00,565.00,41.00,3.00,651.00,139.00,0.00,13.00
GA,Greene County,1302490,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,163.00,26.00,0.00,189.00,28.00,0.00,0.00
GA,Greene County,1302490,2015,Total enrollment,M,8.00,10.00,0.00,132.00,699.00,393.00,39.00,1281.00,195.00,25.00,66.00
GA,Greene County,1302490,2015,Total enrollment,F,2.00,12.00,0.00,156.00,648.00,402.00,48.00,1268.00,69.00,16.00,69.00
GA,Union County,1305250,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,0.00,87.00,1.00,91.00,65.00,3.00,1.00
GA,Union County,1305250,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,18.00,0.00,18.00,1.00,1.00,0.00
GA,Union County,1305250,2015,Total enrollment,M,4.00,8.00,0.00,47.00,4.00,1339.00,38.00,1440.00,257.00,73.00,23.00
GA,Union County,1305250,2015,Total enrollment,F,6.00,9.00,0.00,29.00,0.00,1243.00,37.00,1324.00,125.00,49.00,9.00
GA,Taylor County,1304800,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,99.00,43.00,0.00,142.00,45.00,10.00,0.00
GA,Taylor County,1304800,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,24.00,43.00,0.00,67.00,0.00,0.00,0.00
GA,Taylor County,1304800,2015,Total enrollment,M,9.00,11.00,0.00,16.00,316.00,406.00,6.00,764.00,101.00,20.00,0.00
GA,Taylor County,1304800,2015,Total enrollment,F,4.00,4.00,0.00,10.00,268.00,412.00,8.00,706.00,31.00,10.00,2.00
GA,Calhoun City,1300720,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,147.00,55.00,152.00,32.00,386.00,59.00,0.00,36.00
GA,Calhoun City,1300720,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,54.00,20.00,31.00,5.00,110.00,13.00,0.00,9.00
GA,Calhoun City,1300720,2015,Total enrollment,M,0.00,40.00,9.00,769.00,139.00,1231.00,58.00,2246.00,260.00,66.00,296.00
GA,Calhoun City,1300720,2015,Total enrollment,F,8.00,49.00,6.00,691.00,139.00,1081.00,49.00,2023.00,122.00,33.00,239.00
