Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
IA,Collins-Maxwell Comm School District,1907900,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,3.00,0.00,0.00
IA,Collins-Maxwell Comm School District,1907900,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Collins-Maxwell Comm School District,1907900,2015,Total enrollment,M,0.00,0.00,0.00,13.00,2.00,208.00,2.00,225.00,38.00,0.00,0.00
IA,Collins-Maxwell Comm School District,1907900,2015,Total enrollment,F,2.00,2.00,0.00,10.00,2.00,199.00,4.00,219.00,20.00,2.00,0.00
IA,Lake Mills Comm School District,1916110,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,11.00,2.00,13.00,0.00,0.00,0.00
IA,Lake Mills Comm School District,1916110,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Lake Mills Comm School District,1916110,2015,Total enrollment,M,0.00,0.00,0.00,24.00,4.00,330.00,7.00,365.00,51.00,6.00,9.00
IA,Lake Mills Comm School District,1916110,2015,Total enrollment,F,0.00,0.00,0.00,33.00,5.00,330.00,6.00,374.00,24.00,2.00,10.00
IA,Sibley-Ocheyedan Comm School District,1900015,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,5.00,3.00,9.00,1.00,0.00,1.00
IA,Sibley-Ocheyedan Comm School District,1900015,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Sibley-Ocheyedan Comm School District,1900015,2015,Total enrollment,M,0.00,4.00,0.00,72.00,4.00,348.00,4.00,432.00,45.00,2.00,30.00
IA,Sibley-Ocheyedan Comm School District,1900015,2015,Total enrollment,F,0.00,6.00,0.00,63.00,2.00,303.00,5.00,379.00,27.00,2.00,30.00
IA,South Hamilton Comm School District,1926640,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,1.00,44.00,0.00,45.00,8.00,19.00,0.00
IA,South Hamilton Comm School District,1926640,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00
IA,South Hamilton Comm School District,1926640,2015,Total enrollment,M,0.00,2.00,0.00,31.00,2.00,322.00,13.00,370.00,56.00,19.00,7.00
IA,South Hamilton Comm School District,1926640,2015,Total enrollment,F,0.00,4.00,0.00,49.00,2.00,313.00,10.00,378.00,35.00,13.00,7.00
IA,Adair-Casey Comm School District,1903090,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Adair-Casey Comm School District,1903090,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Adair-Casey Comm School District,1903090,2015,Total enrollment,M,0.00,0.00,0.00,2.00,0.00,145.00,2.00,149.00,29.00,2.00,0.00
IA,Adair-Casey Comm School District,1903090,2015,Total enrollment,F,0.00,4.00,0.00,2.00,2.00,136.00,0.00,144.00,14.00,2.00,0.00
IA,Union Comm School District,1900022,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,3.00,0.00,0.00
IA,Union Comm School District,1900022,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Union Comm School District,1900022,2015,Total enrollment,M,2.00,2.00,0.00,23.00,7.00,605.00,12.00,651.00,112.00,16.00,2.00
IA,Union Comm School District,1900022,2015,Total enrollment,F,2.00,6.00,0.00,14.00,6.00,500.00,17.00,545.00,64.00,4.00,0.00
IA,Columbus Comm School District,1907980,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,86.00,5.00,9.00,0.00,100.00,24.00,2.00,34.00
IA,Columbus Comm School District,1907980,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,17.00,1.00,1.00,0.00,20.00,2.00,0.00,2.00
IA,Columbus Comm School District,1907980,2015,Total enrollment,M,0.00,39.00,0.00,237.00,6.00,126.00,4.00,412.00,69.00,9.00,129.00
IA,Columbus Comm School District,1907980,2015,Total enrollment,F,2.00,42.00,0.00,231.00,6.00,93.00,2.00,376.00,36.00,6.00,123.00
IA,Griswold Comm School District,1913230,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00,0.00
IA,Griswold Comm School District,1913230,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
IA,Griswold Comm School District,1913230,2015,Total enrollment,M,0.00,2.00,0.00,9.00,2.00,246.00,2.00,261.00,39.00,5.00,0.00
IA,Griswold Comm School District,1913230,2015,Total enrollment,F,2.00,0.00,0.00,15.00,2.00,249.00,6.00,274.00,30.00,2.00,0.00
IA,Oelwein Comm School District,1921630,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,6.00,8.00,17.00,3.00,34.00,2.00,3.00,0.00
IA,Oelwein Comm School District,1921630,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,19.00,0.00,19.00,13.00,0.00,0.00
IA,Oelwein Comm School District,1921630,2015,Total enrollment,M,0.00,6.00,0.00,40.00,13.00,592.00,43.00,694.00,113.00,7.00,7.00
IA,Oelwein Comm School District,1921630,2015,Total enrollment,F,6.00,2.00,0.00,40.00,11.00,538.00,37.00,634.00,64.00,7.00,4.00
IA,West Des Moines Comm School District,1930930,2015,School days missed due to out-of-school suspension,M,1.00,36.00,2.00,211.00,98.00,633.00,35.00,1016.00,169.00,26.00,68.00
IA,West Des Moines Comm School District,1930930,2015,School days missed due to out-of-school suspension,F,0.00,3.00,0.00,183.00,54.00,210.00,171.00,621.00,55.00,4.00,11.00
IA,West Des Moines Comm School District,1930930,2015,Total enrollment,M,19.00,350.00,4.00,605.00,347.00,3173.00,224.00,4722.00,592.00,194.00,482.00
IA,West Des Moines Comm School District,1930930,2015,Total enrollment,F,23.00,345.00,2.00,527.00,305.00,2903.00,194.00,4299.00,283.00,92.00,365.00
IA,Howard-Winneshiek Comm School District,1914280,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,10.00,26.00,3.00,39.00,24.00,2.00,0.00
IA,Howard-Winneshiek Comm School District,1914280,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,8.00,2.00,10.00,2.00,4.00,0.00
IA,Howard-Winneshiek Comm School District,1914280,2015,Total enrollment,M,2.00,2.00,0.00,16.00,2.00,567.00,15.00,604.00,83.00,7.00,4.00
IA,Howard-Winneshiek Comm School District,1914280,2015,Total enrollment,F,2.00,2.00,0.00,19.00,4.00,504.00,10.00,541.00,56.00,2.00,4.00
IA,Ar-We-Va Comm School District,1903780,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Ar-We-Va Comm School District,1903780,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Ar-We-Va Comm School District,1903780,2015,Total enrollment,M,2.00,0.00,0.00,10.00,4.00,103.00,0.00,119.00,11.00,0.00,7.00
IA,Ar-We-Va Comm School District,1903780,2015,Total enrollment,F,0.00,0.00,0.00,19.00,0.00,91.00,2.00,112.00,8.00,2.00,13.00
IA,Fremont-Mills Comm School District,1912120,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Fremont-Mills Comm School District,1912120,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Fremont-Mills Comm School District,1912120,2015,Total enrollment,M,0.00,2.00,2.00,10.00,4.00,226.00,4.00,248.00,29.00,5.00,2.00
IA,Fremont-Mills Comm School District,1912120,2015,Total enrollment,F,0.00,0.00,0.00,10.00,0.00,235.00,4.00,249.00,14.00,2.00,0.00
IA,Bellevue Comm School District,1904650,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
IA,Bellevue Comm School District,1904650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,1.00,0.00,0.00
IA,Bellevue Comm School District,1904650,2015,Total enrollment,M,2.00,0.00,0.00,4.00,2.00,343.00,4.00,355.00,53.00,2.00,0.00
IA,Bellevue Comm School District,1904650,2015,Total enrollment,F,2.00,0.00,0.00,4.00,4.00,301.00,10.00,321.00,23.00,2.00,0.00
IA,Central Comm School District,1906840,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Central Comm School District,1906840,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Central Comm School District,1906840,2015,Total enrollment,M,0.00,0.00,0.00,2.00,2.00,238.00,0.00,242.00,35.00,10.00,0.00
IA,Central Comm School District,1906840,2015,Total enrollment,F,2.00,2.00,0.00,2.00,4.00,247.00,2.00,259.00,29.00,7.00,2.00
IA,Maquoketa Comm School District,1918510,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,111.00,6.00,118.00,75.00,1.00,0.00
IA,Maquoketa Comm School District,1918510,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,1.00,0.00,0.00
IA,Maquoketa Comm School District,1918510,2015,Total enrollment,M,2.00,6.00,26.00,20.00,11.00,662.00,29.00,756.00,175.00,7.00,14.00
IA,Maquoketa Comm School District,1918510,2015,Total enrollment,F,2.00,6.00,20.00,17.00,11.00,587.00,17.00,660.00,76.00,5.00,14.00
IA,Clear Lake Comm School District,1907620,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,0.00,24.00,1.00,27.00,7.00,0.00,0.00
IA,Clear Lake Comm School District,1907620,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
IA,Clear Lake Comm School District,1907620,2015,Total enrollment,M,2.00,12.00,0.00,47.00,12.00,635.00,38.00,746.00,109.00,27.00,2.00
IA,Clear Lake Comm School District,1907620,2015,Total enrollment,F,0.00,11.00,0.00,32.00,14.00,554.00,33.00,644.00,51.00,9.00,2.00
IA,Ames Comm School District,1903540,2015,School days missed due to out-of-school suspension,M,0.00,2.00,0.00,19.00,77.00,95.00,16.00,209.00,75.00,22.00,15.00
IA,Ames Comm School District,1903540,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,6.00,35.00,28.00,0.00,69.00,27.00,6.00,0.00
IA,Ames Comm School District,1903540,2015,Total enrollment,M,9.00,220.00,0.00,202.00,205.00,1507.00,121.00,2264.00,218.00,137.00,118.00
IA,Ames Comm School District,1903540,2015,Total enrollment,F,6.00,223.00,0.00,169.00,166.00,1492.00,106.00,2162.00,107.00,47.00,91.00
IA,Underwood Comm School District,1928230,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00
IA,Underwood Comm School District,1928230,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Underwood Comm School District,1928230,2015,Total enrollment,M,2.00,2.00,0.00,15.00,0.00,411.00,9.00,439.00,42.00,0.00,0.00
IA,Underwood Comm School District,1928230,2015,Total enrollment,F,4.00,2.00,0.00,15.00,2.00,324.00,4.00,351.00,21.00,2.00,0.00
IA,Wapsie Valley Comm School District,1929760,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,5.00,0.00,31.00,0.00,36.00,0.00,0.00,0.00
IA,Wapsie Valley Comm School District,1929760,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,11.00,3.00,14.00,0.00,0.00,0.00
IA,Wapsie Valley Comm School District,1929760,2015,Total enrollment,M,0.00,0.00,0.00,6.00,0.00,389.00,2.00,397.00,30.00,0.00,56.00
IA,Wapsie Valley Comm School District,1929760,2015,Total enrollment,F,0.00,4.00,0.00,6.00,0.00,338.00,5.00,353.00,18.00,0.00,53.00
IA,Eastern Allamakee Comm School District,1910410,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00
IA,Eastern Allamakee Comm School District,1910410,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Eastern Allamakee Comm School District,1910410,2015,Total enrollment,M,4.00,2.00,2.00,4.00,2.00,195.00,2.00,211.00,21.00,2.00,0.00
IA,Eastern Allamakee Comm School District,1910410,2015,Total enrollment,F,0.00,0.00,0.00,9.00,0.00,150.00,4.00,163.00,18.00,2.00,0.00
IA,Diagonal Comm School District,1909060,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Diagonal Comm School District,1909060,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Diagonal Comm School District,1909060,2015,Total enrollment,M,2.00,0.00,0.00,0.00,2.00,58.00,2.00,64.00,8.00,0.00,0.00
IA,Diagonal Comm School District,1909060,2015,Total enrollment,F,0.00,0.00,0.00,4.00,2.00,58.00,0.00,64.00,4.00,0.00,0.00
IA,Mount Ayr Comm School District,1919860,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,8.00,0.00,0.00
IA,Mount Ayr Comm School District,1919860,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Mount Ayr Comm School District,1919860,2015,Total enrollment,M,2.00,2.00,2.00,4.00,4.00,348.00,0.00,362.00,56.00,4.00,7.00
IA,Mount Ayr Comm School District,1919860,2015,Total enrollment,F,0.00,4.00,2.00,4.00,4.00,297.00,0.00,311.00,32.00,2.00,2.00
IA,Hartley-Melvin-Sanborn Comm School District,1913660,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,0.00,12.00,0.00,15.00,11.00,0.00,0.00
IA,Hartley-Melvin-Sanborn Comm School District,1913660,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,Hartley-Melvin-Sanborn Comm School District,1913660,2015,Total enrollment,M,2.00,2.00,0.00,39.00,2.00,288.00,4.00,337.00,66.00,2.00,7.00
IA,Hartley-Melvin-Sanborn Comm School District,1913660,2015,Total enrollment,F,2.00,2.00,0.00,33.00,5.00,267.00,9.00,318.00,39.00,0.00,8.00
IA,West Hancock Comm School District,1905430,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,7.00,0.00,16.00,0.00,23.00,0.00,0.00,0.00
IA,West Hancock Comm School District,1905430,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,1.00,0.00,4.00,1.00,0.00,3.00
IA,West Hancock Comm School District,1905430,2015,Total enrollment,M,0.00,2.00,0.00,48.00,4.00,261.00,7.00,322.00,39.00,0.00,22.00
IA,West Hancock Comm School District,1905430,2015,Total enrollment,F,0.00,2.00,0.00,48.00,0.00,264.00,6.00,320.00,18.00,2.00,18.00
IA,BCLUW Comm School District,1904440,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,0.00,22.00,4.00,28.00,9.00,0.00,1.00
IA,BCLUW Comm School District,1904440,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IA,BCLUW Comm School District,1904440,2015,Total enrollment,M,2.00,4.00,0.00,18.00,2.00,270.00,9.00,305.00,51.00,6.00,4.00
IA,BCLUW Comm School District,1904440,2015,Total enrollment,F,0.00,2.00,0.00,18.00,2.00,291.00,9.00,322.00,33.00,2.00,4.00
IA,Forest City Comm School District,1911790,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,0.00,14.00,1.00,18.00,7.00,0.00,0.00
IA,Forest City Comm School District,1911790,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,15.00,0.00,15.00,13.00,0.00,0.00
IA,Forest City Comm School District,1911790,2015,Total enrollment,M,4.00,4.00,2.00,30.00,15.00,534.00,12.00,601.00,108.00,0.00,0.00
IA,Forest City Comm School District,1911790,2015,Total enrollment,F,0.00,12.00,2.00,27.00,10.00,501.00,15.00,567.00,75.00,0.00,0.00
IA,Woodward-Granger Comm School District,1932010,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,37.00,5.00,42.00,8.00,0.00,0.00
IA,Woodward-Granger Comm School District,1932010,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,5.00,0.00,13.00,0.00,18.00,0.00,0.00,0.00
IA,Woodward-Granger Comm School District,1932010,2015,Total enrollment,M,8.00,2.00,0.00,50.00,77.00,553.00,20.00,710.00,182.00,11.00,2.00
IA,Woodward-Granger Comm School District,1932010,2015,Total enrollment,F,0.00,0.00,0.00,17.00,6.00,445.00,9.00,477.00,22.00,4.00,6.00
IA,Central Lee Comm School District,1906930,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,45.00,0.00,45.00,5.00,0.00,0.00
IA,Central Lee Comm School District,1906930,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,4.00,5.00,0.00,9.00,4.00,0.00,0.00
IA,Central Lee Comm School District,1906930,2015,Total enrollment,M,4.00,2.00,2.00,9.00,4.00,519.00,10.00,550.00,63.00,2.00,0.00
IA,Central Lee Comm School District,1906930,2015,Total enrollment,F,4.00,6.00,2.00,12.00,4.00,486.00,13.00,527.00,30.00,2.00,0.00
IA,Independence Comm School District,1914580,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,6.00,52.00,0.00,58.00,23.00,1.00,0.00
IA,Independence Comm School District,1914580,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,17.00,1.00,18.00,14.00,0.00,0.00
IA,Independence Comm School District,1914580,2015,Total enrollment,M,0.00,4.00,2.00,20.00,9.00,704.00,9.00,748.00,130.00,16.00,4.00
IA,Independence Comm School District,1914580,2015,Total enrollment,F,2.00,4.00,0.00,9.00,4.00,629.00,10.00,658.00,84.00,10.00,0.00
IA,Melcher-Dallas Comm School District,1918960,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,5.00,0.00,7.00,3.00,0.00,0.00
IA,Melcher-Dallas Comm School District,1918960,2015,School days missed due to out-of-school suspension,F,0.00,2.00,0.00,0.00,0.00,1.00,0.00,3.00,2.00,2.00,0.00
IA,Melcher-Dallas Comm School District,1918960,2015,Total enrollment,M,0.00,2.00,0.00,4.00,6.00,195.00,0.00,207.00,36.00,0.00,0.00
IA,Melcher-Dallas Comm School District,1918960,2015,Total enrollment,F,0.00,2.00,0.00,12.00,4.00,162.00,0.00,180.00,18.00,6.00,0.00
IA,Atlantic Comm School District,1903930,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,13.00,3.00,90.00,0.00,106.00,33.00,17.00,0.00
IA,Atlantic Comm School District,1903930,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,8.00,0.00,0.00
IA,Atlantic Comm School District,1903930,2015,Total enrollment,M,2.00,2.00,17.00,35.00,2.00,719.00,9.00,786.00,142.00,12.00,14.00
IA,Atlantic Comm School District,1903930,2015,Total enrollment,F,0.00,2.00,17.00,29.00,8.00,656.00,6.00,718.00,73.00,9.00,17.00
IA,Monticello Comm School District,1919650,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,1.00,3.00,0.00
IA,Monticello Comm School District,1919650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,19.00,0.00,19.00,13.00,0.00,0.00
IA,Monticello Comm School District,1919650,2015,Total enrollment,M,4.00,6.00,0.00,17.00,11.00,512.00,9.00,559.00,100.00,19.00,8.00
