Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
ID,EMMETT INDEPENDENT DIST,1601020,2015,School days missed due to out-of-school suspension,M,3.00,2.00,1.00,45.00,1.00,179.00,6.00,237.00,59.00,0.00,2.00
ID,EMMETT INDEPENDENT DIST,1601020,2015,School days missed due to out-of-school suspension,F,0.00,0.00,1.00,5.00,0.00,21.00,1.00,28.00,4.00,0.00,0.00
ID,EMMETT INDEPENDENT DIST,1601020,2015,Total enrollment,M,8.00,11.00,4.00,168.00,14.00,1332.00,34.00,1571.00,257.00,7.00,50.00
ID,EMMETT INDEPENDENT DIST,1601020,2015,Total enrollment,F,4.00,10.00,4.00,164.00,11.00,1228.00,25.00,1446.00,102.00,8.00,37.00
ID,MCCALL-DONNELLY JT. SCHOOL DISTRICT,1602030,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,26.00,0.00,27.00,0.00,0.00,0.00
ID,MCCALL-DONNELLY JT. SCHOOL DISTRICT,1602030,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,15.00,0.00,8.00,0.00,23.00,0.00,0.00,1.00
ID,MCCALL-DONNELLY JT. SCHOOL DISTRICT,1602030,2015,Total enrollment,M,2.00,0.00,4.00,55.00,4.00,481.00,4.00,550.00,49.00,16.00,4.00
ID,MCCALL-DONNELLY JT. SCHOOL DISTRICT,1602030,2015,Total enrollment,F,4.00,2.00,4.00,38.00,2.00,460.00,6.00,516.00,24.00,12.00,4.00
ID,IDAHO DEPT JUVENILE CORRECTION,1600016,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ID,IDAHO DEPT JUVENILE CORRECTION,1600016,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ID,IDAHO DEPT JUVENILE CORRECTION,1600016,2015,Total enrollment,M,9.00,2.00,2.00,75.00,12.00,183.00,6.00,289.00,111.00,18.00,7.00
ID,IDAHO DEPT JUVENILE CORRECTION,1600016,2015,Total enrollment,F,2.00,0.00,2.00,10.00,0.00,40.00,0.00,54.00,17.00,4.00,0.00
ID,KELLOGG JOINT DISTRICT,1601650,2015,School days missed due to out-of-school suspension,M,7.00,0.00,0.00,14.00,0.00,81.00,0.00,102.00,38.00,0.00,0.00
ID,KELLOGG JOINT DISTRICT,1601650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,15.00,0.00,15.00,1.00,0.00,0.00
ID,KELLOGG JOINT DISTRICT,1601650,2015,Total enrollment,M,14.00,2.00,4.00,24.00,4.00,506.00,6.00,560.00,103.00,6.00,0.00
ID,KELLOGG JOINT DISTRICT,1601650,2015,Total enrollment,F,12.00,9.00,2.00,12.00,2.00,497.00,11.00,545.00,52.00,7.00,2.00
ID,PAYETTE JOINT DISTRICT,1602580,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,5.00,0.00,6.00,3.00,0.00,0.00
ID,PAYETTE JOINT DISTRICT,1602580,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,2.00
ID,PAYETTE JOINT DISTRICT,1602580,2015,Total enrollment,M,6.00,4.00,2.00,273.00,8.00,504.00,28.00,825.00,116.00,2.00,98.00
ID,PAYETTE JOINT DISTRICT,1602580,2015,Total enrollment,F,8.00,2.00,2.00,232.00,6.00,477.00,23.00,750.00,49.00,4.00,80.00
ID,MOSCOW DISTRICT,1602220,2015,School days missed due to out-of-school suspension,M,0.00,0.00,4.00,0.00,1.00,90.00,0.00,95.00,13.00,1.00,0.00
ID,MOSCOW DISTRICT,1602220,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,6.00,0.00,0.00
ID,MOSCOW DISTRICT,1602220,2015,Total enrollment,M,28.00,35.00,8.00,62.00,24.00,1093.00,27.00,1277.00,127.00,63.00,19.00
ID,MOSCOW DISTRICT,1602220,2015,Total enrollment,F,21.00,46.00,4.00,56.00,27.00,1039.00,25.00,1218.00,70.00,26.00,19.00
ID,LEWISTON INDEPENDENT DISTRICT,1601860,2015,School days missed due to out-of-school suspension,M,45.00,0.00,0.00,5.00,6.00,308.00,28.00,392.00,119.00,44.00,0.00
ID,LEWISTON INDEPENDENT DISTRICT,1601860,2015,School days missed due to out-of-school suspension,F,3.00,0.00,0.00,1.00,1.00,35.00,2.00,42.00,10.00,3.00,0.00
ID,LEWISTON INDEPENDENT DISTRICT,1601860,2015,Total enrollment,M,65.00,18.00,2.00,91.00,21.00,2127.00,136.00,2460.00,338.00,145.00,12.00
ID,LEWISTON INDEPENDENT DISTRICT,1601860,2015,Total enrollment,F,61.00,18.00,6.00,70.00,12.00,2041.00,109.00,2317.00,157.00,85.00,8.00
ID,PRESTON JOINT DISTRICT,1600960,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,0.00,20.00,0.00,23.00,0.00,0.00,0.00
ID,PRESTON JOINT DISTRICT,1600960,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
ID,PRESTON JOINT DISTRICT,1600960,2015,Total enrollment,M,25.00,4.00,4.00,118.00,6.00,1159.00,20.00,1336.00,169.00,24.00,37.00
ID,PRESTON JOINT DISTRICT,1600960,2015,Total enrollment,F,17.00,4.00,2.00,113.00,6.00,1039.00,14.00,1195.00,88.00,7.00,41.00
ID,FRUITLAND DISTRICT,1601140,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,13.00,0.00,24.00,3.00,40.00,7.00,2.00,2.00
ID,FRUITLAND DISTRICT,1601140,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,1.00,13.00,1.00,16.00,4.00,0.00,0.00
ID,FRUITLAND DISTRICT,1601140,2015,Total enrollment,M,4.00,4.00,0.00,228.00,4.00,648.00,21.00,909.00,108.00,33.00,60.00
ID,FRUITLAND DISTRICT,1601140,2015,Total enrollment,F,4.00,7.00,0.00,213.00,4.00,561.00,12.00,801.00,51.00,15.00,45.00
ID,BRUNEAU-GRAND VIEW JOINT SCHOOL DISTRICT,1600450,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,0.00,13.00,0.00,15.00,3.00,0.00,0.00
ID,BRUNEAU-GRAND VIEW JOINT SCHOOL DISTRICT,1600450,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ID,BRUNEAU-GRAND VIEW JOINT SCHOOL DISTRICT,1600450,2015,Total enrollment,M,4.00,0.00,0.00,60.00,2.00,114.00,4.00,184.00,21.00,0.00,27.00
ID,BRUNEAU-GRAND VIEW JOINT SCHOOL DISTRICT,1600450,2015,Total enrollment,F,4.00,0.00,0.00,51.00,0.00,99.00,0.00,154.00,11.00,0.00,27.00
ID,COEUR D'ALENE DISTRICT,1600780,2015,School days missed due to out-of-school suspension,M,25.00,2.00,1.00,104.00,21.00,986.00,77.00,1216.00,219.00,94.00,1.00
ID,COEUR D'ALENE DISTRICT,1600780,2015,School days missed due to out-of-school suspension,F,4.00,1.00,0.00,40.00,3.00,329.00,20.00,397.00,56.00,25.00,6.00
ID,COEUR D'ALENE DISTRICT,1600780,2015,Total enrollment,M,51.00,47.00,17.00,371.00,35.00,4804.00,220.00,5545.00,568.00,263.00,38.00
ID,COEUR D'ALENE DISTRICT,1600780,2015,Total enrollment,F,52.00,65.00,12.00,376.00,35.00,4420.00,233.00,5193.00,321.00,152.00,24.00
ID,MARSING JOINT DISTRICT No. 363,1601980,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,0.00,0.00,8.00,0.00,9.00,3.00,0.00,0.00
ID,MARSING JOINT DISTRICT No. 363,1601980,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
ID,MARSING JOINT DISTRICT No. 363,1601980,2015,Total enrollment,M,4.00,4.00,2.00,174.00,2.00,264.00,4.00,454.00,57.00,2.00,63.00
ID,MARSING JOINT DISTRICT No. 363,1601980,2015,Total enrollment,F,7.00,4.00,0.00,162.00,2.00,255.00,0.00,430.00,33.00,2.00,42.00
ID,KAMIAH JOINT DISTRICT,1601620,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,0.00,0.00,5.00,1.00,7.00,0.00,0.00,0.00
ID,KAMIAH JOINT DISTRICT,1601620,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ID,KAMIAH JOINT DISTRICT,1601620,2015,Total enrollment,M,33.00,2.00,0.00,21.00,2.00,168.00,27.00,253.00,39.00,7.00,0.00
ID,KAMIAH JOINT DISTRICT,1601620,2015,Total enrollment,F,36.00,2.00,0.00,12.00,0.00,138.00,27.00,215.00,21.00,6.00,0.00
ID,NAMPA SCHOOL DISTRICT,1602340,2015,School days missed due to out-of-school suspension,M,2.00,0.00,0.00,396.00,15.00,340.00,23.00,776.00,2.00,42.00,63.00
ID,NAMPA SCHOOL DISTRICT,1602340,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,108.00,7.00,86.00,0.00,201.00,0.00,6.00,0.00
ID,NAMPA SCHOOL DISTRICT,1602340,2015,Total enrollment,M,37.00,48.00,44.00,2685.00,68.00,5010.00,202.00,8094.00,4.00,259.00,469.00
ID,NAMPA SCHOOL DISTRICT,1602340,2015,Total enrollment,F,36.00,45.00,45.00,2610.00,64.00,4611.00,144.00,7555.00,4.00,133.00,415.00
ID,JOINT SCHOOL DISTRICT NO. 2,1602100,2015,School days missed due to out-of-school suspension,M,0.00,0.00,2.00,54.00,13.00,468.00,19.00,556.00,161.00,59.00,23.00
ID,JOINT SCHOOL DISTRICT NO. 2,1602100,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,20.00,0.00,63.00,0.00,84.00,26.00,15.00,2.00
ID,JOINT SCHOOL DISTRICT NO. 2,1602100,2015,Total enrollment,M,115.00,382.00,81.00,1877.00,317.00,15959.00,744.00,19475.00,2351.00,927.00,1035.00
ID,JOINT SCHOOL DISTRICT NO. 2,1602100,2015,Total enrollment,F,124.00,389.00,89.00,1877.00,261.00,14783.00,661.00,18184.00,1182.00,475.00,906.00
ID,AMERICAN FALLS JOINT DISTRICT,1600060,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,18.00,0.00,22.00,0.00,40.00,3.00,0.00,3.00
ID,AMERICAN FALLS JOINT DISTRICT,1600060,2015,School days missed due to out-of-school suspension,F,4.00,0.00,0.00,4.00,0.00,5.00,0.00,13.00,0.00,0.00,4.00
ID,AMERICAN FALLS JOINT DISTRICT,1600060,2015,Total enrollment,M,23.00,4.00,2.00,355.00,4.00,364.00,0.00,752.00,55.00,2.00,173.00
ID,AMERICAN FALLS JOINT DISTRICT,1600060,2015,Total enrollment,F,23.00,4.00,7.00,355.00,4.00,326.00,0.00,719.00,24.00,0.00,167.00
ID,POST FALLS DISTRICT,1602670,2015,School days missed due to out-of-school suspension,M,7.00,0.00,0.00,53.00,4.00,415.00,7.00,486.00,66.00,16.00,1.00
ID,POST FALLS DISTRICT,1602670,2015,School days missed due to out-of-school suspension,F,4.00,0.00,2.00,7.00,2.00,169.00,1.00,185.00,6.00,0.00,0.00
ID,POST FALLS DISTRICT,1602670,2015,Total enrollment,M,19.00,22.00,8.00,176.00,35.00,2531.00,83.00,2874.00,358.00,61.00,15.00
ID,POST FALLS DISTRICT,1602670,2015,Total enrollment,F,23.00,21.00,6.00,167.00,23.00,2510.00,78.00,2828.00,192.00,42.00,12.00
ID,MARSH VALLEY JOINT DISTRICT,1601950,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00
ID,MARSH VALLEY JOINT DISTRICT,1601950,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00
ID,MARSH VALLEY JOINT DISTRICT,1601950,2015,Total enrollment,M,6.00,0.00,6.00,27.00,11.00,642.00,11.00,703.00,50.00,6.00,0.00
ID,MARSH VALLEY JOINT DISTRICT,1601950,2015,Total enrollment,F,6.00,2.00,0.00,18.00,6.00,582.00,8.00,622.00,19.00,2.00,0.00
ID,SHELLEY JOINT DISTRICT,1602910,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,24.00,0.00,45.00,0.00,69.00,23.00,4.00,21.00
ID,SHELLEY JOINT DISTRICT,1602910,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,6.00,0.00,7.00,0.00,13.00,4.00,0.00,5.00
ID,SHELLEY JOINT DISTRICT,1602910,2015,Total enrollment,M,7.00,6.00,2.00,157.00,9.00,994.00,0.00,1175.00,101.00,26.00,40.00
ID,SHELLEY JOINT DISTRICT,1602910,2015,Total enrollment,F,4.00,10.00,0.00,127.00,11.00,946.00,0.00,1098.00,59.00,17.00,25.00
ID,OROFINO JOINT DISTRICT,1602520,2015,School days missed due to out-of-school suspension,M,1.00,0.00,2.00,0.00,0.00,34.00,0.00,37.00,23.00,1.00,0.00
ID,OROFINO JOINT DISTRICT,1602520,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,6.00,0.00,11.00,0.00,19.00,5.00,4.00,0.00
ID,OROFINO JOINT DISTRICT,1602520,2015,Total enrollment,M,11.00,4.00,4.00,39.00,7.00,551.00,13.00,629.00,82.00,17.00,0.00
ID,OROFINO JOINT DISTRICT,1602520,2015,Total enrollment,F,17.00,11.00,4.00,37.00,2.00,404.00,4.00,479.00,40.00,4.00,0.00
ID,IDAHO FALLS DISTRICT,1601530,2015,School days missed due to out-of-school suspension,M,0.00,9.00,0.00,33.00,0.00,97.00,5.00,144.00,52.00,4.00,15.00
ID,IDAHO FALLS DISTRICT,1601530,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,24.00,5.00,27.00,0.00,56.00,14.00,0.00,4.00
ID,IDAHO FALLS DISTRICT,1601530,2015,Total enrollment,M,43.00,46.00,6.00,1115.00,37.00,3637.00,171.00,5055.00,645.00,159.00,301.00
ID,IDAHO FALLS DISTRICT,1601530,2015,Total enrollment,F,38.00,41.00,8.00,1070.00,38.00,3578.00,141.00,4914.00,354.00,106.00,287.00
ID,POCATELLO DISTRICT,1602640,2015,School days missed due to out-of-school suspension,M,20.00,0.00,6.00,61.00,10.00,327.00,20.00,444.00,79.00,5.00,6.00
ID,POCATELLO DISTRICT,1602640,2015,School days missed due to out-of-school suspension,F,27.00,0.00,0.00,39.00,0.00,58.00,0.00,124.00,9.00,0.00,0.00
ID,POCATELLO DISTRICT,1602640,2015,Total enrollment,M,281.00,66.00,54.00,732.00,64.00,5291.00,173.00,6661.00,876.00,76.00,86.00
ID,POCATELLO DISTRICT,1602640,2015,Total enrollment,F,255.00,74.00,33.00,634.00,71.00,4974.00,168.00,6209.00,488.00,61.00,63.00
ID,CASSIA COUNTY JOINT DISTRICT,1600660,2015,School days missed due to out-of-school suspension,M,2.00,0.00,0.00,63.00,0.00,98.00,3.00,166.00,47.00,3.00,12.00
ID,CASSIA COUNTY JOINT DISTRICT,1600660,2015,School days missed due to out-of-school suspension,F,3.00,0.00,0.00,21.00,0.00,154.00,0.00,178.00,0.00,0.00,4.00
ID,CASSIA COUNTY JOINT DISTRICT,1600660,2015,Total enrollment,M,14.00,4.00,10.00,971.00,10.00,1803.00,37.00,2849.00,310.00,19.00,299.00
ID,CASSIA COUNTY JOINT DISTRICT,1600660,2015,Total enrollment,F,16.00,10.00,12.00,932.00,12.00,1666.00,30.00,2678.00,146.00,15.00,242.00
ID,SALMON SCHOOL DISTRICT #291,1602850,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,35.00,0.00,35.00,11.00,0.00,0.00
ID,SALMON SCHOOL DISTRICT #291,1602850,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,2.00,0.00,0.00
ID,SALMON SCHOOL DISTRICT #291,1602850,2015,Total enrollment,M,10.00,2.00,2.00,7.00,5.00,377.00,4.00,407.00,32.00,12.00,2.00
ID,SALMON SCHOOL DISTRICT #291,1602850,2015,Total enrollment,F,4.00,2.00,2.00,19.00,2.00,347.00,7.00,383.00,14.00,4.00,0.00
ID,BLAINE COUNTY DISTRICT,1600300,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,14.00,0.00,40.00,5.00,59.00,1.00,4.00,9.00
ID,BLAINE COUNTY DISTRICT,1600300,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,19.00,0.00,16.00,0.00,35.00,0.00,0.00,11.00
ID,BLAINE COUNTY DISTRICT,1600300,2015,Total enrollment,M,4.00,15.00,6.00,727.00,4.00,970.00,33.00,1759.00,209.00,97.00,571.00
ID,BLAINE COUNTY DISTRICT,1600300,2015,Total enrollment,F,8.00,29.00,6.00,649.00,4.00,910.00,29.00,1635.00,104.00,75.00,511.00
ID,FIRTH DISTRICT,1601080,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,21.00,0.00,41.00,0.00,62.00,3.00,3.00,3.00
ID,FIRTH DISTRICT,1601080,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,15.00,0.00,25.00,0.00,40.00,1.00,2.00,3.00
ID,FIRTH DISTRICT,1601080,2015,Total enrollment,M,9.00,0.00,0.00,45.00,2.00,351.00,0.00,407.00,42.00,15.00,24.00
ID,FIRTH DISTRICT,1601080,2015,Total enrollment,F,7.00,0.00,0.00,54.00,4.00,315.00,0.00,380.00,30.00,9.00,18.00
ID,GLENNS FERRY JOINT DISTRICT,1601230,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,6.00,0.00,6.00,0.00,12.00,4.00,0.00,0.00
ID,GLENNS FERRY JOINT DISTRICT,1601230,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
