Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
IL,Midlothian SD 143,1725920,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,10.00,38.00,16.00,0.00,64.00,38.00,0.00,0.00
IL,Midlothian SD 143,1725920,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,7.00,1.00,0.00,8.00,1.00,0.00,0.00
IL,Midlothian SD 143,1725920,2015,Total enrollment,M,4.00,9.00,4.00,356.00,248.00,326.00,30.00,977.00,220.00,26.00,125.00
IL,Midlothian SD 143,1725920,2015,Total enrollment,F,0.00,10.00,2.00,329.00,257.00,302.00,29.00,929.00,121.00,15.00,137.00
IL,Brookwood SD 167,1716950,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,10.00,55.00,0.00,2.00,67.00,0.00,0.00,0.00
IL,Brookwood SD 167,1716950,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,11.00,0.00,0.00,11.00,0.00,0.00,0.00
IL,Brookwood SD 167,1716950,2015,Total enrollment,M,2.00,0.00,2.00,110.00,434.00,20.00,20.00,588.00,32.00,12.00,59.00
IL,Brookwood SD 167,1716950,2015,Total enrollment,F,2.00,0.00,0.00,86.00,425.00,23.00,17.00,553.00,14.00,12.00,45.00
IL,Komarek SD 94,1721420,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,18.00,5.00,7.00,0.00,30.00,10.00,0.00,5.00
IL,Komarek SD 94,1721420,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IL,Komarek SD 94,1721420,2015,Total enrollment,M,0.00,8.00,0.00,119.00,32.00,113.00,5.00,277.00,79.00,0.00,41.00
IL,Komarek SD 94,1721420,2015,Total enrollment,F,0.00,11.00,0.00,119.00,44.00,98.00,2.00,274.00,28.00,2.00,23.00
