Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
IN,Wabash City Schools,1812150,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,29.00,0.00,29.00,19.00,0.00,0.00
IN,Wabash City Schools,1812150,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Wabash City Schools,1812150,2015,Total enrollment,M,6.00,6.00,0.00,21.00,4.00,684.00,10.00,731.00,162.00,0.00,9.00
IN,Wabash City Schools,1812150,2015,Total enrollment,F,2.00,2.00,0.00,18.00,6.00,645.00,12.00,685.00,102.00,0.00,4.00
IN,Tri-County School Corporation,1811430,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,85.00,0.00,85.00,57.00,0.00,0.00
IN,Tri-County School Corporation,1811430,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,3.00,9.00,10.00,22.00,8.00,0.00,0.00
IN,Tri-County School Corporation,1811430,2015,Total enrollment,M,2.00,2.00,2.00,9.00,4.00,378.00,9.00,406.00,96.00,5.00,4.00
IN,Tri-County School Corporation,1811430,2015,Total enrollment,F,2.00,2.00,0.00,15.00,2.00,324.00,4.00,349.00,42.00,5.00,6.00
IN,Lake Central School Corp,1805450,2015,School days missed due to out-of-school suspension,M,3.00,14.00,0.00,97.00,125.00,340.00,11.00,590.00,184.00,0.00,0.00
IN,Lake Central School Corp,1805450,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,25.00,20.00,54.00,2.00,102.00,30.00,0.00,0.00
IN,Lake Central School Corp,1805450,2015,Total enrollment,M,20.00,144.00,2.00,737.00,269.00,3653.00,143.00,4968.00,709.00,26.00,392.00
IN,Lake Central School Corp,1805450,2015,Total enrollment,F,24.00,131.00,2.00,746.00,242.00,3365.00,149.00,4659.00,376.00,18.00,410.00
IN,School Town of Highland,1804560,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,61.00,28.00,150.00,14.00,254.00,75.00,3.00,1.00
IN,School Town of Highland,1804560,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,34.00,7.00,43.00,0.00,84.00,8.00,0.00,8.00
IN,School Town of Highland,1804560,2015,Total enrollment,M,2.00,23.00,0.00,450.00,75.00,1044.00,36.00,1630.00,231.00,45.00,39.00
IN,School Town of Highland,1804560,2015,Total enrollment,F,6.00,22.00,0.00,438.00,84.00,906.00,57.00,1513.00,105.00,28.00,33.00
IN,Salem Community Schools,1809810,2015,School days missed due to out-of-school suspension,M,2.00,0.00,0.00,0.00,4.00,213.00,1.00,220.00,184.00,0.00,0.00
IN,Salem Community Schools,1809810,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,59.00,0.00,59.00,18.00,0.00,0.00
IN,Salem Community Schools,1809810,2015,Total enrollment,M,4.00,7.00,2.00,15.00,4.00,978.00,13.00,1023.00,324.00,21.00,4.00
IN,Salem Community Schools,1809810,2015,Total enrollment,F,4.00,9.00,0.00,18.00,6.00,912.00,15.00,964.00,171.00,15.00,7.00
IN,Porter Township School Corp,1809180,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,8.00,2.00,50.00,1.00,61.00,15.00,0.00,0.00
IN,Porter Township School Corp,1809180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,26.00,0.00,27.00,1.00,0.00,0.00
IN,Porter Township School Corp,1809180,2015,Total enrollment,M,0.00,2.00,0.00,107.00,14.00,611.00,8.00,742.00,214.00,6.00,8.00
IN,Porter Township School Corp,1809180,2015,Total enrollment,F,2.00,2.00,2.00,95.00,11.00,587.00,11.00,710.00,115.00,5.00,15.00
IN,Western Wayne Schools,1813050,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Western Wayne Schools,1813050,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IN,Western Wayne Schools,1813050,2015,Total enrollment,M,0.00,0.00,0.00,4.00,0.00,283.00,2.00,289.00,28.00,0.00,0.00
IN,Western Wayne Schools,1813050,2015,Total enrollment,F,2.00,2.00,0.00,6.00,7.00,235.00,5.00,257.00,13.00,0.00,0.00
IN,Batesville Community School Corp,1800390,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,4.00,0.00,160.00,0.00,164.00,145.00,2.00,0.00
