Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
KS,West Franklin,2010800,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,9.00,0.00,0.00
KS,West Franklin,2010800,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
KS,West Franklin,2010800,2015,Total enrollment,M,6.00,0.00,2.00,14.00,4.00,301.00,8.00,335.00,88.00,0.00,0.00
KS,West Franklin,2010800,2015,Total enrollment,F,10.00,0.00,0.00,6.00,4.00,244.00,9.00,273.00,46.00,0.00,0.00
KS,Chase-Raymond,2004650,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,3.00,0.00,0.00
KS,Chase-Raymond,2004650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00
KS,Chase-Raymond,2004650,2015,Total enrollment,M,0.00,0.00,0.00,12.00,2.00,81.00,0.00,95.00,27.00,0.00,2.00
KS,Chase-Raymond,2004650,2015,Total enrollment,F,0.00,2.00,0.00,9.00,0.00,72.00,4.00,87.00,15.00,0.00,2.00
KS,Goddard,2006540,2015,School days missed due to out-of-school suspension,M,22.00,3.00,0.00,25.00,29.00,195.00,1.00,275.00,95.00,3.00,5.00
KS,Goddard,2006540,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,5.00,0.00,107.00,17.00,129.00,29.00,20.00,0.00
KS,Goddard,2006540,2015,Total enrollment,M,26.00,78.00,6.00,237.00,45.00,2280.00,99.00,2771.00,501.00,35.00,114.00
KS,Goddard,2006540,2015,Total enrollment,F,30.00,70.00,10.00,198.00,40.00,2202.00,94.00,2644.00,300.00,28.00,102.00
KS,Smoky Valley,2000002,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,56.00,0.00,56.00,27.00,0.00,0.00
KS,Smoky Valley,2000002,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
KS,Smoky Valley,2000002,2015,Total enrollment,M,0.00,4.00,0.00,59.00,6.00,617.00,15.00,701.00,97.00,23.00,9.00
KS,Smoky Valley,2000002,2015,Total enrollment,F,2.00,7.00,0.00,47.00,4.00,629.00,17.00,706.00,61.00,14.00,6.00
KS,Ulysses,2012420,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,149.00,5.00,113.00,1.00,268.00,42.00,0.00,129.00
KS,Ulysses,2012420,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,69.00,0.00,11.00,0.00,80.00,13.00,0.00,57.00
KS,Ulysses,2012420,2015,Total enrollment,M,17.00,6.00,0.00,593.00,7.00,278.00,14.00,915.00,145.00,0.00,332.00
KS,Ulysses,2012420,2015,Total enrollment,F,20.00,6.00,0.00,554.00,4.00,251.00,11.00,846.00,67.00,0.00,299.00
KS,Morris County,2005280,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,79.00,6.00,85.00,30.00,0.00,0.00
KS,Morris County,2005280,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,1.00,0.00,0.00
KS,Morris County,2005280,2015,Total enrollment,M,0.00,0.00,0.00,36.00,4.00,345.00,10.00,395.00,66.00,4.00,13.00
KS,Morris County,2005280,2015,Total enrollment,F,0.00,0.00,0.00,31.00,2.00,321.00,12.00,366.00,33.00,5.00,16.00
KS,Little River,2008880,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
KS,Little River,2008880,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KS,Little River,2008880,2015,Total enrollment,M,2.00,0.00,0.00,15.00,6.00,141.00,0.00,164.00,48.00,0.00,2.00
KS,Little River,2008880,2015,Total enrollment,F,0.00,0.00,0.00,21.00,2.00,156.00,0.00,179.00,17.00,0.00,0.00
KS,Lakin,2008280,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,90.00,0.00,90.00,0.00,0.00,0.00
KS,Lakin,2008280,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KS,Lakin,2008280,2015,Total enrollment,M,4.00,2.00,0.00,117.00,7.00,201.00,6.00,337.00,42.00,0.00,75.00
KS,Lakin,2008280,2015,Total enrollment,F,2.00,2.00,0.00,117.00,4.00,177.00,9.00,311.00,30.00,0.00,87.00
KS,Haven Public Schools,2006960,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,39.00,0.00,39.00,13.00,0.00,0.00
KS,Haven Public Schools,2006960,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,8.00,0.00,9.00,1.00,0.00,0.00
KS,Haven Public Schools,2006960,2015,Total enrollment,M,4.00,2.00,0.00,27.00,14.00,390.00,12.00,449.00,70.00,0.00,23.00
KS,Haven Public Schools,2006960,2015,Total enrollment,F,4.00,2.00,0.00,34.00,6.00,390.00,15.00,451.00,42.00,0.00,26.00
KS,Bonner Springs,2004050,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KS,Bonner Springs,2004050,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KS,Bonner Springs,2004050,2015,Total enrollment,M,9.00,10.00,6.00,261.00,135.00,837.00,79.00,1337.00,191.00,7.00,94.00
KS,Bonner Springs,2004050,2015,Total enrollment,F,16.00,19.00,2.00,249.00,141.00,861.00,90.00,1378.00,128.00,2.00,82.00
KS,Rural Vista,2007440,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,1.00,47.00,0.00,48.00,28.00,0.00,0.00
KS,Rural Vista,2007440,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,13.00,0.00,13.00,3.00,0.00,0.00
KS,Rural Vista,2007440,2015,Total enrollment,M,2.00,0.00,0.00,9.00,4.00,146.00,6.00,167.00,31.00,2.00,0.00
KS,Rural Vista,2007440,2015,Total enrollment,F,2.00,0.00,0.00,9.00,2.00,149.00,0.00,162.00,27.00,0.00,0.00
KS,Phillipsburg,2010650,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,26.00,0.00,28.00,9.00,0.00,0.00
KS,Phillipsburg,2010650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
KS,Phillipsburg,2010650,2015,Total enrollment,M,6.00,4.00,0.00,10.00,6.00,294.00,7.00,327.00,75.00,0.00,0.00
KS,Phillipsburg,2010650,2015,Total enrollment,F,6.00,2.00,0.00,12.00,6.00,282.00,6.00,314.00,45.00,0.00,0.00
KS,Waconda,2004470,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,4.00,0.00,6.00,2.00,0.00,0.00
KS,Waconda,2004470,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00
KS,Waconda,2004470,2015,Total enrollment,M,2.00,2.00,0.00,2.00,4.00,144.00,2.00,156.00,30.00,0.00,0.00
KS,Waconda,2004470,2015,Total enrollment,F,4.00,2.00,2.00,7.00,4.00,150.00,4.00,173.00,24.00,0.00,0.00
KS,Elkhart,2005790,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,15.00,0.00,40.00,0.00,55.00,5.00,0.00,0.00
KS,Elkhart,2005790,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KS,Elkhart,2005790,2015,Total enrollment,M,9.00,9.00,2.00,100.00,13.00,370.00,20.00,523.00,61.00,14.00,46.00
KS,Elkhart,2005790,2015,Total enrollment,F,13.00,12.00,2.00,85.00,18.00,436.00,26.00,592.00,37.00,11.00,58.00
KS,Valley Center Pub Sch,2012510,2015,School days missed due to out-of-school suspension,M,0.00,3.00,0.00,24.00,32.00,199.00,12.00,270.00,106.00,10.00,0.00
