Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
KY,Elizabethtown Independent,2101650,2015,School days missed due to out-of-school suspension,M,0.00,0.00,4.00,1.00,74.00,210.00,27.00,316.00,30.00,0.00,0.00
KY,Elizabethtown Independent,2101650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,31.00,41.00,9.00,81.00,15.00,0.00,0.00
KY,Elizabethtown Independent,2101650,2015,Total enrollment,M,6.00,40.00,6.00,46.00,168.00,882.00,103.00,1251.00,165.00,47.00,22.00
KY,Elizabethtown Independent,2101650,2015,Total enrollment,F,2.00,49.00,2.00,70.00,155.00,830.00,109.00,1217.00,95.00,28.00,22.00
KY,Russell Independent,2105130,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,2.00,92.00,1.00,96.00,42.00,0.00,0.00
KY,Russell Independent,2105130,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,3.00,0.00,0.00
KY,Russell Independent,2105130,2015,Total enrollment,M,2.00,14.00,2.00,12.00,9.00,1100.00,32.00,1171.00,181.00,24.00,6.00
KY,Russell Independent,2105130,2015,Total enrollment,F,2.00,14.00,2.00,14.00,4.00,1022.00,29.00,1087.00,76.00,14.00,4.00
KY,Shelby County,2105320,2015,School days missed due to out-of-school suspension,M,0.00,9.00,0.00,102.00,112.00,380.00,61.00,664.00,115.00,0.00,22.00
KY,Shelby County,2105320,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,29.00,64.00,110.00,7.00,210.00,28.00,0.00,3.00
KY,Shelby County,2105320,2015,Total enrollment,M,14.00,31.00,4.00,663.00,309.00,2454.00,168.00,3643.00,683.00,67.00,335.00
KY,Shelby County,2105320,2015,Total enrollment,F,4.00,32.00,2.00,621.00,225.00,2274.00,145.00,3303.00,313.00,48.00,272.00
KY,Laurel County,2103210,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,5.00,42.00,1151.00,8.00,1206.00,244.00,0.00,0.00
KY,Laurel County,2103210,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,12.00,400.00,13.00,425.00,28.00,0.00,0.00
KY,Laurel County,2103210,2015,Total enrollment,M,16.00,50.00,6.00,79.00,51.00,4738.00,40.00,4980.00,1015.00,53.00,10.00
KY,Laurel County,2103210,2015,Total enrollment,F,12.00,34.00,4.00,73.00,60.00,4297.00,29.00,4509.00,498.00,21.00,10.00
KY,Wayne County,2105790,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,20.00,58.00,530.00,0.00,608.00,74.00,0.00,2.00
KY,Wayne County,2105790,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,14.00,11.00,217.00,0.00,242.00,23.00,0.00,0.00
KY,Wayne County,2105790,2015,Total enrollment,M,2.00,6.00,2.00,120.00,34.00,1514.00,22.00,1700.00,298.00,11.00,67.00
KY,Wayne County,2105790,2015,Total enrollment,F,4.00,12.00,2.00,110.00,36.00,1526.00,21.00,1711.00,155.00,6.00,46.00
KY,Allen County,2100070,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,5.00,0.00,263.00,28.00,296.00,73.00,0.00,0.00
KY,Allen County,2100070,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,64.00,6.00,70.00,19.00,0.00,0.00
KY,Allen County,2100070,2015,Total enrollment,M,0.00,8.00,0.00,53.00,15.00,1475.00,29.00,1580.00,256.00,8.00,12.00
KY,Allen County,2100070,2015,Total enrollment,F,0.00,11.00,0.00,44.00,17.00,1442.00,26.00,1540.00,127.00,6.00,9.00
KY,Grayson County,2102300,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,2.00,0.00,0.00
KY,Grayson County,2102300,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00
KY,Grayson County,2102300,2015,Total enrollment,M,4.00,6.00,0.00,38.00,24.00,2219.00,36.00,2327.00,345.00,19.00,15.00
KY,Grayson County,2102300,2015,Total enrollment,F,2.00,6.00,0.00,33.00,18.00,1991.00,45.00,2095.00,168.00,10.00,11.00
KY,Bowling Green Independent,2100570,2015,School days missed due to out-of-school suspension,M,0.00,5.00,0.00,46.00,106.00,95.00,11.00,263.00,59.00,0.00,33.00
KY,Bowling Green Independent,2100570,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,72.00,51.00,22.00,147.00,15.00,0.00,0.00
KY,Bowling Green Independent,2100570,2015,Total enrollment,M,4.00,91.00,11.00,330.00,401.00,1202.00,98.00,2137.00,329.00,61.00,244.00
KY,Bowling Green Independent,2100570,2015,Total enrollment,F,4.00,89.00,8.00,314.00,373.00,1077.00,106.00,1971.00,145.00,40.00,221.00
KY,Harrison County,2102580,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,18.00,195.00,0.00,215.00,57.00,0.00,0.00
KY,Harrison County,2102580,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,117.00,2.00,120.00,4.00,0.00,0.00
KY,Harrison County,2102580,2015,Total enrollment,M,2.00,4.00,2.00,47.00,32.00,1445.00,30.00,1562.00,283.00,7.00,13.00
KY,Harrison County,2102580,2015,Total enrollment,F,2.00,8.00,0.00,45.00,24.00,1343.00,30.00,1452.00,126.00,12.00,4.00
KY,Gallatin County,2102130,2015,School days missed due to out-of-school suspension,M,0.00,0.00,8.00,26.00,0.00,298.00,24.00,356.00,22.00,0.00,7.00
KY,Gallatin County,2102130,2015,School days missed due to out-of-school suspension,F,0.00,0.00,3.00,8.00,0.00,184.00,18.00,213.00,30.00,0.00,3.00
KY,Gallatin County,2102130,2015,Total enrollment,M,2.00,7.00,4.00,92.00,4.00,719.00,17.00,845.00,124.00,12.00,44.00
KY,Gallatin County,2102130,2015,Total enrollment,F,2.00,4.00,2.00,77.00,4.00,749.00,23.00,861.00,64.00,9.00,38.00
KY,Woodford County Public Schools,2106000,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,147.00,40.00,559.00,39.00,785.00,75.00,0.00,37.00
KY,Woodford County Public Schools,2106000,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,23.00,17.00,113.00,25.00,178.00,25.00,0.00,1.00
KY,Woodford County Public Schools,2106000,2015,Total enrollment,M,2.00,8.00,2.00,299.00,80.00,1601.00,80.00,2072.00,259.00,110.00,122.00
KY,Woodford County Public Schools,2106000,2015,Total enrollment,F,0.00,36.00,0.00,293.00,77.00,1592.00,104.00,2102.00,142.00,74.00,108.00
KY,Trimble County,2105610,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,0.00,3.00,195.00,1.00,200.00,16.00,0.00,0.00
KY,Trimble County,2105610,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,93.00,0.00,93.00,4.00,0.00,0.00
KY,Trimble County,2105610,2015,Total enrollment,M,2.00,2.00,2.00,26.00,6.00,674.00,6.00,718.00,88.00,14.00,4.00
KY,Trimble County,2105610,2015,Total enrollment,F,0.00,9.00,4.00,20.00,6.00,653.00,8.00,700.00,40.00,6.00,2.00
KY,Meade County,2104050,2015,School days missed due to out-of-school suspension,M,3.00,0.00,0.00,4.00,27.00,171.00,11.00,216.00,57.00,0.00,0.00
KY,Meade County,2104050,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,86.00,1.00,88.00,9.00,0.00,0.00
KY,Meade County,2104050,2015,Total enrollment,M,9.00,10.00,6.00,97.00,40.00,2369.00,84.00,2615.00,561.00,54.00,0.00
KY,Meade County,2104050,2015,Total enrollment,F,13.00,18.00,4.00,79.00,32.00,2144.00,97.00,2387.00,242.00,29.00,0.00
KY,Boyle County,2100630,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,8.00,116.00,2.00,129.00,75.00,0.00,0.00
KY,Boyle County,2100630,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,69.00,0.00,70.00,21.00,0.00,0.00
KY,Boyle County,2100630,2015,Total enrollment,M,6.00,20.00,2.00,43.00,16.00,1246.00,31.00,1364.00,359.00,38.00,9.00
KY,Boyle County,2100630,2015,Total enrollment,F,4.00,19.00,2.00,37.00,19.00,1261.00,34.00,1376.00,224.00,26.00,11.00
KY,Breathitt County,2100690,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,762.00,0.00,762.00,166.00,0.00,0.00
KY,Breathitt County,2100690,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KY,Breathitt County,2100690,2015,Total enrollment,M,0.00,2.00,0.00,9.00,19.00,1081.00,6.00,1117.00,217.00,22.00,4.00
KY,Breathitt County,2100690,2015,Total enrollment,F,0.00,4.00,2.00,4.00,4.00,903.00,2.00,919.00,95.00,9.00,4.00
KY,Letcher County,2103360,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,1.00,242.00,0.00,243.00,79.00,0.00,0.00
KY,Letcher County,2103360,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,6.00,68.00,0.00,75.00,12.00,0.00,0.00
KY,Letcher County,2103360,2015,Total enrollment,M,4.00,4.00,0.00,13.00,8.00,1652.00,12.00,1693.00,531.00,31.00,2.00
KY,Letcher County,2103360,2015,Total enrollment,F,0.00,6.00,0.00,16.00,13.00,1476.00,15.00,1526.00,297.00,15.00,2.00
KY,Bourbon County Schools,2100540,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,7.00,19.00,55.00,1.00,82.00,11.00,0.00,0.00
KY,Bourbon County Schools,2100540,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,5.00,8.00,1.00,14.00,1.00,0.00,0.00
KY,Bourbon County Schools,2100540,2015,Total enrollment,M,0.00,2.00,0.00,225.00,66.00,1179.00,54.00,1526.00,221.00,27.00,82.00
KY,Bourbon County Schools,2100540,2015,Total enrollment,F,2.00,6.00,0.00,174.00,36.00,1182.00,40.00,1440.00,125.00,15.00,49.00
KY,Campbell County,2100900,2015,School days missed due to out-of-school suspension,M,0.00,24.00,0.00,3.00,34.00,685.00,33.00,779.00,218.00,26.00,0.00
KY,Campbell County,2100900,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,21.00,1.00,237.00,3.00,262.00,38.00,4.00,0.00
KY,Campbell County,2100900,2015,Total enrollment,M,2.00,30.00,4.00,47.00,59.00,2320.00,64.00,2526.00,530.00,23.00,35.00
KY,Campbell County,2100900,2015,Total enrollment,F,0.00,32.00,2.00,41.00,51.00,2200.00,80.00,2406.00,265.00,24.00,20.00
KY,McCracken County,2103960,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,4.00,104.00,226.00,21.00,355.00,32.00,0.00,2.00
KY,McCracken County,2103960,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,126.00,10.00,138.00,19.00,1.00,0.00
KY,McCracken County,2103960,2015,Total enrollment,M,10.00,40.00,9.00,137.00,170.00,3173.00,120.00,3659.00,463.00,109.00,26.00
KY,McCracken County,2103960,2015,Total enrollment,F,8.00,53.00,10.00,124.00,131.00,3002.00,126.00,3454.00,272.00,56.00,28.00
KY,Lincoln County,2103480,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,17.00,4.00,268.00,5.00,294.00,83.00,9.00,0.00
KY,Lincoln County,2103480,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,105.00,5.00,110.00,6.00,0.00,0.00
KY,Lincoln County,2103480,2015,Total enrollment,M,10.00,4.00,0.00,75.00,35.00,1857.00,90.00,2071.00,417.00,44.00,23.00
KY,Lincoln County,2103480,2015,Total enrollment,F,6.00,9.00,2.00,72.00,38.00,1707.00,63.00,1897.00,179.00,27.00,19.00
KY,Ashland Independent,2100150,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,6.00,49.00,242.00,7.00,304.00,52.00,0.00,0.00
KY,Ashland Independent,2100150,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,13.00,106.00,25.00,144.00,13.00,0.00,0.00
KY,Ashland Independent,2100150,2015,Total enrollment,M,0.00,13.00,0.00,46.00,85.00,1459.00,79.00,1682.00,332.00,16.00,4.00
KY,Ashland Independent,2100150,2015,Total enrollment,F,4.00,16.00,0.00,37.00,64.00,1414.00,73.00,1608.00,164.00,10.00,0.00
KY,Madison County,2103720,2015,School days missed due to out-of-school suspension,M,0.00,3.00,0.00,15.00,31.00,457.00,12.00,518.00,124.00,7.00,0.00
KY,Madison County,2103720,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,10.00,31.00,153.00,12.00,206.00,27.00,4.00,1.00
KY,Madison County,2103720,2015,Total enrollment,M,13.00,81.00,4.00,281.00,243.00,5214.00,233.00,6069.00,995.00,262.00,159.00
KY,Madison County,2103720,2015,Total enrollment,F,15.00,80.00,8.00,214.00,247.00,4956.00,253.00,5773.00,512.00,149.00,105.00
KY,Bullitt County,2100750,2015,School days missed due to out-of-school suspension,M,0.00,22.00,4.00,61.00,69.00,1592.00,74.00,1822.00,226.00,0.00,0.00
KY,Bullitt County,2100750,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,26.00,7.00,596.00,35.00,664.00,46.00,0.00,0.00
KY,Bullitt County,2100750,2015,Total enrollment,M,16.00,50.00,8.00,205.00,89.00,6374.00,187.00,6929.00,1129.00,190.00,45.00
KY,Bullitt County,2100750,2015,Total enrollment,F,25.00,51.00,4.00,193.00,64.00,5982.00,178.00,6497.00,430.00,121.00,36.00
KY,Middlesboro Independent,2104170,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,8.00,108.00,2.00,118.00,10.00,0.00,0.00
KY,Middlesboro Independent,2104170,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,13.00,1.00,14.00,0.00,0.00,0.00
KY,Middlesboro Independent,2104170,2015,Total enrollment,M,4.00,4.00,0.00,5.00,46.00,598.00,40.00,697.00,136.00,7.00,4.00
KY,Middlesboro Independent,2104170,2015,Total enrollment,F,2.00,4.00,0.00,11.00,35.00,565.00,37.00,654.00,66.00,7.00,4.00
KY,Menifee County,2104080,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,54.00,2.00,56.00,15.00,0.00,0.00
KY,Menifee County,2104080,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
KY,Menifee County,2104080,2015,Total enrollment,M,0.00,0.00,2.00,11.00,42.00,521.00,9.00,585.00,105.00,4.00,2.00
KY,Menifee County,2104080,2015,Total enrollment,F,0.00,2.00,4.00,11.00,12.00,467.00,9.00,505.00,45.00,4.00,0.00
KY,Russell County,2105160,2015,School days missed due to out-of-school suspension,M,0.00,0.00,3.00,1.00,16.00,282.00,1.00,303.00,33.00,0.00,1.00
KY,Russell County,2105160,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,11.00,101.00,0.00,114.00,4.00,0.00,0.00
KY,Russell County,2105160,2015,Total enrollment,M,2.00,14.00,2.00,106.00,17.00,1414.00,19.00,1574.00,197.00,20.00,37.00
KY,Russell County,2105160,2015,Total enrollment,F,2.00,8.00,9.00,112.00,13.00,1288.00,16.00,1448.00,104.00,22.00,29.00
KY,Pendleton County,2104740,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,10.00,414.00,10.00,437.00,92.00,0.00,5.00
KY,Pendleton County,2104740,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,215.00,3.00,220.00,29.00,0.00,0.00
KY,Pendleton County,2104740,2015,Total enrollment,M,4.00,2.00,0.00,20.00,29.00,1235.00,20.00,1310.00,253.00,20.00,23.00
KY,Pendleton County,2104740,2015,Total enrollment,F,0.00,9.00,0.00,14.00,32.00,1097.00,15.00,1167.00,103.00,9.00,14.00
KY,Trigg County,2105580,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,67.00,278.00,14.00,362.00,49.00,0.00,0.00
KY,Trigg County,2105580,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,9.00,6.00,69.00,0.00,84.00,10.00,0.00,0.00
KY,Trigg County,2105580,2015,Total enrollment,M,2.00,4.00,0.00,32.00,95.00,896.00,47.00,1076.00,163.00,6.00,2.00
KY,Trigg County,2105580,2015,Total enrollment,F,4.00,8.00,0.00,23.00,68.00,809.00,65.00,977.00,76.00,8.00,2.00
KY,Elliott County,2101680,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,123.00,0.00,123.00,37.00,6.00,0.00
KY,Elliott County,2101680,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,31.00,0.00,31.00,0.00,0.00,0.00
KY,Elliott County,2101680,2015,Total enrollment,M,0.00,2.00,0.00,6.00,2.00,560.00,0.00,570.00,115.00,44.00,0.00
KY,Elliott County,2101680,2015,Total enrollment,F,2.00,0.00,0.00,2.00,2.00,485.00,2.00,493.00,37.00,20.00,0.00
KY,Ballard County,2100210,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,16.00,11.00,27.00,10.00,0.00,0.00
KY,Ballard County,2100210,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,5.00,3.00,8.00,1.00,0.00,0.00
KY,Ballard County,2100210,2015,Total enrollment,M,2.00,4.00,0.00,9.00,26.00,659.00,44.00,744.00,115.00,10.00,2.00
KY,Ballard County,2100210,2015,Total enrollment,F,4.00,4.00,0.00,14.00,15.00,578.00,29.00,644.00,85.00,2.00,0.00
KY,Hart County,2102640,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,5.00,249.00,5.00,259.00,55.00,0.00,0.00
KY,Hart County,2102640,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,5.00,1.00,80.00,3.00,89.00,17.00,0.00,0.00
KY,Hart County,2102640,2015,Total enrollment,M,2.00,0.00,0.00,27.00,22.00,1122.00,33.00,1206.00,252.00,7.00,8.00
KY,Hart County,2102640,2015,Total enrollment,F,0.00,2.00,0.00,36.00,25.00,1089.00,33.00,1185.00,108.00,4.00,12.00
KY,Logan County,2103540,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,14.00,193.00,0.00,210.00,6.00,0.00,0.00
KY,Logan County,2103540,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,13.00,45.00,6.00,64.00,13.00,0.00,0.00
KY,Logan County,2103540,2015,Total enrollment,M,2.00,8.00,2.00,69.00,60.00,1653.00,48.00,1842.00,306.00,37.00,14.00
KY,Logan County,2103540,2015,Total enrollment,F,0.00,6.00,0.00,39.00,42.00,1620.00,39.00,1746.00,144.00,22.00,8.00
KY,Calloway County,2100870,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,14.00,5.00,235.00,1.00,255.00,60.00,0.00,0.00
KY,Calloway County,2100870,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,6.00,8.00,97.00,0.00,111.00,6.00,0.00,0.00
KY,Calloway County,2100870,2015,Total enrollment,M,2.00,19.00,2.00,73.00,21.00,1495.00,47.00,1659.00,272.00,16.00,40.00
KY,Calloway County,2100870,2015,Total enrollment,F,0.00,11.00,2.00,74.00,24.00,1393.00,59.00,1563.00,140.00,4.00,26.00
KY,Mayfield Independent,2103900,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,15.00,91.00,125.00,30.00,261.00,51.00,0.00,3.00
KY,Mayfield Independent,2103900,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,23.00,27.00,38.00,57.00,145.00,11.00,0.00,0.00
KY,Mayfield Independent,2103900,2015,Total enrollment,M,0.00,4.00,2.00,261.00,153.00,429.00,102.00,951.00,171.00,2.00,144.00
KY,Mayfield Independent,2103900,2015,Total enrollment,F,0.00,0.00,0.00,234.00,162.00,417.00,105.00,918.00,102.00,4.00,111.00
KY,Murray Independent,2104380,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,12.00,67.00,25.00,3.00,107.00,14.00,0.00,10.00
KY,Murray Independent,2104380,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,10.00,17.00,3.00,33.00,4.00,0.00,0.00
KY,Murray Independent,2104380,2015,Total enrollment,M,2.00,36.00,2.00,44.00,86.00,671.00,38.00,879.00,117.00,12.00,33.00
KY,Murray Independent,2104380,2015,Total enrollment,F,2.00,33.00,2.00,44.00,62.00,677.00,29.00,849.00,54.00,10.00,28.00
KY,Union County Public Schools,2105640,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,108.00,494.00,8.00,610.00,82.00,0.00,0.00
KY,Union County Public Schools,2105640,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,13.00,120.00,0.00,133.00,2.00,0.00,0.00
KY,Union County Public Schools,2105640,2015,Total enrollment,M,0.00,4.00,0.00,16.00,96.00,1026.00,48.00,1190.00,213.00,4.00,0.00
KY,Union County Public Schools,2105640,2015,Total enrollment,F,4.00,4.00,0.00,12.00,87.00,945.00,40.00,1092.00,95.00,2.00,0.00
KY,Erlanger-Elsmere Independent,2101740,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,12.00,20.00,140.00,29.00,201.00,9.00,0.00,2.00
KY,Erlanger-Elsmere Independent,2101740,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,10.00,49.00,13.00,74.00,2.00,0.00,0.00
KY,Erlanger-Elsmere Independent,2101740,2015,Total enrollment,M,2.00,8.00,8.00,120.00,119.00,923.00,113.00,1293.00,208.00,4.00,72.00
KY,Erlanger-Elsmere Independent,2101740,2015,Total enrollment,F,2.00,11.00,9.00,120.00,101.00,773.00,104.00,1120.00,93.00,4.00,63.00
KY,Garrard County,2102160,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,56.00,0.00,298.00,6.00,360.00,30.00,0.00,5.00
KY,Garrard County,2102160,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,0.00,151.00,0.00,153.00,3.00,0.00,0.00
KY,Garrard County,2102160,2015,Total enrollment,M,0.00,4.00,0.00,70.00,25.00,1303.00,34.00,1436.00,251.00,20.00,25.00
KY,Garrard County,2102160,2015,Total enrollment,F,2.00,9.00,0.00,52.00,26.00,1138.00,46.00,1273.00,80.00,7.00,17.00
