Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
LA,Celerity Dalton Charter School,2200196,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,91.00,0.00,0.00,91.00,51.00,11.00,0.00
LA,Celerity Dalton Charter School,2200196,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,13.00,0.00,0.00,13.00,3.00,0.00,0.00
LA,Celerity Dalton Charter School,2200196,2015,Total enrollment,M,0.00,0.00,0.00,0.00,305.00,0.00,0.00,305.00,28.00,14.00,0.00
LA,Celerity Dalton Charter School,2200196,2015,Total enrollment,F,0.00,0.00,0.00,0.00,227.00,0.00,0.00,227.00,10.00,5.00,0.00
LA,Lincoln Parish,2200990,2015,School days missed due to out-of-school suspension,M,1.00,7.00,0.00,29.00,1125.00,240.00,16.00,1418.00,347.00,46.00,23.00
LA,Lincoln Parish,2200990,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,0.00,552.00,46.00,0.00,599.00,128.00,13.00,0.00
LA,Lincoln Parish,2200990,2015,Total enrollment,M,17.00,26.00,2.00,144.00,1329.00,1377.00,25.00,2920.00,540.00,88.00,85.00
LA,Lincoln Parish,2200990,2015,Total enrollment,F,6.00,40.00,2.00,171.00,1356.00,1266.00,18.00,2859.00,276.00,62.00,83.00
LA,Union Parish,2201770,2015,School days missed due to out-of-school suspension,M,0.00,0.00,2.00,9.00,997.00,255.00,2.00,1265.00,245.00,60.00,4.00
LA,Union Parish,2201770,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,8.00,410.00,90.00,3.00,511.00,80.00,15.00,7.00
LA,Union Parish,2201770,2015,Total enrollment,M,2.00,6.00,4.00,124.00,544.00,433.00,15.00,1128.00,182.00,28.00,79.00
LA,Union Parish,2201770,2015,Total enrollment,F,0.00,2.00,0.00,112.00,511.00,418.00,14.00,1057.00,100.00,16.00,64.00
LA,St. Bernard Parish,2201410,2015,School days missed due to out-of-school suspension,M,9.00,4.00,0.00,123.00,996.00,557.00,75.00,1764.00,331.00,231.00,18.00
LA,St. Bernard Parish,2201410,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,25.00,554.00,168.00,17.00,764.00,41.00,109.00,2.00
LA,St. Bernard Parish,2201410,2015,Total enrollment,M,26.00,75.00,10.00,469.00,1129.00,2047.00,151.00,3907.00,557.00,331.00,134.00
LA,St. Bernard Parish,2201410,2015,Total enrollment,F,25.00,91.00,4.00,428.00,1138.00,1846.00,124.00,3656.00,266.00,208.00,120.00
LA,St. Landry Parish,2201560,2015,School days missed due to out-of-school suspension,M,0.00,3.00,0.00,32.00,4169.00,1102.00,0.00,5306.00,643.00,149.00,14.00
LA,St. Landry Parish,2201560,2015,School days missed due to out-of-school suspension,F,0.00,9.00,0.00,22.00,1968.00,397.00,0.00,2396.00,163.00,77.00,15.00
LA,St. Landry Parish,2201560,2015,Total enrollment,M,17.00,64.00,0.00,155.00,4194.00,2877.00,0.00,7307.00,1011.00,196.00,71.00
LA,St. Landry Parish,2201560,2015,Total enrollment,F,20.00,52.00,0.00,148.00,4038.00,2668.00,0.00,6926.00,465.00,118.00,48.00
LA,Jefferson Davis Parish,2200810,2015,School days missed due to out-of-school suspension,M,48.00,0.00,0.00,13.00,633.00,622.00,74.00,1390.00,197.00,83.00,1.00
LA,Jefferson Davis Parish,2200810,2015,School days missed due to out-of-school suspension,F,4.00,0.00,0.00,2.00,213.00,138.00,32.00,389.00,37.00,18.00,0.00
