Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MA,Berkshire Hills,2502530,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,35.00,16.00,0.00,51.00,40.00,0.00,0.00
MA,Berkshire Hills,2502530,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,3.00,0.00
MA,Berkshire Hills,2502530,2015,Total enrollment,M,0.00,18.00,4.00,42.00,12.00,558.00,33.00,667.00,141.00,45.00,18.00
MA,Berkshire Hills,2502530,2015,Total enrollment,F,4.00,21.00,4.00,48.00,12.00,543.00,24.00,656.00,93.00,27.00,15.00
MA,Braintree,2502940,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,33.00,231.00,87.00,7.00,358.00,23.00,0.00,1.00
MA,Braintree,2502940,2015,School days missed due to out-of-school suspension,F,0.00,4.00,0.00,19.00,14.00,26.00,0.00,63.00,15.00,0.00,0.00
MA,Braintree,2502940,2015,Total enrollment,M,8.00,401.00,4.00,125.00,134.00,2141.00,33.00,2846.00,622.00,117.00,104.00
MA,Braintree,2502940,2015,Total enrollment,F,8.00,389.00,0.00,107.00,128.00,2153.00,38.00,2823.00,424.00,110.00,74.00
MA,Walpole,2511970,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,5.00,13.00,60.00,0.00,78.00,23.00,0.00,0.00
MA,Walpole,2511970,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,0.00,31.00,0.00,33.00,19.00,0.00,0.00
MA,Walpole,2511970,2015,Total enrollment,M,8.00,100.00,0.00,103.00,82.00,1639.00,41.00,1973.00,371.00,137.00,64.00
MA,Walpole,2511970,2015,Total enrollment,F,14.00,115.00,0.00,100.00,67.00,1618.00,31.00,1945.00,209.00,146.00,49.00
MA,Hanover,2505790,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,7.00,3.00,0.00
MA,Hanover,2505790,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,5.00,0.00,0.00
MA,Hanover,2505790,2015,Total enrollment,M,0.00,26.00,0.00,16.00,17.00,1306.00,6.00,1371.00,305.00,78.00,17.00
