Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MD,Garrett County Public Schools,2400360,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,55.00,0.00,161.00,3.00,219.00,91.00,3.00,0.00
MD,Garrett County Public Schools,2400360,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,3.00,27.00,5.00,35.00,12.00,0.00,3.00
MD,Garrett County Public Schools,2400360,2015,Total enrollment,M,2.00,8.00,0.00,20.00,10.00,1929.00,36.00,2005.00,254.00,62.00,4.00
MD,Garrett County Public Schools,2400360,2015,Total enrollment,F,2.00,11.00,2.00,14.00,6.00,1791.00,47.00,1873.00,137.00,30.00,4.00
MD,Calvert County Public Schools,2400150,2015,School days missed due to out-of-school suspension,M,7.00,0.00,0.00,67.00,403.00,637.00,98.00,1212.00,295.00,178.00,5.00
MD,Calvert County Public Schools,2400150,2015,School days missed due to out-of-school suspension,F,3.00,2.00,4.00,38.00,141.00,273.00,43.00,504.00,47.00,62.00,2.00
MD,Calvert County Public Schools,2400150,2015,Total enrollment,M,35.00,122.00,4.00,433.00,1098.00,5883.00,595.00,8170.00,941.00,778.00,87.00
MD,Calvert County Public Schools,2400150,2015,Total enrollment,F,12.00,127.00,17.00,452.00,1051.00,5628.00,589.00,7876.00,467.00,359.00,63.00
MD,Somerset County Public Schools,2400570,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,29.00,967.00,265.00,43.00,1305.00,448.00,88.00,3.00
MD,Somerset County Public Schools,2400570,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,36.00,372.00,65.00,49.00,522.00,87.00,18.00,6.00
MD,Somerset County Public Schools,2400570,2015,Total enrollment,M,2.00,20.00,0.00,136.00,639.00,621.00,88.00,1506.00,293.00,49.00,77.00
MD,Somerset County Public Schools,2400570,2015,Total enrollment,F,4.00,14.00,4.00,123.00,640.00,580.00,68.00,1433.00,163.00,24.00,64.00
MD,Carroll County Public Schools,2400210,2015,School days missed due to out-of-school suspension,M,0.00,4.00,10.00,86.00,244.00,2092.00,46.00,2482.00,875.00,335.00,0.00
MD,Carroll County Public Schools,2400210,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,8.00,145.00,520.00,32.00,705.00,108.00,55.00,2.00
MD,Carroll County Public Schools,2400210,2015,Total enrollment,M,41.00,304.00,26.00,690.00,489.00,11261.00,350.00,13161.00,1836.00,907.00,183.00
MD,Carroll County Public Schools,2400210,2015,Total enrollment,F,36.00,334.00,34.00,702.00,491.00,10577.00,352.00,12526.00,988.00,474.00,160.00
MD,Maryland State Department of Education-Juvenile Services Education Program,24SOP02,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MD,Maryland State Department of Education-Juvenile Services Education Program,24SOP02,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,2.00,0.00,0.00
MD,Maryland State Department of Education-Juvenile Services Education Program,24SOP02,2015,Total enrollment,M,2.00,0.00,2.00,33.00,315.00,49.00,11.00,412.00,153.00,10.00,15.00
MD,Maryland State Department of Education-Juvenile Services Education Program,24SOP02,2015,Total enrollment,F,0.00,0.00,0.00,4.00,44.00,7.00,0.00,55.00,13.00,4.00,0.00
MD,Howard County Public Schools,2400420,2015,School days missed due to out-of-school suspension,M,24.00,233.00,2.00,549.00,2059.00,692.00,154.00,3713.00,947.00,346.00,120.00
MD,Howard County Public Schools,2400420,2015,School days missed due to out-of-school suspension,F,6.00,46.00,0.00,155.00,1072.00,218.00,59.00,1556.00,284.00,39.00,19.00
MD,Howard County Public Schools,2400420,2015,Total enrollment,M,92.00,5688.00,54.00,2841.00,6315.00,11568.00,1752.00,28310.00,3435.00,1150.00,1463.00
MD,Howard County Public Schools,2400420,2015,Total enrollment,F,76.00,5479.00,48.00,2580.00,6009.00,10821.00,1632.00,26645.00,1475.00,567.00,1067.00
MD,Charles County Public Schools,2400270,2015,School days missed due to out-of-school suspension,M,7.00,7.00,0.00,68.00,1155.00,179.00,106.00,1522.00,494.00,5.00,33.00
MD,Charles County Public Schools,2400270,2015,School days missed due to out-of-school suspension,F,4.00,1.00,0.00,27.00,480.00,53.00,23.00,588.00,86.00,1.00,5.00
