Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
ME,Penobscot Public Schools,2309630,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ME,Penobscot Public Schools,2309630,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ME,Penobscot Public Schools,2309630,2015,Total enrollment,M,0.00,2.00,0.00,0.00,2.00,35.00,0.00,39.00,4.00,2.00,0.00
ME,Penobscot Public Schools,2309630,2015,Total enrollment,F,0.00,0.00,0.00,0.00,0.00,32.00,0.00,32.00,0.00,2.00,0.00
ME,RSU 17/MSAD 17,2310770,2015,School days missed due to out-of-school suspension,M,27.00,24.00,0.00,24.00,14.00,529.00,20.00,638.00,300.00,5.00,27.00
ME,RSU 17/MSAD 17,2310770,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,14.00,249.00,0.00,263.00,107.00,0.00,0.00
ME,RSU 17/MSAD 17,2310770,2015,Total enrollment,M,15.00,11.00,0.00,42.00,16.00,1784.00,62.00,1930.00,396.00,29.00,9.00
ME,RSU 17/MSAD 17,2310770,2015,Total enrollment,F,13.00,16.00,0.00,35.00,9.00,1613.00,41.00,1727.00,193.00,22.00,4.00
ME,RSU 05,2314789,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,88.00,0.00,88.00,17.00,0.00,0.00
ME,RSU 05,2314789,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,3.00,16.00,0.00,19.00,5.00,0.00,0.00
ME,RSU 05,2314789,2015,Total enrollment,M,6.00,32.00,0.00,8.00,18.00,903.00,2.00,969.00,219.00,16.00,6.00
ME,RSU 05,2314789,2015,Total enrollment,F,4.00,25.00,0.00,10.00,10.00,846.00,0.00,895.00,108.00,10.00,4.00
ME,RSU 16,2314775,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,125.00,1.00,128.00,94.00,0.00,0.00
ME,RSU 16,2314775,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,44.00,0.00,45.00,11.00,1.00,0.00
ME,RSU 16,2314775,2015,Total enrollment,M,2.00,4.00,2.00,10.00,8.00,820.00,20.00,866.00,203.00,28.00,2.00
ME,RSU 16,2314775,2015,Total enrollment,F,7.00,6.00,0.00,8.00,6.00,820.00,13.00,860.00,101.00,25.00,6.00
ME,RSU 20,2314791,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,119.00,1.00,120.00,77.00,0.00,0.00
ME,RSU 20,2314791,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,32.00,0.00,32.00,11.00,0.00,0.00
ME,RSU 20,2314791,2015,Total enrollment,M,0.00,2.00,0.00,7.00,4.00,275.00,6.00,294.00,96.00,0.00,4.00
ME,RSU 20,2314791,2015,Total enrollment,F,4.00,2.00,0.00,9.00,4.00,218.00,6.00,243.00,48.00,0.00,4.00
