Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MI,Holton Public Schools,2618510,2015,School days missed due to out-of-school suspension,M,22.00,0.00,0.00,0.00,10.00,259.00,6.00,297.00,169.00,0.00,0.00
MI,Holton Public Schools,2618510,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,11.00,25.00,3.00,39.00,6.00,0.00,0.00
MI,Holton Public Schools,2618510,2015,Total enrollment,M,6.00,2.00,0.00,7.00,6.00,440.00,26.00,487.00,87.00,0.00,0.00
MI,Holton Public Schools,2618510,2015,Total enrollment,F,8.00,4.00,2.00,14.00,4.00,434.00,23.00,489.00,46.00,0.00,0.00
MI,Homer Community School District,2618540,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,89.00,0.00,89.00,28.00,0.00,0.00
MI,Homer Community School District,2618540,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,44.00,0.00,44.00,13.00,0.00,0.00
MI,Homer Community School District,2618540,2015,Total enrollment,M,2.00,4.00,0.00,15.00,6.00,531.00,0.00,558.00,63.00,12.00,0.00
MI,Homer Community School District,2618540,2015,Total enrollment,F,2.00,0.00,0.00,9.00,9.00,486.00,0.00,506.00,45.00,4.00,0.00
MI,Hopkins Public Schools,2618570,2015,School days missed due to out-of-school suspension,M,6.00,0.00,0.00,1.00,2.00,135.00,27.00,171.00,76.00,0.00,0.00
MI,Hopkins Public Schools,2618570,2015,School days missed due to out-of-school suspension,F,8.00,0.00,0.00,0.00,0.00,18.00,0.00,26.00,3.00,0.00,0.00
MI,Hopkins Public Schools,2618570,2015,Total enrollment,M,11.00,0.00,2.00,26.00,17.00,791.00,14.00,861.00,82.00,11.00,6.00
MI,Hopkins Public Schools,2618570,2015,Total enrollment,F,6.00,6.00,4.00,17.00,15.00,731.00,8.00,787.00,54.00,6.00,4.00
MI,Houghton Lake Community Schools,2618600,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,16.00,286.00,0.00,302.00,129.00,2.00,0.00
MI,Houghton Lake Community Schools,2618600,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,77.00,0.00,78.00,25.00,0.00,0.00
MI,Houghton Lake Community Schools,2618600,2015,Total enrollment,M,11.00,4.00,0.00,12.00,11.00,646.00,0.00,684.00,146.00,9.00,0.00
MI,Houghton Lake Community Schools,2618600,2015,Total enrollment,F,4.00,2.00,4.00,12.00,6.00,625.00,0.00,653.00,79.00,2.00,0.00
MI,Howell Public Schools,2618720,2015,School days missed due to out-of-school suspension,M,5.00,20.00,0.00,27.00,9.00,1207.00,9.00,1277.00,550.00,57.00,1.00
MI,Howell Public Schools,2618720,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,0.00,5.00,151.00,1.00,159.00,74.00,3.00,0.00
MI,Howell Public Schools,2618720,2015,Total enrollment,M,29.00,50.00,9.00,80.00,24.00,3545.00,74.00,3811.00,574.00,182.00,42.00
MI,Howell Public Schools,2618720,2015,Total enrollment,F,27.00,43.00,13.00,80.00,20.00,3263.00,50.00,3496.00,295.00,161.00,30.00
