Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MN,DEER RIVER PUBLIC SCHOOL DISTRICT,2710140,2015,School days missed due to out-of-school suspension,M,27.00,0.00,0.00,0.00,0.00,43.00,0.00,70.00,48.00,0.00,0.00
MN,DEER RIVER PUBLIC SCHOOL DISTRICT,2710140,2015,School days missed due to out-of-school suspension,F,10.00,0.00,0.00,0.00,0.00,13.00,5.00,28.00,0.00,0.00,0.00
MN,DEER RIVER PUBLIC SCHOOL DISTRICT,2710140,2015,Total enrollment,M,177.00,0.00,0.00,13.00,4.00,276.00,49.00,519.00,147.00,0.00,0.00
MN,DEER RIVER PUBLIC SCHOOL DISTRICT,2710140,2015,Total enrollment,F,142.00,0.00,0.00,16.00,0.00,232.00,49.00,439.00,71.00,0.00,0.00
MN,SOUTHWEST METRO EDUCATIONAL COOP,2700387,2015,School days missed due to out-of-school suspension,M,7.00,0.00,0.00,4.00,36.00,59.00,0.00,106.00,91.00,0.00,0.00
MN,SOUTHWEST METRO EDUCATIONAL COOP,2700387,2015,School days missed due to out-of-school suspension,F,3.00,0.00,0.00,3.00,4.00,5.00,0.00,15.00,3.00,0.00,0.00
MN,SOUTHWEST METRO EDUCATIONAL COOP,2700387,2015,Total enrollment,M,5.00,4.00,0.00,13.00,23.00,115.00,4.00,164.00,128.00,0.00,0.00
MN,SOUTHWEST METRO EDUCATIONAL COOP,2700387,2015,Total enrollment,F,4.00,2.00,0.00,30.00,9.00,58.00,2.00,105.00,37.00,4.00,0.00
MN,HIAWATHA VALLEY ED. DISTRICT,2700055,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,6.00,0.00,0.00
MN,HIAWATHA VALLEY ED. DISTRICT,2700055,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MN,HIAWATHA VALLEY ED. DISTRICT,2700055,2015,Total enrollment,M,2.00,0.00,0.00,6.00,0.00,54.00,2.00,64.00,21.00,0.00,0.00
MN,HIAWATHA VALLEY ED. DISTRICT,2700055,2015,Total enrollment,F,0.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,4.00,0.00,0.00
MN,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2722950,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,17.00,25.00,4.00,49.00,33.00,0.00,2.00
MN,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2722950,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,4.00,3.00,1.00,8.00,3.00,0.00,0.00
MN,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2722950,2015,Total enrollment,M,33.00,686.00,4.00,489.00,590.00,3884.00,269.00,5955.00,972.00,224.00,280.00
MN,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2722950,2015,Total enrollment,F,42.00,624.00,8.00,458.00,571.00,3469.00,281.00,5453.00,452.00,150.00,224.00
MN,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2723850,2015,School days missed due to out-of-school suspension,M,3.00,33.00,0.00,170.00,602.00,346.00,143.00,1297.00,752.00,16.00,62.00
