Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MO,ELDON R-I,2911340,2015,School days missed due to out-of-school suspension,M,4.00,0.00,3.00,0.00,1.00,156.00,0.00,164.00,21.00,0.00,0.00
MO,ELDON R-I,2911340,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,0.00,1.00,18.00,0.00,20.00,0.00,0.00,0.00
MO,ELDON R-I,2911340,2015,Total enrollment,M,7.00,14.00,6.00,15.00,20.00,1040.00,0.00,1102.00,187.00,17.00,2.00
MO,ELDON R-I,2911340,2015,Total enrollment,F,7.00,11.00,4.00,14.00,14.00,1037.00,0.00,1087.00,97.00,17.00,6.00
MO,MEHLVILLE R-IX,2920670,2015,School days missed due to out-of-school suspension,M,5.00,51.00,0.00,28.00,630.00,1331.00,60.00,2105.00,789.00,0.00,158.00
MO,MEHLVILLE R-IX,2920670,2015,School days missed due to out-of-school suspension,F,0.00,12.00,0.00,38.00,138.00,335.00,50.00,573.00,84.00,0.00,66.00
MO,MEHLVILLE R-IX,2920670,2015,Total enrollment,M,18.00,171.00,12.00,189.00,507.00,4554.00,172.00,5623.00,1212.00,44.00,598.00
MO,MEHLVILLE R-IX,2920670,2015,Total enrollment,F,14.00,198.00,8.00,171.00,432.00,4194.00,171.00,5188.00,549.00,38.00,562.00
MO,BAYLESS,2904500,2015,School days missed due to out-of-school suspension,M,0.00,47.00,0.00,7.00,34.00,201.00,4.00,293.00,148.00,0.00,116.00
MO,BAYLESS,2904500,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,0.00,30.00,32.00,0.00,63.00,9.00,0.00,13.00
MO,BAYLESS,2904500,2015,Total enrollment,M,0.00,108.00,0.00,30.00,99.00,570.00,30.00,837.00,192.00,2.00,171.00
MO,BAYLESS,2904500,2015,Total enrollment,F,2.00,75.00,0.00,27.00,111.00,525.00,18.00,758.00,66.00,2.00,126.00
MO,ALTA VISTA CHARTER SCH.,2900029,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,30.00,2.00,1.00,0.00,33.00,4.00,0.00,24.00
MO,ALTA VISTA CHARTER SCH.,2900029,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,21.00,5.00,0.00,1.00,27.00,0.00,0.00,12.00
MO,ALTA VISTA CHARTER SCH.,2900029,2015,Total enrollment,M,0.00,0.00,2.00,405.00,18.00,6.00,21.00,452.00,72.00,0.00,342.00
MO,ALTA VISTA CHARTER SCH.,2900029,2015,Total enrollment,F,0.00,2.00,0.00,384.00,21.00,6.00,24.00,437.00,39.00,0.00,303.00
MO,NEELYVILLE R-IV,2921750,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,11.00,46.00,0.00,57.00,20.00,0.00,0.00
MO,NEELYVILLE R-IV,2921750,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,3.00,3.00,0.00,6.00,6.00,0.00,0.00
MO,NEELYVILLE R-IV,2921750,2015,Total enrollment,M,0.00,0.00,0.00,6.00,21.00,282.00,4.00,313.00,45.00,6.00,0.00
MO,NEELYVILLE R-IV,2921750,2015,Total enrollment,F,5.00,4.00,0.00,4.00,15.00,246.00,2.00,276.00,42.00,4.00,0.00
MO,CARUTHERSVILLE 18,2907470,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,315.00,85.00,12.00,412.00,135.00,0.00,0.00
MO,CARUTHERSVILLE 18,2907470,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,201.00,15.00,0.00,217.00,7.00,0.00,0.00
MO,CARUTHERSVILLE 18,2907470,2015,Total enrollment,M,0.00,2.00,0.00,18.00,264.00,276.00,27.00,587.00,108.00,9.00,4.00
MO,CARUTHERSVILLE 18,2907470,2015,Total enrollment,F,0.00,2.00,0.00,18.00,249.00,264.00,18.00,551.00,51.00,4.00,9.00
MO,FERGUSON-FLORISSANT R-II,2912010,2015,School days missed due to out-of-school suspension,M,20.00,6.00,0.00,109.00,9905.00,461.00,216.00,10717.00,3008.00,7.00,6.00
MO,FERGUSON-FLORISSANT R-II,2912010,2015,School days missed due to out-of-school suspension,F,10.00,0.00,1.00,26.00,6123.00,148.00,160.00,6468.00,778.00,27.00,3.00
MO,FERGUSON-FLORISSANT R-II,2912010,2015,Total enrollment,M,12.00,37.00,8.00,150.00,4695.00,850.00,240.00,5992.00,1272.00,20.00,69.00
MO,FERGUSON-FLORISSANT R-II,2912010,2015,Total enrollment,F,10.00,37.00,6.00,171.00,4620.00,720.00,249.00,5813.00,585.00,28.00,67.00
MO,WEBB CITY R-VII,2931500,2015,School days missed due to out-of-school suspension,M,9.00,0.00,6.00,56.00,82.00,853.00,79.00,1085.00,297.00,3.00,4.00
MO,WEBB CITY R-VII,2931500,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,14.00,0.00,194.00,1.00,209.00,54.00,0.00,3.00
MO,WEBB CITY R-VII,2931500,2015,Total enrollment,M,27.00,20.00,6.00,143.00,39.00,1985.00,77.00,2297.00,397.00,15.00,39.00
MO,WEBB CITY R-VII,2931500,2015,Total enrollment,F,26.00,21.00,10.00,146.00,40.00,1757.00,83.00,2083.00,214.00,7.00,60.00
MO,MCDONALD CO. R-I,2920610,2015,School days missed due to out-of-school suspension,M,0.00,0.00,8.00,24.00,5.00,64.00,1.00,102.00,38.00,0.00,11.00
MO,MCDONALD CO. R-I,2920610,2015,School days missed due to out-of-school suspension,F,0.00,0.00,2.00,2.00,0.00,24.00,0.00,28.00,17.00,0.00,2.00
MO,MCDONALD CO. R-I,2920610,2015,Total enrollment,M,50.00,42.00,76.00,432.00,25.00,1298.00,44.00,1967.00,429.00,26.00,359.00
MO,MCDONALD CO. R-I,2920610,2015,Total enrollment,F,44.00,30.00,70.00,405.00,28.00,1280.00,31.00,1888.00,273.00,11.00,335.00
MO,PARK HILL,2923550,2015,School days missed due to out-of-school suspension,M,4.00,8.00,5.00,137.00,322.00,875.00,106.00,1457.00,373.00,0.00,41.00
MO,PARK HILL,2923550,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,65.00,140.00,286.00,43.00,534.00,46.00,0.00,1.00
MO,PARK HILL,2923550,2015,Total enrollment,M,26.00,173.00,84.00,530.00,721.00,4168.00,250.00,5952.00,794.00,183.00,378.00
MO,PARK HILL,2923550,2015,Total enrollment,F,35.00,200.00,77.00,508.00,623.00,3862.00,289.00,5594.00,314.00,127.00,369.00
MO,STE. GENEVIEVE CO. R-II,2929370,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,46.00,0.00,46.00,24.00,0.00,0.00
MO,STE. GENEVIEVE CO. R-II,2929370,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00
MO,STE. GENEVIEVE CO. R-II,2929370,2015,Total enrollment,M,2.00,4.00,0.00,6.00,9.00,875.00,29.00,925.00,175.00,26.00,4.00
MO,STE. GENEVIEVE CO. R-II,2929370,2015,Total enrollment,F,2.00,6.00,0.00,20.00,6.00,854.00,20.00,908.00,118.00,12.00,4.00
MO,WARREN CO. R-III,2931050,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,131.00,126.00,1127.00,61.00,1445.00,512.00,35.00,22.00
MO,WARREN CO. R-III,2931050,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,16.00,17.00,355.00,10.00,398.00,37.00,0.00,0.00
MO,WARREN CO. R-III,2931050,2015,Total enrollment,M,8.00,6.00,0.00,94.00,58.00,1450.00,61.00,1677.00,362.00,23.00,40.00
MO,WARREN CO. R-III,2931050,2015,Total enrollment,F,6.00,8.00,6.00,76.00,49.00,1285.00,55.00,1485.00,164.00,19.00,31.00
MO,AVA R-I,2904050,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,10.00,0.00,137.00,0.00,147.00,74.00,10.00,0.00
MO,AVA R-I,2904050,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,38.00,0.00,38.00,4.00,0.00,0.00
MO,AVA R-I,2904050,2015,Total enrollment,M,2.00,0.00,2.00,18.00,2.00,711.00,9.00,744.00,159.00,7.00,0.00
MO,AVA R-I,2904050,2015,Total enrollment,F,2.00,2.00,2.00,12.00,2.00,648.00,2.00,670.00,51.00,9.00,0.00
MO,ST. JOSEPH,2927060,2015,School days missed due to out-of-school suspension,M,20.00,10.00,7.00,249.00,535.00,2870.00,370.00,4061.00,1552.00,0.00,137.00
MO,ST. JOSEPH,2927060,2015,School days missed due to out-of-school suspension,F,0.00,1.00,2.00,60.00,161.00,789.00,85.00,1098.00,297.00,0.00,70.00
MO,ST. JOSEPH,2927060,2015,Total enrollment,M,35.00,113.00,69.00,507.00,491.00,4793.00,383.00,6391.00,1384.00,147.00,393.00
MO,ST. JOSEPH,2927060,2015,Total enrollment,F,32.00,99.00,75.00,453.00,402.00,4412.00,314.00,5787.00,645.00,86.00,355.00
MO,WEST PLAINS R-VII,2931680,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,0.00,0.00
MO,WEST PLAINS R-VII,2931680,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MO,WEST PLAINS R-VII,2931680,2015,Total enrollment,M,18.00,6.00,4.00,44.00,29.00,2338.00,22.00,2461.00,196.00,15.00,23.00
MO,WEST PLAINS R-VII,2931680,2015,Total enrollment,F,9.00,20.00,4.00,53.00,20.00,2257.00,14.00,2377.00,103.00,24.00,20.00
MO,MONETT R-I,2921120,2015,School days missed due to out-of-school suspension,M,4.00,0.00,6.00,37.00,0.00,498.00,1.00,546.00,24.00,0.00,8.00
MO,MONETT R-I,2921120,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,138.00,0.00,138.00,6.00,0.00,0.00
MO,MONETT R-I,2921120,2015,Total enrollment,M,12.00,11.00,6.00,456.00,11.00,951.00,31.00,1478.00,315.00,6.00,255.00
MO,MONETT R-I,2921120,2015,Total enrollment,F,16.00,16.00,6.00,429.00,10.00,792.00,21.00,1290.00,165.00,8.00,213.00
MO,BOONVILLE R-I,2905580,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,7.00,80.00,164.00,27.00,278.00,80.00,1.00,0.00
MO,BOONVILLE R-I,2905580,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,5.00,12.00,5.00,22.00,0.00,0.00,0.00
MO,BOONVILLE R-I,2905580,2015,Total enrollment,M,2.00,8.00,2.00,17.00,74.00,692.00,62.00,857.00,172.00,4.00,2.00
MO,BOONVILLE R-I,2905580,2015,Total enrollment,F,2.00,7.00,0.00,14.00,62.00,611.00,50.00,746.00,73.00,9.00,2.00
MO,MONTGOMERY CO. R-II,2921330,2015,School days missed due to out-of-school suspension,M,4.00,0.00,0.00,3.00,7.00,208.00,30.00,252.00,79.00,0.00,0.00
MO,MONTGOMERY CO. R-II,2921330,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,47.00,2.00,51.00,20.00,0.00,0.00
MO,MONTGOMERY CO. R-II,2921330,2015,Total enrollment,M,6.00,2.00,0.00,11.00,9.00,569.00,32.00,629.00,118.00,6.00,4.00
MO,MONTGOMERY CO. R-II,2921330,2015,Total enrollment,F,4.00,2.00,0.00,8.00,6.00,533.00,23.00,576.00,79.00,4.00,2.00
MO,BROOKFIELD R-III,2905940,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,25.00,0.00,106.00,20.00,151.00,31.00,0.00,0.00
MO,BROOKFIELD R-III,2905940,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00
MO,BROOKFIELD R-III,2905940,2015,Total enrollment,M,4.00,4.00,0.00,14.00,17.00,485.00,12.00,536.00,103.00,6.00,2.00
MO,BROOKFIELD R-III,2905940,2015,Total enrollment,F,0.00,4.00,2.00,12.00,6.00,497.00,14.00,535.00,46.00,6.00,6.00
MO,EVERTON R-III,2911580,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00
MO,EVERTON R-III,2911580,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00
MO,EVERTON R-III,2911580,2015,Total enrollment,M,0.00,2.00,0.00,6.00,4.00,72.00,0.00,84.00,11.00,0.00,0.00
MO,EVERTON R-III,2911580,2015,Total enrollment,F,0.00,2.00,0.00,2.00,2.00,63.00,0.00,69.00,7.00,0.00,0.00
MO,WEST ST. FRANCOIS CO. R-IV,2918240,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,143.00,0.00,145.00,39.00,0.00,0.00
MO,WEST ST. FRANCOIS CO. R-IV,2918240,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,5.00,18.00,0.00,23.00,5.00,0.00,0.00
MO,WEST ST. FRANCOIS CO. R-IV,2918240,2015,Total enrollment,M,0.00,0.00,0.00,0.00,4.00,507.00,4.00,515.00,117.00,10.00,0.00
MO,WEST ST. FRANCOIS CO. R-IV,2918240,2015,Total enrollment,F,0.00,0.00,0.00,6.00,9.00,486.00,0.00,501.00,51.00,4.00,0.00
MO,NORTH CALLAWAY CO. R-I,2922740,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,11.00,0.00,195.00,3.00,209.00,66.00,0.00,1.00
MO,NORTH CALLAWAY CO. R-I,2922740,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,40.00,68.00,8.00,117.00,10.00,0.00,0.00
MO,NORTH CALLAWAY CO. R-I,2922740,2015,Total enrollment,M,6.00,4.00,0.00,15.00,17.00,518.00,9.00,569.00,67.00,14.00,10.00
MO,NORTH CALLAWAY CO. R-I,2922740,2015,Total enrollment,F,4.00,2.00,2.00,6.00,12.00,503.00,11.00,540.00,28.00,4.00,4.00
MO,CLAYTON,2909720,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,0.00,117.00,51.00,20.00,189.00,117.00,0.00,0.00
MO,CLAYTON,2909720,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,54.00,8.00,0.00,62.00,8.00,0.00,0.00
MO,CLAYTON,2909720,2015,Total enrollment,M,2.00,192.00,0.00,55.00,252.00,936.00,60.00,1497.00,204.00,32.00,55.00
MO,CLAYTON,2909720,2015,Total enrollment,F,4.00,168.00,0.00,55.00,216.00,882.00,37.00,1362.00,96.00,17.00,37.00
MO,ODESSA R-VII,2923100,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,120.00,0.00,120.00,15.00,0.00,0.00
MO,ODESSA R-VII,2923100,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,6.00,0.00,21.00,0.00,27.00,0.00,0.00,0.00
MO,ODESSA R-VII,2923100,2015,Total enrollment,M,8.00,6.00,2.00,6.00,17.00,995.00,0.00,1034.00,124.00,41.00,4.00
