Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MS,SOUTH TIPPAH SCHOOL DIST,2804110,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,9.00,135.00,211.00,10.00,365.00,134.00,0.00,0.00
MS,SOUTH TIPPAH SCHOOL DIST,2804110,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,55.00,46.00,0.00,104.00,28.00,0.00,0.00
MS,SOUTH TIPPAH SCHOOL DIST,2804110,2015,Total enrollment,M,2.00,2.00,2.00,127.00,340.00,925.00,49.00,1447.00,353.00,34.00,88.00
MS,SOUTH TIPPAH SCHOOL DIST,2804110,2015,Total enrollment,F,2.00,2.00,4.00,127.00,338.00,874.00,37.00,1384.00,188.00,20.00,86.00
MS,HOLMES CO SCHOOL DIST,2801980,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,1432.00,0.00,0.00,1432.00,279.00,0.00,0.00
MS,HOLMES CO SCHOOL DIST,2801980,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,521.00,0.00,0.00,521.00,81.00,0.00,0.00
MS,HOLMES CO SCHOOL DIST,2801980,2015,Total enrollment,M,0.00,4.00,0.00,2.00,1532.00,4.00,0.00,1542.00,249.00,0.00,4.00
MS,HOLMES CO SCHOOL DIST,2801980,2015,Total enrollment,F,0.00,2.00,0.00,0.00,1391.00,2.00,0.00,1395.00,125.00,0.00,2.00
MS,LAMAR COUNTY SCHOOL DISTRICT,2802400,2015,School days missed due to out-of-school suspension,M,0.00,14.00,0.00,14.00,454.00,494.00,1.00,977.00,239.00,28.00,9.00
MS,LAMAR COUNTY SCHOOL DISTRICT,2802400,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,13.00,294.00,145.00,0.00,452.00,64.00,1.00,0.00
MS,LAMAR COUNTY SCHOOL DISTRICT,2802400,2015,Total enrollment,M,12.00,114.00,8.00,208.00,1227.00,3366.00,2.00,4937.00,764.00,96.00,178.00
MS,LAMAR COUNTY SCHOOL DISTRICT,2802400,2015,Total enrollment,F,14.00,80.00,6.00,220.00,1248.00,3318.00,0.00,4886.00,409.00,57.00,180.00
MS,OCEAN SPRINGS SCHOOL DIST,2803360,2015,School days missed due to out-of-school suspension,M,2.00,10.00,5.00,24.00,177.00,532.00,0.00,750.00,110.00,0.00,9.00
MS,OCEAN SPRINGS SCHOOL DIST,2803360,2015,School days missed due to out-of-school suspension,F,0.00,2.00,0.00,4.00,38.00,182.00,0.00,226.00,27.00,0.00,0.00
MS,OCEAN SPRINGS SCHOOL DIST,2803360,2015,Total enrollment,M,18.00,87.00,8.00,150.00,393.00,2246.00,19.00,2921.00,363.00,28.00,42.00
MS,OCEAN SPRINGS SCHOOL DIST,2803360,2015,Total enrollment,F,15.00,114.00,6.00,147.00,378.00,2181.00,26.00,2867.00,192.00,32.00,33.00
MS,ATTALA CO SCHOOL DIST,2800510,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,143.00,52.00,0.00,195.00,50.00,0.00,0.00
MS,ATTALA CO SCHOOL DIST,2800510,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,46.00,22.00,0.00,68.00,12.00,0.00,0.00
MS,ATTALA CO SCHOOL DIST,2800510,2015,Total enrollment,M,0.00,0.00,0.00,5.00,328.00,256.00,0.00,589.00,101.00,12.00,0.00
MS,ATTALA CO SCHOOL DIST,2800510,2015,Total enrollment,F,0.00,0.00,0.00,9.00,310.00,226.00,0.00,545.00,38.00,2.00,0.00
MS,LELAND SCHOOL DIST,2802610,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,122.00,2.00,0.00,124.00,0.00,0.00,0.00
MS,LELAND SCHOOL DIST,2802610,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,58.00,1.00,0.00,60.00,0.00,0.00,0.00
MS,LELAND SCHOOL DIST,2802610,2015,Total enrollment,M,0.00,0.00,4.00,11.00,455.00,41.00,2.00,513.00,7.00,0.00,11.00
MS,LELAND SCHOOL DIST,2802610,2015,Total enrollment,F,0.00,0.00,0.00,6.00,491.00,29.00,4.00,530.00,0.00,0.00,6.00
MS,PEARL RIVER CO SCHOOL DIST,2803540,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,16.00,60.00,231.00,2.00,309.00,138.00,0.00,0.00
MS,PEARL RIVER CO SCHOOL DIST,2803540,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,99.00,1.00,102.00,18.00,0.00,0.00
MS,PEARL RIVER CO SCHOOL DIST,2803540,2015,Total enrollment,M,11.00,8.00,2.00,40.00,70.00,1498.00,36.00,1665.00,299.00,18.00,18.00
MS,PEARL RIVER CO SCHOOL DIST,2803540,2015,Total enrollment,F,6.00,8.00,0.00,29.00,44.00,1342.00,33.00,1462.00,139.00,18.00,21.00
MS,COLUMBIA SCHOOL DISTRICT,2801170,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,4.00,244.00,66.00,0.00,315.00,111.00,0.00,1.00
MS,COLUMBIA SCHOOL DISTRICT,2801170,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,80.00,11.00,0.00,91.00,3.00,0.00,0.00
MS,COLUMBIA SCHOOL DISTRICT,2801170,2015,Total enrollment,M,2.00,6.00,0.00,17.00,416.00,440.00,0.00,881.00,211.00,0.00,4.00
MS,COLUMBIA SCHOOL DISTRICT,2801170,2015,Total enrollment,F,2.00,14.00,0.00,17.00,404.00,380.00,0.00,817.00,118.00,0.00,4.00
MS,WEST POINT CONSOLIDATED SCHOOL DIST,2800191,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,1555.00,98.00,0.00,1654.00,201.00,0.00,0.00
MS,WEST POINT CONSOLIDATED SCHOOL DIST,2800191,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,762.00,14.00,0.00,777.00,26.00,0.00,0.00
MS,WEST POINT CONSOLIDATED SCHOOL DIST,2800191,2015,Total enrollment,M,0.00,8.00,0.00,20.00,1255.00,319.00,0.00,1602.00,257.00,2.00,12.00
MS,WEST POINT CONSOLIDATED SCHOOL DIST,2800191,2015,Total enrollment,F,0.00,6.00,0.00,21.00,1285.00,317.00,0.00,1629.00,106.00,2.00,15.00
MS,LAUREL SCHOOL DISTRICT,2802460,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,47.00,1775.00,8.00,0.00,1830.00,64.00,0.00,0.00
MS,LAUREL SCHOOL DISTRICT,2802460,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1076.00,0.00,0.00,1076.00,29.00,0.00,0.00
MS,LAUREL SCHOOL DISTRICT,2802460,2015,Total enrollment,M,0.00,8.00,0.00,174.00,1842.00,86.00,0.00,2110.00,169.00,0.00,92.00
MS,LAUREL SCHOOL DISTRICT,2802460,2015,Total enrollment,F,0.00,10.00,0.00,141.00,1830.00,50.00,0.00,2031.00,85.00,0.00,80.00
MS,MARION CO SCHOOL DIST,2802820,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,5.00,380.00,131.00,0.00,517.00,156.00,3.00,0.00
MS,MARION CO SCHOOL DIST,2802820,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,164.00,46.00,0.00,210.00,13.00,0.00,0.00
MS,MARION CO SCHOOL DIST,2802820,2015,Total enrollment,M,2.00,2.00,0.00,12.00,454.00,589.00,6.00,1065.00,197.00,4.00,2.00
