Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
MT,Bainville K-12 Schools,3002640,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00
MT,Bainville K-12 Schools,3002640,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
MT,Bainville K-12 Schools,3002640,2015,Total enrollment,M,4.00,0.00,0.00,4.00,0.00,87.00,0.00,95.00,18.00,4.00,0.00
MT,Bainville K-12 Schools,3002640,2015,Total enrollment,F,7.00,0.00,0.00,4.00,0.00,78.00,6.00,95.00,4.00,4.00,0.00
MT,Glasgow K-12 Schools,3012420,2015,School days missed due to out-of-school suspension,M,12.00,0.00,0.00,6.00,0.00,59.00,0.00,77.00,44.00,6.00,0.00
MT,Glasgow K-12 Schools,3012420,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,8.00,1.00,9.00,0.00,0.00,0.00
MT,Glasgow K-12 Schools,3012420,2015,Total enrollment,M,24.00,7.00,0.00,9.00,2.00,342.00,13.00,397.00,66.00,24.00,2.00
MT,Glasgow K-12 Schools,3012420,2015,Total enrollment,F,21.00,4.00,0.00,7.00,4.00,315.00,10.00,361.00,30.00,12.00,2.00
MT,Sidney Elem,3024200,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,61.00,1.00,62.00,4.00,0.00,0.00
MT,Sidney Elem,3024200,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,3.00,0.00,0.00
MT,Sidney Elem,3024200,2015,Total enrollment,M,4.00,2.00,0.00,36.00,6.00,429.00,18.00,495.00,84.00,4.00,12.00
MT,Sidney Elem,3024200,2015,Total enrollment,F,6.00,2.00,2.00,51.00,4.00,396.00,21.00,482.00,42.00,9.00,6.00
MT,Bridger K-12 Schools,3004800,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
MT,Bridger K-12 Schools,3004800,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Bridger K-12 Schools,3004800,2015,Total enrollment,M,4.00,0.00,0.00,2.00,0.00,99.00,5.00,110.00,18.00,4.00,0.00
MT,Bridger K-12 Schools,3004800,2015,Total enrollment,F,2.00,2.00,2.00,2.00,5.00,117.00,2.00,132.00,11.00,0.00,0.00
MT,Lima K-12 Schools,3016710,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Lima K-12 Schools,3016710,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Lima K-12 Schools,3016710,2015,Total enrollment,M,0.00,0.00,0.00,0.00,2.00,30.00,0.00,32.00,4.00,0.00,0.00
MT,Lima K-12 Schools,3016710,2015,Total enrollment,F,0.00,0.00,0.00,2.00,0.00,36.00,0.00,38.00,4.00,0.00,0.00
MT,Victor K-12 Schools,3027270,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,6.00,0.00,0.00
MT,Victor K-12 Schools,3027270,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,1.00,0.00,0.00
MT,Victor K-12 Schools,3027270,2015,Total enrollment,M,2.00,0.00,6.00,7.00,0.00,141.00,7.00,163.00,27.00,4.00,0.00
MT,Victor K-12 Schools,3027270,2015,Total enrollment,F,2.00,0.00,2.00,6.00,0.00,138.00,4.00,152.00,21.00,2.00,4.00
MT,Wise River Elem,3010820,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Wise River Elem,3010820,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Wise River Elem,3010820,2015,Total enrollment,M,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00
MT,Wise River Elem,3010820,2015,Total enrollment,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
MT,Libby K-12 Schools,3016530,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,11.00,134.00,1.00,147.00,20.00,0.00,0.00
MT,Libby K-12 Schools,3016530,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,8.00,0.00,0.00
MT,Libby K-12 Schools,3016530,2015,Total enrollment,M,6.00,5.00,0.00,21.00,4.00,558.00,27.00,621.00,66.00,2.00,5.00
MT,Libby K-12 Schools,3016530,2015,Total enrollment,F,12.00,9.00,2.00,19.00,0.00,477.00,30.00,549.00,27.00,4.00,0.00
MT,Anaconda Elem,3002010,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,0.00,0.00,8.00,0.00,13.00,9.00,2.00,0.00
MT,Anaconda Elem,3002010,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
MT,Anaconda Elem,3002010,2015,Total enrollment,M,2.00,2.00,2.00,2.00,2.00,405.00,2.00,417.00,14.00,5.00,0.00
MT,Anaconda Elem,3002010,2015,Total enrollment,F,2.00,2.00,2.00,2.00,0.00,330.00,2.00,340.00,10.00,5.00,0.00
MT,Valier Elem,3027060,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Valier Elem,3027060,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Valier Elem,3027060,2015,Total enrollment,M,16.00,0.00,0.00,2.00,0.00,36.00,2.00,56.00,4.00,0.00,5.00
MT,Valier Elem,3027060,2015,Total enrollment,F,16.00,0.00,0.00,2.00,0.00,33.00,2.00,53.00,0.00,2.00,8.00
MT,Whitewater K-12 Schools,3027930,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Whitewater K-12 Schools,3027930,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Whitewater K-12 Schools,3027930,2015,Total enrollment,M,4.00,0.00,0.00,0.00,0.00,15.00,0.00,19.00,0.00,0.00,0.00
MT,Whitewater K-12 Schools,3027930,2015,Total enrollment,F,2.00,0.00,0.00,0.00,0.00,30.00,0.00,32.00,0.00,0.00,0.00
MT,Hardin Elem,3013310,2015,School days missed due to out-of-school suspension,M,433.00,1.00,0.00,8.00,0.00,33.00,4.00,479.00,36.00,9.00,269.00
MT,Hardin Elem,3013310,2015,School days missed due to out-of-school suspension,F,231.00,0.00,0.00,2.00,0.00,11.00,0.00,244.00,19.00,0.00,9.00
MT,Hardin Elem,3013310,2015,Total enrollment,M,628.00,6.00,2.00,23.00,0.00,98.00,5.00,762.00,49.00,4.00,44.00
MT,Hardin Elem,3013310,2015,Total enrollment,F,595.00,7.00,2.00,26.00,6.00,106.00,5.00,747.00,30.00,2.00,31.00
MT,Billings H S,3003900,2015,School days missed due to out-of-school suspension,M,107.00,14.00,0.00,122.00,44.00,635.00,89.00,1011.00,255.00,0.00,2.00
MT,Billings H S,3003900,2015,School days missed due to out-of-school suspension,F,107.00,0.00,0.00,101.00,37.00,376.00,247.00,868.00,76.00,0.00,0.00
MT,Billings H S,3003900,2015,Total enrollment,M,159.00,18.00,7.00,207.00,51.00,2085.00,111.00,2638.00,300.00,45.00,10.00
MT,Billings H S,3003900,2015,Total enrollment,F,126.00,21.00,6.00,189.00,36.00,2073.00,90.00,2541.00,144.00,39.00,0.00
MT,East Glacier Park Elem,3009510,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,East Glacier Park Elem,3009510,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
MT,East Glacier Park Elem,3009510,2015,Total enrollment,M,26.00,0.00,0.00,0.00,0.00,5.00,0.00,31.00,0.00,2.00,0.00
MT,East Glacier Park Elem,3009510,2015,Total enrollment,F,20.00,0.00,0.00,0.00,2.00,5.00,0.00,27.00,0.00,0.00,0.00
MT,Hamilton K-12 Schools,3013260,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,8.00,3.00,67.00,2.00,80.00,41.00,7.00,12.00
MT,Hamilton K-12 Schools,3013260,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,3.00,26.00,2.00,33.00,14.00,1.00,5.00
MT,Hamilton K-12 Schools,3013260,2015,Total enrollment,M,6.00,9.00,4.00,35.00,2.00,713.00,32.00,801.00,118.00,44.00,2.00
MT,Hamilton K-12 Schools,3013260,2015,Total enrollment,F,4.00,9.00,0.00,38.00,6.00,614.00,23.00,694.00,61.00,41.00,4.00
MT,Nashua K-12 Schools,3019170,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00
MT,Nashua K-12 Schools,3019170,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MT,Nashua K-12 Schools,3019170,2015,Total enrollment,M,15.00,0.00,0.00,0.00,0.00,45.00,0.00,60.00,15.00,4.00,2.00
MT,Nashua K-12 Schools,3019170,2015,Total enrollment,F,12.00,0.00,0.00,0.00,0.00,39.00,0.00,51.00,4.00,0.00,0.00
MT,Evergreen School District,3010920,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,7.00,0.00,114.00,6.00,127.00,33.00,8.00,0.00
MT,Evergreen School District,3010920,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,0.00,0.00
MT,Evergreen School District,3010920,2015,Total enrollment,M,12.00,2.00,2.00,18.00,2.00,348.00,27.00,411.00,96.00,15.00,7.00
