Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NC,Rutherford County Schools,3704080,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,56.00,717.00,3295.00,260.00,4328.00,1090.00,0.00,16.00
NC,Rutherford County Schools,3704080,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,53.00,156.00,620.00,66.00,895.00,154.00,0.00,21.00
NC,Rutherford County Schools,3704080,2015,Total enrollment,M,14.00,28.00,0.00,312.00,547.00,3285.00,279.00,4465.00,845.00,0.00,77.00
NC,Rutherford County Schools,3704080,2015,Total enrollment,F,12.00,20.00,4.00,288.00,496.00,2970.00,297.00,4087.00,443.00,0.00,64.00
NC,Wake County Schools,3704720,2015,School days missed due to out-of-school suspension,M,295.00,361.00,27.00,7786.00,30272.00,6564.00,1874.00,47179.00,20732.00,178.00,3456.00
NC,Wake County Schools,3704720,2015,School days missed due to out-of-school suspension,F,49.00,64.00,224.00,2685.00,10769.00,1569.00,707.00,16067.00,4624.00,0.00,658.00
NC,Wake County Schools,3704720,2015,Total enrollment,M,278.00,6145.00,132.00,13906.00,19288.00,38791.00,2947.00,81487.00,13463.00,1240.00,6195.00
NC,Wake County Schools,3704720,2015,Total enrollment,F,241.00,5920.00,142.00,13294.00,18682.00,36407.00,2976.00,77662.00,6514.00,800.00,5074.00
NC,Catawba County Schools,3700690,2015,School days missed due to out-of-school suspension,M,0.00,27.00,0.00,179.00,255.00,1314.00,160.00,1935.00,462.00,81.00,57.00
NC,Catawba County Schools,3700690,2015,School days missed due to out-of-school suspension,F,0.00,3.00,0.00,62.00,90.00,467.00,30.00,652.00,83.00,9.00,12.00
NC,Catawba County Schools,3700690,2015,Total enrollment,M,4.00,556.00,10.00,1298.00,455.00,5843.00,350.00,8516.00,1161.00,258.00,675.00
NC,Catawba County Schools,3700690,2015,Total enrollment,F,20.00,543.00,8.00,1205.00,438.00,5531.00,387.00,8132.00,542.00,151.00,490.00
NC,Lee County Schools,3702560,2015,School days missed due to out-of-school suspension,M,18.00,3.00,17.00,1057.00,1720.00,1085.00,325.00,4225.00,883.00,68.00,317.00
NC,Lee County Schools,3702560,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,519.00,945.00,397.00,141.00,2002.00,198.00,5.00,149.00
NC,Lee County Schools,3702560,2015,Total enrollment,M,41.00,48.00,6.00,1757.00,1103.00,2144.00,164.00,5263.00,792.00,45.00,599.00
NC,Lee County Schools,3702560,2015,Total enrollment,F,31.00,40.00,6.00,1707.00,1100.00,1976.00,166.00,5026.00,359.00,41.00,484.00
NC,Harnett County Schools,3702010,2015,School days missed due to out-of-school suspension,M,80.00,31.00,2.00,874.00,4107.00,2220.00,556.00,7870.00,2174.00,78.00,207.00
NC,Harnett County Schools,3702010,2015,School days missed due to out-of-school suspension,F,18.00,0.00,30.00,404.00,1553.00,770.00,95.00,2870.00,409.00,13.00,208.00
NC,Harnett County Schools,3702010,2015,Total enrollment,M,105.00,84.00,28.00,2024.00,2627.00,5228.00,620.00,10716.00,1510.00,188.00,641.00
NC,Harnett County Schools,3702010,2015,Total enrollment,F,104.00,81.00,38.00,1955.00,2402.00,4799.00,576.00,9955.00,688.00,91.00,509.00
NC,Gaston County Schools,3701620,2015,School days missed due to out-of-school suspension,M,18.00,33.00,7.00,1065.00,5246.00,5214.00,725.00,12308.00,2789.00,1006.00,456.00
NC,Gaston County Schools,3701620,2015,School days missed due to out-of-school suspension,F,20.00,4.00,23.00,337.00,2548.00,1444.00,177.00,4553.00,640.00,190.00,121.00
NC,Gaston County Schools,3701620,2015,Total enrollment,M,49.00,253.00,14.00,1946.00,3530.00,10217.00,728.00,16737.00,2682.00,716.00,815.00
NC,Gaston County Schools,3701620,2015,Total enrollment,F,38.00,230.00,22.00,1862.00,3317.00,9251.00,653.00,15373.00,1400.00,399.00,673.00
NC,McDowell County Schools,3702940,2015,School days missed due to out-of-school suspension,M,10.00,0.00,0.00,84.00,45.00,645.00,17.00,801.00,304.00,46.00,49.00
NC,McDowell County Schools,3702940,2015,School days missed due to out-of-school suspension,F,5.00,0.00,0.00,43.00,18.00,208.00,18.00,292.00,53.00,4.00,5.00
NC,McDowell County Schools,3702940,2015,Total enrollment,M,17.00,41.00,6.00,404.00,91.00,2636.00,101.00,3296.00,700.00,50.00,189.00
NC,McDowell County Schools,3702940,2015,Total enrollment,F,17.00,36.00,2.00,374.00,94.00,2357.00,101.00,2981.00,334.00,40.00,139.00
NC,Asheville City Schools,3700270,2015,School days missed due to out-of-school suspension,M,0.00,12.00,0.00,88.00,833.00,227.00,201.00,1361.00,435.00,181.00,10.00
NC,Asheville City Schools,3700270,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,11.00,666.00,39.00,40.00,756.00,168.00,16.00,0.00
NC,Asheville City Schools,3700270,2015,Total enrollment,M,6.00,18.00,8.00,157.00,505.00,1372.00,157.00,2223.00,332.00,76.00,38.00
NC,Asheville City Schools,3700270,2015,Total enrollment,F,4.00,32.00,8.00,196.00,505.00,1330.00,130.00,2205.00,191.00,50.00,43.00
NC,Macon County Schools,3702760,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,18.00,21.00,173.00,15.00,228.00,61.00,3.00,12.00
NC,Macon County Schools,3702760,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,3.00,71.00,2.00,79.00,21.00,2.00,1.00
NC,Macon County Schools,3702760,2015,Total enrollment,M,6.00,28.00,4.00,391.00,25.00,1816.00,42.00,2312.00,467.00,15.00,155.00
NC,Macon County Schools,3702760,2015,Total enrollment,F,12.00,17.00,2.00,382.00,17.00,1675.00,66.00,2171.00,257.00,10.00,146.00
NC,New Hanover County Schools,3703330,2015,School days missed due to out-of-school suspension,M,1.00,24.00,3.00,426.00,3947.00,2086.00,271.00,6758.00,2190.00,522.00,150.00
NC,New Hanover County Schools,3703330,2015,School days missed due to out-of-school suspension,F,0.00,2.00,2.00,166.00,2217.00,535.00,355.00,3277.00,523.00,239.00,16.00
NC,New Hanover County Schools,3703330,2015,Total enrollment,M,53.00,225.00,32.00,1591.00,2736.00,8292.00,511.00,13440.00,2071.00,428.00,584.00
NC,New Hanover County Schools,3703330,2015,Total enrollment,F,44.00,184.00,14.00,1582.00,2647.00,7803.00,504.00,12778.00,1000.00,289.00,455.00
NC,Cumberland County Schools,3700011,2015,School days missed due to out-of-school suspension,M,297.00,61.00,28.00,1452.00,12484.00,2752.00,1164.00,18238.00,4912.00,311.00,211.00
NC,Cumberland County Schools,3700011,2015,School days missed due to out-of-school suspension,F,245.00,11.00,26.00,655.00,6337.00,776.00,733.00,8783.00,1239.00,64.00,27.00
NC,Cumberland County Schools,3700011,2015,Total enrollment,M,487.00,454.00,138.00,3274.00,11832.00,8118.00,1966.00,26269.00,4647.00,306.00,548.00
NC,Cumberland County Schools,3700011,2015,Total enrollment,F,445.00,449.00,134.00,3127.00,11343.00,7542.00,1979.00,25019.00,2207.00,200.00,462.00
NC,Pender County Schools,3703570,2015,School days missed due to out-of-school suspension,M,15.00,2.00,0.00,113.00,853.00,1866.00,47.00,2896.00,567.00,4.00,46.00
NC,Pender County Schools,3703570,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,29.00,394.00,269.00,32.00,725.00,137.00,3.00,0.00
NC,Pender County Schools,3703570,2015,Total enrollment,M,34.00,21.00,4.00,638.00,716.00,3203.00,143.00,4759.00,774.00,101.00,189.00
NC,Pender County Schools,3703570,2015,Total enrollment,F,24.00,28.00,6.00,626.00,725.00,2978.00,170.00,4557.00,420.00,64.00,160.00
NC,Scotland County Schools,3704200,2015,School days missed due to out-of-school suspension,M,287.00,0.00,0.00,63.00,1965.00,329.00,166.00,2810.00,891.00,83.00,19.00
NC,Scotland County Schools,3704200,2015,School days missed due to out-of-school suspension,F,85.00,0.00,0.00,25.00,751.00,65.00,51.00,977.00,194.00,3.00,10.00
NC,Scotland County Schools,3704200,2015,Total enrollment,M,474.00,34.00,6.00,93.00,1422.00,984.00,135.00,3148.00,687.00,58.00,22.00
NC,Scotland County Schools,3704200,2015,Total enrollment,F,486.00,32.00,4.00,85.00,1308.00,831.00,126.00,2872.00,330.00,32.00,13.00
NC,Elkin City Schools,3701380,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,22.00,21.00,74.00,13.00,130.00,22.00,16.00,0.00
NC,Elkin City Schools,3701380,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,26.00,0.00,29.00,7.00,4.00,0.00
NC,Elkin City Schools,3701380,2015,Total enrollment,M,0.00,4.00,0.00,126.00,27.00,456.00,27.00,640.00,102.00,36.00,39.00
NC,Elkin City Schools,3701380,2015,Total enrollment,F,0.00,4.00,0.00,117.00,24.00,420.00,18.00,583.00,51.00,6.00,45.00
NC,Duplin County Schools,3701200,2015,School days missed due to out-of-school suspension,M,19.00,0.00,24.00,1018.00,1366.00,909.00,115.00,3451.00,676.00,284.00,475.00
NC,Duplin County Schools,3701200,2015,School days missed due to out-of-school suspension,F,14.00,0.00,0.00,430.00,637.00,280.00,56.00,1417.00,164.00,47.00,194.00
NC,Duplin County Schools,3701200,2015,Total enrollment,M,50.00,20.00,12.00,2126.00,1223.00,1733.00,84.00,5248.00,672.00,209.00,944.00
NC,Duplin County Schools,3701200,2015,Total enrollment,F,37.00,18.00,8.00,1949.00,1145.00,1619.00,96.00,4872.00,286.00,114.00,782.00
NC,Whiteville City Schools,3704920,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,30.00,518.00,92.00,67.00,712.00,136.00,25.00,15.00
NC,Whiteville City Schools,3704920,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,42.00,282.00,25.00,10.00,359.00,14.00,0.00,8.00
NC,Whiteville City Schools,3704920,2015,Total enrollment,M,12.00,8.00,0.00,112.00,475.00,481.00,71.00,1159.00,178.00,12.00,55.00
NC,Whiteville City Schools,3704920,2015,Total enrollment,F,11.00,8.00,0.00,133.00,496.00,445.00,56.00,1149.00,82.00,6.00,43.00
NC,NC Division of Juvenile Justice,3700157,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NC,NC Division of Juvenile Justice,3700157,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NC,NC Division of Juvenile Justice,3700157,2015,Total enrollment,M,2.00,2.00,0.00,35.00,214.00,95.00,23.00,371.00,98.00,2.00,4.00
NC,NC Division of Juvenile Justice,3700157,2015,Total enrollment,F,4.00,0.00,0.00,6.00,36.00,19.00,4.00,69.00,4.00,0.00,0.00
NC,Burke County Schools,3700480,2015,School days missed due to out-of-school suspension,M,0.00,31.00,4.00,204.00,218.00,1494.00,114.00,2065.00,741.00,46.00,67.00
NC,Burke County Schools,3700480,2015,School days missed due to out-of-school suspension,F,0.00,4.00,1.00,57.00,43.00,507.00,51.00,663.00,148.00,8.00,7.00
NC,Burke County Schools,3700480,2015,Total enrollment,M,14.00,462.00,12.00,921.00,346.00,4626.00,327.00,6708.00,1382.00,154.00,547.00
NC,Burke County Schools,3700480,2015,Total enrollment,F,18.00,347.00,16.00,834.00,278.00,4329.00,306.00,6128.00,644.00,99.00,404.00
NC,Swain County Schools,3704440,2015,School days missed due to out-of-school suspension,M,55.00,0.00,0.00,0.00,16.00,137.00,3.00,211.00,75.00,0.00,0.00
NC,Swain County Schools,3704440,2015,School days missed due to out-of-school suspension,F,47.00,0.00,0.00,0.00,0.00,31.00,0.00,78.00,26.00,0.00,0.00
NC,Swain County Schools,3704440,2015,Total enrollment,M,242.00,7.00,0.00,44.00,6.00,668.00,38.00,1005.00,193.00,14.00,12.00
NC,Swain County Schools,3704440,2015,Total enrollment,F,233.00,6.00,2.00,35.00,4.00,608.00,38.00,926.00,94.00,4.00,8.00
NC,Hyde County Schools,3702280,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,46.00,33.00,13.00,94.00,36.00,0.00,0.00
