Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
ND,BISMARCK 1,3800014,2015,School days missed due to out-of-school suspension,M,94.00,0.00,1.00,5.00,17.00,180.00,0.00,297.00,63.00,0.00,35.00
ND,BISMARCK 1,3800014,2015,School days missed due to out-of-school suspension,F,85.00,0.00,0.00,0.00,23.00,67.00,2.00,177.00,25.00,5.00,16.00
ND,BISMARCK 1,3800014,2015,Total enrollment,M,485.00,53.00,28.00,206.00,187.00,5420.00,204.00,6583.00,1057.00,66.00,91.00
ND,BISMARCK 1,3800014,2015,Total enrollment,F,470.00,68.00,16.00,183.00,163.00,5147.00,194.00,6241.00,538.00,39.00,57.00
ND,WOLFORD 1,3820230,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ND,WOLFORD 1,3820230,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ND,WOLFORD 1,3820230,2015,Total enrollment,M,0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,0.00,0.00,0.00
ND,WOLFORD 1,3820230,2015,Total enrollment,F,0.00,0.00,0.00,0.00,0.00,37.00,0.00,37.00,0.00,0.00,0.00
ND,MAY-PORT CG 14,3800041,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,1.00,0.00,0.00
ND,MAY-PORT CG 14,3800041,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ND,MAY-PORT CG 14,3800041,2015,Total enrollment,M,2.00,0.00,2.00,10.00,6.00,225.00,2.00,247.00,36.00,7.00,0.00
ND,MAY-PORT CG 14,3800041,2015,Total enrollment,F,6.00,0.00,0.00,9.00,2.00,213.00,2.00,232.00,24.00,6.00,0.00
ND,NORTH BORDER 100,3800054,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ND,NORTH BORDER 100,3800054,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ND,NORTH BORDER 100,3800054,2015,Total enrollment,M,10.00,2.00,0.00,6.00,7.00,142.00,4.00,171.00,42.00,2.00,0.00
ND,NORTH BORDER 100,3800054,2015,Total enrollment,F,4.00,0.00,0.00,6.00,4.00,130.00,2.00,146.00,32.00,2.00,0.00
ND,BEULAH 27,3800032,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,35.00,0.00,35.00,3.00,0.00,0.00
ND,BEULAH 27,3800032,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,0.00,2.00,2.00,0.00,6.00,0.00,0.00,0.00
ND,BEULAH 27,3800032,2015,Total enrollment,M,15.00,4.00,4.00,6.00,4.00,342.00,0.00,375.00,60.00,4.00,4.00
ND,BEULAH 27,3800032,2015,Total enrollment,F,12.00,2.00,4.00,7.00,4.00,306.00,0.00,335.00,18.00,2.00,2.00
ND,BELCOURT 7,3802530,2015,School days missed due to out-of-school suspension,M,718.00,0.00,0.00,0.00,0.00,46.00,0.00,764.00,283.00,119.00,0.00
ND,BELCOURT 7,3802530,2015,School days missed due to out-of-school suspension,F,350.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,49.00,24.00,0.00
ND,BELCOURT 7,3802530,2015,Total enrollment,M,955.00,0.00,2.00,0.00,2.00,22.00,0.00,981.00,249.00,47.00,0.00
ND,BELCOURT 7,3802530,2015,Total enrollment,F,859.00,0.00,0.00,0.00,2.00,14.00,0.00,875.00,151.00,26.00,0.00
ND,MANDAN 1,3811820,2015,School days missed due to out-of-school suspension,M,20.00,0.00,3.00,2.00,11.00,81.00,0.00,117.00,61.00,3.00,2.00
ND,MANDAN 1,3811820,2015,School days missed due to out-of-school suspension,F,9.00,0.00,0.00,0.00,2.00,26.00,2.00,39.00,8.00,2.00,0.00
ND,MANDAN 1,3811820,2015,Total enrollment,M,136.00,10.00,6.00,69.00,39.00,1545.00,25.00,1830.00,326.00,38.00,24.00
