Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NE,SIDNEY PUBLIC SCHOOLS,3176710,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,40.00,1.00,94.00,0.00,135.00,27.00,0.00,0.00
NE,SIDNEY PUBLIC SCHOOLS,3176710,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,2.00,0.00,0.00
NE,SIDNEY PUBLIC SCHOOLS,3176710,2015,Total enrollment,M,8.00,18.00,4.00,71.00,4.00,623.00,10.00,738.00,108.00,8.00,28.00
NE,SIDNEY PUBLIC SCHOOLS,3176710,2015,Total enrollment,F,2.00,16.00,9.00,48.00,6.00,566.00,15.00,662.00,54.00,10.00,22.00
NE,DOUGLAS CO WEST COMMUNITY SCHS,3100165,2015,School days missed due to out-of-school suspension,M,2.00,1.00,0.00,0.00,14.00,81.00,0.00,98.00,9.00,0.00,0.00
NE,DOUGLAS CO WEST COMMUNITY SCHS,3100165,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,10.00,0.00,11.00,1.00,0.00,0.00
NE,DOUGLAS CO WEST COMMUNITY SCHS,3100165,2015,Total enrollment,M,4.00,7.00,0.00,21.00,15.00,450.00,9.00,506.00,78.00,2.00,4.00
NE,DOUGLAS CO WEST COMMUNITY SCHS,3100165,2015,Total enrollment,F,4.00,2.00,0.00,15.00,15.00,327.00,6.00,369.00,27.00,0.00,0.00
NE,CENTRAL VALLEY PUBLIC SCHOOLS,3100185,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
NE,CENTRAL VALLEY PUBLIC SCHOOLS,3100185,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NE,CENTRAL VALLEY PUBLIC SCHOOLS,3100185,2015,Total enrollment,M,0.00,2.00,0.00,2.00,2.00,155.00,2.00,163.00,14.00,2.00,0.00
