Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NH,Mascenic Regional School District,3304670,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,6.00,0.00,293.00,0.00,299.00,3.00,2.00,0.00
NH,Mascenic Regional School District,3304670,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,5.00,1.00,156.00,0.00,162.00,2.00,3.00,0.00
NH,Mascenic Regional School District,3304670,2015,Total enrollment,M,2.00,2.00,0.00,18.00,4.00,540.00,2.00,568.00,90.00,45.00,2.00
NH,Mascenic Regional School District,3304670,2015,Total enrollment,F,0.00,4.00,0.00,18.00,9.00,489.00,2.00,522.00,33.00,16.00,0.00
NH,Barrington School District,3301650,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,55.00,0.00,55.00,50.00,1.00,0.00
NH,Barrington School District,3301650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,6.00,0.00,0.00
NH,Barrington School District,3301650,2015,Total enrollment,M,0.00,4.00,0.00,6.00,4.00,447.00,16.00,477.00,117.00,19.00,2.00
NH,Barrington School District,3301650,2015,Total enrollment,F,0.00,6.00,0.00,15.00,0.00,447.00,13.00,481.00,75.00,18.00,6.00
NH,Hudson School District,3303930,2015,School days missed due to out-of-school suspension,M,1.00,5.00,0.00,49.00,4.00,384.00,0.00,443.00,129.00,62.00,0.00
NH,Hudson School District,3303930,2015,School days missed due to out-of-school suspension,F,2.00,11.00,0.00,12.00,14.00,195.00,17.00,251.00,50.00,15.00,0.00
NH,Hudson School District,3303930,2015,Total enrollment,M,10.00,46.00,2.00,109.00,16.00,1666.00,52.00,1901.00,359.00,136.00,28.00
NH,Hudson School District,3303930,2015,Total enrollment,F,4.00,64.00,0.00,106.00,19.00,1483.00,70.00,1746.00,200.00,91.00,28.00
NH,Littleton School District,3304380,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,3.00,0.00,40.00,0.00,48.00,0.00,0.00,0.00
NH,Littleton School District,3304380,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,1.00,0.00,0.00
NH,Littleton School District,3304380,2015,Total enrollment,M,6.00,9.00,2.00,15.00,4.00,335.00,5.00,376.00,59.00,54.00,15.00
NH,Littleton School District,3304380,2015,Total enrollment,F,2.00,9.00,0.00,15.00,4.00,317.00,0.00,347.00,29.00,36.00,15.00
NH,Milford School District,3304830,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,39.00,204.00,0.00,244.00,134.00,17.00,0.00
NH,Milford School District,3304830,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,7.00,0.00,34.00,120.00,161.00,41.00,0.00,0.00
NH,Milford School District,3304830,2015,Total enrollment,M,2.00,14.00,0.00,35.00,15.00,1121.00,38.00,1225.00,220.00,122.00,17.00
NH,Milford School District,3304830,2015,Total enrollment,F,0.00,17.00,2.00,44.00,14.00,1100.00,35.00,1212.00,154.00,53.00,9.00
NH,Laconia School District,3304140,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,5.00,7.00,385.00,0.00,398.00,130.00,8.00,0.00
NH,Laconia School District,3304140,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,7.00,1.00,134.00,7.00,149.00,34.00,4.00,0.00
NH,Laconia School District,3304140,2015,Total enrollment,M,4.00,22.00,0.00,34.00,19.00,937.00,25.00,1041.00,218.00,61.00,22.00
NH,Laconia School District,3304140,2015,Total enrollment,F,4.00,25.00,2.00,34.00,22.00,820.00,22.00,929.00,95.00,47.00,11.00
NH,Contoocook Valley School District,3302480,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,3.00,254.00,0.00,257.00,50.00,95.00,0.00
NH,Contoocook Valley School District,3302480,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,4.00,49.00,5.00,58.00,25.00,8.00,1.00
NH,Contoocook Valley School District,3302480,2015,Total enrollment,M,2.00,16.00,4.00,15.00,11.00,1114.00,6.00,1168.00,202.00,67.00,11.00
NH,Contoocook Valley School District,3302480,2015,Total enrollment,F,2.00,21.00,2.00,25.00,21.00,1018.00,13.00,1102.00,106.00,48.00,8.00
NH,Pelham School District,3305550,2015,School days missed due to out-of-school suspension,M,0.00,3.00,0.00,0.00,0.00,59.00,0.00,62.00,14.00,2.00,0.00
NH,Pelham School District,3305550,2015,School days missed due to out-of-school suspension,F,0.00,2.00,0.00,0.00,0.00,2.00,0.00,4.00,1.00,0.00,0.00
NH,Pelham School District,3305550,2015,Total enrollment,M,2.00,18.00,0.00,36.00,9.00,921.00,27.00,1013.00,168.00,63.00,12.00
NH,Pelham School District,3305550,2015,Total enrollment,F,4.00,30.00,0.00,30.00,4.00,861.00,27.00,956.00,108.00,30.00,10.00
NH,Farmington School District,3303000,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,374.00,1.00,375.00,95.00,132.00,0.00
NH,Farmington School District,3303000,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,5.00,64.00,0.00,69.00,7.00,19.00,0.00
NH,Farmington School District,3303000,2015,Total enrollment,M,0.00,2.00,0.00,5.00,4.00,558.00,28.00,597.00,141.00,36.00,0.00
NH,Farmington School District,3303000,2015,Total enrollment,F,0.00,6.00,0.00,7.00,9.00,483.00,16.00,521.00,57.00,15.00,2.00
NH,White Mountain Regional School District,3307050,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,113.00,0.00,113.00,80.00,11.00,0.00
NH,White Mountain Regional School District,3307050,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,19.00,0.00,19.00,1.00,0.00,0.00
NH,White Mountain Regional School District,3307050,2015,Total enrollment,M,2.00,4.00,0.00,12.00,4.00,589.00,9.00,620.00,140.00,32.00,2.00
NH,White Mountain Regional School District,3307050,2015,Total enrollment,F,4.00,8.00,4.00,12.00,6.00,538.00,15.00,587.00,71.00,20.00,2.00
NH,Monadnock Regional School District,3304890,2015,School days missed due to out-of-school suspension,M,64.00,1.00,0.00,40.00,0.00,405.00,0.00,510.00,357.00,7.00,1.00
NH,Monadnock Regional School District,3304890,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,0.00,0.00,64.00,0.00,66.00,36.00,0.00,0.00
NH,Monadnock Regional School District,3304890,2015,Total enrollment,M,8.00,12.00,4.00,15.00,8.00,830.00,8.00,885.00,202.00,19.00,14.00
NH,Monadnock Regional School District,3304890,2015,Total enrollment,F,7.00,4.00,4.00,13.00,8.00,782.00,7.00,825.00,93.00,16.00,6.00
NH,Londonderry School District,3304410,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,59.00,1.00,62.00,20.00,0.00,0.00
NH,Londonderry School District,3304410,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,3.00,0.00,0.00
NH,Londonderry School District,3304410,2015,Total enrollment,M,4.00,30.00,9.00,36.00,19.00,2169.00,39.00,2306.00,480.00,207.00,11.00
NH,Londonderry School District,3304410,2015,Total enrollment,F,6.00,45.00,6.00,51.00,16.00,1872.00,42.00,2038.00,237.00,97.00,15.00
NH,Jaffrey-Rindge Coop School District,3304030,2015,School days missed due to out-of-school suspension,M,0.00,5.00,0.00,6.00,5.00,213.00,0.00,229.00,84.00,7.00,0.00
NH,Jaffrey-Rindge Coop School District,3304030,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,41.00,0.00,41.00,3.00,0.00,0.00
NH,Jaffrey-Rindge Coop School District,3304030,2015,Total enrollment,M,2.00,11.00,0.00,14.00,4.00,650.00,23.00,704.00,130.00,38.00,2.00
NH,Jaffrey-Rindge Coop School District,3304030,2015,Total enrollment,F,0.00,17.00,2.00,14.00,4.00,653.00,26.00,716.00,55.00,41.00,5.00
NH,Conway School District,3302490,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,10.00,207.00,0.00,217.00,113.00,18.00,0.00
NH,Conway School District,3302490,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,45.00,0.00,45.00,2.00,0.00,0.00
NH,Conway School District,3302490,2015,Total enrollment,M,6.00,13.00,0.00,13.00,20.00,916.00,8.00,976.00,191.00,76.00,8.00
NH,Conway School District,3302490,2015,Total enrollment,F,8.00,19.00,0.00,19.00,9.00,793.00,6.00,854.00,86.00,31.00,5.00
NH,Pembroke School District,3305580,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,5.00,4.00,82.00,5.00,97.00,33.00,8.00,0.00
NH,Pembroke School District,3305580,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,2.00,63.00,3.00,71.00,16.00,12.00,0.00
NH,Pembroke School District,3305580,2015,Total enrollment,M,9.00,11.00,2.00,17.00,9.00,770.00,23.00,841.00,127.00,107.00,6.00
