Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NJ,Pequannock Township School District,3412900,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,7.00,0.00,141.00,0.00,148.00,31.00,15.00,0.00
NJ,Pequannock Township School District,3412900,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,4.00,19.00,9.00,33.00,9.00,1.00,0.00
NJ,Pequannock Township School District,3412900,2015,Total enrollment,M,0.00,22.00,2.00,70.00,8.00,976.00,9.00,1087.00,212.00,61.00,9.00
NJ,Pequannock Township School District,3412900,2015,Total enrollment,F,2.00,28.00,2.00,73.00,13.00,967.00,8.00,1093.00,104.00,46.00,9.00
NJ,Stafford Township School District,3415690,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00
NJ,Stafford Township School District,3415690,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,Stafford Township School District,3415690,2015,Total enrollment,M,2.00,16.00,0.00,94.00,13.00,1021.00,13.00,1159.00,311.00,24.00,2.00
NJ,Stafford Township School District,3415690,2015,Total enrollment,F,2.00,11.00,2.00,97.00,16.00,895.00,17.00,1040.00,143.00,18.00,6.00
NJ,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,3400085,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NJ,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,3400085,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00
NJ,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,3400085,2015,Total enrollment,M,0.00,2.00,0.00,54.00,72.00,39.00,0.00,167.00,82.00,0.00,0.00
NJ,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,3400085,2015,Total enrollment,F,2.00,10.00,0.00,86.00,75.00,59.00,0.00,232.00,87.00,0.00,0.00
NJ,TENAFLY PUBLIC SCHOOL DISTRICT,3416110,2015,School days missed due to out-of-school suspension,M,0.00,6.00,0.00,29.00,0.00,62.00,0.00,97.00,51.00,5.00,0.00
NJ,TENAFLY PUBLIC SCHOOL DISTRICT,3416110,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,22.00,0.00,0.00
NJ,TENAFLY PUBLIC SCHOOL DISTRICT,3416110,2015,Total enrollment,M,2.00,591.00,4.00,117.00,24.00,1050.00,63.00,1851.00,387.00,57.00,63.00
NJ,TENAFLY PUBLIC SCHOOL DISTRICT,3416110,2015,Total enrollment,F,0.00,585.00,0.00,123.00,19.00,948.00,57.00,1732.00,198.00,36.00,51.00
NJ,Salem County Special Services School District,3480361,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,15.00,34.00,0.00,51.00,27.00,0.00,0.00
NJ,Salem County Special Services School District,3480361,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,5.00,0.00,0.00,6.00,0.00,0.00,0.00
NJ,Salem County Special Services School District,3480361,2015,Total enrollment,M,2.00,2.00,0.00,35.00,71.00,74.00,6.00,190.00,163.00,2.00,0.00
NJ,Salem County Special Services School District,3480361,2015,Total enrollment,F,0.00,0.00,0.00,18.00,23.00,18.00,0.00,59.00,57.00,0.00,0.00
NJ,Wayne Township Public School District,3417280,2015,School days missed due to out-of-school suspension,M,0.00,44.00,0.00,33.00,1.00,148.00,0.00,226.00,48.00,0.00,2.00
NJ,Wayne Township Public School District,3417280,2015,School days missed due to out-of-school suspension,F,0.00,3.00,0.00,29.00,0.00,43.00,0.00,75.00,19.00,0.00,0.00
NJ,Wayne Township Public School District,3417280,2015,Total enrollment,M,8.00,433.00,10.00,412.00,56.00,3214.00,22.00,4155.00,764.00,62.00,96.00
NJ,Wayne Township Public School District,3417280,2015,Total enrollment,F,8.00,400.00,8.00,373.00,53.00,3007.00,40.00,3889.00,398.00,41.00,72.00
NJ,North Brunswick Township School District,3411490,2015,School days missed due to out-of-school suspension,M,0.00,16.00,0.00,123.00,158.00,42.00,7.00,346.00,104.00,2.00,13.00
NJ,North Brunswick Township School District,3411490,2015,School days missed due to out-of-school suspension,F,0.00,4.00,1.00,35.00,41.00,16.00,5.00,102.00,25.00,3.00,0.00
NJ,North Brunswick Township School District,3411490,2015,Total enrollment,M,4.00,795.00,8.00,993.00,684.00,612.00,48.00,3144.00,534.00,72.00,171.00
NJ,North Brunswick Township School District,3411490,2015,Total enrollment,F,2.00,777.00,9.00,912.00,573.00,597.00,57.00,2927.00,222.00,48.00,147.00
NJ,Fort Lee School District,3405310,2015,School days missed due to out-of-school suspension,M,0.00,26.00,0.00,83.00,10.00,34.00,2.00,155.00,47.00,0.00,5.00
NJ,Fort Lee School District,3405310,2015,School days missed due to out-of-school suspension,F,0.00,3.00,0.00,18.00,2.00,11.00,0.00,34.00,12.00,1.00,0.00
NJ,Fort Lee School District,3405310,2015,Total enrollment,M,4.00,945.00,6.00,351.00,66.00,573.00,22.00,1967.00,306.00,39.00,123.00
NJ,Fort Lee School District,3405310,2015,Total enrollment,F,2.00,810.00,4.00,348.00,69.00,504.00,21.00,1758.00,147.00,18.00,81.00
NJ,Township of Union Public Schools,3416500,2015,School days missed due to out-of-school suspension,M,0.00,18.00,1.00,119.00,503.00,110.00,11.00,762.00,351.00,5.00,3.00
NJ,Township of Union Public Schools,3416500,2015,School days missed due to out-of-school suspension,F,0.00,2.00,1.00,19.00,198.00,18.00,1.00,239.00,54.00,0.00,2.00
NJ,Township of Union Public Schools,3416500,2015,Total enrollment,M,0.00,389.00,20.00,872.00,1583.00,860.00,53.00,3777.00,706.00,26.00,122.00
NJ,Township of Union Public Schools,3416500,2015,Total enrollment,F,2.00,347.00,18.00,764.00,1556.00,764.00,53.00,3504.00,307.00,21.00,98.00
NJ,Randolph Township School District,3413650,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,3.00,1.00,25.00,0.00,30.00,10.00,0.00,0.00
NJ,Randolph Township School District,3413650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,3.00,0.00,4.00,0.00,0.00,0.00
NJ,Randolph Township School District,3413650,2015,Total enrollment,M,4.00,288.00,8.00,327.00,60.00,1770.00,20.00,2477.00,382.00,94.00,40.00
NJ,Randolph Township School District,3413650,2015,Total enrollment,F,5.00,267.00,14.00,285.00,63.00,1710.00,9.00,2353.00,208.00,83.00,43.00
NJ,Bogota Public School District,3401920,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,9.00,6.00,2.00,0.00,17.00,11.00,0.00,3.00
NJ,Bogota Public School District,3401920,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,5.00,1.00,4.00,0.00,10.00,1.00,0.00,0.00
NJ,Bogota Public School District,3401920,2015,Total enrollment,M,0.00,54.00,4.00,354.00,51.00,126.00,7.00,596.00,114.00,11.00,24.00
NJ,Bogota Public School District,3401920,2015,Total enrollment,F,2.00,51.00,6.00,330.00,42.00,93.00,4.00,528.00,57.00,11.00,30.00
NJ,PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT,3412870,2015,School days missed due to out-of-school suspension,M,0.00,27.00,0.00,410.00,474.00,78.00,2.00,991.00,438.00,18.00,15.00
NJ,PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT,3412870,2015,School days missed due to out-of-school suspension,F,0.00,10.00,0.00,180.00,188.00,15.00,2.00,395.00,117.00,0.00,5.00
NJ,PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT,3412870,2015,Total enrollment,M,6.00,280.00,12.00,1147.00,784.00,340.00,25.00,2594.00,503.00,38.00,93.00
NJ,PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT,3412870,2015,Total enrollment,F,4.00,274.00,8.00,1057.00,745.00,274.00,27.00,2389.00,238.00,12.00,90.00
NJ,Millstone Township School District,3410230,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00
NJ,Millstone Township School District,3410230,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00
NJ,Millstone Township School District,3410230,2015,Total enrollment,M,0.00,27.00,2.00,24.00,21.00,543.00,0.00,617.00,120.00,24.00,5.00
NJ,Millstone Township School District,3410230,2015,Total enrollment,F,0.00,18.00,4.00,27.00,18.00,483.00,0.00,550.00,54.00,16.00,4.00
NJ,Teaneck School District,3416080,2015,School days missed due to out-of-school suspension,M,2.00,22.00,0.00,147.00,364.00,45.00,8.00,588.00,378.00,21.00,10.00
