Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NM,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,3500013,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NM,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,3500013,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NM,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,3500013,2015,Total enrollment,M,2.00,0.00,0.00,16.00,2.00,22.00,11.00,53.00,53.00,0.00,0.00
NM,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,3500013,2015,Total enrollment,F,4.00,0.00,0.00,22.00,4.00,16.00,14.00,60.00,56.00,0.00,5.00
NM,ZUNI PUBLIC SCHOOLS,3502800,2015,School days missed due to out-of-school suspension,M,318.00,0.00,0.00,0.00,0.00,0.00,0.00,318.00,17.00,0.00,295.00
NM,ZUNI PUBLIC SCHOOLS,3502800,2015,School days missed due to out-of-school suspension,F,107.00,0.00,0.00,0.00,0.00,0.00,0.00,107.00,8.00,0.00,106.00
NM,ZUNI PUBLIC SCHOOLS,3502800,2015,Total enrollment,M,655.00,9.00,2.00,0.00,0.00,0.00,5.00,671.00,60.00,2.00,343.00
NM,ZUNI PUBLIC SCHOOLS,3502800,2015,Total enrollment,F,604.00,7.00,2.00,0.00,0.00,2.00,2.00,617.00,23.00,2.00,268.00
NM,HOUSE MUNICIPAL SCHOOLS,3501320,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NM,HOUSE MUNICIPAL SCHOOLS,3501320,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NM,HOUSE MUNICIPAL SCHOOLS,3501320,2015,Total enrollment,M,0.00,0.00,0.00,9.00,0.00,15.00,0.00,24.00,0.00,0.00,0.00
NM,HOUSE MUNICIPAL SCHOOLS,3501320,2015,Total enrollment,F,0.00,0.00,0.00,4.00,0.00,33.00,0.00,37.00,4.00,0.00,0.00
NM,LOVING MUNICIPAL SCHOOLS,3501710,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,104.00,0.00,26.00,0.00,130.00,25.00,0.00,13.00
NM,LOVING MUNICIPAL SCHOOLS,3501710,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,65.00,0.00,3.00,0.00,68.00,0.00,0.00,5.00
NM,LOVING MUNICIPAL SCHOOLS,3501710,2015,Total enrollment,M,4.00,4.00,0.00,222.00,0.00,60.00,0.00,290.00,57.00,2.00,45.00
NM,LOVING MUNICIPAL SCHOOLS,3501710,2015,Total enrollment,F,0.00,0.00,0.00,201.00,0.00,84.00,0.00,285.00,27.00,0.00,24.00
NM,ARTESIA PUBLIC SCHOOLS,3500120,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NM,ARTESIA PUBLIC SCHOOLS,3500120,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NM,ARTESIA PUBLIC SCHOOLS,3500120,2015,Total enrollment,M,19.00,15.00,2.00,1316.00,19.00,860.00,22.00,2253.00,384.00,0.00,147.00
NM,ARTESIA PUBLIC SCHOOLS,3500120,2015,Total enrollment,F,25.00,8.00,2.00,1358.00,14.00,812.00,17.00,2236.00,255.00,0.00,123.00
NM,EUNICE PUBLIC SCHOOLS,3500960,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,63.00,1.00,62.00,0.00,126.00,36.00,0.00,16.00
NM,EUNICE PUBLIC SCHOOLS,3500960,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,10.00,0.00,7.00,0.00,17.00,0.00,0.00,0.00
NM,EUNICE PUBLIC SCHOOLS,3500960,2015,Total enrollment,M,0.00,0.00,0.00,252.00,4.00,162.00,0.00,418.00,75.00,2.00,48.00
NM,EUNICE PUBLIC SCHOOLS,3500960,2015,Total enrollment,F,0.00,0.00,0.00,228.00,4.00,141.00,0.00,373.00,45.00,0.00,30.00
NM,GALLUP-MCKINLEY CTY SCHOOLS,3501110,2015,School days missed due to out-of-school suspension,M,2020.00,5.00,0.00,242.00,0.00,60.00,26.00,2353.00,513.00,0.00,935.00
NM,GALLUP-MCKINLEY CTY SCHOOLS,3501110,2015,School days missed due to out-of-school suspension,F,1303.00,1.00,0.00,109.00,1.00,10.00,13.00,1437.00,141.00,0.00,523.00
NM,GALLUP-MCKINLEY CTY SCHOOLS,3501110,2015,Total enrollment,M,4777.00,64.00,2.00,812.00,21.00,295.00,104.00,6075.00,1002.00,165.00,1855.00
NM,GALLUP-MCKINLEY CTY SCHOOLS,3501110,2015,Total enrollment,F,4555.00,58.00,8.00,819.00,18.00,310.00,100.00,5868.00,448.00,127.00,1469.00
NM,MOUNTAINAIR PUBLIC SCHOOLS,3501950,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,3.00,3.00,0.00,9.00,3.00,0.00,0.00
NM,MOUNTAINAIR PUBLIC SCHOOLS,3501950,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,9.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00
NM,MOUNTAINAIR PUBLIC SCHOOLS,3501950,2015,Total enrollment,M,4.00,0.00,0.00,69.00,10.00,36.00,0.00,119.00,21.00,0.00,53.00
NM,MOUNTAINAIR PUBLIC SCHOOLS,3501950,2015,Total enrollment,F,4.00,0.00,0.00,66.00,7.00,45.00,0.00,122.00,15.00,0.00,56.00
NM,HATCH VALLEY PUBLIC SCHOOLS,3501230,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,122.00,0.00,3.00,0.00,125.00,5.00,0.00,10.00
NM,HATCH VALLEY PUBLIC SCHOOLS,3501230,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,33.00,0.00,0.00,0.00,33.00,0.00,0.00,5.00
NM,HATCH VALLEY PUBLIC SCHOOLS,3501230,2015,Total enrollment,M,0.00,0.00,0.00,643.00,0.00,26.00,0.00,669.00,89.00,0.00,289.00
NM,HATCH VALLEY PUBLIC SCHOOLS,3501230,2015,Total enrollment,F,0.00,0.00,0.00,622.00,0.00,35.00,0.00,657.00,50.00,0.00,217.00
NM,ALBUQUERQUE PUBLIC SCHOOLS,3500060,2015,School days missed due to out-of-school suspension,M,576.00,60.00,8.00,9774.00,668.00,1466.00,558.00,13110.00,4414.00,58.00,2721.00
NM,ALBUQUERQUE PUBLIC SCHOOLS,3500060,2015,School days missed due to out-of-school suspension,F,254.00,21.00,0.00,4291.00,309.00,528.00,87.00,5490.00,1082.00,29.00,932.00
