Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NV,WASHOE COUNTY SCHOOL DISTRICT,3200480,2015,School days missed due to out-of-school suspension,M,182.00,145.00,129.00,4230.00,845.00,3430.00,502.00,9463.00,2400.00,170.00,1483.00
NV,WASHOE COUNTY SCHOOL DISTRICT,3200480,2015,School days missed due to out-of-school suspension,F,66.00,52.00,99.00,1930.00,267.00,1305.00,205.00,3924.00,751.00,67.00,597.00
NV,WASHOE COUNTY SCHOOL DISTRICT,3200480,2015,Total enrollment,M,535.00,1518.00,406.00,13679.00,823.00,15727.00,1972.00,34660.00,5889.00,646.00,5894.00
NV,WASHOE COUNTY SCHOOL DISTRICT,3200480,2015,Total enrollment,F,520.00,1414.00,382.00,12707.00,709.00,14338.00,1839.00,31909.00,3003.00,379.00,4829.00
NV,ELKO COUNTY SCHOOL DISTRICT,3200120,2015,School days missed due to out-of-school suspension,M,118.00,4.00,0.00,517.00,9.00,651.00,4.00,1303.00,108.00,2.00,142.00
NV,ELKO COUNTY SCHOOL DISTRICT,3200120,2015,School days missed due to out-of-school suspension,F,67.00,4.00,0.00,121.00,13.00,123.00,0.00,328.00,11.00,0.00,31.00
NV,ELKO COUNTY SCHOOL DISTRICT,3200120,2015,Total enrollment,M,321.00,49.00,25.00,1604.00,66.00,3164.00,27.00,5256.00,692.00,24.00,589.00
NV,ELKO COUNTY SCHOOL DISTRICT,3200120,2015,Total enrollment,F,362.00,78.00,26.00,1565.00,52.00,2959.00,28.00,5070.00,407.00,19.00,538.00
NV,LINCOLN COUNTY SCHOOL DISTRICT,3200270,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00
NV,LINCOLN COUNTY SCHOOL DISTRICT,3200270,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,4.00,0.00,5.00,1.00,0.00,0.00
NV,LINCOLN COUNTY SCHOOL DISTRICT,3200270,2015,Total enrollment,M,7.00,6.00,9.00,89.00,60.00,455.00,9.00,635.00,108.00,0.00,10.00
NV,LINCOLN COUNTY SCHOOL DISTRICT,3200270,2015,Total enrollment,F,6.00,6.00,2.00,44.00,29.00,380.00,10.00,477.00,53.00,0.00,4.00
NV,PERSHING COUNTY SCHOOL DISTRICT,3200420,2015,School days missed due to out-of-school suspension,M,29.00,0.00,1.00,18.00,0.00,62.00,0.00,110.00,23.00,0.00,2.00
NV,PERSHING COUNTY SCHOOL DISTRICT,3200420,2015,School days missed due to out-of-school suspension,F,4.00,0.00,0.00,7.00,0.00,2.00,0.00,13.00,3.00,0.00,0.00
NV,PERSHING COUNTY SCHOOL DISTRICT,3200420,2015,Total enrollment,M,46.00,24.00,6.00,498.00,154.00,642.00,74.00,1444.00,51.00,5.00,83.00
NV,PERSHING COUNTY SCHOOL DISTRICT,3200420,2015,Total enrollment,F,29.00,2.00,2.00,124.00,4.00,181.00,24.00,366.00,36.00,2.00,30.00
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,School days missed due to out-of-school suspension,M,258.00,1135.00,788.00,27692.00,25290.00,12724.00,4439.00,72326.00,16861.00,2128.00,11782.00
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,School days missed due to out-of-school suspension,F,122.00,501.00,441.00,12419.00,12654.00,4053.00,2021.00,32211.00,4109.00,385.00,4027.00
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Total enrollment,M,731.00,10608.00,2642.00,75878.00,23162.00,44723.00,10580.00,168324.00,25235.00,2547.00,33531.00
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Total enrollment,F,716.00,9909.00,2479.00,72432.00,21402.00,40807.00,10169.00,157914.00,11915.00,1549.00,28210.00
NV,EUREKA COUNTY SCHOOL DISTRICT,3200180,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,0.00,21.00,0.00,23.00,2.00,0.00,3.00
NV,EUREKA COUNTY SCHOOL DISTRICT,3200180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NV,EUREKA COUNTY SCHOOL DISTRICT,3200180,2015,Total enrollment,M,5.00,0.00,0.00,12.00,0.00,129.00,6.00,152.00,18.00,2.00,7.00
NV,EUREKA COUNTY SCHOOL DISTRICT,3200180,2015,Total enrollment,F,5.00,0.00,0.00,15.00,0.00,99.00,4.00,123.00,8.00,0.00,2.00
NV,CARSON CITY SCHOOL DISTRICT,3200390,2015,School days missed due to out-of-school suspension,M,57.00,0.00,5.00,683.00,35.00,788.00,72.00,1640.00,353.00,19.00,509.00
NV,CARSON CITY SCHOOL DISTRICT,3200390,2015,School days missed due to out-of-school suspension,F,53.00,4.00,0.00,346.00,12.00,227.00,10.00,652.00,108.00,0.00,255.00
NV,CARSON CITY SCHOOL DISTRICT,3200390,2015,Total enrollment,M,88.00,65.00,17.00,1648.00,30.00,1990.00,151.00,3989.00,647.00,57.00,769.00
NV,CARSON CITY SCHOOL DISTRICT,3200390,2015,Total enrollment,F,79.00,80.00,12.00,1609.00,25.00,1882.00,127.00,3814.00,383.00,45.00,676.00
NV,CHURCHILL COUNTY SCHOOL DISTRICT,3200030,2015,School days missed due to out-of-school suspension,M,86.00,0.00,0.00,135.00,9.00,230.00,31.00,491.00,151.00,0.00,17.00
NV,CHURCHILL COUNTY SCHOOL DISTRICT,3200030,2015,School days missed due to out-of-school suspension,F,8.00,0.00,0.00,67.00,4.00,89.00,12.00,180.00,23.00,0.00,1.00
NV,CHURCHILL COUNTY SCHOOL DISTRICT,3200030,2015,Total enrollment,M,105.00,33.00,14.00,399.00,30.00,1113.00,123.00,1817.00,372.00,4.00,151.00
NV,CHURCHILL COUNTY SCHOOL DISTRICT,3200030,2015,Total enrollment,F,78.00,25.00,16.00,342.00,24.00,1041.00,117.00,1643.00,183.00,2.00,130.00
NV,Nevada State Public Charter School Authority,3200001,2015,School days missed due to out-of-school suspension,M,0.00,32.00,26.00,309.00,304.00,522.00,114.00,1307.00,146.00,6.00,21.00
NV,Nevada State Public Charter School Authority,3200001,2015,School days missed due to out-of-school suspension,F,0.00,11.00,0.00,173.00,73.00,140.00,17.00,414.00,30.00,2.00,5.00
NV,Nevada State Public Charter School Authority,3200001,2015,Total enrollment,M,98.00,817.00,221.00,3109.00,1146.00,6712.00,946.00,13049.00,1603.00,439.00,703.00
NV,Nevada State Public Charter School Authority,3200001,2015,Total enrollment,F,111.00,824.00,205.00,3370.00,1271.00,6727.00,1007.00,13515.00,823.00,325.00,658.00
