Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NY,FREDONIA CENTRAL SCHOOL DISTRICT,3611520,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,0.00,15.00,0.00,18.00,5.00,0.00,0.00
NY,FREDONIA CENTRAL SCHOOL DISTRICT,3611520,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,3.00,0.00,0.00
NY,FREDONIA CENTRAL SCHOOL DISTRICT,3611520,2015,Total enrollment,M,2.00,15.00,0.00,87.00,9.00,648.00,33.00,794.00,114.00,36.00,15.00
NY,FREDONIA CENTRAL SCHOOL DISTRICT,3611520,2015,Total enrollment,F,2.00,12.00,0.00,78.00,6.00,597.00,15.00,710.00,45.00,15.00,12.00
NY,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,3600005,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,7.00,196.00,0.00,203.00,25.00,0.00,0.00
NY,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,3600005,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,105.00,0.00,107.00,3.00,0.00,0.00
NY,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,3600005,2015,Total enrollment,M,2.00,8.00,0.00,17.00,18.00,908.00,6.00,959.00,106.00,15.00,2.00
NY,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,3600005,2015,Total enrollment,F,4.00,12.00,0.00,12.00,14.00,866.00,2.00,910.00,61.00,12.00,4.00
NY,HYDE PARK CENTRAL SCHOOL DISTRICT,3615180,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,395.00,321.00,388.00,40.00,1144.00,451.00,95.00,30.00
NY,HYDE PARK CENTRAL SCHOOL DISTRICT,3615180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,258.00,172.00,219.00,10.00,659.00,139.00,0.00,0.00
NY,HYDE PARK CENTRAL SCHOOL DISTRICT,3615180,2015,Total enrollment,M,4.00,45.00,0.00,246.00,195.00,1269.00,78.00,1837.00,351.00,78.00,42.00
NY,HYDE PARK CENTRAL SCHOOL DISTRICT,3615180,2015,Total enrollment,F,7.00,28.00,0.00,246.00,216.00,1164.00,75.00,1736.00,189.00,51.00,29.00
NY,WELLSVILLE CENTRAL SCHOOL DISTRICT,3630480,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,4.00,175.00,2.00,181.00,69.00,2.00,0.00
NY,WELLSVILLE CENTRAL SCHOOL DISTRICT,3630480,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,1.00,134.00,0.00,136.00,14.00,0.00,0.00
NY,WELLSVILLE CENTRAL SCHOOL DISTRICT,3630480,2015,Total enrollment,M,4.00,7.00,0.00,9.00,6.00,582.00,6.00,614.00,66.00,27.00,4.00
NY,WELLSVILLE CENTRAL SCHOOL DISTRICT,3630480,2015,Total enrollment,F,2.00,9.00,2.00,9.00,15.00,633.00,7.00,677.00,41.00,13.00,2.00
NY,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,3608970,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,1.00,35.00,0.00,36.00,22.00,0.00,0.00
NY,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,3608970,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,22.00,0.00,23.00,7.00,0.00,0.00
NY,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,3608970,2015,Total enrollment,M,4.00,11.00,2.00,20.00,17.00,1187.00,6.00,1247.00,259.00,44.00,4.00
NY,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,3608970,2015,Total enrollment,F,4.00,11.00,0.00,17.00,12.00,1184.00,6.00,1234.00,130.00,29.00,2.00
NY,CORINTH CENTRAL SCHOOL DISTRICT,3608370,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,3.00,197.00,10.00,210.00,41.00,0.00,0.00
NY,CORINTH CENTRAL SCHOOL DISTRICT,3608370,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,74.00,0.00,74.00,13.00,1.00,0.00
