Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
OH,Revere Local,3905005,2015,School days missed due to out-of-school suspension,M,0.00,10.00,0.00,0.00,1.00,139.00,0.00,150.00,5.00,0.00,0.00
OH,Revere Local,3905005,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,48.00,0.00,48.00,0.00,0.00,0.00
OH,Revere Local,3905005,2015,Total enrollment,M,0.00,77.00,8.00,35.00,23.00,1229.00,44.00,1416.00,151.00,41.00,11.00
OH,Revere Local,3905005,2015,Total enrollment,F,2.00,77.00,0.00,23.00,17.00,1091.00,47.00,1257.00,94.00,26.00,14.00
OH,Oak Hills Local,3904737,2015,School days missed due to out-of-school suspension,M,0.00,10.00,0.00,23.00,86.00,1035.00,69.00,1223.00,180.00,266.00,3.00
OH,Oak Hills Local,3904737,2015,School days missed due to out-of-school suspension,F,0.00,8.00,0.00,20.00,29.00,308.00,47.00,412.00,82.00,23.00,7.00
OH,Oak Hills Local,3904737,2015,Total enrollment,M,6.00,42.00,0.00,75.00,93.00,3498.00,135.00,3849.00,693.00,186.00,33.00
OH,Oak Hills Local,3904737,2015,Total enrollment,F,4.00,49.00,0.00,75.00,97.00,3468.00,168.00,3861.00,384.00,114.00,25.00
OH,Barnesville Exempted Village,3904520,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,40.00,0.00,41.00,1.00,0.00,0.00
OH,Barnesville Exempted Village,3904520,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OH,Barnesville Exempted Village,3904520,2015,Total enrollment,M,0.00,2.00,0.00,6.00,0.00,654.00,15.00,677.00,111.00,4.00,2.00
OH,Barnesville Exempted Village,3904520,2015,Total enrollment,F,2.00,2.00,0.00,4.00,6.00,651.00,21.00,686.00,72.00,6.00,0.00
OH,Greenon Local,3904623,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,8.00,182.00,0.00,190.00,37.00,7.00,0.00
OH,Greenon Local,3904623,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,45.00,5.00,50.00,0.00,1.00,0.00
OH,Greenon Local,3904623,2015,Total enrollment,M,2.00,8.00,2.00,14.00,8.00,758.00,20.00,812.00,139.00,24.00,2.00
OH,Greenon Local,3904623,2015,Total enrollment,F,0.00,9.00,0.00,29.00,11.00,731.00,38.00,818.00,85.00,14.00,4.00
OH,St Clairsville-Richland City,3904599,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,3.00,33.00,0.00,36.00,13.00,0.00,0.00
OH,St Clairsville-Richland City,3904599,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OH,St Clairsville-Richland City,3904599,2015,Total enrollment,M,0.00,9.00,0.00,15.00,9.00,798.00,45.00,876.00,114.00,18.00,2.00
OH,St Clairsville-Richland City,3904599,2015,Total enrollment,F,0.00,6.00,0.00,9.00,15.00,738.00,42.00,810.00,45.00,6.00,2.00
OH,Mapleton Local,3904583,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,11.00,11.00,0.00
OH,Mapleton Local,3904583,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,13.00,0.00,13.00,3.00,0.00,0.00
OH,Mapleton Local,3904583,2015,Total enrollment,M,0.00,0.00,0.00,4.00,2.00,459.00,6.00,471.00,57.00,6.00,0.00
OH,Mapleton Local,3904583,2015,Total enrollment,F,0.00,4.00,0.00,2.00,2.00,489.00,4.00,501.00,39.00,7.00,0.00
OH,Liberty Union-Thurston Local,3904688,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,12.00,131.00,2.00,145.00,21.00,0.00,0.00
OH,Liberty Union-Thurston Local,3904688,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,22.00,5.00,27.00,0.00,0.00,0.00
OH,Liberty Union-Thurston Local,3904688,2015,Total enrollment,M,0.00,6.00,0.00,6.00,4.00,663.00,18.00,697.00,135.00,18.00,4.00
OH,Liberty Union-Thurston Local,3904688,2015,Total enrollment,F,2.00,7.00,0.00,4.00,0.00,666.00,15.00,694.00,72.00,15.00,0.00
OH,Jefferson Local,3904825,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,1.00,54.00,0.00,56.00,20.00,0.00,0.00
OH,Jefferson Local,3904825,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,3.00,0.00,0.00
OH,Jefferson Local,3904825,2015,Total enrollment,M,0.00,0.00,0.00,13.00,7.00,585.00,6.00,611.00,114.00,7.00,5.00
OH,Jefferson Local,3904825,2015,Total enrollment,F,0.00,2.00,0.00,6.00,6.00,564.00,18.00,596.00,78.00,7.00,2.00
OH,Poland Local,3904834,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,4.00,0.00,6.00,4.00,2.00,0.00
OH,Poland Local,3904834,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OH,Poland Local,3904834,2015,Total enrollment,M,4.00,16.00,0.00,31.00,11.00,934.00,17.00,1013.00,110.00,53.00,13.00
OH,Poland Local,3904834,2015,Total enrollment,F,2.00,14.00,0.00,22.00,8.00,886.00,19.00,951.00,74.00,23.00,11.00
OH,Buckeye Local,3904847,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,3.00,137.00,5.00,145.00,53.00,11.00,0.00
OH,Buckeye Local,3904847,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,3.00,12.00,0.00,15.00,12.00,0.00,0.00
OH,Buckeye Local,3904847,2015,Total enrollment,M,4.00,6.00,0.00,17.00,12.00,1058.00,29.00,1126.00,151.00,32.00,2.00
OH,Buckeye Local,3904847,2015,Total enrollment,F,0.00,6.00,0.00,23.00,17.00,1001.00,29.00,1076.00,85.00,14.00,4.00
OH,Northwest Local,3904736,2015,School days missed due to out-of-school suspension,M,0.00,24.00,2.00,67.00,2453.00,1780.00,657.00,4983.00,1490.00,181.00,43.00
OH,Northwest Local,3904736,2015,School days missed due to out-of-school suspension,F,5.00,0.00,0.00,61.00,1375.00,833.00,222.00,2496.00,458.00,52.00,0.00
OH,Northwest Local,3904736,2015,Total enrollment,M,2.00,125.00,19.00,179.00,1211.00,2654.00,464.00,4654.00,835.00,109.00,188.00
OH,Northwest Local,3904736,2015,Total enrollment,F,4.00,116.00,10.00,176.00,1136.00,2330.00,422.00,4194.00,439.00,63.00,137.00
OH,Franklin City,3904400,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,15.00,35.00,286.00,37.00,373.00,192.00,47.00,0.00
OH,Franklin City,3904400,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,31.00,89.00,0.00,120.00,12.00,1.00,0.00
OH,Franklin City,3904400,2015,Total enrollment,M,2.00,13.00,0.00,22.00,23.00,1450.00,34.00,1544.00,314.00,107.00,8.00
OH,Franklin City,3904400,2015,Total enrollment,F,2.00,10.00,0.00,25.00,26.00,1336.00,34.00,1433.00,185.00,59.00,4.00
OH,South Euclid-Lyndhurst City,3904479,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,6.00,2144.00,190.00,97.00,2437.00,786.00,261.00,0.00
OH,South Euclid-Lyndhurst City,3904479,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,4.00,999.00,96.00,61.00,1160.00,290.00,20.00,3.00
OH,South Euclid-Lyndhurst City,3904479,2015,Total enrollment,M,4.00,33.00,4.00,39.00,1224.00,396.00,111.00,1811.00,378.00,78.00,36.00
OH,South Euclid-Lyndhurst City,3904479,2015,Total enrollment,F,0.00,27.00,0.00,30.00,1089.00,387.00,123.00,1656.00,177.00,40.00,27.00
OH,Blanchester Local,3904638,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,161.00,0.00,161.00,61.00,3.00,0.00
